<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRTX.US,D,20211014,000000,3.2331,3.35,3.14,3.22,260743,0
XRTX.US,D,20211015,000000,3.35,3.35,2.9,3.02,179141,0
XRTX.US,D,20211018,000000,3.15,3.15,2.8367,2.93,132097,0
XRTX.US,D,20211019,000000,2.97,2.97,2.61,2.67,182624,0
XRTX.US,D,20211020,000000,2.75,2.78,2.56,2.5999,291291,0
XRTX.US,D,20211021,000000,2.67,3.07,2.49,2.95,761694,0
XRTX.US,D,20211022,000000,2.99,3.1,2.79,2.83,222782,0
XRTX.US,D,20211025,000000,2.74,2.9398,2.66,2.67,79251,0
XRTX.US,D,20211026,000000,2.67,2.71,2.6,2.61,83309,0
XRTX.US,D,20211027,000000,2.6145,2.72,2.56,2.59,45082,0
XRTX.US,D,20211028,000000,2.61,2.65,2.51,2.53,48920,0
XRTX.US,D,20211029,000000,2.6,2.87,2.58,2.82,96534,0
XRTX.US,D,20211101,000000,2.73,2.81,2.61,2.66,79738,0
XRTX.US,D,20211102,000000,2.75,2.84,2.61,2.73,162877,0
XRTX.US,D,20211103,000000,2.89,4.23,2.89,3.87,27534145,0
XRTX.US,D,20211104,000000,4.91,5.89,3.12,4,28486900,0
XRTX.US,D,20211105,000000,3.76,3.93,2.93,3.88,3394773,0
XRTX.US,D,20211108,000000,3.47,3.74,3.25,3.72,743369,0
XRTX.US,D,20211109,000000,3.38,3.64,3.1999,3.21,386341,0
XRTX.US,D,20211110,000000,3.2,3.3,2.97,3.11,347463,0
XRTX.US,D,20211111,000000,3.03,3.065,2.82,2.98,248689,0
XRTX.US,D,20211112,000000,2.92,2.97,2.6601,2.75,277491,0
XRTX.US,D,20211115,000000,2.88,3.15,2.7,3,315005,0
XRTX.US,D,20211116,000000,3.07,3.07,2.79,2.88,133638,0
XRTX.US,D,20211117,000000,2.89,2.905,2.72,2.73,107091,0
XRTX.US,D,20211118,000000,2.7,2.73,2.52,2.6,114754,0
XRTX.US,D,20211119,000000,2.582,2.69,2.53,2.65,58146,0
XRTX.US,D,20211122,000000,2.7,2.7,2.44,2.64,78540,0
XRTX.US,D,20211123,000000,2.51,2.5899,2.41,2.42,63847,0
XRTX.US,D,20211124,000000,2.42,2.49,2.35,2.44,75176,0
XRTX.US,D,20211126,000000,2.4,2.435,2.36,2.36,37058,0
XRTX.US,D,20211129,000000,2.43,2.43,2.23,2.37,83986,0
XRTX.US,D,20211130,000000,2.42,2.42,2.12,2.33,98158,0
XRTX.US,D,20211201,000000,2.4417,2.4417,2.2,2.22,85926,0
XRTX.US,D,20211202,000000,2.205,2.2392,2.04,2.08,42080,0
XRTX.US,D,20211203,000000,2.02,2.07,1.8058,1.99,138551,0
XRTX.US,D,20211206,000000,1.95,1.96,1.78,1.89,80620,0
XRTX.US,D,20211207,000000,1.9801,2.25,1.9409,2.15,128757,0
XRTX.US,D,20211208,000000,2.12,2.38,2.05,2.28,104744,0
XRTX.US,D,20211209,000000,2.31,2.61,2.31,2.35,464242,0
XRTX.US,D,20211210,000000,2.37,2.4799,2.18,2.2,166975,0
XRTX.US,D,20211213,000000,2.21,2.25,2.03,2.07,77221,0
XRTX.US,D,20211214,000000,2.13,2.14,1.85,1.9,40271,0
XRTX.US,D,20211215,000000,1.96,2,1.75,1.9,58392,0
XRTX.US,D,20211216,000000,2.18,2.18,1.82,1.87,102374,0
XRTX.US,D,20211217,000000,1.85,2,1.8057,1.99,59951,0
XRTX.US,D,20211220,000000,1.99,2.03,1.8501,1.94,61732,0
XRTX.US,D,20211221,000000,2,2.0599,1.95,1.96,51421,0
XRTX.US,D,20211222,000000,1.9139,2.01,1.87,1.98,20667,0
XRTX.US,D,20211223,000000,2,2.07,1.8801,2,38174,0
XRTX.US,D,20211227,000000,1.96,2.07,1.8,1.85,66078,0
XRTX.US,D,20211228,000000,1.87,1.9799,1.73,1.8,82663,0
XRTX.US,D,20211229,000000,1.9551,2.08,1.92,1.93,217491,0
XRTX.US,D,20211230,000000,2.08,2.12,1.975,2.03,94593,0
XRTX.US,D,20211231,000000,1.99,2.08,1.94,2.05,36139,0
XRTX.US,D,20220103,000000,2.1,2.18,1.9591,2.15,54671,0
XRTX.US,D,20220104,000000,2.15,2.1889,2.07,2.15,27328,0
XRTX.US,D,20220105,000000,2.15,2.15,1.98,2.06,36639,0
XRTX.US,D,20220106,000000,1.96,2.06,1.96,2,35938,0
XRTX.US,D,20220107,000000,1.96,1.9799,1.9,1.9,28988,0
XRTX.US,D,20220110,000000,1.9323,2.14,1.9,1.9,47922,0
XRTX.US,D,20220111,000000,1.9,2.05,1.89,2.05,22989,0
XRTX.US,D,20220112,000000,2.05,2.05,1.85,1.89,44742,0
XRTX.US,D,20220113,000000,1.9,1.96,1.805,1.93,34816,0
XRTX.US,D,20220114,000000,1.87,1.98,1.84,1.97,20968,0
XRTX.US,D,20220118,000000,1.95,2.03,1.83,1.85,22491,0
XRTX.US,D,20220119,000000,1.83,1.83,1.75,1.77,54978,0
XRTX.US,D,20220120,000000,1.84,1.84,1.75,1.8,29990,0
XRTX.US,D,20220121,000000,1.76,1.7603,1.66,1.71,47139,0
XRTX.US,D,20220124,000000,1.67,1.67,1.46,1.52,22128,0
XRTX.US,D,20220125,000000,1.52,1.62,1.48,1.62,12804,0
XRTX.US,D,20220126,000000,1.54,1.6,1.5035,1.54,4812,0
XRTX.US,D,20220127,000000,1.5422,1.6,1.48,1.6,17102,0
XRTX.US,D,20220128,000000,1.5341,1.6,1.5317,1.6,1953,0
XRTX.US,D,20220131,000000,1.51,1.6,1.45,1.54,15421,0
XRTX.US,D,20220201,000000,1.59,1.72,1.59,1.72,7296,0
XRTX.US,D,20220202,000000,1.7,1.7,1.59,1.69,8175,0
XRTX.US,D,20220203,000000,1.69,1.69,1.59,1.635,4965,0
XRTX.US,D,20220204,000000,1.63,1.63,1.56,1.56,4927,0
XRTX.US,D,20220207,000000,1.6,1.66,1.57,1.66,10151,0
XRTX.US,D,20220208,000000,1.65,1.78,1.645,1.78,56925,0
XRTX.US,D,20220209,000000,1.7,1.765,1.65,1.66,2958,0
XRTX.US,D,20220210,000000,1.78,1.78,1.67,1.67,23322,0
XRTX.US,D,20220211,000000,1.65,1.67,1.59,1.64,15962,0
XRTX.US,D,20220214,000000,1.59,1.67,1.56,1.67,18490,0
XRTX.US,D,20220215,000000,1.57,1.65,1.5,1.6,10026,0
XRTX.US,D,20220216,000000,1.5101,1.63,1.5101,1.575,3922,0
XRTX.US,D,20220217,000000,1.53,1.61,1.5,1.5,18310,0
XRTX.US,D,20220218,000000,1.57,1.57,1.45,1.52,20305,0
XRTX.US,D,20220222,000000,1.48,1.48,1.2,1.45,58866,0
XRTX.US,D,20220223,000000,1.3501,1.45,1.3501,1.45,22512,0
XRTX.US,D,20220224,000000,1.26,1.38,1.26,1.37,18178,0
XRTX.US,D,20220225,000000,1.27,1.47,1.27,1.47,9869,0
XRTX.US,D,20220228,000000,1.3001,1.4977,1.3001,1.41,6366,0
XRTX.US,D,20220301,000000,1.37,1.43,1.37,1.43,4552,0
XRTX.US,D,20220302,000000,1.3834,1.54,1.3834,1.51,8176,0
XRTX.US,D,20220303,000000,1.37,1.55,1.35,1.55,12706,0
XRTX.US,D,20220304,000000,1.44,1.44,1.33,1.39,11641,0
XRTX.US,D,20220307,000000,1.39,1.39,1.33,1.39,10037,0
XRTX.US,D,20220308,000000,1.4899,1.4899,1.39,1.4,10367,0
XRTX.US,D,20220309,000000,1.4,1.4399,1.4,1.4,11774,0
