<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZAPPW.US,D,20230502,000000,0.11,0.1101,0.0975,0.1,233004,0
ZAPPW.US,D,20230503,000000,0.1,0.11,0.0901,0.1,204304,0
ZAPPW.US,D,20230504,000000,0.0911,0.1,0.0911,0.1,21665,0
ZAPPW.US,D,20230505,000000,0.1023,0.1441,0.0996,0.107001,1119002,0
ZAPPW.US,D,20230508,000000,0.1165,0.1165,0.0811,0.09,28159,0
ZAPPW.US,D,20230509,000000,0.087,0.08855,0.08,0.0801,35705,0
ZAPPW.US,D,20230510,000000,0.0775,0.088,0.0775,0.0801,63707,0
ZAPPW.US,D,20230511,000000,0.0801,0.09,0.08,0.0801,66548,0
ZAPPW.US,D,20230512,000000,0.084,0.0976,0.08,0.0896,314003,0
ZAPPW.US,D,20230515,000000,0.0845,0.092,0.0801,0.0801,21938,0
ZAPPW.US,D,20230516,000000,0.0801,0.0802,0.0801,0.0801,14821,0
ZAPPW.US,D,20230517,000000,0.0801,0.0801,0.0801,0.0801,29917,0
ZAPPW.US,D,20230518,000000,0.0801,0.0801,0.0801,0.0801,22305,0
ZAPPW.US,D,20230519,000000,0.0825,0.0825,0.0801,0.0801,25129,0
ZAPPW.US,D,20230522,000000,0.0801,0.0801,0.077,0.0789,39465,0
ZAPPW.US,D,20230523,000000,0.077,0.0801,0.071,0.071,124664,0
ZAPPW.US,D,20230524,000000,0.0796,0.08,0.0601,0.0685,24484,0
ZAPPW.US,D,20230525,000000,0.072,0.0799,0.0611,0.0612,14543,0
ZAPPW.US,D,20230526,000000,0.0575,0.08,0.055,0.055,4192,0
ZAPPW.US,D,20230530,000000,0.066,0.0788,0.0594,0.06,31382,0
ZAPPW.US,D,20230531,000000,0.056,0.079,0.0491,0.0503,17367,0
ZAPPW.US,D,20230601,000000,0.0491,0.07,0.049,0.0516,15989,0
ZAPPW.US,D,20230602,000000,0.0529,0.0789,0.0526,0.0716,49533,0
ZAPPW.US,D,20230605,000000,0.0679,0.0679,0.0551,0.0599,102304,0
ZAPPW.US,D,20230606,000000,0.0664,0.0664,0.053,0.0568,769,0
ZAPPW.US,D,20230608,000000,0.0493,0.0569,0.0493,0.0569,1003,0
ZAPPW.US,D,20230609,000000,0.06,0.0668,0.06,0.0668,4027,0
ZAPPW.US,D,20230612,000000,0.051901,0.0661,0.0518,0.055,3613,0
ZAPPW.US,D,20230613,000000,0.055,0.0665,0.055,0.0601,17801,0
ZAPPW.US,D,20230614,000000,0.0639,0.0639,0.0639,0.0639,334,0
ZAPPW.US,D,20230615,000000,0.0638,0.0638,0.0632,0.0638,302,0
ZAPPW.US,D,20230616,000000,0.0638,0.0638,0.0501,0.0511,45053,0
ZAPPW.US,D,20230620,000000,0.0552,0.06,0.0515,0.0515,169600,0
ZAPPW.US,D,20230622,000000,0.0518,0.062,0.0518,0.055,28302,0
ZAPPW.US,D,20230623,000000,0.0519,0.0584,0.0519,0.0519,8247,0
ZAPPW.US,D,20230627,000000,0.0584,0.059,0.0584,0.059,1092,0
ZAPPW.US,D,20230628,000000,0.0575,0.0651,0.051,0.0518,181298,0
ZAPPW.US,D,20230629,000000,0.0625,0.0628,0.056,0.056,40485,0
ZAPPW.US,D,20230630,000000,0.05,0.058,0.05,0.051,11501,0
ZAPPW.US,D,20230703,000000,0.0555,0.0555,0.0555,0.0555,398,0
ZAPPW.US,D,20230705,000000,0.0575,0.0575,0.04,0.043,10762,0
ZAPPW.US,D,20230706,000000,0.043,0.0547,0.0411,0.0411,112133,0
ZAPPW.US,D,20230707,000000,0.0539,0.0539,0.042,0.045,22565,0
ZAPPW.US,D,20230710,000000,0.0451,0.0566,0.0451,0.0566,2106,0
ZAPPW.US,D,20230713,000000,0.05,0.05,0.035,0.048,185532,0
ZAPPW.US,D,20230714,000000,0.0396,0.05,0.0396,0.0475,5640,0
ZAPPW.US,D,20230718,000000,0.04,0.04,0.0366,0.0385,46112,0
ZAPPW.US,D,20230719,000000,0.035,0.035,0.032,0.032,3324,0
ZAPPW.US,D,20230720,000000,0.0376,0.0376,0.029,0.0291,34081,0
ZAPPW.US,D,20230721,000000,0.05,0.05,0.03,0.035,29432,0
ZAPPW.US,D,20230724,000000,0.0398,0.0398,0.035,0.035,11303,0
ZAPPW.US,D,20230725,000000,0.0454,0.0454,0.035,0.0365,1195,0
ZAPPW.US,D,20230726,000000,0.0375,0.0375,0.0375,0.0375,173,0
ZAPPW.US,D,20230727,000000,0.0377,0.04,0.0355,0.04,153397,0
ZAPPW.US,D,20230728,000000,0.0378,0.0498,0.0375,0.0385,98198,0
ZAPPW.US,D,20230731,000000,0.042,0.0425,0.039,0.0401,10550,0
ZAPPW.US,D,20230801,000000,0.0401,0.0498,0.0373,0.0379,60501,0
