<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPD.US,D,20220810,000000,24.572,24.7019,24.3355,24.3355,20293.019355909,0
AAPD.US,D,20220811,000000,24.2624,24.4543,24.1626,24.4543,15298.353664413,0
AAPD.US,D,20220812,000000,24.2624,24.3224,23.933,23.933,30466.559696054,0
AAPD.US,D,20220815,000000,23.9827,23.9827,23.753,23.7786,36548.458689007,0
AAPD.US,D,20220816,000000,23.8529,23.9629,23.7031,23.813,44584.574444798,0
AAPD.US,D,20220817,000000,23.8829,23.8829,23.3735,23.5864,85799.326336463,0
AAPD.US,D,20220818,000000,23.7231,23.7531,23.5383,23.6531,75514.659940644,0
AAPD.US,D,20220819,000000,23.8429,24.0127,23.7101,24.0127,115734.28300943,0
AAPD.US,D,20220822,000000,24.2924,24.5821,24.2464,24.5721,76353.611604199,0
AAPD.US,D,20220823,000000,24.5921,24.7419,24.3823,24.622,108895.52547513,0
AAPD.US,D,20220824,000000,24.5721,24.7278,24.4722,24.5621,42997.774460628,0
AAPD.US,D,20220825,000000,24.2844,24.3763,24.1883,24.1883,28699.555297279,0
AAPD.US,D,20220826,000000,24.0727,25.0737,24.0727,25.0721,56757.382651433,0
AAPD.US,D,20220829,000000,25.521,25.6499,25.2114,25.4325,55828.328780575,0
AAPD.US,D,20220830,000000,25.3712,25.9815,25.3013,25.8098,61920.239129895,0
AAPD.US,D,20220831,000000,25.7408,26.0904,25.5719,26.0676,28177.963630558,0
AAPD.US,D,20220901,000000,26.2502,26.4699,25.9406,25.9796,78582.139531493,0
AAPD.US,D,20220902,000000,25.7308,26.4799,25.6109,26.3816,31859.139366704,0
AAPD.US,D,20220906,000000,26.2602,26.6587,26.2602,26.6057,51532.455763496,0
AAPD.US,D,20220907,000000,26.5598,26.6208,26.2212,26.3392,27434.11985249,0
AAPD.US,D,20220908,000000,26.5299,26.8744,26.2712,26.6228,53633.839464929,0
AAPD.US,D,20220909,000000,26.3701,26.5199,26.0404,26.0638,37798.877099245,0
