<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACGN.US,D,20050225,000000,685.44,696.32,663.68,674.56,225.764704302,0
ACGN.US,D,20050228,000000,685.44,707.2,576.64,631.04,295.235292051,0
ACGN.US,D,20050301,000000,641.92,652.8,598.4,620.16,109.647058056,0
ACGN.US,D,20050302,000000,631.04,652.8,587.52,609.28,80.764705317,0
ACGN.US,D,20050303,000000,641.92,652.8,587.52,641.92,218.470586706,0
ACGN.US,D,20050304,000000,641.92,641.92,598.4,620.16,82.529411187,0
ACGN.US,D,20050307,000000,631.04,631.04,598.4,620.16,80.764705317,0
ACGN.US,D,20050308,000000,620.16,641.92,598.4,620.16,11.588235213,0
ACGN.US,D,20050309,000000,598.4,631.04,576.64,620.16,24.470588064,0
ACGN.US,D,20050310,000000,631.04,641.92,598.4,609.28,72.35294067,0
ACGN.US,D,20050311,000000,631.04,674.56,609.28,641.92,210.823527936,0
ACGN.US,D,20050314,000000,641.92,652.8,598.4,631.04,93.999999342,0
ACGN.US,D,20050315,000000,620.16,631.04,598.4,620.16,101.823528699,0
ACGN.US,D,20050316,000000,631.04,631.04,598.4,620.16,136.058822577,0
ACGN.US,D,20050317,000000,620.16,641.92,598.4,641.92,64.235293668,0
ACGN.US,D,20050318,000000,631.04,641.92,609.28,631.04,118.647057993,0
ACGN.US,D,20050321,000000,641.92,663.68,620.16,641.92,100.117646358,0
ACGN.US,D,20050322,000000,641.92,674.56,641.92,663.68,171.352939977,0
ACGN.US,D,20050323,000000,652.8,707.2,641.92,707.2,177.823528167,0
ACGN.US,D,20050324,000000,707.2,739.84,685.44,707.2,168.588234114,0
ACGN.US,D,20050328,000000,707.2,707.2,663.68,663.68,165.470587077,0
ACGN.US,D,20050329,000000,674.56,685.44,652.8,663.68,97.352940495,0
ACGN.US,D,20050330,000000,663.68,674.56,652.8,663.68,59.823528993,0
ACGN.US,D,20050331,000000,641.92,663.68,609.28,641.92,79.058822976,0
ACGN.US,D,20050401,000000,631.04,663.68,631.04,652.8,58.470587826,0
ACGN.US,D,20050404,000000,652.8,685.44,652.8,685.44,128.470587336,0
ACGN.US,D,20050405,000000,685.44,707.2,652.8,685.44,59.588234877,0
ACGN.US,D,20050406,000000,685.44,696.32,674.56,696.32,88.882352319,0
ACGN.US,D,20050407,000000,707.2,707.2,663.68,674.56,48.999999657,0
ACGN.US,D,20050408,000000,707.2,739.84,696.32,696.32,166.647057657,0
ACGN.US,D,20050411,000000,707.2,707.2,663.68,685.44,39.529411488,0
ACGN.US,D,20050412,000000,674.56,707.2,674.56,696.32,142.117646064,0
ACGN.US,D,20050413,000000,696.32,728.96,696.32,707.2,100.294116945,0
ACGN.US,D,20050414,000000,707.2,728.96,685.44,707.2,93.176469936,0
ACGN.US,D,20050415,000000,728.96,728.96,685.44,696.32,51.941176107,0
ACGN.US,D,20050418,000000,707.2,718.08,663.68,674.56,161.235292989,0
ACGN.US,D,20050419,000000,674.56,685.44,652.8,663.68,107.235293367,0
ACGN.US,D,20050420,000000,674.56,696.32,631.04,663.68,165.88235178,0
