<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALBT.US,D,20181105,000000,27.274,27.274,26.1,26.1,77,0
ALBT.US,D,20181106,000000,27,27.5,27,27.5,323.3,0
ALBT.US,D,20181107,000000,28.19,28.452,27.838,28.452,376.6,0
ALBT.US,D,20181108,000000,26.291,27.9,25.05,27.9,194,0
ALBT.US,D,20181109,000000,24.3,27.8,24.3,27.8,190,0
ALBT.US,D,20181112,000000,27.874,27.999,27.874,27.9,420,0
ALBT.US,D,20181113,000000,27.674,27.674,27.674,27.674,167.5,0
ALBT.US,D,20181114,000000,27.8,27.8,27.8,27.8,59,0
ALBT.US,D,20181116,000000,27.9,27.9,27.9,27.9,46,0
ALBT.US,D,20181119,000000,27.9,28,26.55,28,292.4,0
ALBT.US,D,20181120,000000,28,28,28,28,14.5,0
ALBT.US,D,20181121,000000,24,29,24,29,323.1,0
ALBT.US,D,20181123,000000,29,29,25.534,25.534,44.3,0
ALBT.US,D,20181126,000000,22.5,22.5,20.501,21,902.3,0
ALBT.US,D,20181127,000000,21.914,22,21,21,388.9,0
ALBT.US,D,20181128,000000,22.5,25.5,22.5,24.001,343.4,0
ALBT.US,D,20181129,000000,25.125,25.125,25.125,25.125,152,0
ALBT.US,D,20181130,000000,25.125,27.3,25.125,27.3,457.7,0
ALBT.US,D,20181203,000000,26.655,26.8,26.655,26.8,100,0
ALBT.US,D,20181204,000000,26.5,26.5,25.084,25.084,189,0
ALBT.US,D,20181206,000000,25,25,24.99,24.99,188,0
ALBT.US,D,20181207,000000,26,26,26,26,46,0
ALBT.US,D,20181210,000000,25.001,27.5,25.001,27.5,461.4,0
ALBT.US,D,20181211,000000,27.9,28.27,27.9,28.27,721,0
ALBT.US,D,20181212,000000,28.5,28.5,27.555,28.28,307,0
ALBT.US,D,20181213,000000,28.364,28.364,28.272,28.272,90,0
ALBT.US,D,20181214,000000,28.5,28.5,28.5,28.5,40,0
ALBT.US,D,20181217,000000,28.4,29.5,28.4,28.703,205.6,0
ALBT.US,D,20181218,000000,29.4,30,28.14,30,647,0
ALBT.US,D,20181219,000000,31.45,31.5,24.1,29.952,631,0
ALBT.US,D,20181220,000000,27.01,28.7,21.3,28.7,1395.2,0
ALBT.US,D,20181221,000000,28,28,28,28,41,0
ALBT.US,D,20181226,000000,26,27,26,27,80,0
ALBT.US,D,20181227,000000,26.531,27.076,20.2,26.1,876.2,0
ALBT.US,D,20181231,000000,27.5,27.5,27.5,27.5,33.3,0
ALBT.US,D,20190102,000000,21.3,27.97,21.3,26,182.3,0
ALBT.US,D,20190103,000000,28.4,28.5,24.55,28.372,324.6,0
ALBT.US,D,20190104,000000,26.5,30,26.5,29.8,873.1,0
ALBT.US,D,20190107,000000,30,31.8,29.2,31.5,1415,0
ALBT.US,D,20190108,000000,32,32.5,26.4,32.5,307.3,0
ALBT.US,D,20190109,000000,31.7,31.7,30,30.65,206,0
ALBT.US,D,20190110,000000,31.5,33,31.5,32.5,44.9,0
ALBT.US,D,20190111,000000,29.8,34,28.5,33.8,372.3,0
ALBT.US,D,20190114,000000,34.8,34.8,33.8,34.8,1062.7,0
ALBT.US,D,20190115,000000,35.4,38.7,31.3,38.7,1150.6,0
ALBT.US,D,20190116,000000,38.7,39,30.4,39,1241.3,0
ALBT.US,D,20190117,000000,38.9,41.5,38.9,41.5,727.8,0
ALBT.US,D,20190118,000000,43,59.7,41.8,56,9233.3,0
ALBT.US,D,20190122,000000,59.5,135,56.1,125.5,158521.2,0
ALBT.US,D,20190123,000000,100.2,127.9,43.6,46,379648.4,0
ALBT.US,D,20190124,000000,49,51.6,37.798,40,97944.9,0
ALBT.US,D,20190125,000000,40,61.4,38,42.3,244707.8,0
ALBT.US,D,20190128,000000,69.8,92.5,57.5,69.3,2003374.7,0
ALBT.US,D,20190129,000000,73,80.995,58.6,61.7,289550.5,0
ALBT.US,D,20190130,000000,58.1,60,50.8,56.7,99430.5,0
ALBT.US,D,20190131,000000,56.1,58,51.6,54.3,39638.8,0
ALBT.US,D,20190201,000000,52.7,58.5,52.4,54.2,51343.5,0
ALBT.US,D,20190204,000000,55.3,55.3,50.5,52.3,21409,0
ALBT.US,D,20190205,000000,51,56.7,50.5,53.1,27966.6,0
ALBT.US,D,20190206,000000,51.6,56,51.5,53,21542.3,0
ALBT.US,D,20190207,000000,52.8,54.647,47.657,51.7,26171.9,0
ALBT.US,D,20190208,000000,51.5,51.7,47.3,47.4,15805.1,0
ALBT.US,D,20190211,000000,59.3,60.2,44.06,45.3,535446.4,0
ALBT.US,D,20190212,000000,44.5,45.6,40.9,45.2,52614.5,0
ALBT.US,D,20190213,000000,44,45,42.1,43,18722.4,0
ALBT.US,D,20190214,000000,42.4,43,40.5,41.85,14367.7,0
ALBT.US,D,20190215,000000,42,42.923,40.5,42.3,13288.4,0
ALBT.US,D,20190219,000000,41.5,41.7,39.5,39.6,17152.3,0
ALBT.US,D,20190220,000000,40.3,40.4,39.4,39.9,12823.6,0
ALBT.US,D,20190221,000000,39.6,40.085,39,39.5,7963.6,0
ALBT.US,D,20190222,000000,38.8,39.116,36.2,36.8,17487.6,0
ALBT.US,D,20190225,000000,36.3,36.7,34.1,34.3,15990,0
ALBT.US,D,20190226,000000,34.3,36.8,34.3,36.3,12913.1,0
ALBT.US,D,20190227,000000,35.4,36.237,34.5,34.5,6152.9,0
