<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARIZR.US,D,20211210,000000,0.181,0.183,0.16,0.175,272060,0
ARIZR.US,D,20211213,000000,0.16,0.16,0.13,0.13,334145,0
ARIZR.US,D,20211214,000000,0.14,0.149,0.14,0.14,307008,0
ARIZR.US,D,20211215,000000,0.15,0.15,0.15,0.15,7500,0
ARIZR.US,D,20211216,000000,0.15,0.158399,0.15,0.1568,208318,0
ARIZR.US,D,20211217,000000,0.1311,0.15,0.13,0.15,30426,0
ARIZR.US,D,20211220,000000,0.15,0.1589,0.15,0.15,20101,0
ARIZR.US,D,20211223,000000,0.15,0.15,0.15,0.15,5782,0
ARIZR.US,D,20211228,000000,0.15,0.15,0.15,0.15,6500,0
ARIZR.US,D,20211229,000000,0.15,0.15,0.15,0.15,704,0
ARIZR.US,D,20211230,000000,0.17,0.17,0.17,0.17,210512,0
ARIZR.US,D,20211231,000000,0.1796,0.1796,0.1796,0.1796,500,0
ARIZR.US,D,20220105,000000,0.1203,0.17,0.1203,0.1402,429800,0
ARIZR.US,D,20220106,000000,0.1402,0.1402,0.14,0.14,23055,0
ARIZR.US,D,20220110,000000,0.15,0.1557,0.15,0.15,15553,0
ARIZR.US,D,20220111,000000,0.16,0.1784,0.16,0.1784,1013401,0
ARIZR.US,D,20220113,000000,0.15,0.15,0.15,0.15,2600,0
ARIZR.US,D,20220114,000000,0.15,0.15,0.1311,0.1311,12469,0
ARIZR.US,D,20220121,000000,0.1789,0.1789,0.1789,0.1789,300,0
ARIZR.US,D,20220124,000000,0.1679,0.1679,0.12,0.165,12122,0
ARIZR.US,D,20220125,000000,0.15,0.209,0.15,0.16,437571,0
ARIZR.US,D,20220126,000000,0.1865,0.19,0.1865,0.19,10005,0
ARIZR.US,D,20220127,000000,0.159,0.160101,0.159,0.160101,800,0
ARIZR.US,D,20220128,000000,0.18505,0.187551,0.1601,0.1601,30640,0
ARIZR.US,D,20220131,000000,0.161,0.1822,0.1602,0.1671,16125,0
ARIZR.US,D,20220201,000000,0.16,0.1601,0.16,0.16,1450,0
ARIZR.US,D,20220203,000000,0.15,0.15,0.1205,0.1205,549,0
ARIZR.US,D,20220204,000000,0.1211,0.1226,0.1211,0.1226,922,0
ARIZR.US,D,20220208,000000,0.16,0.16,0.1229,0.1229,4162,0
ARIZR.US,D,20220211,000000,0.14,0.209899,0.14,0.209899,7644,0
ARIZR.US,D,20220214,000000,0.1995,0.1995,0.1337,0.18,3199,0
ARIZR.US,D,20220215,000000,0.16,0.16,0.135899,0.137499,2006,0
ARIZR.US,D,20220216,000000,0.1276,0.1283,0.1276,0.1283,1309,0
ARIZR.US,D,20220218,000000,0.127,0.1271,0.125,0.1271,10700,0
ARIZR.US,D,20220222,000000,0.1256,0.1256,0.0966,0.1,6620,0
ARIZR.US,D,20220223,000000,0.1202,0.12342,0.1202,0.121976,30700,0
ARIZR.US,D,20220225,000000,0.13,0.14,0.13,0.14,157619,0
ARIZR.US,D,20220301,000000,0.15,0.1521,0.15,0.152,5297,0
ARIZR.US,D,20220303,000000,0.15,0.15,0.15,0.15,10000,0
ARIZR.US,D,20220304,000000,0.15,0.15,0.15,0.15,50000,0
ARIZR.US,D,20220308,000000,0.16,0.16,0.16,0.16,10200,0
ARIZR.US,D,20220309,000000,0.16,0.16,0.16,0.16,30172,0
ARIZR.US,D,20220314,000000,0.16,0.16,0.16,0.16,500,0
ARIZR.US,D,20220328,000000,0.17,0.17,0.17,0.17,10587,0
ARIZR.US,D,20220329,000000,0.17,0.17,0.1288,0.1322,51790,0
ARIZR.US,D,20220401,000000,0.16,0.1601,0.14,0.14,12050,0
ARIZR.US,D,20220405,000000,0.15,0.15,0.1252,0.1289,1440,0
ARIZR.US,D,20220408,000000,0.1384,0.1384,0.1151,0.1231,13545,0
ARIZR.US,D,20220422,000000,0.14,0.14,0.1004,0.1004,1700,0
ARIZR.US,D,20220425,000000,0.1001,0.1001,0.096,0.096,5784,0
