<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASPA.US,D,20230516,000000,10.56,10.69,10.56,10.69,611,0
ASPA.US,D,20230621,000000,10.69,10.69,10.69,10.69,604,0
ASPA.US,D,20230714,000000,10.7,10.7,10.7,10.7,100,0
ASPA.US,D,20230725,000000,10.79,10.8,10.79,10.8,500,0
ASPA.US,D,20230726,000000,10.9399,11,10.9365,11,4545,0
ASPA.US,D,20230727,000000,11,11.1,10.9992,11.1,34601,0
ASPA.US,D,20230728,000000,11,11,11,11,100,0
ASPA.US,D,20230731,000000,11.1,11.13,11.1,11.13,5204,0
ASPA.US,D,20230801,000000,11.15,11.3,11.0968,11.1,9820,0
ASPA.US,D,20230802,000000,11.18,11.18,11.0395,11.04,56511,0
ASPA.US,D,20230803,000000,11.05,11.08,11.05,11.07,2587,0
ASPA.US,D,20230804,000000,11.02,11.298,11.02,11.15,3566,0
