<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXLA.US,D,20190509,000000,15.12,15.99,13.51,13.8,1636313,0
AXLA.US,D,20190510,000000,13.77,14,12.75,13.92,214194,0
AXLA.US,D,20190513,000000,13.84,14.1,12.6,13.95,158267,0
AXLA.US,D,20190514,000000,13.98,14.198,13.11,14.09,164677,0
AXLA.US,D,20190515,000000,14.08,14.3,13.34,13.75,84809,0
AXLA.US,D,20190516,000000,13.76,14,13.23,13.87,104558,0
AXLA.US,D,20190517,000000,13.76,14.0558,13.2,13.8,84891,0
AXLA.US,D,20190520,000000,13.74,14.1,13.6,14.06,74366,0
AXLA.US,D,20190521,000000,14.04,14.49,13.85,14.4,103682,0
AXLA.US,D,20190522,000000,14.21,14.5,14.01,14.28,27749,0
AXLA.US,D,20190523,000000,14.3,14.3,13.57,14,30833,0
AXLA.US,D,20190524,000000,13.94,14.45,13.66,14.18,37129,0
AXLA.US,D,20190528,000000,14.15,14.5,13.78,14.2,94857,0
AXLA.US,D,20190529,000000,14,14.245,13.35,13.71,48853,0
AXLA.US,D,20190530,000000,14,14.2,13.65,14.2,16343,0
AXLA.US,D,20190531,000000,14.2,14.4285,13.52,14.27,48938,0
AXLA.US,D,20190603,000000,13.96,15.2529,13.67,14.77,79983,0
AXLA.US,D,20190604,000000,14.91,15.04,14.3387,14.95,62021,0
AXLA.US,D,20190605,000000,14.97,15.05,14.35,14.92,56294,0
AXLA.US,D,20190606,000000,14.64,14.84,14,14.4,26588,0
AXLA.US,D,20190607,000000,14.67,14.78,13.94,14.17,131924,0
AXLA.US,D,20190610,000000,14.1,14.27,12,13.18,94548,0
AXLA.US,D,20190611,000000,13.04,13.2,12.7101,12.87,13314,0
AXLA.US,D,20190612,000000,12.24,13.32,12.24,12.62,61812,0
AXLA.US,D,20190613,000000,12.69,13.18,12.69,12.82,14939,0
AXLA.US,D,20190614,000000,12.47,12.585,10.91,10.96,22132,0
AXLA.US,D,20190617,000000,10.98,11,9.78,9.95,54563,0
AXLA.US,D,20190618,000000,10.32,10.7357,9.59,9.82,42852,0
AXLA.US,D,20190619,000000,9.78,10.57,9.7696,10.1,51944,0
AXLA.US,D,20190620,000000,10.11,10.5,9.8,10.08,44051,0
AXLA.US,D,20190621,000000,9.975,10.5,9.76,9.95,140514,0
AXLA.US,D,20190624,000000,9.955,10.56,9.93,9.93,85642,0
AXLA.US,D,20190625,000000,9.81,10.15,9.03,9.2,50583,0
AXLA.US,D,20190626,000000,9.43,9.62,8.12,8.51,38888,0
AXLA.US,D,20190627,000000,9.35,9.5,8.91,9.12,36335,0
AXLA.US,D,20190628,000000,9.57,11.2,9.25,9.31,236874,0
AXLA.US,D,20190701,000000,9.07,9.5,8.51,8.7,120035,0
AXLA.US,D,20190702,000000,8.63,8.9207,8.3099,8.75,43315,0
AXLA.US,D,20190703,000000,8.81,9.2,8.81,9.04,9756,0
AXLA.US,D,20190705,000000,8.94,9.6,8.94,9.26,7707,0
AXLA.US,D,20190708,000000,9.845,9.865,8.75,8.79,6317,0
AXLA.US,D,20190709,000000,8.92,8.92,8,8.15,68979,0
AXLA.US,D,20190710,000000,8.15,8.62,8.05,8.31,10938,0
AXLA.US,D,20190711,000000,8.31,9.626,8.04,8.21,72419,0
AXLA.US,D,20190712,000000,8.23,8.48,7.705,7.89,49815,0
AXLA.US,D,20190715,000000,7.91,8.1,7.78,7.9,6308,0
AXLA.US,D,20190716,000000,7.89,7.95,7.75,7.88,9316,0
AXLA.US,D,20190717,000000,7.89,8.045,7.3,7.77,24535,0
AXLA.US,D,20190718,000000,8.11,8.16,7.515,8.11,5161,0
AXLA.US,D,20190719,000000,8.12,8.3795,7.585,7.71,25123,0
AXLA.US,D,20190722,000000,7.5375,7.599,7.12,7.36,9881,0
AXLA.US,D,20190723,000000,7.38,7.66,7.38,7.52,6827,0
