<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLNG.US,D,20210921,000000,9.66,9.67,9.65,9.67,50030,0
BLNG.US,D,20210922,000000,9.67,9.68,9.67,9.68,3927,0
BLNG.US,D,20210923,000000,9.68,9.7,9.68,9.68,26552,0
BLNG.US,D,20210924,000000,9.69,9.69,9.69,9.69,7498,0
BLNG.US,D,20210927,000000,9.69,9.7,9.68,9.68,926196,0
BLNG.US,D,20210928,000000,9.68,9.6801,9.68,9.68,11253,0
BLNG.US,D,20210929,000000,9.68,9.7,9.68,9.6901,11510,0
BLNG.US,D,20210930,000000,9.69,9.7,9.69,9.69,13451,0
BLNG.US,D,20211001,000000,9.69,9.7,9.69,9.7,312767,0
BLNG.US,D,20211004,000000,9.77,9.77,9.69,9.77,1243,0
BLNG.US,D,20211007,000000,9.84,10.43,9.7,9.72,126690,0
BLNG.US,D,20211008,000000,9.72,9.73,9.72,9.72,16870,0
BLNG.US,D,20211011,000000,9.77,9.77,9.72,9.72,3385,0
BLNG.US,D,20211012,000000,9.71,9.73,9.71,9.71,111430,0
BLNG.US,D,20211013,000000,9.72,9.72,9.71,9.71,74302,0
BLNG.US,D,20211014,000000,9.74,9.74,9.7,9.71,92282,0
BLNG.US,D,20211015,000000,9.7,9.7,9.7,9.7,1635,0
BLNG.US,D,20211018,000000,9.69,9.73,9.69,9.71,300138,0
BLNG.US,D,20211019,000000,9.7,9.7,9.7,9.7,385,0
BLNG.US,D,20211021,000000,9.69,9.7,9.69,9.7,1831,0
BLNG.US,D,20211025,000000,9.7,9.74,9.7,9.72,171003,0
BLNG.US,D,20211026,000000,9.7,9.72,9.7,9.72,56117,0
BLNG.US,D,20211027,000000,9.7,9.72,9.7,9.7,24108,0
BLNG.US,D,20211028,000000,9.7,9.76,9.7,9.76,45710,0
BLNG.US,D,20211029,000000,9.7,9.72,9.7,9.72,168011,0
BLNG.US,D,20211101,000000,9.72,9.75,9.7,9.75,51349,0
BLNG.US,D,20211102,000000,9.73,9.75,9.73,9.73,33036,0
BLNG.US,D,20211103,000000,9.76,9.77,9.73,9.77,38220,0
BLNG.US,D,20211109,000000,9.73,9.73,9.73,9.73,651,0
BLNG.US,D,20211110,000000,9.7,9.7,9.7,9.7,226,0
BLNG.US,D,20211111,000000,9.72,9.76,9.72,9.76,509,0
BLNG.US,D,20211112,000000,9.79,9.79,9.725,9.75,13360,0
BLNG.US,D,20211115,000000,9.72,9.76,9.72,9.76,24924,0
BLNG.US,D,20211116,000000,9.7299,9.76,9.725,9.74,45036,0
BLNG.US,D,20211117,000000,9.74,9.74,9.72,9.73,14200,0
BLNG.US,D,20211118,000000,9.72,9.845,9.71,9.845,28538,0
BLNG.US,D,20211119,000000,9.84,9.84,9.72,9.75,2514,0
BLNG.US,D,20211122,000000,9.73,9.75,9.73,9.73,227489,0
BLNG.US,D,20211123,000000,9.75,9.76,9.73,9.76,12117,0
BLNG.US,D,20211124,000000,9.72,9.77,9.71,9.77,23200,0
BLNG.US,D,20211129,000000,9.732,9.75,9.732,9.75,1003,0
BLNG.US,D,20211130,000000,9.75,9.75,9.71,9.75,954,0
BLNG.US,D,20211201,000000,9.73,9.73,9.7299,9.73,56901,0
BLNG.US,D,20211202,000000,9.74,9.74,9.73,9.73,534,0
BLNG.US,D,20211207,000000,9.72,9.725,9.72,9.72,2485,0
BLNG.US,D,20211208,000000,9.8,9.8,9.7,9.73,19720,0
BLNG.US,D,20211209,000000,9.73,9.735,9.73,9.73,4287,0
BLNG.US,D,20211214,000000,9.7,9.72,9.7,9.72,3472,0
BLNG.US,D,20211215,000000,9.705,9.71,9.7,9.71,1365,0
BLNG.US,D,20211217,000000,9.71,9.72,9.71,9.71,3044,0
BLNG.US,D,20211220,000000,9.71,9.73,9.7,9.73,22336,0
BLNG.US,D,20211222,000000,9.7,9.73,9.7,9.7,7264,0
BLNG.US,D,20211227,000000,9.7,9.72,9.7,9.71,22039,0
BLNG.US,D,20211228,000000,9.71,9.71,9.71,9.71,411,0
BLNG.US,D,20211229,000000,9.7,9.73,9.6984,9.7,355040,0
BLNG.US,D,20211231,000000,9.72,9.72,9.72,9.72,1905,0
BLNG.US,D,20220103,000000,9.71,9.71,9.71,9.71,101,0
BLNG.US,D,20220105,000000,9.72,9.74,9.72,9.74,70068,0
BLNG.US,D,20220106,000000,9.73,9.74,9.73,9.74,1158,0
BLNG.US,D,20220107,000000,9.73,9.74,9.73,9.74,1455,0
BLNG.US,D,20220110,000000,9.73,9.73,9.73,9.73,200,0
BLNG.US,D,20220112,000000,9.71,9.74,9.71,9.74,3552,0
BLNG.US,D,20220113,000000,9.73,9.73,9.73,9.73,199983,0
BLNG.US,D,20220119,000000,9.69,9.69,9.69,9.69,123,0
BLNG.US,D,20220121,000000,9.73,9.73,9.72,9.72,4190,0
BLNG.US,D,20220124,000000,9.71,9.71,9.71,9.71,1705,0
BLNG.US,D,20220125,000000,9.71,9.71,9.69,9.7,4936,0
BLNG.US,D,20220127,000000,9.71,9.71,9.71,9.71,327,0
BLNG.US,D,20220201,000000,9.765,9.765,9.765,9.765,2795,0
BLNG.US,D,20220202,000000,9.75,9.75,9.75,9.75,11930,0
BLNG.US,D,20220203,000000,9.76,9.76,9.75,9.75,12686,0
BLNG.US,D,20220208,000000,9.71,9.74,9.71,9.72,14593,0
BLNG.US,D,20220215,000000,9.74,9.74,9.74,9.74,217,0
BLNG.US,D,20220216,000000,9.76,9.765,9.76,9.76,30566,0
BLNG.US,D,20220223,000000,9.83,9.83,9.75,9.75,1242,0
BLNG.US,D,20220224,000000,9.73,9.73,9.73,9.73,3226,0
BLNG.US,D,20220302,000000,9.74,9.74,9.73,9.73,65083,0
BLNG.US,D,20220303,000000,9.75,9.75,9.75,9.75,1896,0
BLNG.US,D,20220308,000000,9.76,9.76,9.75,9.76,5451,0
BLNG.US,D,20220310,000000,9.75,9.75,9.75,9.75,900,0
BLNG.US,D,20220314,000000,9.76,9.76,9.76,9.76,314,0
BLNG.US,D,20220315,000000,9.81,9.81,9.75,9.75,11495,0
BLNG.US,D,20220316,000000,9.76,9.76,9.76,9.76,293,0
BLNG.US,D,20220317,000000,9.76,9.76,9.76,9.76,2053,0
BLNG.US,D,20220318,000000,9.76,9.76,9.76,9.76,202,0
BLNG.US,D,20220321,000000,9.95,9.95,9.77,9.77,3512,0
BLNG.US,D,20220323,000000,9.95,9.95,9.7498,9.75,61525,0
BLNG.US,D,20220324,000000,9.76,9.76,9.76,9.76,1427,0
BLNG.US,D,20220325,000000,9.76,9.77,9.76,9.76,643,0
BLNG.US,D,20220328,000000,9.775,9.775,9.775,9.775,126,0
BLNG.US,D,20220329,000000,9.81,9.81,9.81,9.81,102,0
BLNG.US,D,20220331,000000,9.77,9.77,9.77,9.77,4336,0
BLNG.US,D,20220401,000000,9.82,9.82,9.77,9.78,15110,0
BLNG.US,D,20220406,000000,9.8,9.8,9.79,9.79,301,0
BLNG.US,D,20220408,000000,9.8,9.8,9.8,9.8,11458,0
BLNG.US,D,20220420,000000,9.8,9.8,9.8,9.8,150,0
BLNG.US,D,20220426,000000,9.8,9.82,9.8,9.82,10205,0
BLNG.US,D,20220427,000000,9.81,9.81,9.81,9.81,705,0
BLNG.US,D,20220428,000000,9.81,9.815,9.81,9.815,5237,0
BLNG.US,D,20220429,000000,9.815,9.8167,9.815,9.8167,1001,0
BLNG.US,D,20220503,000000,9.825,9.825,9.82,9.82,211,0
BLNG.US,D,20220504,000000,9.81,9.83,9.81,9.81,18945,0
BLNG.US,D,20220505,000000,9.81,9.825,9.81,9.825,9200,0
BLNG.US,D,20220510,000000,9.8,9.81,9.8,9.81,26300,0
BLNG.US,D,20220511,000000,9.8,9.81,9.8,9.805,1800,0
BLNG.US,D,20220520,000000,9.82,9.83,9.82,9.83,383,0
BLNG.US,D,20220602,000000,9.81,9.81,9.81,9.81,123089,0
BLNG.US,D,20220607,000000,9.8,9.81,9.8,9.81,6118,0
BLNG.US,D,20220609,000000,9.82,9.82,9.82,9.82,777,0
BLNG.US,D,20220616,000000,9.8,9.8,9.8,9.8,205,0
BLNG.US,D,20220621,000000,9.8,9.8,9.8,9.8,1055,0
BLNG.US,D,20220624,000000,9.81,9.81,9.81,9.81,1800,0
BLNG.US,D,20220707,000000,9.81,9.82,9.81,9.82,3158,0
BLNG.US,D,20220708,000000,9.82,9.82,9.82,9.82,3300,0
BLNG.US,D,20220711,000000,9.82,9.82,9.82,9.82,105,0
BLNG.US,D,20220713,000000,9.82,9.82,9.82,9.82,20307,0
BLNG.US,D,20220714,000000,9.82,9.82,9.82,9.82,100,0
BLNG.US,D,20220718,000000,9.83,9.83,9.83,9.83,1307,0
BLNG.US,D,20220722,000000,9.83,9.84,9.83,9.8386,2301,0
BLNG.US,D,20220726,000000,9.85,9.85,9.85,9.85,100,0
BLNG.US,D,20220803,000000,9.86,9.86,9.86,9.86,1330,0
BLNG.US,D,20220804,000000,9.86,9.86,9.86,9.86,110,0
BLNG.US,D,20220805,000000,9.86,9.86,9.86,9.86,402,0
BLNG.US,D,20220809,000000,9.86,9.86,9.85,9.86,30359,0
BLNG.US,D,20220816,000000,9.87,9.87,9.87,9.87,6800,0
BLNG.US,D,20220818,000000,9.87,9.87,9.84,9.84,17500,0
BLNG.US,D,20220819,000000,9.855,9.86,9.855,9.86,4235,0
BLNG.US,D,20220822,000000,9.87,9.88,9.87,9.88,1902,0
BLNG.US,D,20220824,000000,9.88,9.88,9.88,9.88,6401,0
BLNG.US,D,20220826,000000,9.86,9.86,9.86,9.86,200,0
BLNG.US,D,20220907,000000,9.84,9.84,9.84,9.84,29830,0
BLNG.US,D,20220912,000000,9.84,9.85,9.84,9.84,6000,0
BLNG.US,D,20220913,000000,9.86,9.86,9.86,9.86,1702,0
BLNG.US,D,20220914,000000,9.86,9.86,9.86,9.86,202,0
BLNG.US,D,20220915,000000,9.86,9.86,9.85,9.85,4735,0
BLNG.US,D,20220919,000000,9.85,9.86,9.85,9.86,502,0
BLNG.US,D,20220926,000000,9.86,9.86,9.85,9.86,26865,0
BLNG.US,D,20220927,000000,9.86,9.86,9.86,9.86,1000,0
BLNG.US,D,20220928,000000,9.88,9.88,9.88,9.88,6493,0
BLNG.US,D,20220930,000000,9.86,9.86,9.8598,9.86,32600,0
BLNG.US,D,20221003,000000,9.87,9.87,9.87,9.87,15622,0
BLNG.US,D,20221004,000000,9.875,9.89,9.875,9.89,44004,0
BLNG.US,D,20221006,000000,9.885,9.9,9.885,9.89,16342,0
BLNG.US,D,20221011,000000,9.895,9.9,9.89,9.9,5182,0
BLNG.US,D,20221012,000000,9.9,9.9,9.9,9.9,68076,0
BLNG.US,D,20221013,000000,9.91,9.91,9.91,9.91,104,0
BLNG.US,D,20221017,000000,9.92,9.93,9.915,9.93,65950,0
BLNG.US,D,20221018,000000,9.91,9.91,9.91,9.91,1223,0
BLNG.US,D,20221021,000000,9.93,9.95,9.93,9.95,8517,0
BLNG.US,D,20221024,000000,9.95,9.95,9.95,9.95,224,0
BLNG.US,D,20221025,000000,9.95,9.96,9.95,9.95,50125,0
BLNG.US,D,20221026,000000,9.96,9.97,9.96,9.9616,73750,0
BLNG.US,D,20221027,000000,9.95,9.95,9.95,9.95,9452,0
BLNG.US,D,20221028,000000,9.94,9.94,9.94,9.94,1906,0
BLNG.US,D,20221031,000000,9.94,9.94,9.94,9.94,103,0
BLNG.US,D,20221101,000000,10,10.005,9.99,10,174105,0
BLNG.US,D,20221102,000000,10,10,10,10,102805,0
BLNG.US,D,20221103,000000,10,10,10,10,1000,0
BLNG.US,D,20221104,000000,9.995,10,9.995,10,300,0
BLNG.US,D,20221107,000000,10,10,9.99,9.99,125200,0
BLNG.US,D,20221109,000000,10.01,10.01,10.01,10.01,30208,0
BLNG.US,D,20221110,000000,10,10.02,10,10.02,62644,0
BLNG.US,D,20221111,000000,10.015,10.015,10.015,10.015,434,0
BLNG.US,D,20221114,000000,10.5,10.5,10.005,10.01,1879,0
BLNG.US,D,20221115,000000,10.5,10.5,9.99,9.99,7787,0
BLNG.US,D,20221116,000000,9.99,10,9.99,10,30429,0
BLNG.US,D,20221118,000000,9.99,9.99,9.99,9.99,100,0
BLNG.US,D,20221125,000000,9.995,10.005,9.995,10.005,6281,0
BLNG.US,D,20221128,000000,10.01,10.01,9.99,9.99,87324,0
BLNG.US,D,20221129,000000,9.99,10,9.99,10,1502,0
BLNG.US,D,20221130,000000,10.015,10.015,9.99,10,7302,0
BLNG.US,D,20221201,000000,9.99,10.0201,9.99,10.02,230234,0
BLNG.US,D,20221205,000000,10.5,10.5,10.05,10.06,1410,0
BLNG.US,D,20221212,000000,10.3999,10.3999,10.01,10.2316,5734,0
BLNG.US,D,20221214,000000,10.01,10.01,10,10,302,0
BLNG.US,D,20221215,000000,10.02,10.07,10,10,1051809,0
BLNG.US,D,20221220,000000,9.97,10.04,9.9,10.04,15761,0
