<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNGOW.US,D,20180924,000000,2,2.6428,1.52,2.0395,19432,0
BNGOW.US,D,20180925,000000,1.7186,1.85,1.55,1.6,20075,0
BNGOW.US,D,20180926,000000,1.55,1.99,1.55,1.6,19551,0
BNGOW.US,D,20180927,000000,1.56,2.34,1.56,2,22884,0
BNGOW.US,D,20180928,000000,2.06,2.3556,2.05,2.06,11160,0
BNGOW.US,D,20181002,000000,2.06,2.3117,1.9601,2.2,7299,0
BNGOW.US,D,20181003,000000,2.37,2.55,2.27,2.55,15143,0
BNGOW.US,D,20181004,000000,2.6,2.6,2.4,2.55,8418,0
BNGOW.US,D,20181005,000000,2.6,2.6,2.5,2.5125,10457,0
BNGOW.US,D,20181008,000000,2.6,2.8789,2.6,2.75,4929,0
BNGOW.US,D,20181009,000000,2.266,7.15,2.266,2.95,11091,0
BNGOW.US,D,20181010,000000,3.08,3.1,2.51,2.52,3940,0
BNGOW.US,D,20181011,000000,2.5,2.5,2.5,2.5,238,0
BNGOW.US,D,20181012,000000,2.52,2.66,2.5,2.5,5923,0
BNGOW.US,D,20181015,000000,2.51,2.65,2.5,2.5001,3323,0
BNGOW.US,D,20181017,000000,2.4001,2.7692,2.4001,2.5245,5050,0
BNGOW.US,D,20181019,000000,2.5,2.5375,2.5,2.5,863,0
BNGOW.US,D,20181022,000000,2.585,2.585,2.55,2.55,709,0
BNGOW.US,D,20181023,000000,2.28,2.63,2.28,2.6,601,0
BNGOW.US,D,20181024,000000,2.5,2.5,2.5,2.5,1044,0
BNGOW.US,D,20181025,000000,2.5,2.5428,2.45,2.5423,1578,0
BNGOW.US,D,20181030,000000,2.5,2.5,2.5,2.5,345,0
BNGOW.US,D,20181031,000000,2.47,2.47,2.45,2.45,1979,0
BNGOW.US,D,20181101,000000,2.5,2.5,2.5,2.5,2011,0
BNGOW.US,D,20181102,000000,2.5,2.6,2.28,2.5,9089,0
BNGOW.US,D,20181105,000000,2.51,2.51,2.45,2.4677,8075,0
BNGOW.US,D,20181106,000000,2.563,2.6963,2.4,2.4,7302,0
