<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCAI.US,D,20211025,000000,9.95,9.95,9.69,9.7636,1609,0
CCAI.US,D,20211026,000000,9.6901,9.6901,9.6901,9.6901,254,0
CCAI.US,D,20211027,000000,9.75,9.75,9.75,9.75,210,0
CCAI.US,D,20211028,000000,9.75,9.75,9.69,9.7,10349,0
CCAI.US,D,20211029,000000,9.71,9.71,9.69,9.7,30580,0
CCAI.US,D,20211101,000000,9.7,9.73,9.67,9.725,107245,0
CCAI.US,D,20211102,000000,9.69,9.77,9.69,9.73,1171041,0
CCAI.US,D,20211103,000000,9.73,9.73,9.73,9.73,921,0
CCAI.US,D,20211104,000000,9.73,9.75,9.73,9.74,260417,0
CCAI.US,D,20211105,000000,9.73,9.76,9.73,9.73,6994,0
CCAI.US,D,20211108,000000,9.72,9.73,9.72,9.73,5621,0
CCAI.US,D,20211110,000000,9.73,9.73,9.73,9.73,160,0
CCAI.US,D,20211111,000000,9.73,9.73,9.73,9.73,623,0
CCAI.US,D,20211115,000000,9.76,9.76,9.7495,9.75,9746,0
CCAI.US,D,20211117,000000,9.72,9.75,9.7106,9.75,1213,0
CCAI.US,D,20211118,000000,9.7164,9.75,9.71,9.75,1777,0
CCAI.US,D,20211122,000000,9.71,9.77,9.71,9.74,1264,0
CCAI.US,D,20211123,000000,9.73,9.74,9.73,9.74,174020,0
CCAI.US,D,20211126,000000,9.71,9.73,9.7,9.73,11341,0
CCAI.US,D,20211129,000000,9.78,9.78,9.71,9.74,7488,0
CCAI.US,D,20211130,000000,9.74,9.76,9.74,9.76,5228,0
CCAI.US,D,20211201,000000,9.72,9.76,9.71,9.73,3748,0
CCAI.US,D,20211206,000000,9.75,9.75,9.73,9.75,17800,0
CCAI.US,D,20211207,000000,9.74,9.74,9.74,9.74,304,0
CCAI.US,D,20211208,000000,9.75,9.75,9.75,9.75,692,0
CCAI.US,D,20211209,000000,9.75,9.8,9.75,9.8,1127,0
CCAI.US,D,20211210,000000,9.76,9.76,9.74,9.745,942,0
CCAI.US,D,20211213,000000,9.74,9.74,9.74,9.74,807,0
CCAI.US,D,20211214,000000,9.72,9.72,9.72,9.72,372143,0
CCAI.US,D,20211216,000000,9.74,9.74,9.73,9.73,19318,0
CCAI.US,D,20211217,000000,9.7,9.7,9.7,9.7,1985,0
CCAI.US,D,20211220,000000,9.74,9.74,9.7,9.74,2091,0
CCAI.US,D,20211221,000000,9.74,9.74,9.7,9.7,4207,0
CCAI.US,D,20211222,000000,9.74,9.74,9.74,9.74,2426,0
CCAI.US,D,20211227,000000,9.74,9.74,9.74,9.74,1705,0
CCAI.US,D,20211228,000000,9.74,9.74,9.74,9.74,1646,0
CCAI.US,D,20211229,000000,9.74,9.74,9.74,9.74,100,0
CCAI.US,D,20211230,000000,9.69,9.73,9.69,9.73,355,0
CCAI.US,D,20220103,000000,9.73,9.73,9.72,9.72,30731,0
CCAI.US,D,20220104,000000,9.74,9.74,9.73,9.74,2636,0
CCAI.US,D,20220105,000000,9.74,9.74,9.74,9.74,705,0
CCAI.US,D,20220107,000000,9.66,9.74,9.66,9.74,12565,0
CCAI.US,D,20220110,000000,9.72,9.72,9.71,9.71,5101,0
CCAI.US,D,20220111,000000,9.7,9.7,9.69,9.69,134939,0
CCAI.US,D,20220112,000000,9.72,9.72,9.72,9.72,117,0
CCAI.US,D,20220113,000000,9.72,9.72,9.71,9.71,16459,0
CCAI.US,D,20220114,000000,9.72,9.72,9.72,9.72,110,0
CCAI.US,D,20220119,000000,9.7,9.72,9.7,9.72,1412,0
CCAI.US,D,20220120,000000,9.72,9.72,9.72,9.72,2599,0
CCAI.US,D,20220124,000000,9.67,9.69,9.67,9.69,300,0
CCAI.US,D,20220125,000000,9.68,9.72,9.63,9.72,9643,0
CCAI.US,D,20220127,000000,9.68,9.68,9.68,9.68,250,0
CCAI.US,D,20220128,000000,9.71,9.71,9.71,9.71,100,0
CCAI.US,D,20220131,000000,9.71,9.71,9.71,9.71,318,0
CCAI.US,D,20220201,000000,9.71,9.71,9.71,9.71,100,0
CCAI.US,D,20220202,000000,9.71,9.73,9.71,9.73,13169,0
CCAI.US,D,20220203,000000,9.72,9.72,9.72,9.72,1600,0
CCAI.US,D,20220207,000000,9.72,9.72,9.72,9.72,1210,0
CCAI.US,D,20220208,000000,9.72,9.72,9.72,9.72,1026,0
CCAI.US,D,20220214,000000,9.71,9.72,9.71,9.72,468,0
CCAI.US,D,20220215,000000,9.72,9.72,9.72,9.72,115,0
CCAI.US,D,20220217,000000,9.68,9.73,9.68,9.705,6079,0
CCAI.US,D,20220218,000000,9.69,9.69,9.69,9.69,188,0
CCAI.US,D,20220224,000000,9.7,9.7,9.7,9.7,59608,0
CCAI.US,D,20220225,000000,9.71,9.71,9.71,9.71,394,0
CCAI.US,D,20220302,000000,9.72,9.72,9.72,9.72,121,0
CCAI.US,D,20220303,000000,9.72,9.737,9.72,9.73,7866,0
CCAI.US,D,20220304,000000,9.71,9.71,9.71,9.71,3764,0
CCAI.US,D,20220307,000000,9.725,9.725,9.725,9.725,1035,0
CCAI.US,D,20220309,000000,9.725,9.73,9.7225,9.73,2382,0
CCAI.US,D,20220310,000000,9.73,9.73,9.72,9.72,17639,0
CCAI.US,D,20220314,000000,9.72,9.73,9.72,9.73,7760,0
CCAI.US,D,20220315,000000,9.79,9.79,9.79,9.79,217,0
CCAI.US,D,20220316,000000,9.74,9.74,9.74,9.74,169,0
CCAI.US,D,20220318,000000,9.73,9.73,9.73,9.73,1191,0
CCAI.US,D,20220322,000000,9.7201,9.7201,9.7201,9.7201,200,0
CCAI.US,D,20220328,000000,9.75,9.76,9.75,9.76,10147,0
CCAI.US,D,20220331,000000,9.75,9.75,9.75,9.75,150000,0
CCAI.US,D,20220404,000000,9.79,9.79,9.79,9.79,242,0
CCAI.US,D,20220406,000000,9.75,9.75,9.75,9.75,300,0
CCAI.US,D,20220407,000000,9.76,9.76,9.76,9.76,10102,0
