<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLIN.US,D,20220425,000000,9.94,9.94,9.87,9.87,24103,0
CLIN.US,D,20220426,000000,9.87,9.87,9.87,9.87,286,0
CLIN.US,D,20220429,000000,9.855,9.855,9.855,9.855,655793,0
CLIN.US,D,20220502,000000,9.88,9.88,9.84,9.84,301,0
CLIN.US,D,20220504,000000,9.88,9.88,9.85,9.86,150201,0
CLIN.US,D,20220505,000000,9.88,9.88,9.88,9.88,332,0
CLIN.US,D,20220506,000000,9.83,9.84,9.83,9.83,312,0
CLIN.US,D,20220509,000000,9.83,9.83,9.83,9.83,232,0
CLIN.US,D,20220511,000000,9.82,9.82,9.81,9.81,5612,0
CLIN.US,D,20220512,000000,9.8,9.8,9.8,9.8,139317,0
CLIN.US,D,20220518,000000,9.8,9.83,9.8,9.83,157410,0
CLIN.US,D,20220531,000000,9.79,9.79,9.79,9.79,30008,0
CLIN.US,D,20220601,000000,9.79,9.79,9.79,9.79,16000,0
CLIN.US,D,20220603,000000,9.79,9.79,9.79,9.79,763,0
CLIN.US,D,20220607,000000,9.84,9.84,9.84,9.84,500,0
CLIN.US,D,20220609,000000,9.84,9.84,9.84,9.84,200011,0
CLIN.US,D,20220610,000000,9.84,9.84,9.84,9.84,3297,0
CLIN.US,D,20220613,000000,9.84,9.84,9.84,9.84,101313,0
CLIN.US,D,20220614,000000,9.84,9.84,9.84,9.84,99803,0
CLIN.US,D,20220615,000000,9.84,9.84,9.84,9.84,2620,0
CLIN.US,D,20220616,000000,9.84,9.84,9.8,9.8,7313,0
CLIN.US,D,20220617,000000,9.85,9.87,9.85,9.87,22919,0
CLIN.US,D,20220623,000000,9.94,9.94,9.84,9.88,4509,0
CLIN.US,D,20220627,000000,9.86,9.88,9.86,9.88,1104,0
CLIN.US,D,20220701,000000,9.8684,9.8684,9.8684,9.8684,101,0
CLIN.US,D,20220705,000000,9.82,9.82,9.82,9.82,150407,0
CLIN.US,D,20220706,000000,9.8001,9.8001,9.8001,9.8001,100,0
CLIN.US,D,20220713,000000,9.84,9.84,9.84,9.84,102,0
