<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLVRW.US,D,20201221,000000,2.11,2.25,1.67,2.15,523372,0
CLVRW.US,D,20201222,000000,2.11,2.22,1.85,2.15,407866,0
CLVRW.US,D,20201223,000000,2.1,2.38,2.01,2.21,625540,0
CLVRW.US,D,20201224,000000,2.26,2.3884,2.09,2.19,243244,0
CLVRW.US,D,20201228,000000,2.15,2.28,2.02,2.08,226232,0
CLVRW.US,D,20201229,000000,2,2.1,1.74,1.99,291937,0
CLVRW.US,D,20201230,000000,1.99,2.09,1.915,1.915,293560,0
CLVRW.US,D,20201231,000000,2.15,2.15,1.4799,1.54,1016515,0
CLVRW.US,D,20210104,000000,1.7,1.7,1.419,1.52,306621,0
CLVRW.US,D,20210105,000000,1.7,1.7,1.45,1.6,257650,0
CLVRW.US,D,20210106,000000,1.8,2.1698,1.8,2,884060,0
CLVRW.US,D,20210107,000000,2.19,2.2,1.95,2,506072,0
CLVRW.US,D,20210108,000000,2.0467,2.0467,1.78,1.805,288478,0
CLVRW.US,D,20210111,000000,1.78,1.93,1.7102,1.82,143331,0
CLVRW.US,D,20210112,000000,2.09,2.0998,1.81,1.88,322916,0
CLVRW.US,D,20210113,000000,2,2.15,1.88,2.06,544389,0
CLVRW.US,D,20210114,000000,2.2,2.23,1.98,2.04,421127,0
CLVRW.US,D,20210115,000000,2.2,2.39,2.07,2.1,559216,0
CLVRW.US,D,20210119,000000,2.16,2.26,2.02,2.18,123848,0
CLVRW.US,D,20210120,000000,2.09,2.185,2.05,2.16,190470,0
CLVRW.US,D,20210121,000000,2.15,2.25,1.97,2.21,744566,0
CLVRW.US,D,20210122,000000,2.18,2.4186,2.05,2.22,775415,0
CLVRW.US,D,20210125,000000,2.2,2.3,2.04,2.12,495645,0
CLVRW.US,D,20210126,000000,2.23,2.23,2,2.07,325795,0
CLVRW.US,D,20210127,000000,1.98,2.06,1.52,1.7,816820,0
CLVRW.US,D,20210128,000000,1.69,1.94,1.67,1.85,347643,0
CLVRW.US,D,20210129,000000,1.76,1.98,1.75,1.9,265374,0
CLVRW.US,D,20210201,000000,1.8,1.99,1.7801,1.88,153120,0
CLVRW.US,D,20210202,000000,1.96,2.28,1.96,2.21,833502,0
CLVRW.US,D,20210203,000000,2.4,2.99,2.38,2.69,1059878,0
CLVRW.US,D,20210204,000000,2.66,2.7,2.3799,2.47,210512,0
CLVRW.US,D,20210205,000000,2.34,2.79,2.34,2.62,413333,0
CLVRW.US,D,20210208,000000,2.95,2.95,2.6999,2.89,479879,0
