<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COWG.US,D,20221227,000000,20.16,20.16,19.8605,19.8605,710,0
COWG.US,D,20221228,000000,19.59,19.59,19.5665,19.5665,236,0
COWG.US,D,20221229,000000,19.8,19.92,19.8,19.8721,882,0
COWG.US,D,20221230,000000,19.76,19.86,19.6599,19.855,5567,0
COWG.US,D,20230103,000000,19.96,19.96,19.4717,19.5709,28147,0
COWG.US,D,20230104,000000,19.66,19.81,19.6599,19.7349,5115,0
COWG.US,D,20230105,000000,19.54,19.58,19.4672,19.4672,8629,0
COWG.US,D,20230106,000000,19.61,19.89,19.61,19.8075,3076,0
COWG.US,D,20230109,000000,20.03,20.06,19.8084,19.8084,8962,0
COWG.US,D,20230110,000000,19.82,19.97,19.82,19.9523,2061,0
COWG.US,D,20230111,000000,20.04,20.2006,20,20.2006,6399,0
COWG.US,D,20230112,000000,20.22,20.3,20.185,20.2466,5765,0
COWG.US,D,20230113,000000,20.19,20.36,20.1899,20.3523,4123,0
COWG.US,D,20230117,000000,20.455,20.455,20.3642,20.3642,350,0
COWG.US,D,20230118,000000,20.31,20.31,20.1448,20.1448,2679,0
COWG.US,D,20230119,000000,20.05,20.06,19.95,19.9944,2371,0
COWG.US,D,20230120,000000,20.185,20.2996,20.12,20.2996,5149,0
COWG.US,D,20230123,000000,20.58,20.58,20.5733,20.5733,1073,0
COWG.US,D,20230124,000000,20.41,20.4247,20.41,20.417,440,0
COWG.US,D,20230125,000000,20.3,20.3909,20.05,20.3909,1646,0
COWG.US,D,20230126,000000,20.39,20.5741,20.39,20.5741,1851,0
COWG.US,D,20230127,000000,20.62,20.62,20.595,20.595,511,0
COWG.US,D,20230130,000000,20.44,20.51,20.2888,20.2888,1567,0
COWG.US,D,20230131,000000,20.45,20.5708,20.43,20.5708,731,0
COWG.US,D,20230201,000000,20.5317,20.97,20.44,20.848,31495,0
COWG.US,D,20230202,000000,21.13,21.14,20.9424,21.0682,5883,0
COWG.US,D,20230203,000000,20.93,21.08,20.79,20.8183,2306,0
COWG.US,D,20230206,000000,20.68,20.68,20.63,20.6469,84243,0
COWG.US,D,20230207,000000,20.505,20.99,20.505,20.9734,4628,0
COWG.US,D,20230208,000000,20.79,20.79,20.6566,20.6566,33578,0
COWG.US,D,20230209,000000,20.7259,20.755,20.5225,20.5225,4082,0
COWG.US,D,20230210,000000,20.42,20.5406,20.42,20.5406,464,0
COWG.US,D,20230213,000000,20.71,20.71,20.6872,20.6892,514,0
COWG.US,D,20230214,000000,20.87,20.88,20.66,20.8454,47773,0
COWG.US,D,20230215,000000,20.98,21.0047,20.96,21.0047,1683,0
