<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRDO.US,D,20220127,000000,12.1,12.5,10.8,11.65,5372700,0
CRDO.US,D,20220128,000000,11.64,12.325,11.05,11.19,1316998,0
CRDO.US,D,20220131,000000,11.44,12.4899,11.2,12.12,838365,0
CRDO.US,D,20220201,000000,12.12,13.7,11.8201,12.8,832985,0
CRDO.US,D,20220202,000000,13.09,13.415,12.8,13.4,2621678,0
CRDO.US,D,20220203,000000,13.22,13.29,12.4,12.82,710797,0
CRDO.US,D,20220204,000000,12.87,13.75,12.87,13.07,345848,0
CRDO.US,D,20220207,000000,13.39,13.75,13.13,13.52,504562,0
CRDO.US,D,20220208,000000,13.57,14.1199,13.52,13.94,463247,0
CRDO.US,D,20220209,000000,14.12,15.37,14.12,14.64,591869,0
CRDO.US,D,20220210,000000,14.74,15.6285,14.7,15.19,584594,0
CRDO.US,D,20220211,000000,15.3,16.39,15.011,15.3,656081,0
CRDO.US,D,20220214,000000,14.1787,15.67,14.1787,14.86,382541,0
CRDO.US,D,20220215,000000,14.79,15.39,14.79,14.99,327179,0
CRDO.US,D,20220216,000000,15,15.39,14.31,15.07,503205,0
CRDO.US,D,20220217,000000,14.99,15.4,14.88,15.12,236813,0
CRDO.US,D,20220218,000000,15,15.45,14.521,15.2,266647,0
CRDO.US,D,20220222,000000,15.73,16,15.25,15.62,464137,0
CRDO.US,D,20220223,000000,15.85,16.27,15.08,15.12,469790,0
CRDO.US,D,20220224,000000,14.58,15.01,13.9632,14.93,431617,0
CRDO.US,D,20220225,000000,15.03,15.53,15,15.33,278631,0
CRDO.US,D,20220228,000000,15.23,16.96,15.01,16.9,649965,0
CRDO.US,D,20220301,000000,16.8,16.8,15.06,15.22,641880,0
CRDO.US,D,20220302,000000,16,16.6,16,16.36,315065,0
CRDO.US,D,20220303,000000,17.1,18,16.04,16.1,665023,0
CRDO.US,D,20220304,000000,15.96,16.54,15.085,15.66,398808,0
CRDO.US,D,20220307,000000,15.6,16.28,15.4401,15.86,467004,0
CRDO.US,D,20220308,000000,15.84,16.26,14.81,15.73,607546,0
CRDO.US,D,20220309,000000,16.04,16.58,15.38,16.44,747573,0
CRDO.US,D,20220310,000000,16.91,16.95,15.82,16.16,996791,0
CRDO.US,D,20220311,000000,16.2,16.2,14.9,15.51,747681,0
