<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMAQR.US,D,20211203,000000,0.3395,0.3499,0.3395,0.3499,1781553,0
DMAQR.US,D,20211206,000000,0.342,0.36,0.25,0.33,875608,0
DMAQR.US,D,20211207,000000,0.33,0.33,0.305,0.31,650246,0
DMAQR.US,D,20211208,000000,0.32,0.33,0.3101,0.3101,149710,0
DMAQR.US,D,20211209,000000,0.31,0.31,0.31,0.31,102700,0
DMAQR.US,D,20211210,000000,0.33,0.33,0.32,0.32,21100,0
DMAQR.US,D,20211213,000000,0.31,0.33,0.31,0.33,25800,0
DMAQR.US,D,20211215,000000,0.31,0.33,0.31,0.31,11200,0
DMAQR.US,D,20211216,000000,0.31,0.33,0.31,0.31,16400,0
DMAQR.US,D,20211217,000000,0.29,0.31,0.29,0.31,44400,0
DMAQR.US,D,20211220,000000,0.3,0.3,0.3,0.3,22200,0
DMAQR.US,D,20211221,000000,0.3,0.3,0.3,0.3,12382,0
DMAQR.US,D,20211222,000000,0.3,0.3,0.3,0.3,33400,0
DMAQR.US,D,20211227,000000,0.315,0.33,0.315,0.33,5200,0
DMAQR.US,D,20211228,000000,0.31,0.31,0.31,0.31,100,0
DMAQR.US,D,20211229,000000,0.31,0.31,0.1517,0.31,18002,0
DMAQR.US,D,20211230,000000,0.31,0.31,0.31,0.31,100,0
DMAQR.US,D,20211231,000000,0.300101,0.32,0.300101,0.32,2200,0
DMAQR.US,D,20220103,000000,0.3,0.33,0.3,0.33,700,0
DMAQR.US,D,20220104,000000,0.31,0.31,0.31,0.31,100,0
DMAQR.US,D,20220105,000000,0.33,0.33,0.33,0.33,104,0
DMAQR.US,D,20220106,000000,0.32,0.33,0.1939,0.33,42100,0
DMAQR.US,D,20220107,000000,0.32,0.32,0.29,0.3128,44300,0
DMAQR.US,D,20220110,000000,0.3,0.3197,0.2528,0.3197,244601,0
DMAQR.US,D,20220112,000000,0.3,0.31,0.2825,0.29,33800,0
DMAQR.US,D,20220113,000000,0.3,0.3,0.2703,0.29,31300,0
DMAQR.US,D,20220114,000000,0.290701,0.290701,0.2512,0.2887,53400,0
DMAQR.US,D,20220118,000000,0.27,0.2894,0.27,0.275,150900,0
DMAQR.US,D,20220120,000000,0.27,0.28,0.27,0.28,11460,0
