<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUETW.US,D,20220316,000000,0.15,0.1501,0.15,0.15,418900,0
DUETW.US,D,20220317,000000,0.15,0.16,0.15,0.1599,359100,0
DUETW.US,D,20220318,000000,0.16,0.16,0.1095,0.15,769728,0
DUETW.US,D,20220321,000000,0.15,0.1501,0.15,0.1501,162635,0
DUETW.US,D,20220322,000000,0.1501,0.1502,0.1501,0.1502,10000,0
DUETW.US,D,20220325,000000,0.1602,0.1602,0.1602,0.1602,1000,0
DUETW.US,D,20220328,000000,0.1612,0.1612,0.14,0.14,250000,0
DUETW.US,D,20220329,000000,0.16,0.2,0.16,0.16,732500,0
DUETW.US,D,20220330,000000,0.16,0.2,0.16,0.1602,174800,0
DUETW.US,D,20220331,000000,0.161,0.161,0.161,0.161,25000,0
DUETW.US,D,20220406,000000,0.2,0.2539,0.17,0.2539,41400,0
DUETW.US,D,20220407,000000,0.1603,0.1603,0.1603,0.1603,100,0
DUETW.US,D,20220411,000000,0.1606,0.1606,0.1606,0.1606,200,0
DUETW.US,D,20220414,000000,0.16,0.16,0.16,0.16,25000,0
DUETW.US,D,20220419,000000,0.1601,0.17,0.1601,0.17,25101,0
DUETW.US,D,20220421,000000,0.1697,0.18,0.1601,0.18,700,0
DUETW.US,D,20220426,000000,0.1621,0.18,0.1601,0.18,32200,0
DUETW.US,D,20220429,000000,0.1608,0.1608,0.16,0.16,114500,0
DUETW.US,D,20220502,000000,0.152,0.166,0.1515,0.1515,26300,0
DUETW.US,D,20220503,000000,0.145,0.18,0.135,0.18,51200,0
DUETW.US,D,20220509,000000,0.1201,0.154001,0.1201,0.154001,354,0
DUETW.US,D,20220510,000000,0.1401,0.1401,0.13,0.1389,127300,0
DUETW.US,D,20220513,000000,0.1301,0.15,0.1301,0.15,40200,0
DUETW.US,D,20220608,000000,0.1318,0.1318,0.13,0.13,5087,0
DUETW.US,D,20220615,000000,0.1001,0.1179,0.1,0.1178,52000,0
DUETW.US,D,20220629,000000,0.07,0.115,0.07,0.115,26200,0
DUETW.US,D,20220725,000000,0.1199,0.1575,0.1199,0.145,27507,0
DUETW.US,D,20220726,000000,0.14,0.145,0.14,0.1427,14575,0
DUETW.US,D,20220729,000000,0.1001,0.1292,0.1001,0.1292,9400,0
DUETW.US,D,20220801,000000,0.117,0.117,0.116967,0.117,28200,0
DUETW.US,D,20220805,000000,0.119,0.119,0.119,0.119,164,0
DUETW.US,D,20220816,000000,0.12,0.12,0.1199,0.1199,201000,0
DUETW.US,D,20220818,000000,0.1051,0.1051,0.105,0.105,125000,0
DUETW.US,D,20220819,000000,0.105,0.105,0.105,0.105,5200,0
DUETW.US,D,20220822,000000,0.11,0.11,0.11,0.11,10000,0
DUETW.US,D,20220824,000000,0.0951,0.1064,0.0951,0.1064,26447,0
DUETW.US,D,20220906,000000,0.095,0.0951,0.095,0.095,5200,0
DUETW.US,D,20220907,000000,0.08,0.094,0.08,0.094,1610,0
DUETW.US,D,20220909,000000,0.079,0.079,0.0252,0.0333,45201,0
DUETW.US,D,20220912,000000,0.05,0.07,0.05,0.07,2829,0
DUETW.US,D,20220913,000000,0.08,0.08,0.08,0.08,420,0
DUETW.US,D,20220920,000000,0.061,0.0678,0.061,0.061,22429,0
DUETW.US,D,20220922,000000,0.061,0.061,0.061,0.061,105211,0
DUETW.US,D,20220928,000000,0.059,0.059,0.0475,0.0475,490,0
DUETW.US,D,20221005,000000,0.045,0.045,0.045,0.045,25200,0
DUETW.US,D,20221006,000000,0.035,0.035,0.035,0.035,4400,0
DUETW.US,D,20221018,000000,0.0401,0.0401,0.0401,0.0401,25200,0
DUETW.US,D,20221021,000000,0.05,0.0515,0.05,0.05,39758,0
DUETW.US,D,20221026,000000,0.03,0.03,0.03,0.03,140,0
DUETW.US,D,20221115,000000,0.0325,0.0325,0.0325,0.0325,25000,0
DUETW.US,D,20221116,000000,0.0325,0.035,0.0325,0.035,55151,0
DUETW.US,D,20221117,000000,0.0375,0.0402,0.0325,0.0325,79200,0
DUETW.US,D,20221118,000000,0.03,0.03,0.03,0.03,200,0
DUETW.US,D,20221122,000000,0.035,0.035,0.032188,0.032188,26259,0
DUETW.US,D,20221128,000000,0.0225,0.0225,0.0201,0.0201,50000,0
DUETW.US,D,20221206,000000,0.015,0.015,0.015,0.015,400,0
DUETW.US,D,20221208,000000,0.016,0.0168,0.016,0.0167,1400,0
DUETW.US,D,20221212,000000,0.02,0.03,0.02,0.03,1700,0
DUETW.US,D,20221215,000000,0.015,0.015,0.015,0.015,100,0
DUETW.US,D,20230106,000000,0.015,0.02,0.015,0.02,49867,0
DUETW.US,D,20230117,000000,0.02,0.0249,0.02,0.0249,801,0
DUETW.US,D,20230120,000000,0.02,0.02,0.02,0.02,2733,0
DUETW.US,D,20230123,000000,0.0249,0.0249,0.0249,0.0249,601,0
DUETW.US,D,20230208,000000,0.025,0.025,0.0249,0.0249,2000,0
DUETW.US,D,20230209,000000,0.02,0.02,0.02,0.02,15000,0
DUETW.US,D,20230223,000000,0.02,0.02,0.0196,0.0196,851,0
DUETW.US,D,20230228,000000,0.025,0.025,0.025,0.025,5000,0
DUETW.US,D,20230301,000000,0.025,0.025,0.025,0.025,861,0
DUETW.US,D,20230303,000000,0.025,0.025,0.025,0.025,5000,0
DUETW.US,D,20230308,000000,0.02,0.02,0.02,0.02,105,0
DUETW.US,D,20230314,000000,0.02,0.0225,0.02,0.02,400,0
DUETW.US,D,20230321,000000,0.025,0.025,0.025,0.025,500,0
DUETW.US,D,20230322,000000,0.025,0.025,0.025,0.025,500,0
DUETW.US,D,20230323,000000,0.025,0.025,0.025,0.025,500,0
DUETW.US,D,20230324,000000,0.025,0.025,0.025,0.025,500,0
DUETW.US,D,20230327,000000,0.025,0.025,0.025,0.025,23000,0
DUETW.US,D,20230328,000000,0.0275,0.0275,0.0275,0.0275,500,0
DUETW.US,D,20230329,000000,0.0275,0.0275,0.0275,0.0275,500,0
DUETW.US,D,20230330,000000,0.0275,0.0354,0.0275,0.035,6000,0
DUETW.US,D,20230331,000000,0.035,0.035,0.035,0.035,100,0
DUETW.US,D,20230403,000000,0.035,0.035,0.035,0.035,100,0
DUETW.US,D,20230405,000000,0.035,0.035,0.0275,0.0275,23600,0
DUETW.US,D,20230410,000000,0.0225,0.0227,0.02,0.02,185050,0
DUETW.US,D,20230411,000000,0.021,0.025,0.021,0.025,10100,0
DUETW.US,D,20230412,000000,0.0225,0.0225,0.021,0.021,36870,0
DUETW.US,D,20230419,000000,0.0211,0.021101,0.0211,0.021101,5000,0
DUETW.US,D,20230426,000000,0.0225,0.0225,0.0225,0.0225,600,0
DUETW.US,D,20230428,000000,0.0301,0.0301,0.0301,0.0301,50500,0
DUETW.US,D,20230503,000000,0.0325,0.0325,0.0325,0.0325,500,0
DUETW.US,D,20230510,000000,0.0225,0.0225,0.0225,0.0225,24400,0
DUETW.US,D,20230511,000000,0.0325,0.0325,0.0324,0.0324,200,0
DUETW.US,D,20230523,000000,0.0206,0.0206,0.0205,0.0205,400,0
DUETW.US,D,20230530,000000,0.0275,0.0275,0.0275,0.0275,1300,0
DUETW.US,D,20230531,000000,0.0275,0.0275,0.0275,0.0275,19510,0
DUETW.US,D,20230609,000000,0.0225,0.0225,0.0225,0.0225,320,0
DUETW.US,D,20230612,000000,0.0225,0.0225,0.0225,0.0225,1000,0
DUETW.US,D,20230613,000000,0.0275,0.0275,0.0275,0.0275,25701,0
DUETW.US,D,20230616,000000,0.0225,0.0225,0.0225,0.0225,100,0
DUETW.US,D,20230623,000000,0.0275,0.0275,0.0275,0.0275,100,0
DUETW.US,D,20230707,000000,0.0301,0.033,0.0301,0.0329,9900,0
DUETW.US,D,20230711,000000,0.0301,0.0375,0.0301,0.0375,5900,0
DUETW.US,D,20230720,000000,0.0375,0.0375,0.0375,0.0375,700,0
DUETW.US,D,20230727,000000,0.0318,0.0318,0.029,0.031099,207991,0
DUETW.US,D,20230731,000000,0.0313,0.0314,0.0291,0.0291,58211,0
DUETW.US,D,20230801,000000,0.0291,0.0307,0.0277,0.0301,119374,0
DUETW.US,D,20230803,000000,0.03,0.03,0.03,0.03,25300,0
