<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFTR.US,D,20210302,000000,10,10,9.85,9.9,48769,0
EFTR.US,D,20210303,000000,9.99,10,9.81,9.84,27516,0
EFTR.US,D,20210304,000000,9.85,9.85,9.81,9.85,5950,0
EFTR.US,D,20210305,000000,9.84,9.8699,9.8,9.8583,3302,0
EFTR.US,D,20210308,000000,9.88,9.88,9.8799,9.8799,999,0
EFTR.US,D,20210309,000000,9.885,9.885,9.8,9.8,103507,0
EFTR.US,D,20210310,000000,9.85,9.85,9.8,9.81,103119,0
EFTR.US,D,20210311,000000,9.8165,9.88,9.8165,9.88,9337,0
EFTR.US,D,20210312,000000,9.85,9.85,9.85,9.85,835,0
EFTR.US,D,20210315,000000,9.8,9.8,9.8,9.8,2110,0
EFTR.US,D,20210319,000000,9.8,9.85,9.8,9.85,8225,0
EFTR.US,D,20210323,000000,9.77,9.77,9.69,9.69,5167,0
EFTR.US,D,20210325,000000,9.74,9.74,9.74,9.74,1084,0
EFTR.US,D,20210326,000000,9.69,9.75,9.65,9.65,2561,0
EFTR.US,D,20210330,000000,9.6,9.7489,9.55,9.7489,400101,0
EFTR.US,D,20210401,000000,9.8,9.85,9.8,9.85,103134,0
EFTR.US,D,20210405,000000,9.89,9.89,9.89,9.89,532,0
EFTR.US,D,20210407,000000,9.87,9.87,9.87,9.87,1823,0
EFTR.US,D,20210409,000000,9.9,9.99,9.9,9.95,72659,0
EFTR.US,D,20210412,000000,9.97,10.05,9.95,10.02,58247,0
EFTR.US,D,20210414,000000,9.95,10,9.95,10,2250,0
EFTR.US,D,20210415,000000,9.95,9.95,9.95,9.95,211,0
EFTR.US,D,20210419,000000,9.91,9.91,9.84,9.9,2623,0
EFTR.US,D,20210420,000000,9.84,9.84,9.84,9.84,1204,0
EFTR.US,D,20210423,000000,9.895,9.895,9.8,9.8,2227,0
EFTR.US,D,20210426,000000,9.7602,9.87,9.7602,9.86,2445,0
EFTR.US,D,20210427,000000,9.7927,9.86,9.76,9.85,2457,0
EFTR.US,D,20210429,000000,9.84,9.85,9.84,9.845,818,0
EFTR.US,D,20210430,000000,9.805,9.84,9.76,9.8,16572,0
EFTR.US,D,20210503,000000,9.76,9.77,9.76,9.77,52592,0
EFTR.US,D,20210504,000000,9.77,9.8,9.77,9.8,9473,0
EFTR.US,D,20210505,000000,9.76,9.77,9.76,9.77,2436,0
EFTR.US,D,20210506,000000,9.7834,9.7834,9.78,9.78,904,0
EFTR.US,D,20210507,000000,9.79,9.79,9.79,9.79,103,0
EFTR.US,D,20210511,000000,9.75,9.77,9.75,9.77,1450,0
EFTR.US,D,20210512,000000,9.75,9.75,9.74,9.75,221837,0
EFTR.US,D,20210513,000000,9.75,9.755,9.75,9.75,23340,0
EFTR.US,D,20210514,000000,9.72,9.72,9.72,9.72,221,0
EFTR.US,D,20210517,000000,9.75,9.75,9.71,9.74,3803,0
EFTR.US,D,20210519,000000,9.71,9.8,9.7,9.8,14310,0
EFTR.US,D,20210521,000000,9.745,9.8,9.7,9.75,16000,0
EFTR.US,D,20210524,000000,9.73,9.77,9.714,9.77,11633,0
EFTR.US,D,20210525,000000,9.75,9.8,9.69,9.7,125314,0
EFTR.US,D,20210526,000000,9.7625,9.8,9.7,9.7,5318,0
