<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENERR.US,D,20211202,000000,0.35,0.35,0.34,0.3401,576128,0
ENERR.US,D,20211203,000000,0.3401,0.3401,0.31,0.33,2454795,0
ENERR.US,D,20211206,000000,0.32,0.34,0.32,0.335,39618,0
ENERR.US,D,20211207,000000,0.335,0.335,0.33,0.33,197998,0
ENERR.US,D,20211208,000000,0.33,0.35,0.3002,0.33,1250308,0
ENERR.US,D,20211209,000000,0.3201,0.33,0.3201,0.33,90000,0
ENERR.US,D,20211210,000000,0.33,0.33,0.32,0.33,131330,0
ENERR.US,D,20211215,000000,0.32,0.34,0.32,0.32,98172,0
ENERR.US,D,20211216,000000,0.325,0.325,0.325,0.325,540,0
ENERR.US,D,20211217,000000,0.32,0.3201,0.32,0.3201,300,0
ENERR.US,D,20211220,000000,0.325001,0.325001,0.3201,0.325001,6900,0
ENERR.US,D,20211221,000000,0.33,0.34,0.33,0.34,15598,0
ENERR.US,D,20211222,000000,0.34,0.34,0.34,0.34,77080,0
ENERR.US,D,20211223,000000,0.34,0.34,0.34,0.34,25000,0
ENERR.US,D,20211227,000000,0.34,0.345,0.34,0.34,60800,0
ENERR.US,D,20211228,000000,0.34,0.34,0.3296,0.3375,97400,0
ENERR.US,D,20211229,000000,0.330101,0.34,0.3201,0.34,2122645,0
ENERR.US,D,20211230,000000,0.32,0.32,0.32,0.32,697,0
ENERR.US,D,20220105,000000,0.32,0.329899,0.32,0.329899,6200,0
ENERR.US,D,20220106,000000,0.32,0.33,0.32,0.33,2001,0
ENERR.US,D,20220110,000000,0.32,0.34,0.32,0.34,58949,0
ENERR.US,D,20220113,000000,0.31,0.31,0.3,0.3,50400,0
ENERR.US,D,20220120,000000,0.29,0.29,0.29,0.29,130,0
ENERR.US,D,20220124,000000,0.29,0.29,0.25,0.2503,1101,0
ENERR.US,D,20220125,000000,0.275,0.275,0.25,0.25,52053,0
ENERR.US,D,20220126,000000,0.24,0.27,0.24,0.27,6916,0
ENERR.US,D,20220201,000000,0.26,0.26,0.25,0.26,46652,0
ENERR.US,D,20220202,000000,0.260101,0.2602,0.26,0.26,3441,0
ENERR.US,D,20220203,000000,0.27,0.27,0.25,0.2501,5002,0
ENERR.US,D,20220204,000000,0.2506,0.2506,0.2106,0.2449,21354,0
ENERR.US,D,20220207,000000,0.2306,0.251,0.2206,0.2251,156900,0
ENERR.US,D,20220208,000000,0.23,0.24,0.2251,0.24,17710,0
ENERR.US,D,20220209,000000,0.225,0.24,0.225,0.2251,33197,0
ENERR.US,D,20220210,000000,0.2232,0.225,0.22,0.225,96195,0
ENERR.US,D,20220211,000000,0.225,0.225,0.2151,0.2214,195801,0
ENERR.US,D,20220214,000000,0.2151,0.2294,0.2151,0.2294,138559,0
ENERR.US,D,20220215,000000,0.21755,0.22,0.2152,0.22,150600,0
ENERR.US,D,20220216,000000,0.2151,0.2151,0.2151,0.2151,700,0
ENERR.US,D,20220224,000000,0.2152,0.2152,0.2152,0.2152,25000,0
ENERR.US,D,20220303,000000,0.2156,0.2156,0.2122,0.2122,9696,0
ENERR.US,D,20220307,000000,0.2121,0.2121,0.2121,0.2121,900,0
ENERR.US,D,20220309,000000,0.2052,0.2052,0.2051,0.2051,20344,0
ENERR.US,D,20220310,000000,0.2031,0.2031,0.20055,0.20055,1900,0
ENERR.US,D,20220311,000000,0.198,0.198,0.1951,0.1951,1555,0
ENERR.US,D,20220316,000000,0.165,0.19,0.15,0.1827,2800,0
ENERR.US,D,20220317,000000,0.1851,0.1851,0.1807,0.1807,2326,0
ENERR.US,D,20220321,000000,0.1811,0.1811,0.1811,0.1811,842,0
ENERR.US,D,20220322,000000,0.18,0.18,0.18,0.18,25462,0
ENERR.US,D,20220323,000000,0.18,0.1825,0.18,0.1825,1012,0
ENERR.US,D,20220324,000000,0.15,0.15,0.15,0.15,482,0
ENERR.US,D,20220328,000000,0.17,0.18,0.15,0.1561,101286,0
ENERR.US,D,20220329,000000,0.1554,0.156,0.1507,0.1507,15270,0
ENERR.US,D,20220330,000000,0.151,0.1511,0.151,0.1511,1712,0
ENERR.US,D,20220331,000000,0.16,0.1601,0.16,0.16,900,0
ENERR.US,D,20220401,000000,0.189299,0.189299,0.157,0.157,600,0
ENERR.US,D,20220404,000000,0.16,0.16,0.16,0.16,103,0
ENERR.US,D,20220406,000000,0.18,0.18,0.1598,0.1601,25151,0
ENERR.US,D,20220408,000000,0.1894,0.19,0.17,0.17,14710,0
ENERR.US,D,20220412,000000,0.18,0.18,0.18,0.18,303,0
ENERR.US,D,20220413,000000,0.18,0.1949,0.18,0.1949,1819,0
