<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVMT.US,D,20220429,000000,30.11,30.11,29.5713,29.5713,19446,0
EVMT.US,D,20220502,000000,29.01,29.05,28.4922,29.05,17764,0
EVMT.US,D,20220503,000000,28.78,28.92,28.54,28.775,14161,0
EVMT.US,D,20220504,000000,28.508,28.9117,28.5,28.9117,6510,0
EVMT.US,D,20220505,000000,28.78,28.85,28.45,28.53,6521,0
EVMT.US,D,20220506,000000,28.08,28.38,28.05,28.38,5577,0
EVMT.US,D,20220509,000000,27.27,27.27,27,27.03,12313,0
EVMT.US,D,20220510,000000,26.92,27.25,26.89,27.08,4591,0
EVMT.US,D,20220511,000000,27.13,27.21,27.06,27.06,2168,0
EVMT.US,D,20220512,000000,26.51,26.73,26.49,26.65,5190,0
EVMT.US,D,20220513,000000,26.58,26.9137,26.55,26.75,9151,0
EVMT.US,D,20220516,000000,26.72,26.72,26.41,26.41,1133,0
EVMT.US,D,20220517,000000,26.9,26.9,26.5,26.55,2900,0
EVMT.US,D,20220518,000000,26.56,26.56,26.1701,26.2,1185,0
EVMT.US,D,20220519,000000,26.5147,27.519,26.5147,27.48,4937,0
EVMT.US,D,20220520,000000,27.59,27.59,27.355,27.43,1272,0
EVMT.US,D,20220523,000000,27.33,27.5699,27.32,27.47,10654,0
EVMT.US,D,20220524,000000,26.91,26.919,26.74,26.7935,2034,0
EVMT.US,D,20220525,000000,26.6201,26.875,26.6201,26.855,4846,0
EVMT.US,D,20220526,000000,27.15,27.15,26.715,26.7359,2267,0
EVMT.US,D,20220527,000000,27.06,27.4053,27.06,27.4053,2343,0
EVMT.US,D,20220531,000000,27.4,27.49,27.16,27.16,1474,0
EVMT.US,D,20220601,000000,27.17,27.27,27.021,27.021,1380,0
EVMT.US,D,20220602,000000,28.11,28.5,28.02,28.355,1246,0
EVMT.US,D,20220603,000000,27.7,27.7833,27.7,27.7833,514,0
EVMT.US,D,20220606,000000,27.75,28.13,27.75,28.08,2744,0
EVMT.US,D,20220607,000000,27.63,28.0299,27.36,28.0299,10567,0
EVMT.US,D,20220608,000000,27.58,28.1,27.56,27.845,3764,0
EVMT.US,D,20220609,000000,27.42,27.42,27.0839,27.11,3256,0
EVMT.US,D,20220610,000000,26.71,26.71,26.495,26.495,599,0
EVMT.US,D,20220613,000000,25.94,25.94,25.6,25.679,1467,0
EVMT.US,D,20220614,000000,25.66,25.66,25.1123,25.1123,2504,0
EVMT.US,D,20220615,000000,25.5,25.68,25.3,25.6038,2268,0
EVMT.US,D,20220616,000000,25.011,25.1999,24.84,25.0606,4376,0
EVMT.US,D,20220617,000000,24.89,24.9,24.7999,24.83,3297,0
EVMT.US,D,20220621,000000,24.84,24.94,24.78,24.78,1717,0
EVMT.US,D,20220622,000000,24.29,24.29,24,24,3123,0
EVMT.US,D,20220623,000000,23.6,23.625,23.48,23.625,1811,0
EVMT.US,D,20220624,000000,22.87,23.11,22.78,22.9,1008,0
EVMT.US,D,20220627,000000,23.2,23.355,23.2,23.2921,779,0
EVMT.US,D,20220628,000000,23.52,23.52,23.435,23.435,195,0
EVMT.US,D,20220629,000000,23.55,23.56,23.55,23.55,561,0
EVMT.US,D,20220630,000000,23.07,23.08,22.77,22.77,760,0
EVMT.US,D,20220701,000000,22.57,22.57,22.39,22.39,950,0
EVMT.US,D,20220705,000000,22.1773,22.29,22.1773,22.29,317,0
EVMT.US,D,20220706,000000,22.07,22.07,21.825,21.825,11496,0
EVMT.US,D,20220707,000000,22.1499,22.1499,21.95,21.95,345,0
EVMT.US,D,20220708,000000,21.83,21.9616,21.83,21.9616,1798,0
EVMT.US,D,20220711,000000,22.05,22.05,21.5544,21.5544,507,0
EVMT.US,D,20220712,000000,21.35,21.369,20.94,20.94,2943,0
EVMT.US,D,20220713,000000,21.18,21.18,21.0188,21.0188,194,0
EVMT.US,D,20220714,000000,20.19,20.33,20.08,20.2,2081,0
EVMT.US,D,20220715,000000,20.021,20.38,20.02,20.38,2057,0
EVMT.US,D,20220718,000000,21.08,21.08,20.8533,20.8533,1043,0
EVMT.US,D,20220719,000000,20.88,20.88,20.7301,20.8124,952,0
EVMT.US,D,20220720,000000,21.15,21.16,21.05,21.12,1153,0
EVMT.US,D,20220721,000000,20.97,21.17,20.97,21.1613,411,0
EVMT.US,D,20220722,000000,21.42,21.6001,21.42,21.5766,1711,0
EVMT.US,D,20220725,000000,21.57,21.58,21.57,21.58,2053,0
EVMT.US,D,20220726,000000,21.5828,21.5828,21.4514,21.4514,744,0
EVMT.US,D,20220727,000000,21.67,21.735,21.6163,21.735,346,0
EVMT.US,D,20220728,000000,21.91,21.91,21.815,21.8925,1307,0
EVMT.US,D,20220729,000000,22.04,22.775,22.04,22.775,374,0
EVMT.US,D,20220801,000000,22.5212,22.7541,22.431,22.7541,836,0
EVMT.US,D,20220802,000000,22.26,22.26,21.82,21.875,1076,0
EVMT.US,D,20220803,000000,22,22,21.82,21.84,2373,0
EVMT.US,D,20220804,000000,21.5901,21.75,21.5901,21.6651,1150,0
EVMT.US,D,20220805,000000,22.0503,22.0503,21.9303,21.9303,1147,0
EVMT.US,D,20220808,000000,22.03,22.03,21.775,21.775,4554,0
EVMT.US,D,20220809,000000,21.87,21.87,21.75,21.81,1384,0
EVMT.US,D,20220810,000000,22.26,22.27,22.26,22.2625,1083,0
EVMT.US,D,20220811,000000,22.775,22.775,22.775,22.775,47,0
EVMT.US,D,20220812,000000,22.36,22.36,22.15,22.27,12930,0
EVMT.US,D,20220815,000000,21.79,21.88,21.7208,21.88,1633,0
EVMT.US,D,20220816,000000,22.08,22.08,22.005,22.005,1655,0
EVMT.US,D,20220817,000000,21.7411,21.7652,21.7411,21.7652,311,0
EVMT.US,D,20220818,000000,21.88,21.88,21.67,21.8045,4366,0
EVMT.US,D,20220819,000000,22.016,22.016,22.016,22.016,168,0
EVMT.US,D,20220822,000000,22,22.1275,22,22.1275,1250,0
EVMT.US,D,20220823,000000,22.09,22.09,22.02,22.03,3138,0
EVMT.US,D,20220824,000000,21.86,21.93,21.8,21.8,1004,0
EVMT.US,D,20220825,000000,22.03,22.125,22.03,22.125,523,0
EVMT.US,D,20220826,000000,22.19,22.19,22.04,22.085,811,0
EVMT.US,D,20220829,000000,21.76,21.76,21.55,21.5941,2050,0
EVMT.US,D,20220830,000000,21.53,21.53,21.525,21.525,612,0
EVMT.US,D,20220831,000000,21.44,21.56,21.4159,21.4159,571,0
EVMT.US,D,20220901,000000,20.7395,20.82,20.72,20.74,6023,0
EVMT.US,D,20220902,000000,20.979,20.99,20.895,20.895,6087,0
EVMT.US,D,20220906,000000,21.31,21.31,21.15,21.15,1694,0
EVMT.US,D,20220907,000000,21.0199,21.135,21.0199,21.135,630,0
EVMT.US,D,20220908,000000,21.618,21.618,21.58,21.58,346,0
EVMT.US,D,20220909,000000,21.88,21.975,21.88,21.975,1231,0
EVMT.US,D,20220912,000000,22.43,22.65,22.43,22.5944,1435,0
EVMT.US,D,20220913,000000,22.55,22.55,22.3377,22.3377,381,0
EVMT.US,D,20220914,000000,22.3922,22.3922,22.3922,22.3922,179,0
EVMT.US,D,20220915,000000,22,22,21.82,21.82,889,0
EVMT.US,D,20220916,000000,22.2,22.43,22.2,22.415,2457,0
EVMT.US,D,20220919,000000,22.33,22.4251,22.33,22.4251,1458,0
EVMT.US,D,20220920,000000,22.5,22.5,22.5,22.5,51,0
EVMT.US,D,20220921,000000,22,22.35,22,22.07,1959,0
EVMT.US,D,20220922,000000,22.235,22.235,22.115,22.115,2291,0
EVMT.US,D,20220923,000000,21.481,21.51,21.44,21.44,3267,0
EVMT.US,D,20220926,000000,21,21,20.9432,20.9432,482,0
EVMT.US,D,20220927,000000,20.86,20.86,20.64,20.7423,2536,0
EVMT.US,D,20220928,000000,21.0511,21.0511,21.0511,21.0511,140,0
EVMT.US,D,20220929,000000,21.32,21.5143,21.32,21.5143,1276,0
EVMT.US,D,20220930,000000,20.8017,20.8017,20.66,20.66,1504,0
EVMT.US,D,20221003,000000,20.88,21.0024,20.88,21.0024,856,0
EVMT.US,D,20221004,000000,21.541,21.64,21.54,21.64,572,0
EVMT.US,D,20221005,000000,21.84,22.0454,21.84,22.0454,1128,0
EVMT.US,D,20221006,000000,21.6749,21.6749,21.6749,21.6749,125,0
EVMT.US,D,20221007,000000,21.3325,21.3325,21.3325,21.3325,148,0
EVMT.US,D,20221010,000000,21.39,21.48,21.39,21.48,119,0
EVMT.US,D,20221011,000000,21.15,21.15,21.15,21.15,58,0
EVMT.US,D,20221012,000000,21.53,21.67,21.53,21.67,1200,0
