<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEXDW.US,D,20220114,000000,0.31,0.31,0.28,0.299899,14302,0
FEXDW.US,D,20220120,000000,0.2902,0.3177,0.29,0.29,59076,0
FEXDW.US,D,20220121,000000,0.3194,0.3194,0.28,0.28,29202,0
FEXDW.US,D,20220124,000000,0.2401,0.2765,0.22,0.22,71501,0
FEXDW.US,D,20220125,000000,0.24,0.25,0.24,0.24,222557,0
FEXDW.US,D,20220126,000000,0.25,0.28,0.25,0.25,430472,0
FEXDW.US,D,20220127,000000,0.24,0.2501,0.23,0.2302,494280,0
FEXDW.US,D,20220128,000000,0.22,0.23,0.22,0.23,8866,0
FEXDW.US,D,20220131,000000,0.2202,0.2202,0.22,0.22,1550,0
FEXDW.US,D,20220201,000000,0.25,0.25,0.25,0.25,9814,0
FEXDW.US,D,20220207,000000,0.22,0.22,0.22,0.22,47420,0
FEXDW.US,D,20220208,000000,0.2499,0.25,0.2499,0.25,7000,0
FEXDW.US,D,20220210,000000,0.24,0.24,0.24,0.24,1000,0
FEXDW.US,D,20220211,000000,0.24,0.24,0.24,0.24,500,0
FEXDW.US,D,20220214,000000,0.24,0.24,0.24,0.24,1080,0
FEXDW.US,D,20220215,000000,0.2499,0.25,0.2499,0.25,503,0
FEXDW.US,D,20220216,000000,0.2301,0.24,0.229,0.24,21314,0
FEXDW.US,D,20220217,000000,0.235,0.235,0.235,0.235,300,0
FEXDW.US,D,20220218,000000,0.230693,0.230693,0.203595,0.203595,101700,0
FEXDW.US,D,20220222,000000,0.226435,0.226435,0.226435,0.226435,200,0
FEXDW.US,D,20220223,000000,0.2299,0.2299,0.2,0.22,5420,0
FEXDW.US,D,20220224,000000,0.140101,0.2199,0.140101,0.2199,800,0
FEXDW.US,D,20220225,000000,0.2199,0.2199,0.2199,0.2199,200,0
FEXDW.US,D,20220228,000000,0.2199,0.2199,0.128,0.15,30161,0
FEXDW.US,D,20220302,000000,0.14,0.1999,0.14,0.1999,489,0
FEXDW.US,D,20220303,000000,0.185,0.2,0.1405,0.2,89968,0
FEXDW.US,D,20220304,000000,0.15,0.2,0.15,0.2,4568,0
FEXDW.US,D,20220307,000000,0.1999,0.2,0.1999,0.2,400,0
FEXDW.US,D,20220308,000000,0.1999,0.2,0.1601,0.1996,18000,0
FEXDW.US,D,20220309,000000,0.1983,0.1999,0.1983,0.1999,401,0
FEXDW.US,D,20220310,000000,0.1799,0.2,0.17,0.2,6614,0
FEXDW.US,D,20220311,000000,0.2,0.2,0.2,0.2,400,0
FEXDW.US,D,20220314,000000,0.1999,0.2,0.1999,0.2,600,0
FEXDW.US,D,20220315,000000,0.1999,0.2,0.1751,0.1751,1902,0
FEXDW.US,D,20220316,000000,0.1875,0.1875,0.1875,0.1875,231,0
FEXDW.US,D,20220317,000000,0.195,0.2,0.1925,0.19305,3500,0
FEXDW.US,D,20220318,000000,0.198,0.198,0.198,0.198,562,0
FEXDW.US,D,20220321,000000,0.2,0.2,0.15,0.1989,2905,0
FEXDW.US,D,20220322,000000,0.197,0.1998,0.19,0.19,1500,0
FEXDW.US,D,20220323,000000,0.2099,0.2099,0.2099,0.2099,1601,0
FEXDW.US,D,20220324,000000,0.2099,0.2099,0.2,0.2,3002,0
FEXDW.US,D,20220325,000000,0.2,0.2,0.2,0.2,2400,0
FEXDW.US,D,20220328,000000,0.1951,0.2,0.1901,0.19505,3600,0
FEXDW.US,D,20220329,000000,0.1999,0.2,0.1701,0.2,2400,0
FEXDW.US,D,20220330,000000,0.1999,0.2,0.1701,0.18505,3500,0
FEXDW.US,D,20220331,000000,0.2,0.2,0.19,0.19,2907,0
FEXDW.US,D,20220401,000000,0.2,0.2,0.2,0.2,486,0
FEXDW.US,D,20220404,000000,0.1996,0.1996,0.1707,0.1707,1708,0
FEXDW.US,D,20220405,000000,0.1703,0.1997,0.1703,0.1997,2476,0
FEXDW.US,D,20220406,000000,0.1973,0.198,0.197,0.197,1514,0
FEXDW.US,D,20220407,000000,0.18,0.197,0.18,0.197,156247,0
FEXDW.US,D,20220408,000000,0.1801,0.1801,0.1597,0.1699,64627,0
FEXDW.US,D,20220411,000000,0.17,0.17,0.17,0.17,600,0
FEXDW.US,D,20220412,000000,0.16,0.1699,0.155,0.1699,40200,0
FEXDW.US,D,20220413,000000,0.1699,0.1699,0.168,0.168,2738,0
FEXDW.US,D,20220414,000000,0.16,0.1668,0.16,0.1668,900,0
FEXDW.US,D,20220418,000000,0.16,0.1699,0.16,0.16,713422,0
FEXDW.US,D,20220420,000000,0.16,0.1699,0.16,0.1699,1962,0
FEXDW.US,D,20220422,000000,0.1699,0.17,0.165,0.17,2350,0
FEXDW.US,D,20220425,000000,0.17,0.17,0.17,0.17,600,0
FEXDW.US,D,20220428,000000,0.1699,0.1699,0.1506,0.1506,1950,0
FEXDW.US,D,20220429,000000,0.16,0.16,0.1586,0.16,3500,0
FEXDW.US,D,20220502,000000,0.16,0.16,0.1509,0.1509,28200,0
FEXDW.US,D,20220503,000000,0.15,0.15,0.15,0.15,800,0
FEXDW.US,D,20220510,000000,0.1401,0.1401,0.1399,0.1399,2000,0
FEXDW.US,D,20220512,000000,0.1101,0.1199,0.11,0.1199,3100,0
FEXDW.US,D,20220513,000000,0.08,0.12,0.08,0.105,1501,0
FEXDW.US,D,20220519,000000,0.1249,0.1372,0.1249,0.1371,2416,0
FEXDW.US,D,20220520,000000,0.1,0.1,0.095,0.0998,2362,0
FEXDW.US,D,20220524,000000,0.0999,0.0999,0.0998,0.0998,1510,0
FEXDW.US,D,20220525,000000,0.0999,0.0999,0.0999,0.0999,110,0
FEXDW.US,D,20220526,000000,0.0999,0.0999,0.0999,0.0999,550,0
FEXDW.US,D,20220531,000000,0.1,0.1,0.1,0.1,100,0
FEXDW.US,D,20220601,000000,0.0999,0.0999,0.095,0.0999,13500,0
FEXDW.US,D,20220603,000000,0.1744,0.1897,0.09,0.09,7270,0
FEXDW.US,D,20220606,000000,0.0999,0.158,0.0999,0.1376,216742,0
FEXDW.US,D,20220607,000000,0.1439,0.1439,0.13,0.135,34100,0
FEXDW.US,D,20220608,000000,0.135,0.135,0.1101,0.135,32213,0
FEXDW.US,D,20220609,000000,0.1375,0.1375,0.1203,0.135,1900,0
FEXDW.US,D,20220610,000000,0.135,0.135,0.132,0.132,902,0
FEXDW.US,D,20220613,000000,0.1101,0.135,0.1101,0.12,790,0
FEXDW.US,D,20220614,000000,0.135,0.135,0.135,0.135,1085,0
FEXDW.US,D,20220617,000000,0.13,0.13,0.12,0.12,984,0
FEXDW.US,D,20220621,000000,0.13,0.13,0.125,0.125,27000,0
FEXDW.US,D,20220623,000000,0.1368,0.15,0.12,0.13,70600,0
FEXDW.US,D,20220624,000000,0.1238,0.1238,0.1215,0.1215,25600,0
FEXDW.US,D,20220627,000000,0.1215,0.1215,0.1215,0.1215,2000,0
FEXDW.US,D,20220628,000000,0.1158,0.116,0.11,0.1125,76600,0
FEXDW.US,D,20220629,000000,0.1,0.1109,0.1,0.1109,1700,0
FEXDW.US,D,20220630,000000,0.1,0.1,0.1,0.1,600,0
FEXDW.US,D,20220701,000000,0.09,0.09,0.09,0.09,800,0
