<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAMCU.US,D,20210318,000000,9.97,9.97,9.9,9.97,877294,0
GAMCU.US,D,20210319,000000,9.95,9.97,9.945,9.95,263466,0
GAMCU.US,D,20210322,000000,9.95,9.95,9.93,9.9484,95416,0
GAMCU.US,D,20210323,000000,9.93,9.94,9.92,9.93,969814,0
GAMCU.US,D,20210324,000000,9.95,9.96,9.9,9.9,208828,0
GAMCU.US,D,20210325,000000,9.82,9.83,9.8,9.83,55743,0
GAMCU.US,D,20210326,000000,10,10,9.86,9.92,3702,0
GAMCU.US,D,20210329,000000,9.92,9.92,9.89,9.8905,14746,0
GAMCU.US,D,20210331,000000,9.98,9.98,9.95,9.95,5281,0
GAMCU.US,D,20210401,000000,9.95,9.97,9.95,9.97,17501,0
GAMCU.US,D,20210405,000000,9.96,9.98,9.96,9.97,343143,0
GAMCU.US,D,20210406,000000,9.973,9.98,9.97,9.975,23021,0
GAMCU.US,D,20210407,000000,9.96,9.96,9.93,9.93,19360,0
GAMCU.US,D,20210408,000000,9.95,9.97,9.95,9.97,2184,0
GAMCU.US,D,20210409,000000,9.98,10,9.98,10,430790,0
GAMCU.US,D,20210412,000000,10,10,9.97,10,42320,0
GAMCU.US,D,20210413,000000,9.98,10,9.98,10,939,0
GAMCU.US,D,20210414,000000,9.98,10,9.98,10,128017,0
GAMCU.US,D,20210415,000000,9.99,10,9.98,9.985,413874,0
GAMCU.US,D,20210416,000000,10,10,9.98,9.98,12359,0
GAMCU.US,D,20210419,000000,9.97,10,9.97,10,468543,0
GAMCU.US,D,20210420,000000,9.98,10,9.98,10,673158,0
GAMCU.US,D,20210421,000000,9.99,10,9.99,9.99,822,0
GAMCU.US,D,20210422,000000,9.98,9.98,9.97,9.97,640,0
GAMCU.US,D,20210423,000000,9.97,9.97,9.94,9.94,373912,0
GAMCU.US,D,20210426,000000,10,10,9.9407,9.9407,2784,0
GAMCU.US,D,20210428,000000,9.94,9.97,9.93,9.97,17181,0
GAMCU.US,D,20210429,000000,9.95,9.95,9.91,9.92,1417254,0
GAMCU.US,D,20210430,000000,9.91,9.94,9.9,9.93,62201,0
GAMCU.US,D,20210503,000000,9.99,10,9.93,9.93,213620,0
GAMCU.US,D,20210504,000000,9.93,9.94,9.93,9.94,2563,0
GAMCU.US,D,20210505,000000,9.945,9.95,9.93,9.93,12681,0
GAMCU.US,D,20210506,000000,9.95,9.99,9.94,9.97,53853,0
GAMCU.US,D,20210507,000000,9.97,9.98,9.96,9.97,210737,0
GAMCU.US,D,20210510,000000,9.97,9.97,9.95,9.955,24546,0
GAMCU.US,D,20210511,000000,9.93,9.95,9.93,9.94,124778,0
GAMCU.US,D,20210512,000000,9.94,9.95,9.93,9.93,8734,0
GAMCU.US,D,20210513,000000,9.95,10,9.95,9.95,23108,0
GAMCU.US,D,20210514,000000,9.98,9.98,9.94,9.95,8029,0
GAMCU.US,D,20210517,000000,9.94,9.96,9.94,9.94,2567,0
GAMCU.US,D,20210518,000000,9.93,9.93,9.93,9.93,569,0
GAMCU.US,D,20210519,000000,9.94,9.94,9.91,9.9105,19613,0
GAMCU.US,D,20210520,000000,9.92,9.955,9.91,9.94,17088,0
GAMCU.US,D,20210521,000000,9.97,9.97,9.97,9.97,100,0
GAMCU.US,D,20210524,000000,9.96,9.97,9.91,9.91,9886,0
GAMCU.US,D,20210525,000000,9.91,9.91,9.91,9.91,3453,0
GAMCU.US,D,20210526,000000,9.91,9.91,9.89,9.9,31390,0
GAMCU.US,D,20210527,000000,9.9,9.91,9.9,9.905,1059,0
GAMCU.US,D,20210528,000000,9.91,9.91,9.89,9.9,5555,0
GAMCU.US,D,20210601,000000,9.89,9.91,9.8814,9.9,147384,0
GAMCU.US,D,20210602,000000,9.9,9.9,9.88,9.89,55288,0
GAMCU.US,D,20210604,000000,9.885,9.915,9.885,9.91,50987,0
GAMCU.US,D,20210607,000000,9.92,9.92,9.9,9.9,2373,0
GAMCU.US,D,20210608,000000,9.9,9.9,9.9,9.9,9127,0
GAMCU.US,D,20210609,000000,9.92,10,9.91,9.95,39614,0
GAMCU.US,D,20210611,000000,9.91,9.93,9.91,9.93,1182,0
GAMCU.US,D,20210614,000000,9.915,9.94,9.915,9.94,161048,0
GAMCU.US,D,20210615,000000,9.93,9.935,9.93,9.93,2640,0
GAMCU.US,D,20210617,000000,9.92,9.935,9.92,9.935,1521,0
GAMCU.US,D,20210618,000000,9.95,9.95,9.93,9.94,797,0
GAMCU.US,D,20210621,000000,9.945,9.945,9.92,9.92,4511,0
GAMCU.US,D,20210622,000000,9.9319,9.9319,9.9319,9.9319,100,0
GAMCU.US,D,20210623,000000,9.933,9.935,9.9305,9.935,703,0
GAMCU.US,D,20210624,000000,9.93,9.93,9.93,9.93,2300,0
GAMCU.US,D,20210625,000000,9.935,9.935,9.935,9.935,600,0
GAMCU.US,D,20210628,000000,9.93,9.98,9.92,9.97,151827,0
