<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GDSTR.US,D,20220418,000000,0.1501,0.2,0.1501,0.18,1057719,0
GDSTR.US,D,20220419,000000,0.2,0.25,0.2,0.2243,102597,0
GDSTR.US,D,20220420,000000,0.22,0.22,0.205,0.2106,10300,0
GDSTR.US,D,20220421,000000,0.1933,0.24,0.18,0.24,372851,0
GDSTR.US,D,20220425,000000,0.1999,0.1999,0.1999,0.1999,500,0
GDSTR.US,D,20220426,000000,0.1851,0.2,0.18,0.2,6400,0
GDSTR.US,D,20220428,000000,0.18,0.2,0.18,0.1851,6370,0
GDSTR.US,D,20220504,000000,0.16,0.2,0.15,0.2,168764,0
GDSTR.US,D,20220506,000000,0.215,0.215,0.215,0.215,200,0
GDSTR.US,D,20220509,000000,0.15,0.2,0.15,0.2,351,0
GDSTR.US,D,20220516,000000,0.15,0.1725,0.15,0.1725,200,0
GDSTR.US,D,20220517,000000,0.15,0.2,0.15,0.2,404100,0
GDSTR.US,D,20220518,000000,0.16,0.1611,0.1502,0.1611,63100,0
GDSTR.US,D,20220519,000000,0.16,0.17,0.16,0.17,113100,0
GDSTR.US,D,20220520,000000,0.161,0.17,0.161,0.17,2100,0
GDSTR.US,D,20220524,000000,0.1601,0.1601,0.1601,0.1601,100,0
GDSTR.US,D,20220526,000000,0.17,0.17,0.16,0.16,5911,0
GDSTR.US,D,20220527,000000,0.16,0.17,0.16,0.16,180514,0
GDSTR.US,D,20220609,000000,0.14,0.14,0.14,0.14,100,0
GDSTR.US,D,20220610,000000,0.1388,0.14,0.09,0.1049,358402,0
GDSTR.US,D,20220613,000000,0.115,0.115,0.114626,0.114626,2080,0
GDSTR.US,D,20220614,000000,0.115,0.115,0.115,0.115,1400,0
GDSTR.US,D,20220615,000000,0.1351,0.1351,0.1351,0.1351,100,0
GDSTR.US,D,20220616,000000,0.13,0.21,0.13,0.21,4233,0
GDSTR.US,D,20220621,000000,0.2115,0.2115,0.18,0.2,85369,0
GDSTR.US,D,20220622,000000,0.3248,0.4,0.17,0.17,98800,0
GDSTR.US,D,20220623,000000,0.418,0.418,0.1683,0.17,24367,0
GDSTR.US,D,20220624,000000,0.19,0.247,0.1632,0.1632,6654,0
GDSTR.US,D,20220627,000000,0.2617,0.2617,0.19,0.2,21200,0
GDSTR.US,D,20220629,000000,0.2,0.28,0.19,0.19,5002,0
GDSTR.US,D,20220701,000000,0.16,0.17,0.155,0.17,10068,0
GDSTR.US,D,20220705,000000,0.16,0.16,0.135,0.16,3349,0
GDSTR.US,D,20220706,000000,0.16,0.16,0.16,0.16,201,0
GDSTR.US,D,20220712,000000,0.15,0.15,0.15,0.15,5005,0
GDSTR.US,D,20220713,000000,0.139399,0.139399,0.135,0.135,5437,0
GDSTR.US,D,20220715,000000,0.142,0.1499,0.1419,0.1499,6500,0
GDSTR.US,D,20220721,000000,0.1476,0.1476,0.1476,0.1476,500,0
GDSTR.US,D,20220727,000000,0.15,0.15,0.15,0.15,100,0
GDSTR.US,D,20220729,000000,0.145,0.145,0.115,0.115,1300,0
GDSTR.US,D,20220801,000000,0.115,0.115,0.115,0.115,2700,0
GDSTR.US,D,20220802,000000,0.0999,0.1,0.099899,0.0999,10400,0
GDSTR.US,D,20220803,000000,0.1,0.1,0.075,0.0889,2500,0
GDSTR.US,D,20220804,000000,0.08,0.08,0.0755,0.0755,1200,0
GDSTR.US,D,20220805,000000,0.0775,0.0775,0.07,0.07,300,0
GDSTR.US,D,20220808,000000,0.0601,0.0601,0.055,0.06,34747,0
GDSTR.US,D,20220812,000000,0.12,0.156,0.08,0.156,1571,0
GDSTR.US,D,20220815,000000,0.2048,0.2048,0.158,0.158,1293,0
GDSTR.US,D,20220816,000000,0.0572,0.2,0.0572,0.1899,2200,0
GDSTR.US,D,20220817,000000,0.19,0.19,0.19,0.19,6320,0
GDSTR.US,D,20220819,000000,0.13,0.19,0.0759,0.1727,9770,0
GDSTR.US,D,20220822,000000,0.1398,0.17,0.125,0.17,17427,0
GDSTR.US,D,20220823,000000,0.195,0.195,0.185,0.195,6100,0
GDSTR.US,D,20220825,000000,0.12,0.2454,0.12,0.2,32686,0
GDSTR.US,D,20220826,000000,0.245,0.245,0.245,0.245,100,0
GDSTR.US,D,20220908,000000,0.2,0.2,0.15,0.2,2700,0
GDSTR.US,D,20220912,000000,0.0996,0.19,0.0996,0.19,2101,0
GDSTR.US,D,20220913,000000,0.150101,0.195,0.15,0.15,3165,0
GDSTR.US,D,20220920,000000,0.15,0.15,0.15,0.15,5000,0
GDSTR.US,D,20220930,000000,0.195,0.195,0.195,0.195,202,0
GDSTR.US,D,20221006,000000,0.0573,0.1,0.0573,0.09,40299,0
GDSTR.US,D,20221021,000000,0.08,0.08,0.08,0.08,210,0
GDSTR.US,D,20221102,000000,0.09,0.09,0.09,0.09,500,0
GDSTR.US,D,20221117,000000,0.09,0.09,0.09,0.09,113,0
GDSTR.US,D,20221129,000000,0.0989,0.0989,0.09,0.09,453501,0
GDSTR.US,D,20230113,000000,0.175,0.175,0.175,0.175,1000,0
GDSTR.US,D,20230119,000000,0.175,0.175,0.175,0.175,100,0
GDSTR.US,D,20230124,000000,0.1,0.1,0.1,0.1,539,0
GDSTR.US,D,20230125,000000,0.1,0.1,0.1,0.1,2353,0
GDSTR.US,D,20230210,000000,0.1,0.1,0.1,0.1,10336,0
GDSTR.US,D,20230303,000000,0.1,0.1816,0.1,0.1816,1064,0
