<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GENQU.US,D,20220216,000000,10,10.02,10,10.01,1103141,0
GENQU.US,D,20220217,000000,9.99,10.01,9.98,9.98,181413,0
GENQU.US,D,20220218,000000,9.99,10.01,9.98,10.01,101861,0
GENQU.US,D,20220222,000000,9.99,9.99,9.99,9.99,2593,0
GENQU.US,D,20220223,000000,10.02,10.02,10,10.02,4136,0
GENQU.US,D,20220224,000000,10,10,9.99,10,13593,0
GENQU.US,D,20220225,000000,9.99,9.99,9.98,9.99,105061,0
GENQU.US,D,20220228,000000,9.98,9.98,9.98,9.98,200,0
GENQU.US,D,20220301,000000,10,10,9.99,10,445,0
GENQU.US,D,20220302,000000,10,10,9.97,9.97,220696,0
GENQU.US,D,20220304,000000,10.0371,10.0371,10.0371,10.0371,127,0
GENQU.US,D,20220314,000000,9.98,9.98,9.98,9.98,429,0
GENQU.US,D,20220316,000000,9.9701,9.9701,9.9701,9.9701,199,0
GENQU.US,D,20220323,000000,10,10,10,10,114,0
GENQU.US,D,20220401,000000,10,10,9.99,9.99,442,0
GENQU.US,D,20220404,000000,10,10,10,10,1859,0
GENQU.US,D,20220405,000000,10.0002,10.0002,10.0002,10.0002,4415,0
GENQU.US,D,20220406,000000,10.015,10.02,10.015,10.015,6058,0
GENQU.US,D,20220407,000000,10.02,10.05,10.02,10.05,89003,0
GENQU.US,D,20220408,000000,10.04,10.05,10.04,10.05,52779,0
GENQU.US,D,20220411,000000,10.06,10.06,10.055,10.06,39729,0
GENQU.US,D,20220412,000000,10.07,10.08,10.07,10.08,6500,0
GENQU.US,D,20220413,000000,10.085,10.1,10.085,10.1,6010,0
GENQU.US,D,20220414,000000,10.12,10.12,10.12,10.12,500,0
GENQU.US,D,20220418,000000,10.09,10.13,10.09,10.13,6567,0
GENQU.US,D,20220422,000000,10.08,10.08,10.08,10.08,4900,0
GENQU.US,D,20220425,000000,10.08,10.08,10.08,10.08,999,0
GENQU.US,D,20220428,000000,10.1193,10.12,10.1193,10.1199,6000,0
GENQU.US,D,20220429,000000,10.125,10.125,10.12,10.12,7041,0
GENQU.US,D,20220510,000000,10.06,10.06,10.06,10.06,100,0
GENQU.US,D,20220518,000000,10.06,10.06,10.06,10.06,312,0
GENQU.US,D,20220526,000000,10.0101,10.055,10.01,10.01,8349,0
GENQU.US,D,20220608,000000,10.01,10.01,9.98,9.98,1001,0
GENQU.US,D,20220609,000000,10.14,10.14,10.14,10.14,749,0
GENQU.US,D,20220610,000000,10.14,10.14,10.14,10.14,143,0
GENQU.US,D,20220616,000000,10.19,10.19,10.19,10.19,220,0
GENQU.US,D,20220621,000000,10.01,10.81,10.01,10.18,9480,0
GENQU.US,D,20220701,000000,10.02,10.03,9.99,10.03,81500,0
GENQU.US,D,20220705,000000,10.03,10.03,10.03,10.03,100,0
GENQU.US,D,20220706,000000,10.53,10.53,10.53,10.53,300,0
GENQU.US,D,20220707,000000,10.05,10.545,10.03,10.03,7563,0
GENQU.US,D,20220711,000000,10.02,10.02,10.02,10.02,308,0
GENQU.US,D,20220726,000000,10.08,10.08,10.08,10.08,311,0
GENQU.US,D,20220729,000000,10.05,10.125,10.05,10.125,2268,0
GENQU.US,D,20220802,000000,10.05,10.0512,10.05,10.0501,2262,0
GENQU.US,D,20220819,000000,9.99,9.99,9.98,9.98,404,0
GENQU.US,D,20220822,000000,10,10,10,10,100,0
GENQU.US,D,20220901,000000,10.04,10.04,10.04,10.04,100,0
GENQU.US,D,20220915,000000,9.99,9.99,9.99,9.99,2310,0
GENQU.US,D,20220920,000000,9.99,10,9.985,10,5400,0
GENQU.US,D,20220923,000000,10.02,10.02,9.99,10,218640,0
GENQU.US,D,20220926,000000,10.01,10.01,10.01,10.01,17000,0
GENQU.US,D,20221004,000000,10,10,10,10,100,0
GENQU.US,D,20221007,000000,10,10,10,10,100,0
GENQU.US,D,20221010,000000,10.02,10.02,10.02,10.02,100,0
GENQU.US,D,20221011,000000,10.01,10.01,10.01,10.01,100,0
GENQU.US,D,20221012,000000,10,10,10,10,100,0
GENQU.US,D,20221013,000000,10,10,10,10,100,0
GENQU.US,D,20221014,000000,10,10,10,10,100,0
GENQU.US,D,20221017,000000,10,10,10,10,100,0
GENQU.US,D,20221019,000000,10.01,10.01,10.01,10.01,108,0
GENQU.US,D,20221020,000000,10.04,10.04,10.04,10.04,1200,0
GENQU.US,D,20221021,000000,10.04,10.04,10.03,10.04,5608,0
GENQU.US,D,20221025,000000,10.05,10.05,10.05,10.05,200,0
GENQU.US,D,20221102,000000,10.05,10.05,10.05,10.05,100,0
GENQU.US,D,20221103,000000,10.05,10.05,10.05,10.05,100,0
GENQU.US,D,20221104,000000,10.05,10.05,10.05,10.05,108,0
GENQU.US,D,20221107,000000,10.06,10.06,10.06,10.06,103,0
GENQU.US,D,20221115,000000,10.05,10.05,10.05,10.05,100,0
GENQU.US,D,20221116,000000,10.05,10.05,10.05,10.05,100,0
GENQU.US,D,20221117,000000,10.09,10.09,10.09,10.09,100,0
GENQU.US,D,20221118,000000,10.09,10.11,10.09,10.11,2400,0
GENQU.US,D,20221121,000000,10.1,10.1,10.1,10.1,200,0
GENQU.US,D,20221122,000000,10.09,10.09,10.09,10.09,300,0
GENQU.US,D,20221123,000000,10.11,10.11,10.11,10.11,2000,0
GENQU.US,D,20221128,000000,10.1108,10.1108,10.1108,10.1108,564,0
GENQU.US,D,20221130,000000,10.14,10.14,10.14,10.14,1750,0
GENQU.US,D,20221201,000000,10.17,10.17,10.13,10.15,8475,0
GENQU.US,D,20221206,000000,10.13,10.13,10.13,10.13,4900,0
GENQU.US,D,20221208,000000,10.1,10.1,10.09,10.09,5100,0
GENQU.US,D,20221216,000000,10.09,10.09,10.09,10.09,100,0
GENQU.US,D,20221221,000000,10.15,10.15,10.15,10.15,103,0
GENQU.US,D,20221222,000000,10.11,10.11,10.11,10.11,100,0
GENQU.US,D,20230103,000000,10.25,10.25,10.17,10.21,74583,0
GENQU.US,D,20230104,000000,10.2199,10.26,10.2198,10.22,9700,0
GENQU.US,D,20230106,000000,10.22,10.22,10.21,10.21,1560,0
GENQU.US,D,20230111,000000,10.29,10.29,10.29,10.29,499,0
GENQU.US,D,20230113,000000,10.33,10.48,10.32,10.32,3020,0
GENQU.US,D,20230123,000000,10.35,10.35,10.35,10.35,3117,0
GENQU.US,D,20230131,000000,10.42,10.42,10.42,10.42,100,0
GENQU.US,D,20230227,000000,10.5525,10.5525,10.55,10.5501,7300,0
GENQU.US,D,20230228,000000,10.6,10.6,10.599,10.599,900,0
GENQU.US,D,20230306,000000,10.58,10.64,10.58,10.58,500,0
GENQU.US,D,20230314,000000,10.62,10.62,10.61,10.62,1341,0
GENQU.US,D,20230322,000000,11,11,11,11,100,0
GENQU.US,D,20230411,000000,10.7,10.7,10.68,10.68,300,0
GENQU.US,D,20230412,000000,10.69,10.69,10.68,10.68,508,0
GENQU.US,D,20230418,000000,10.7,10.7,10.7,10.7,605,0
GENQU.US,D,20230509,000000,10.72,10.72,10.72,10.72,400,0
GENQU.US,D,20230510,000000,10.72,10.73,10.72,10.73,2906,0
GENQU.US,D,20230518,000000,10.73,10.73,10.73,10.73,100,0
GENQU.US,D,20230519,000000,10.76,10.76,10.76,10.76,104,0
GENQU.US,D,20230522,000000,10.78,10.79,10.75,10.75,2277,0
GENQU.US,D,20230526,000000,10.79,10.895,10.79,10.8,2232,0
GENQU.US,D,20230621,000000,10.87,11.42,10.84,10.85,1000,0
GENQU.US,D,20230622,000000,10.84,10.84,10.84,10.84,246,0
GENQU.US,D,20230706,000000,10.84,10.84,10.84,10.84,100,0
GENQU.US,D,20230711,000000,10.68,10.7968,10.68,10.69,1014,0
GENQU.US,D,20230712,000000,10.69,11.0875,10.69,10.7301,1600,0
GENQU.US,D,20230717,000000,10.68,10.8465,10.68,10.79,5495,0
GENQU.US,D,20230721,000000,10.69,10.74,10.1,10.1,1217,0
GENQU.US,D,20230724,000000,10.7,10.7001,10.5001,10.53,406,0
GENQU.US,D,20230726,000000,10.56,11.63,10.47,10.47,3623,0
GENQU.US,D,20230727,000000,10.15,10.15,10.09,10.09,1661,0
GENQU.US,D,20230801,000000,8.76,10.48,8.76,10.48,687,0
GENQU.US,D,20230802,000000,9.43,9.43,9.43,9.43,102,0
GENQU.US,D,20230803,000000,10.33,11.11,9.62,10.3,2398,0
