<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSD.US,D,20211001,000000,9.89,9.89,9.89,9.89,350059,0
GSD.US,D,20211004,000000,9.95,10.06,9.91,10.01,14555,0
GSD.US,D,20211005,000000,10.0999,10.0999,9.9211,9.992,529,0
GSD.US,D,20211006,000000,9.9,9.95,9.9,9.9438,306129,0
GSD.US,D,20211007,000000,10,10,10,10,1472,0
GSD.US,D,20211008,000000,10,10,9.9,9.92,4654,0
GSD.US,D,20211011,000000,9.9,10,9.9,9.99,166606,0
GSD.US,D,20211012,000000,9.99,10,9.98,9.99,754635,0
GSD.US,D,20211013,000000,10,10.01,9.99,9.99,113876,0
GSD.US,D,20211014,000000,9.99,9.99,9.97,9.97,102611,0
GSD.US,D,20211015,000000,9.97,9.9701,9.95,9.95,11755,0
GSD.US,D,20211018,000000,9.99,10,9.99,9.99,12709,0
GSD.US,D,20211019,000000,9.99,9.99,9.99,9.99,425614,0
GSD.US,D,20211020,000000,9.99,9.99,9.98,9.985,47622,0
GSD.US,D,20211025,000000,10.03,10.03,10.03,10.03,158,0
GSD.US,D,20211026,000000,10,10,9.98,9.98,54154,0
GSD.US,D,20211028,000000,10.68,10.92,9.93,9.97,123433,0
GSD.US,D,20211102,000000,9.99,10,9.99,10,10010,0
GSD.US,D,20211104,000000,9.99,9.99,9.99,9.99,150013,0
GSD.US,D,20211105,000000,10,10.03,10,10,927,0
GSD.US,D,20211108,000000,9.97,9.99,9.96,9.97,8924,0
GSD.US,D,20211109,000000,9.99,10,9.95,9.95,164090,0
GSD.US,D,20211110,000000,9.96,9.97,9.93,9.96,9472,0
GSD.US,D,20211111,000000,9.9696,9.97,9.95,9.97,57076,0
GSD.US,D,20211112,000000,9.9632,9.97,9.94,9.96,126924,0
GSD.US,D,20211116,000000,9.96,10.4,9.93,9.9499,9272,0
GSD.US,D,20211117,000000,9.94,9.94,9.94,9.94,314,0
GSD.US,D,20211118,000000,9.97,9.97,9.95,9.96,1719,0
GSD.US,D,20211122,000000,9.96,9.98,9.95,9.98,12979,0
