<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HSCS.US,D,20220616,000000,3.18,3.21,2.31,2.42,2987377,0
HSCS.US,D,20220617,000000,2.2,2.2,2.01,2.0777,512381,0
HSCS.US,D,20220621,000000,1.99,2.25,1.97,1.98,263924,0
HSCS.US,D,20220622,000000,1.91,1.96,1.7,1.78,282741,0
HSCS.US,D,20220623,000000,1.83,1.8508,1.7101,1.81,112140,0
HSCS.US,D,20220624,000000,1.81,2.0827,1.7201,2.02,291791,0
HSCS.US,D,20220627,000000,2.02,2.0939,1.9,1.98,158364,0
HSCS.US,D,20220628,000000,1.94,2.0789,1.8047,1.83,74736,0
HSCS.US,D,20220629,000000,1.75,1.8449,1.75,1.8,25093,0
HSCS.US,D,20220630,000000,1.8,2.0799,1.72,1.874,129245,0
HSCS.US,D,20220701,000000,1.782,1.82,1.7201,1.8199,36758,0
HSCS.US,D,20220705,000000,1.7407,1.84,1.73,1.75,37073,0
HSCS.US,D,20220706,000000,1.73,1.82,1.72,1.73,22345,0
HSCS.US,D,20220707,000000,1.77,1.79,1.71,1.73,16648,0
HSCS.US,D,20220708,000000,1.775,1.8399,1.7262,1.75,6551,0
HSCS.US,D,20220711,000000,1.81,1.81,1.575,1.61,35985,0
HSCS.US,D,20220712,000000,1.61,1.7,1.42,1.44,163885,0
HSCS.US,D,20220713,000000,1.4388,1.46,1.28,1.39,171880,0
HSCS.US,D,20220714,000000,1.37,1.37,1.28,1.31,35775,0
HSCS.US,D,20220715,000000,1.3,1.3899,1.26,1.3,32503,0
HSCS.US,D,20220718,000000,1.34,1.3599,1.26,1.29,37049,0
HSCS.US,D,20220719,000000,1.25,1.3345,1.23,1.25,20839,0
HSCS.US,D,20220720,000000,1.2541,1.5186,1.22,1.37,142664,0
HSCS.US,D,20220721,000000,1.35,1.35,1.15,1.22,244254,0
HSCS.US,D,20220722,000000,1.25,1.32,1.17,1.21,70514,0
HSCS.US,D,20220725,000000,1.25,1.45,1.21,1.38,178741,0
HSCS.US,D,20220726,000000,1.38,1.38,1.3,1.3261,63510,0
HSCS.US,D,20220727,000000,1.37,1.4199,1.33,1.4,43275,0
HSCS.US,D,20220728,000000,1.36,1.48,1.2109,1.48,79142,0
HSCS.US,D,20220729,000000,1.37,1.71,1.37,1.5,128456,0
HSCS.US,D,20220801,000000,1.48,1.71,1.41,1.5756,189451,0
HSCS.US,D,20220802,000000,1.67,1.79,1.5184,1.73,202331,0
HSCS.US,D,20220803,000000,1.79,6,1.6607,3.28,28359589,0
