<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBTO.US,D,20230705,000000,24.6757,24.6757,24.6757,24.6757,120,0
IBTO.US,D,20230706,000000,24.5,24.5,24.4063,24.465,15256,0
IBTO.US,D,20230707,000000,24.43,24.49,24.43,24.435,15547,0
IBTO.US,D,20230710,000000,24.46,24.555,24.46,24.555,7459,0
IBTO.US,D,20230711,000000,24.58,24.6,24.58,24.6,175,0
IBTO.US,D,20230712,000000,24.78,24.88,24.78,24.84,1932,0
IBTO.US,D,20230713,000000,25.06,25.06,25.06,25.06,20,0
IBTO.US,D,20230714,000000,24.9499,24.9499,24.93,24.93,267,0
IBTO.US,D,20230717,000000,24.97,24.97,24.97,24.97,14,0
IBTO.US,D,20230718,000000,25.07,25.079,25,25,1437,0
IBTO.US,D,20230719,000000,25.02,25.105,25.02,25.105,6396,0
IBTO.US,D,20230720,000000,24.99,24.99,24.89,24.9066,544,0
IBTO.US,D,20230721,000000,24.925,24.925,24.925,24.925,2,0
IBTO.US,D,20230724,000000,24.96,24.96,24.86,24.86,2365,0
IBTO.US,D,20230725,000000,24.79,24.8125,24.7757,24.8125,2928,0
IBTO.US,D,20230726,000000,24.8882,24.8882,24.8882,24.8882,1,0
IBTO.US,D,20230727,000000,24.66,24.66,24.6121,24.6121,2000,0
IBTO.US,D,20230728,000000,24.69,24.695,24.69,24.695,4084,0
IBTO.US,D,20230731,000000,24.73,24.73,24.7052,24.7052,376,0
IBTO.US,D,20230801,000000,24.5,24.51,24.47,24.47,1544,0
IBTO.US,D,20230802,000000,24.31,24.405,24.31,24.405,14987,0
IBTO.US,D,20230803,000000,24.2,24.2,24.1823,24.1823,4950,0
IBTO.US,D,20230804,000000,24.48,24.48,24.4707,24.4707,415,0
