<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INKT.US,D,20211015,000000,12.04,12.4,11.2,12,711216,0
INKT.US,D,20211018,000000,11.76,12.1,11.5,11.7,197408,0
INKT.US,D,20211019,000000,11.71,12.49,11.45,12.1,171984,0
INKT.US,D,20211020,000000,12.11,12.3,11.6,12.22,95500,0
INKT.US,D,20211021,000000,12.27,13.39,11.98,12.59,115034,0
INKT.US,D,20211022,000000,12.48,12.95,11.7759,12.04,109692,0
INKT.US,D,20211025,000000,12.14,12.6,11.33,11.99,123826,0
INKT.US,D,20211026,000000,11.75,12.5812,11.63,12.44,105850,0
INKT.US,D,20211027,000000,12.44,13.68,12.13,13.56,48869,0
INKT.US,D,20211028,000000,13.39,14.535,12.73,14.51,118612,0
INKT.US,D,20211029,000000,14.54,18.1,14.27,17.89,136359,0
INKT.US,D,20211101,000000,18.34,22.155,17.27,18.94,257028,0
INKT.US,D,20211102,000000,18.46,20.9499,18.3884,19.91,143442,0
INKT.US,D,20211103,000000,19.91,20.6738,18.05,18.93,90104,0
INKT.US,D,20211104,000000,18.63,19.8,17.33,18.99,54921,0
INKT.US,D,20211105,000000,19,19.36,16.11,17.38,69961,0
INKT.US,D,20211108,000000,16.99,19.12,16.99,18.96,49533,0
INKT.US,D,20211109,000000,20.29,21.4,19.6223,19.8,57755,0
INKT.US,D,20211110,000000,20,20.83,18.48,19,44622,0
INKT.US,D,20211111,000000,18.99,20.9637,18.896,20.03,40354,0
INKT.US,D,20211112,000000,21.31,21.31,15.5001,16.4,96397,0
INKT.US,D,20211115,000000,15.62,17.64,15.54,17.43,47566,0
INKT.US,D,20211116,000000,16.9,18.4167,16,16.18,41268,0
INKT.US,D,20211117,000000,15.92,18.9365,15.01,16.99,85006,0
INKT.US,D,20211118,000000,16.56,17.9,15.66,16,54882,0
INKT.US,D,20211119,000000,16.1,16.78,15.59,15.98,47379,0
INKT.US,D,20211122,000000,16.03,16.99,15.0801,16.87,25467,0
INKT.US,D,20211123,000000,16.99,16.99,14.975,16.92,25028,0
INKT.US,D,20211124,000000,15.75,21.3985,15.19,18.76,89601,0
INKT.US,D,20211126,000000,18.42,20.99,18.4,20.01,31325,0
INKT.US,D,20211129,000000,19.55,19.64,13.18,13.28,104129,0
INKT.US,D,20211130,000000,14.18,14.18,11.25,11.6,114309,0
INKT.US,D,20211201,000000,11.6,14.54,11.1101,11.68,138566,0
INKT.US,D,20211202,000000,11.75,12.29,10.6,10.65,46959,0
INKT.US,D,20211203,000000,10.19,11.04,8.43,10.48,61678,0
INKT.US,D,20211206,000000,9.94,9.94,6.17,6.85,217160,0
INKT.US,D,20211207,000000,7.1,8.47,6.1984,7.57,125794,0
INKT.US,D,20211208,000000,7.9,8.12,6.9,7.05,70377,0
INKT.US,D,20211209,000000,6.85,7.31,6.38,6.72,73626,0
INKT.US,D,20211210,000000,6.1287,6.68,6.07,6.12,38677,0
INKT.US,D,20211213,000000,6.11,6.17,5.23,5.34,87890,0
INKT.US,D,20211214,000000,5.1,5.54,4.52,5.13,124692,0
INKT.US,D,20211215,000000,5.03,5.67,4.82,5.4,68582,0
INKT.US,D,20211216,000000,5.4,6.02,4.21,4.39,147994,0
INKT.US,D,20211217,000000,4.39,4.59,3.7,4.27,372073,0
INKT.US,D,20211220,000000,4.44,5.0399,4.3,4.44,203296,0
INKT.US,D,20211221,000000,4.47,4.67,3.92,4.45,207361,0
INKT.US,D,20211222,000000,4.38,4.55,4.04,4.12,90242,0
INKT.US,D,20211223,000000,4.15,4.9,4.01,4.68,176670,0
INKT.US,D,20211227,000000,4.5,4.8,4.25,4.3,77802,0
INKT.US,D,20211228,000000,4.35,4.39,4.05,4.21,72332,0
INKT.US,D,20211229,000000,4.205,4.35,4.06,4.28,53756,0
INKT.US,D,20211230,000000,4.25,4.5927,4.07,4.17,95509,0
INKT.US,D,20211231,000000,4.16,4.72,4.01,4.46,116099,0
INKT.US,D,20220103,000000,4.47,4.94,4.4,4.75,58752,0
INKT.US,D,20220104,000000,4.75,4.92,4.0797,4.32,81974,0
INKT.US,D,20220105,000000,4.37,4.51,4.07,4.14,41109,0
INKT.US,D,20220106,000000,4.17,4.17,3.82,4.02,37840,0
INKT.US,D,20220107,000000,3.98,4.05,3.84,3.99,116342,0
INKT.US,D,20220110,000000,3.95,3.95,3.5401,3.59,75789,0
INKT.US,D,20220111,000000,3.74,3.79,3.55,3.64,92512,0
INKT.US,D,20220112,000000,3.634,4.01,3.6,3.92,67042,0
INKT.US,D,20220113,000000,3.89,3.89,3.2001,3.36,116898,0
INKT.US,D,20220114,000000,3.22,3.45,3.066,3.17,271238,0
INKT.US,D,20220118,000000,3.21,3.4,3.18,3.19,534812,0
INKT.US,D,20220119,000000,3.19,3.43,3.1,3.27,74532,0
INKT.US,D,20220120,000000,3.26,3.61,3.05,3.17,104620,0
INKT.US,D,20220121,000000,3.11,3.42,2.98,3.12,88598,0
INKT.US,D,20220124,000000,3,3.09,2.6301,2.82,158526,0
INKT.US,D,20220125,000000,2.81,3.17,2.69,3.06,46295,0
INKT.US,D,20220126,000000,3.23,3.23,3,3.09,24958,0
INKT.US,D,20220127,000000,3.08,3.155,2.82,2.88,67143,0
INKT.US,D,20220128,000000,2.92,3,2.66,2.89,83560,0
INKT.US,D,20220131,000000,2.9674,3.39,2.9674,3.29,90673,0
INKT.US,D,20220201,000000,3.34,3.66,3.135,3.61,80413,0
INKT.US,D,20220202,000000,3.67,3.86,3.35,3.6,74269,0
INKT.US,D,20220203,000000,3.56,3.56,3.2,3.2,18500,0
INKT.US,D,20220204,000000,3.3,3.3,3.1,3.21,41419,0
INKT.US,D,20220207,000000,3.2,3.4512,3.14,3.2,48813,0
INKT.US,D,20220208,000000,3.29,3.29,2.9,2.97,38424,0
INKT.US,D,20220209,000000,2.94,3.08,2.82,2.95,56237,0
INKT.US,D,20220210,000000,2.8948,3.33,2.81,2.94,130174,0
INKT.US,D,20220211,000000,2.88,2.99,2.76,2.79,65787,0
INKT.US,D,20220214,000000,2.7931,2.96,2.75,2.76,46790,0
INKT.US,D,20220215,000000,2.9,3,2.69,2.84,25303,0
INKT.US,D,20220216,000000,2.78,2.9397,2.77,2.82,23361,0
INKT.US,D,20220217,000000,2.8296,2.8296,2.55,2.62,47802,0
INKT.US,D,20220218,000000,2.64,2.64,2.42,2.49,31601,0
INKT.US,D,20220222,000000,2.5199,2.62,2.4,2.48,20792,0
INKT.US,D,20220223,000000,2.41,2.5151,2.2188,2.44,32823,0
INKT.US,D,20220224,000000,2.285,2.94,2.26,2.87,75022,0
INKT.US,D,20220225,000000,2.81,2.93,2.55,2.59,84229,0
INKT.US,D,20220228,000000,2.73,3.09,2.5701,2.97,45667,0
INKT.US,D,20220301,000000,2.88,3.33,2.83,3.11,74270,0
INKT.US,D,20220302,000000,3.22,3.25,2.6999,2.85,88456,0
INKT.US,D,20220303,000000,2.84,3.09,2.81,2.92,20983,0
INKT.US,D,20220304,000000,2.97,3.0885,2.8501,2.91,17647,0
INKT.US,D,20220307,000000,2.86,2.88,2.52,2.57,53960,0
INKT.US,D,20220308,000000,2.64,2.69,2.525,2.62,14757,0
INKT.US,D,20220309,000000,2.75,2.93,2.74,2.89,12972,0
INKT.US,D,20220310,000000,2.99,2.99,2.62,2.65,12418,0
INKT.US,D,20220311,000000,2.71,2.73,2.16,2.29,54480,0
INKT.US,D,20220314,000000,2.37,2.37,2.23,2.24,4921,0
INKT.US,D,20220315,000000,2.2,2.31,2.2,2.27,4096,0
INKT.US,D,20220316,000000,2.24,2.8598,2.17,2.59,113143,0
INKT.US,D,20220317,000000,2.69,3.23,2.545,3.1,136807,0
INKT.US,D,20220318,000000,2.96,3.3599,2.852,3.14,230688,0
INKT.US,D,20220321,000000,3.1,3.1,2.8201,2.91,61857,0
INKT.US,D,20220322,000000,2.9,3,2.73,2.86,26478,0
INKT.US,D,20220323,000000,3,3.06,2.835,2.97,25108,0
INKT.US,D,20220324,000000,2.93,3.06,2.8,2.85,40650,0
INKT.US,D,20220325,000000,2.81,2.81,2.3,2.45,106795,0
INKT.US,D,20220328,000000,2.54,2.54,2.1601,2.22,117441,0
INKT.US,D,20220329,000000,2.256,2.48,2.25,2.36,42455,0
INKT.US,D,20220330,000000,2.31,2.3981,2.145,2.2,30832,0
INKT.US,D,20220331,000000,2.2,2.31,2.19,2.25,17195,0
INKT.US,D,20220401,000000,2.3,2.39,2.24,2.35,20534,0
INKT.US,D,20220404,000000,2.28,2.3235,2.2,2.23,30795,0
INKT.US,D,20220405,000000,2.2198,2.31,2.18,2.18,14403,0
INKT.US,D,20220406,000000,2.18,2.5,2.13,2.42,61835,0
INKT.US,D,20220407,000000,2.37,3.09,2.37,2.94,429416,0
INKT.US,D,20220408,000000,2.94,3.04,2.6501,2.75,62030,0
INKT.US,D,20220411,000000,2.8,2.8,2.456,2.47,21388,0
INKT.US,D,20220412,000000,2.43,3.64,2.43,3.18,612241,0
INKT.US,D,20220413,000000,3.14,3.6599,3.1,3.25,181912,0
INKT.US,D,20220414,000000,3.33,3.33,2.9,2.93,76019,0
INKT.US,D,20220418,000000,2.9,2.9,2.45,2.47,40372,0
INKT.US,D,20220419,000000,2.29,2.71,2.29,2.35,147632,0
INKT.US,D,20220420,000000,2.48,2.5,2.3,2.33,19859,0
INKT.US,D,20220421,000000,2.4,2.48,2.2602,2.3,34547,0
INKT.US,D,20220422,000000,2.3,2.345,2.21,2.29,42496,0
INKT.US,D,20220425,000000,2.2138,2.53,2.2138,2.45,39687,0
INKT.US,D,20220426,000000,2.45,2.45,2.21,2.23,48665,0
INKT.US,D,20220427,000000,2.3,2.65,2.24,2.57,32413,0
INKT.US,D,20220428,000000,2.4956,2.4956,2.22,2.24,45778,0
INKT.US,D,20220429,000000,2.23,2.33,2.23,2.24,14339,0
INKT.US,D,20220502,000000,2.31,2.45,2.24,2.29,20612,0
INKT.US,D,20220503,000000,2.25,2.33,2.21,2.23,16989,0
INKT.US,D,20220504,000000,2.21,2.29,2.07,2.24,27798,0
INKT.US,D,20220505,000000,2.19,2.24,2.04,2.07,25075,0
INKT.US,D,20220506,000000,2.07,2.17,1.92,1.95,33171,0
INKT.US,D,20220509,000000,1.9,1.9,1.66,1.76,43646,0
INKT.US,D,20220510,000000,1.52,1.76,1.5,1.52,33616,0
INKT.US,D,20220511,000000,1.3599,1.48,1.25,1.29,43411,0
INKT.US,D,20220512,000000,1.4,1.52,1.32,1.35,42401,0
INKT.US,D,20220513,000000,1.37,1.47,1.2688,1.29,47328,0
INKT.US,D,20220516,000000,1.39,1.44,1.2,1.25,34871,0
INKT.US,D,20220517,000000,1.4,1.4,1.22,1.29,254436,0
INKT.US,D,20220518,000000,1.3,1.31,1.23,1.26,32201,0
INKT.US,D,20220519,000000,1.27,1.45,1.2419,1.3,29100,0
INKT.US,D,20220520,000000,1.37,1.431,1.2545,1.31,12276,0
INKT.US,D,20220523,000000,1.33,1.3495,1.3,1.32,10562,0
INKT.US,D,20220524,000000,1.25,1.31,1.25,1.29,15710,0
INKT.US,D,20220525,000000,1.3288,1.35,1.28,1.31,16672,0
INKT.US,D,20220526,000000,1.36,1.39,1.33,1.36,7780,0
INKT.US,D,20220527,000000,1.48,1.69,1.4433,1.67,28126,0
INKT.US,D,20220531,000000,1.67,1.79,1.51,1.55,28914,0
INKT.US,D,20220601,000000,1.65,1.65,1.5,1.5,10156,0
INKT.US,D,20220602,000000,1.5144,1.56,1.5,1.54,6353,0
INKT.US,D,20220603,000000,1.5199,1.725,1.4601,1.65,9976,0
INKT.US,D,20220606,000000,1.58,1.79,1.49,1.49,28250,0
INKT.US,D,20220607,000000,1.86,1.97,1.51,1.84,60274,0
INKT.US,D,20220608,000000,1.8483,1.8483,1.5512,1.65,47582,0
INKT.US,D,20220609,000000,1.64,1.78,1.525,1.53,25346,0
INKT.US,D,20220610,000000,1.52,1.63,1.354,1.63,30844,0
INKT.US,D,20220613,000000,1.58,1.75,1.49,1.73,28672,0
