<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KTRA.US,D,20160713,000000,4675,4717,4575,4655,66.2,0
KTRA.US,D,20160714,000000,4640,4779.95,4155,4550,140.06,0
KTRA.US,D,20160715,000000,4595,4595,4325.05,4400,14.32,0
KTRA.US,D,20160718,000000,4397.4,4400,4200,4400,53.16,0
KTRA.US,D,20160719,000000,4400,4400,4123.5,4150,45.98,0
KTRA.US,D,20160720,000000,4100,4116.5,4015,4075,20.24,0
KTRA.US,D,20160721,000000,4074.95,4075,4055,4070,8.96,0
KTRA.US,D,20160722,000000,4042.9,4050,4005.05,4050,13.14,0
KTRA.US,D,20160725,000000,4075,4075,4021.8,4040,13.36,0
KTRA.US,D,20160726,000000,4005,4005,3370,3675,131.5,0
KTRA.US,D,20160727,000000,3515,3653.3,3505,3525,19.76,0
KTRA.US,D,20160728,000000,3555.05,3639.95,3450,3450,39.14,0
KTRA.US,D,20160729,000000,3415,3424.95,3325,3355,44.12,0
KTRA.US,D,20160801,000000,3250,3570,3250,3510,33.92,0
KTRA.US,D,20160802,000000,3695,3920,3610.8,3715,54.64,0
KTRA.US,D,20160803,000000,3900,3959,3705,3705,40.68,0
KTRA.US,D,20160804,000000,3825,3940.95,3625,3650,34.06,0
KTRA.US,D,20160805,000000,3605,3687.35,3467.5,3475,17.84,0
KTRA.US,D,20160808,000000,3375,3463.8,3275,3300,28.26,0
KTRA.US,D,20160809,000000,3325,3340.55,3125,3165,50.4,0
KTRA.US,D,20160810,000000,3125,3734.5,3125,3275,55.04,0
KTRA.US,D,20160811,000000,3300,3470,3170,3415,43.86,0
KTRA.US,D,20160812,000000,3360,3515,3345,3365,82.42,0
KTRA.US,D,20160815,000000,3468.8,3515,3145,3274.8,68.32,0
KTRA.US,D,20160816,000000,3185,3424.95,3065,3224.5,109.54,0
KTRA.US,D,20160817,000000,3145,3295.8,3050,3175,56.06,0
KTRA.US,D,20160818,000000,3185,3200,3100,3146.25,36.74,0
KTRA.US,D,20160819,000000,3290,3290,3125.5,3265,13.38,0
KTRA.US,D,20160822,000000,3275,3275,3150,3274.95,11.2,0
KTRA.US,D,20160823,000000,3270,3295,3150,3244.95,37,0
KTRA.US,D,20160824,000000,3235,3415,3100,3150,78.4,0
KTRA.US,D,20160825,000000,3280,3440,3100,3440,174.36,0
KTRA.US,D,20160826,000000,3275,3505,3275,3425,229.16,0
KTRA.US,D,20160829,000000,3490,3680,3383,3525,76.64,0
KTRA.US,D,20160830,000000,3500,3625,3450,3625,62.4,0
KTRA.US,D,20160831,000000,3625,3770,3515,3670,80.54,0
KTRA.US,D,20160901,000000,3570,3695,3475,3660,112.78,0
KTRA.US,D,20160902,000000,3660,3660,3535.15,3660,26.72,0
KTRA.US,D,20160906,000000,3630,3660,3500,3580,97.12,0
KTRA.US,D,20160907,000000,3581.5,3750,3475,3699.5,149.72,0
KTRA.US,D,20160908,000000,3655.1,3670,3550,3575,82,0
KTRA.US,D,20160909,000000,3595,3640,3540,3550,29.58,0
KTRA.US,D,20160912,000000,3550,3632.5,3505,3505,15.1,0
KTRA.US,D,20160913,000000,3505,3534.4,3200,3310,83.92,0
KTRA.US,D,20160914,000000,3260,3352.5,3125,3201,69.66,0
KTRA.US,D,20160915,000000,3170,3490,3150,3350,71.2,0
KTRA.US,D,20160916,000000,3475,3475,3155,3435,26.68,0
KTRA.US,D,20160919,000000,3465,3465,3260,3325,23.56,0
KTRA.US,D,20160920,000000,3350,3450,3285,3355,263.9,0
KTRA.US,D,20160921,000000,3360,3408.7,3300,3325,13.4,0
KTRA.US,D,20160922,000000,3335,3396.75,3255,3260,13.78,0
KTRA.US,D,20160923,000000,3255,3300,3200,3200,21.66,0
KTRA.US,D,20160926,000000,3200,3295,2760,3005,87.52,0
KTRA.US,D,20160927,000000,3085,3110.8,3005,3090,32.58,0
KTRA.US,D,20160928,000000,3030,3030,2880,2900,45.24,0
KTRA.US,D,20160929,000000,2910,3045,2880,3000,61.52,0
KTRA.US,D,20160930,000000,3032.5,3035,2885.05,3025,35.08,0
KTRA.US,D,20161003,000000,2985,3050,2985,3025,7.14,0
KTRA.US,D,20161004,000000,3000,3000,2735,2735,69.56,0
KTRA.US,D,20161005,000000,2867.8,2929.95,2730,2929.95,177.08,0
KTRA.US,D,20161006,000000,2875,2940,2805,2936.95,38.02,0
KTRA.US,D,20161007,000000,2999.95,3000,2885,2885,21.78,0
KTRA.US,D,20161010,000000,2910,2950,2835,2895,20.54,0
KTRA.US,D,20161011,000000,2860,2985,2755,2760,279.54,0
KTRA.US,D,20161012,000000,2805,2805,2750,2770,12.08,0
KTRA.US,D,20161013,000000,2815,2815,2655,2675,25.48,0
KTRA.US,D,20161014,000000,2675,2795,2575,2795,272.68,0
KTRA.US,D,20161017,000000,2755,2760,2629.45,2735,31.18,0
KTRA.US,D,20161018,000000,2755.2,2785,2705,2745,30.08,0
