<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCAA.US,D,20210519,000000,9.75,10,9.63,9.76,46584,0
LCAA.US,D,20210520,000000,9.75,9.75,9.75,9.75,327,0
LCAA.US,D,20210521,000000,9.78,9.78,9.75,9.7514,1011,0
LCAA.US,D,20210525,000000,9.75,9.75,9.7,9.75,1527,0
LCAA.US,D,20210526,000000,10.69,10.74,9.8,9.85,8573,0
LCAA.US,D,20210602,000000,9.95,9.95,9.95,9.95,241,0
LCAA.US,D,20210603,000000,9.77,9.77,9.77,9.77,877,0
LCAA.US,D,20210608,000000,9.71,9.71,9.71,9.71,8743,0
LCAA.US,D,20210610,000000,9.75,9.75,9.705,9.75,1084,0
LCAA.US,D,20210615,000000,9.75,9.75,9.75,9.75,3068,0
LCAA.US,D,20210616,000000,9.75,9.75,9.75,9.75,3092,0
LCAA.US,D,20210618,000000,9.95,9.95,9.67,9.95,9953,0
LCAA.US,D,20210621,000000,9.84,9.85,9.84,9.85,5366,0
LCAA.US,D,20210622,000000,9.78,9.78,9.78,9.78,407,0
LCAA.US,D,20210624,000000,9.75,9.75,9.75,9.75,601,0
LCAA.US,D,20210625,000000,9.78,9.78,9.75,9.75,108005,0
LCAA.US,D,20210628,000000,9.7,9.72,9.7,9.7,1499397,0
LCAA.US,D,20210630,000000,9.7,9.7,9.67,9.7,28818,0
LCAA.US,D,20210701,000000,9.7,9.71,9.7,9.7,66438,0
LCAA.US,D,20210706,000000,9.7,9.77,9.7,9.7,18492,0
LCAA.US,D,20210707,000000,9.7,9.75,9.7,9.74,77620,0
LCAA.US,D,20210709,000000,9.7387,9.7387,9.735,9.735,4549,0
LCAA.US,D,20210712,000000,9.77,9.78,9.74,9.78,9958,0
LCAA.US,D,20210715,000000,9.7,9.78,9.7,9.74,22600,0
LCAA.US,D,20210716,000000,9.75,9.77,9.75,9.77,889,0
LCAA.US,D,20210720,000000,9.7,9.7,9.7,9.7,554,0
LCAA.US,D,20210721,000000,9.7,9.7,9.7,9.7,568,0
LCAA.US,D,20210722,000000,9.86,9.86,9.7,9.77,7576,0
LCAA.US,D,20210723,000000,9.87,9.87,9.785,9.85,2199,0
LCAA.US,D,20210726,000000,9.72,9.72,9.72,9.72,201,0
LCAA.US,D,20210728,000000,9.72,9.79,9.72,9.79,1410,0
LCAA.US,D,20210730,000000,9.7,9.7,9.68,9.68,1321,0
LCAA.US,D,20210804,000000,9.68,9.68,9.66,9.66,2010,0
LCAA.US,D,20210805,000000,9.71,9.71,9.71,9.71,1342,0
LCAA.US,D,20210806,000000,9.675,9.675,9.675,9.675,112,0
LCAA.US,D,20210809,000000,9.65,9.65,9.65,9.65,462,0
LCAA.US,D,20210811,000000,9.69,9.69,9.69,9.69,151,0
LCAA.US,D,20210813,000000,9.66,9.71,9.65,9.71,18444,0
LCAA.US,D,20210817,000000,9.7,9.7,9.69,9.69,2423,0
LCAA.US,D,20210820,000000,9.65,9.65,9.58,9.65,14642,0
LCAA.US,D,20210823,000000,9.6651,9.67,9.6651,9.67,699,0
LCAA.US,D,20210824,000000,9.62,9.64,9.57,9.62,73469,0
LCAA.US,D,20210825,000000,9.61,9.65,9.6,9.61,10218,0
LCAA.US,D,20210826,000000,9.62,9.65,9.61,9.63,8100,0
LCAA.US,D,20210827,000000,9.62,9.62,9.62,9.62,100,0
LCAA.US,D,20210830,000000,9.62,9.67,9.62,9.67,18198,0
LCAA.US,D,20210909,000000,9.66,9.67,9.66,9.67,3705,0
LCAA.US,D,20210910,000000,9.67,9.69,9.67,9.68,17387,0
LCAA.US,D,20210913,000000,9.68,9.7,9.68,9.7,4681,0
LCAA.US,D,20210914,000000,9.7,9.72,9.7,9.72,13882,0
LCAA.US,D,20210915,000000,9.7,9.75,9.7,9.75,29423,0
LCAA.US,D,20210916,000000,9.71,9.73,9.71,9.73,2002,0
LCAA.US,D,20210917,000000,9.67,9.67,9.67,9.67,200,0
LCAA.US,D,20210922,000000,9.7,9.72,9.7,9.72,991,0
LCAA.US,D,20210927,000000,9.7,9.74,9.7,9.74,31301,0
LCAA.US,D,20210929,000000,9.7,9.75,9.7,9.75,46933,0
LCAA.US,D,20210930,000000,9.69,9.75,9.67,9.73,16713,0
LCAA.US,D,20211001,000000,9.72,9.75,9.72,9.75,8572,0
LCAA.US,D,20211004,000000,9.69,9.73,9.69,9.73,2470,0
LCAA.US,D,20211006,000000,9.71,9.72,9.7,9.72,18678,0
LCAA.US,D,20211007,000000,9.73,9.75,9.73,9.75,10934,0
LCAA.US,D,20211008,000000,9.75,9.76,9.74,9.75,3720,0
LCAA.US,D,20211012,000000,9.7,9.77,9.7,9.77,46165,0
LCAA.US,D,20211013,000000,9.75,9.77,9.72,9.77,3143,0
LCAA.US,D,20211014,000000,9.77,9.77,9.77,9.77,4064,0
LCAA.US,D,20211015,000000,9.72,9.75,9.71,9.73,12979,0
LCAA.US,D,20211018,000000,9.72,9.75,9.72,9.74,70188,0
LCAA.US,D,20211026,000000,9.75,9.77,9.75,9.77,4810,0
LCAA.US,D,20211027,000000,9.74,9.77,9.74,9.77,672,0
LCAA.US,D,20211103,000000,9.73,9.73,9.73,9.73,213,0
LCAA.US,D,20211104,000000,9.77,9.77,9.73,9.73,15708,0
LCAA.US,D,20211105,000000,9.78,9.78,9.78,9.78,16127,0
LCAA.US,D,20211108,000000,9.77,9.7952,9.77,9.78,17676,0
LCAA.US,D,20211109,000000,9.725,9.8,9.725,9.8,168844,0
LCAA.US,D,20211110,000000,9.78,9.78,9.75,9.75,364347,0
LCAA.US,D,20211111,000000,9.75,9.8,9.75,9.8,151607,0
LCAA.US,D,20211112,000000,9.8,9.8,9.8,9.8,3084,0
LCAA.US,D,20211117,000000,9.77,9.77,9.7,9.77,55420,0
LCAA.US,D,20211118,000000,9.73,9.77,9.73,9.77,1096,0
LCAA.US,D,20211119,000000,9.73,9.77,9.7,9.77,148011,0
LCAA.US,D,20211122,000000,9.75,9.77,9.75,9.77,552,0
LCAA.US,D,20211123,000000,9.75,9.75,9.735,9.74,24571,0
LCAA.US,D,20211124,000000,9.735,9.75,9.735,9.75,1203,0
LCAA.US,D,20211130,000000,9.74,9.76,9.74,9.76,21349,0
LCAA.US,D,20211208,000000,9.7,9.76,9.7,9.74,23605,0
LCAA.US,D,20211209,000000,9.74,9.74,9.73,9.74,4501,0
LCAA.US,D,20211210,000000,9.72,9.74,9.72,9.74,1661,0
LCAA.US,D,20211214,000000,9.7,9.73,9.7,9.73,47770,0
LCAA.US,D,20211216,000000,9.7,9.7,9.7,9.7,308,0
LCAA.US,D,20211217,000000,9.7,9.7,9.7,9.7,624,0
LCAA.US,D,20211220,000000,9.705,9.705,9.69,9.705,251,0
LCAA.US,D,20211221,000000,9.7,9.71,9.7,9.71,433,0
LCAA.US,D,20211222,000000,9.69,9.73,9.69,9.73,14271,0
LCAA.US,D,20211223,000000,9.695,9.73,9.695,9.73,5923,0
LCAA.US,D,20211230,000000,9.73,9.73,9.73,9.73,169,0
LCAA.US,D,20220103,000000,9.72,9.74,9.72,9.72,37411,0
LCAA.US,D,20220104,000000,9.71,9.74,9.71,9.74,5223,0
LCAA.US,D,20220105,000000,9.7,9.72,9.7,9.7,4204,0
LCAA.US,D,20220106,000000,9.71,9.74,9.71,9.74,9012,0
LCAA.US,D,20220107,000000,9.72,9.76,9.72,9.76,67994,0
LCAA.US,D,20220110,000000,9.76,9.76,9.75,9.76,2616,0
LCAA.US,D,20220111,000000,9.76,9.76,9.74,9.76,4930,0
LCAA.US,D,20220112,000000,9.7576,9.76,9.74,9.76,7320,0
LCAA.US,D,20220113,000000,9.74,9.76,9.72,9.76,3920,0
LCAA.US,D,20220114,000000,9.74,9.74,9.74,9.74,601,0
LCAA.US,D,20220118,000000,9.74,9.75,9.74,9.74,40055,0
LCAA.US,D,20220119,000000,9.7514,9.76,9.7514,9.76,960,0
LCAA.US,D,20220120,000000,9.74,9.74,9.72,9.72,1125748,0
LCAA.US,D,20220121,000000,9.72,9.72,9.72,9.72,551,0
LCAA.US,D,20220124,000000,9.72,9.7204,9.7,9.7,255773,0
LCAA.US,D,20220125,000000,9.7,9.7,9.7,9.7,4119,0
LCAA.US,D,20220126,000000,9.7,9.71,9.7,9.71,5307,0
LCAA.US,D,20220127,000000,9.6848,9.71,9.68,9.71,7555,0
LCAA.US,D,20220128,000000,9.71,9.71,9.71,9.71,6280,0
LCAA.US,D,20220131,000000,9.69,9.71,9.68,9.71,14923,0
LCAA.US,D,20220201,000000,9.71,9.71,9.69,9.69,10130,0
LCAA.US,D,20220202,000000,9.72,9.73,9.72,9.73,10179,0
LCAA.US,D,20220203,000000,9.69,9.705,9.68,9.7,77902,0
LCAA.US,D,20220204,000000,9.69,9.69,9.69,9.69,129,0
LCAA.US,D,20220207,000000,9.705,9.73,9.705,9.73,4781,0
LCAA.US,D,20220210,000000,9.73,9.73,9.715,9.715,609,0
LCAA.US,D,20220214,000000,9.7,9.7,9.7,9.7,270,0
LCAA.US,D,20220215,000000,9.7,9.72,9.7,9.72,250706,0
LCAA.US,D,20220217,000000,9.7,9.705,9.7,9.7,50068,0
LCAA.US,D,20220218,000000,9.71,9.715,9.71,9.715,98856,0
LCAA.US,D,20220222,000000,9.71,9.718,9.71,9.71,8614,0
LCAA.US,D,20220223,000000,9.7,9.7,9.7,9.7,405,0
LCAA.US,D,20220224,000000,9.73,9.73,9.7,9.705,382675,0
LCAA.US,D,20220225,000000,9.71,9.73,9.71,9.73,19230,0
LCAA.US,D,20220228,000000,9.74,9.74,9.71,9.72,16873,0
LCAA.US,D,20220301,000000,9.72,9.725,9.71,9.71,5119,0
LCAA.US,D,20220302,000000,9.715,9.73,9.715,9.73,319087,0
LCAA.US,D,20220303,000000,9.745,9.75,9.73,9.74,60062,0
LCAA.US,D,20220304,000000,9.73,9.74,9.73,9.74,13438,0
LCAA.US,D,20220307,000000,9.74,9.74,9.74,9.74,5051,0
LCAA.US,D,20220308,000000,9.735,9.735,9.725,9.725,76545,0
LCAA.US,D,20220309,000000,9.72,9.73,9.72,9.725,46563,0
LCAA.US,D,20220310,000000,9.73,9.73,9.72,9.72,12233,0
LCAA.US,D,20220311,000000,9.73,9.73,9.73,9.73,31416,0
LCAA.US,D,20220316,000000,9.73,9.73,9.72,9.73,5049,0
LCAA.US,D,20220317,000000,9.73,9.73,9.73,9.73,8148,0
LCAA.US,D,20220318,000000,9.73,9.73,9.73,9.73,10042,0
LCAA.US,D,20220321,000000,9.73,9.74,9.72,9.73,202054,0
LCAA.US,D,20220322,000000,9.73,9.74,9.73,9.74,71170,0
LCAA.US,D,20220323,000000,9.74,9.74,9.74,9.74,131698,0
LCAA.US,D,20220324,000000,9.74,9.75,9.74,9.75,45121,0
LCAA.US,D,20220325,000000,9.745,9.745,9.74,9.745,21794,0
