<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGVCU.US,D,20211112,000000,10.06,10.07,10.05,10.05,498027,0
LGVCU.US,D,20211115,000000,10.05,10.065,10.05,10.05,223710,0
LGVCU.US,D,20211116,000000,10.07,10.07,10.04,10.06,198287,0
LGVCU.US,D,20211117,000000,10.06,10.06,10.05,10.06,72538,0
LGVCU.US,D,20211118,000000,10.06,10.1,10.06,10.1,351491,0
LGVCU.US,D,20211119,000000,10.065,10.08,10.05,10.08,45706,0
LGVCU.US,D,20211122,000000,9.18,10.09,9.18,10.09,12752,0
LGVCU.US,D,20211123,000000,10.09,10.09,10.08,10.08,56077,0
LGVCU.US,D,20211124,000000,10.08,10.08,10.07,10.07,25980,0
LGVCU.US,D,20211126,000000,10.06,10.07,10.06,10.07,5771,0
LGVCU.US,D,20211129,000000,10.07,10.08,10.03,10.07,159744,0
LGVCU.US,D,20211130,000000,10.06,10.07,10,10.04,298105,0
LGVCU.US,D,20211201,000000,10.04,10.14,10.04,10.11,45722,0
LGVCU.US,D,20211202,000000,10.1,10.1,10.1,10.1,3017,0
LGVCU.US,D,20211206,000000,10.0202,10.08,10.0202,10.08,4663,0
LGVCU.US,D,20211207,000000,9.98,10.08,9.98,10.08,68998,0
LGVCU.US,D,20211209,000000,10.08,10.08,10.02,10.02,1256,0
LGVCU.US,D,20211210,000000,10.02,10.02,10.01,10.0101,6374,0
LGVCU.US,D,20211213,000000,9.98,10.06,9.98,10.03,184152,0
LGVCU.US,D,20211214,000000,10.02,10.02,10.02,10.02,5440,0
LGVCU.US,D,20211215,000000,10,10.08,10,10.06,98322,0
LGVCU.US,D,20211216,000000,10,10,10,10,981,0
LGVCU.US,D,20211217,000000,10.07,10.07,10.07,10.07,828,0
LGVCU.US,D,20211220,000000,10,10.02,10,10.02,3094,0
LGVCU.US,D,20211221,000000,10.02,10.02,10,10,27311,0
LGVCU.US,D,20211222,000000,10.02,10.03,10.02,10.03,2613,0
LGVCU.US,D,20211223,000000,10.02,10.06,10.02,10.06,8067,0
LGVCU.US,D,20211227,000000,10.06,10.06,9.98,9.98,4280,0
LGVCU.US,D,20211229,000000,10.03,10.03,10.02,10.02,3100,0
LGVCU.US,D,20211230,000000,10.0201,10.065,10.0201,10.065,7638,0
LGVCU.US,D,20211231,000000,10.02,10.06,10,10.04,27506,0
LGVCU.US,D,20220103,000000,10.03,10.03,10.03,10.03,710,0
LGVCU.US,D,20220104,000000,10.02,10.02,10,10.02,252900,0
LGVCU.US,D,20220106,000000,10.025,10.07,10,10,15910,0
LGVCU.US,D,20220107,000000,10.02,10.06,10.02,10.06,30103,0
LGVCU.US,D,20220110,000000,10.05,10.05,10.05,10.05,400,0
LGVCU.US,D,20220111,000000,10.07,10.07,10.06,10.06,63743,0
LGVCU.US,D,20220114,000000,10.02,10.07,10.02,10.07,968,0
LGVCU.US,D,20220118,000000,10.05,10.05,10.04,10.05,600,0
LGVCU.US,D,20220120,000000,10.0301,10.0301,10.0301,10.0301,1401,0
LGVCU.US,D,20220121,000000,10.019,10.031,10.01,10.015,34367,0
LGVCU.US,D,20220126,000000,9.97,9.99,9.97,9.99,25500,0
LGVCU.US,D,20220127,000000,9.99,10,9.99,10,8992,0
LGVCU.US,D,20220131,000000,10,10,10,10,215100,0
LGVCU.US,D,20220203,000000,10,10.02,9.97,9.97,5800,0
LGVCU.US,D,20220204,000000,9.97,9.97,9.97,9.97,3400,0
LGVCU.US,D,20220207,000000,9.97,9.98,9.97,9.97,5176,0
LGVCU.US,D,20220208,000000,9.98,10.01,9.98,10,52832,0
LGVCU.US,D,20220209,000000,10,10,10,10,1602,0
LGVCU.US,D,20220210,000000,9.95,9.98,9.88,9.96,11001,0
LGVCU.US,D,20220211,000000,9.97,10,9.965,10,9201,0
LGVCU.US,D,20220216,000000,9.98,9.98,9.98,9.98,5000,0
LGVCU.US,D,20220217,000000,9.99,10,9.99,10,7910,0
LGVCU.US,D,20220224,000000,9.98,10.005,9.97,9.985,13516,0
LGVCU.US,D,20220228,000000,9.97,9.98,9.97,9.97,24837,0
LGVCU.US,D,20220301,000000,9.97,10.04,9.97,9.99,75392,0
LGVCU.US,D,20220302,000000,10.05,10.05,10.05,10.05,200,0
LGVCU.US,D,20220304,000000,10.06,10.06,10.01,10.01,2940,0
LGVCU.US,D,20220307,000000,10.01,10.01,10.01,10.01,300,0
LGVCU.US,D,20220308,000000,10,10.07,10,10.07,221,0
