<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LIFWW.US,D,20220525,000000,0.05,0.069,0.035,0.065649,2689061,0
LIFWW.US,D,20220526,000000,0.06,0.0814,0.06,0.0707,1474501,0
LIFWW.US,D,20220527,000000,0.065,0.0847,0.06,0.0847,2485308,0
LIFWW.US,D,20220531,000000,0.07,0.08,0.0585,0.0749,1451578,0
LIFWW.US,D,20220601,000000,0.0512,0.0698,0.05,0.0533,1759300,0
LIFWW.US,D,20220602,000000,0.0676,0.0873,0.059,0.0848,1624247,0
LIFWW.US,D,20220603,000000,0.0895,0.0895,0.0711,0.0767,546572,0
LIFWW.US,D,20220606,000000,0.08,0.08,0.06,0.061,603583,0
LIFWW.US,D,20220607,000000,0.06,0.0701,0.06,0.0601,28262,0
LIFWW.US,D,20220608,000000,0.06,0.08,0.051,0.07,163941,0
LIFWW.US,D,20220609,000000,0.06,0.0738,0.06,0.0699,234432,0
LIFWW.US,D,20220610,000000,0.06,0.0635,0.06,0.0635,198222,0
LIFWW.US,D,20220613,000000,0.06,0.07,0.06,0.0676,313086,0
LIFWW.US,D,20220614,000000,0.06,0.08,0.0551,0.0749,568157,0
LIFWW.US,D,20220615,000000,0.065101,0.095,0.0651,0.09,1033884,0
LIFWW.US,D,20220616,000000,0.1086,0.11,0.08,0.086001,201944,0
LIFWW.US,D,20220617,000000,0.07,0.0998,0.07,0.09,137593,0
LIFWW.US,D,20220621,000000,0.0701,0.0921,0.0701,0.0909,364549,0
LIFWW.US,D,20220622,000000,0.07,0.096,0.07,0.0949,194070,0
LIFWW.US,D,20220623,000000,0.1,0.1,0.07,0.079,1200635,0
LIFWW.US,D,20220624,000000,0.0711,0.0775,0.05,0.077,1375286,0
LIFWW.US,D,20220627,000000,0.0688,0.09,0.065,0.0776,738858,0
LIFWW.US,D,20220628,000000,0.09,0.102,0.075,0.098,1769961,0
LIFWW.US,D,20220629,000000,0.1,0.1,0.075,0.0899,1243453,0
LIFWW.US,D,20220630,000000,0.08,0.0998,0.08,0.09,1438129,0
LIFWW.US,D,20220701,000000,0.065,0.08255,0.065,0.072,384336,0
LIFWW.US,D,20220705,000000,0.097,0.1,0.076,0.08,65783,0
LIFWW.US,D,20220706,000000,0.078,0.078,0.0741,0.078,77100,0
LIFWW.US,D,20220707,000000,0.0929,0.0929,0.0701,0.0779,177342,0
LIFWW.US,D,20220708,000000,0.0796,0.2,0.074,0.0856,290032,0
LIFWW.US,D,20220711,000000,0.07805,0.0851,0.07805,0.0851,11933,0
LIFWW.US,D,20220712,000000,0.09,0.0989,0.0801,0.095,80812,0
LIFWW.US,D,20220713,000000,0.1,0.1,0.0825,0.0825,183719,0
LIFWW.US,D,20220714,000000,0.0826,0.0826,0.0826,0.0826,100116,0
LIFWW.US,D,20220715,000000,0.095,0.1025,0.082532,0.0975,661051,0
LIFWW.US,D,20220718,000000,0.082601,0.084899,0.075,0.0825,121562,0
LIFWW.US,D,20220719,000000,0.0825,0.09,0.0825,0.0899,3801,0
LIFWW.US,D,20220720,000000,0.097,0.097,0.0826,0.097,33916,0
LIFWW.US,D,20220721,000000,0.083,0.09,0.0751,0.0899,88276,0
LIFWW.US,D,20220722,000000,0.0815,0.1,0.0815,0.1,26180,0
LIFWW.US,D,20220725,000000,0.088,0.0881,0.0825,0.0825,1202,0
LIFWW.US,D,20220726,000000,0.0835,0.0835,0.05,0.07,278293,0
LIFWW.US,D,20220727,000000,0.0551,0.0768,0.0551,0.061,31080,0
LIFWW.US,D,20220728,000000,0.06,0.08,0.06,0.08,124578,0
LIFWW.US,D,20220729,000000,0.08,0.0801,0.075,0.08,333867,0
LIFWW.US,D,20220801,000000,0.075,0.08,0.075,0.08,1631,0
LIFWW.US,D,20220802,000000,0.07,0.095,0.07,0.085,108738,0
LIFWW.US,D,20220803,000000,0.095,0.10025,0.071,0.0928,471602,0
LIFWW.US,D,20220804,000000,0.09,0.09,0.0661,0.0825,161270,0
LIFWW.US,D,20220805,000000,0.0889,0.09,0.0801,0.0863,104787,0
LIFWW.US,D,20220808,000000,0.095,0.1001,0.08,0.0806,341466,0
LIFWW.US,D,20220809,000000,0.0806,0.095,0.071,0.095,719649,0
LIFWW.US,D,20220810,000000,0.09,0.09,0.078,0.08,82045,0
LIFWW.US,D,20220811,000000,0.0725,0.085,0.072,0.0721,343979,0
LIFWW.US,D,20220812,000000,0.0712,0.0712,0.06,0.065,330315,0
LIFWW.US,D,20220815,000000,0.065,0.0699,0.065,0.0699,19311,0
LIFWW.US,D,20220816,000000,0.065,0.075,0.065,0.0699,152418,0
LIFWW.US,D,20220817,000000,0.07,0.0701,0.0652,0.07,118770,0
LIFWW.US,D,20220818,000000,0.07,0.07,0.0651,0.0651,104768,0
LIFWW.US,D,20220819,000000,0.0661,0.075,0.065,0.0732,262620,0
LIFWW.US,D,20220822,000000,0.093,0.094,0.075101,0.0851,147736,0
LIFWW.US,D,20220823,000000,0.0755,0.0761,0.072,0.0761,36380,0
LIFWW.US,D,20220824,000000,0.079799,0.0798,0.0701,0.075,163688,0
LIFWW.US,D,20220825,000000,0.075,0.085,0.0701,0.0811,161164,0
LIFWW.US,D,20220826,000000,0.07,0.077501,0.065,0.0665,141297,0
LIFWW.US,D,20220829,000000,0.068101,0.07,0.068,0.07,2400,0
LIFWW.US,D,20220830,000000,0.07,0.07,0.059,0.06,975652,0
LIFWW.US,D,20220831,000000,0.0601,0.0675,0.06,0.0675,321552,0
LIFWW.US,D,20220901,000000,0.065,0.0651,0.06,0.065,213635,0
LIFWW.US,D,20220902,000000,0.0888,0.0888,0.0601,0.065,121690,0
LIFWW.US,D,20220906,000000,0.065,0.08,0.065,0.0799,59449,0
LIFWW.US,D,20220907,000000,0.0834,0.0834,0.0651,0.0677,26291,0
LIFWW.US,D,20220908,000000,0.067,0.067,0.065,0.065,39772,0
LIFWW.US,D,20220909,000000,0.065,0.0756,0.065,0.0706,47263,0
LIFWW.US,D,20220912,000000,0.07,0.07,0.065,0.0699,33309,0
LIFWW.US,D,20220913,000000,0.065,0.0749,0.0601,0.0699,86243,0
LIFWW.US,D,20220914,000000,0.065,0.0695,0.0602,0.0695,68886,0
LIFWW.US,D,20220915,000000,0.065,0.0699,0.065,0.0699,10697,0
LIFWW.US,D,20220916,000000,0.065,0.0675,0.065,0.0675,39581,0
LIFWW.US,D,20220919,000000,0.065,0.065,0.065,0.065,75488,0
LIFWW.US,D,20220920,000000,0.066101,0.068,0.0658,0.068,10794,0
LIFWW.US,D,20220921,000000,0.06995,0.07,0.065,0.07,19084,0
LIFWW.US,D,20220922,000000,0.0651,0.0651,0.065,0.065,55225,0
LIFWW.US,D,20220923,000000,0.065,0.065,0.065,0.065,16688,0
LIFWW.US,D,20220926,000000,0.065,0.065,0.065,0.065,62132,0
LIFWW.US,D,20220927,000000,0.065,0.0651,0.065,0.0651,8038,0
LIFWW.US,D,20220928,000000,0.065,0.066,0.065,0.065,6154,0
LIFWW.US,D,20220929,000000,0.065,0.065101,0.06,0.06,114876,0
LIFWW.US,D,20220930,000000,0.065,0.065,0.0417,0.064,851378,0
LIFWW.US,D,20221003,000000,0.060101,0.075,0.060101,0.075,6784,0
LIFWW.US,D,20221004,000000,0.0716,0.08,0.0412,0.08,16585,0
LIFWW.US,D,20221005,000000,0.041,0.0785,0.041,0.0785,368,0
LIFWW.US,D,20221006,000000,0.0785,0.081,0.0685,0.0781,63895,0
LIFWW.US,D,20221007,000000,0.068,0.078,0.067601,0.078,10659,0
LIFWW.US,D,20221010,000000,0.05,0.07,0.0433,0.07,4200,0
LIFWW.US,D,20221011,000000,0.069,0.069,0.069,0.069,300,0
LIFWW.US,D,20221012,000000,0.0433,0.046,0.0416,0.046,4701,0
LIFWW.US,D,20221013,000000,0.0559,0.056,0.0559,0.056,2298,0
LIFWW.US,D,20221014,000000,0.059,0.059,0.05,0.0506,10721,0
LIFWW.US,D,20221019,000000,0.049999,0.049999,0.049999,0.049999,979,0
LIFWW.US,D,20221024,000000,0.05,0.0524,0.045,0.0524,9656,0
LIFWW.US,D,20221025,000000,0.069,0.069,0.069,0.069,200,0
LIFWW.US,D,20221026,000000,0.05,0.0684,0.0421,0.053,29281,0
LIFWW.US,D,20221027,000000,0.042,0.0519,0.0317,0.0519,43728,0
LIFWW.US,D,20221031,000000,0.03,0.06,0.0051,0.0351,186479,0
LIFWW.US,D,20221101,000000,0.03,0.040014,0.023,0.040012,238777,0
LIFWW.US,D,20221102,000000,0.04,0.05,0.04,0.05,5650,0
LIFWW.US,D,20221103,000000,0.05,0.05,0.05,0.05,662,0
LIFWW.US,D,20221104,000000,0.04,0.05,0.04,0.05,12502,0
LIFWW.US,D,20221107,000000,0.04,0.05,0.0252,0.0394,124953,0
LIFWW.US,D,20221108,000000,0.05,0.05,0.045,0.045,1120,0
LIFWW.US,D,20221109,000000,0.0251,0.045001,0.0251,0.045001,205,0
