<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKUL.US,D,20211126,000000,79.89,98,75.21,81,150338,0
MKUL.US,D,20211129,000000,74.1,117.35,66.17,117.35,201153,0
MKUL.US,D,20211130,000000,105,108.04,14.31,25,26124393,0
MKUL.US,D,20211201,000000,23.16,25.9,16.5,16.61,5937888,0
MKUL.US,D,20211202,000000,15.17,21.9999,14,16.75,7833853,0
MKUL.US,D,20211203,000000,16.91,17.5,14.4,14.5,1093373,0
MKUL.US,D,20211206,000000,13.81,14.6899,12.51,12.61,1668472,0
MKUL.US,D,20211207,000000,13.4091,14.02,12.6,12.68,1190378,0
MKUL.US,D,20211208,000000,12.41,13.4,11.88,12.6,2145943,0
MKUL.US,D,20211209,000000,12.8,14.79,12.2501,13.89,5035582,0
MKUL.US,D,20211210,000000,13.46,14.1474,12.64,12.99,1428909,0
MKUL.US,D,20211213,000000,12.5,12.78,11.22,11.35,758632,0
MKUL.US,D,20211214,000000,11.15,11.6976,9.62,9.81,748160,0
MKUL.US,D,20211215,000000,9.72,9.88,8.395,9.31,717749,0
MKUL.US,D,20211216,000000,9.59,10.4,8.54,8.56,741048,0
MKUL.US,D,20211217,000000,8.45,9.4,8.2189,8.46,647630,0
MKUL.US,D,20211220,000000,9.1,14.5,8.45,11.31,22396061,0
MKUL.US,D,20211221,000000,11,13.9,10.19,11.89,11653490,0
MKUL.US,D,20211222,000000,11.26,16.74,11.26,14.15,18804584,0
MKUL.US,D,20211223,000000,13.95,18.19,12.75,12.77,10864169,0
MKUL.US,D,20211227,000000,12.66,14.8,12.52,12.8,4289508,0
MKUL.US,D,20211228,000000,12.8,15.3,12.7575,12.92,6244415,0
MKUL.US,D,20211229,000000,13.16,13.66,11.48,11.49,1408018,0
MKUL.US,D,20211230,000000,11.79,12.07,11.02,11.15,644185,0
MKUL.US,D,20211231,000000,11.01,11.32,10.4694,10.47,451021,0
MKUL.US,D,20220103,000000,10.6,11.57,10.6,10.8,725046,0
MKUL.US,D,20220104,000000,11.02,11.12,10.4058,10.66,192029,0
MKUL.US,D,20220105,000000,10.36,10.59,9.29,9.52,386088,0
MKUL.US,D,20220106,000000,9.42,9.7,9.02,9.13,194380,0
MKUL.US,D,20220107,000000,9.03,9.24,8.6011,8.82,368715,0
MKUL.US,D,20220110,000000,8.8,9.06,7.74,8.02,439566,0
MKUL.US,D,20220111,000000,7.78,9.13,7.7343,8.94,544928,0
MKUL.US,D,20220112,000000,9.02,9.02,8.11,8.2,333081,0
MKUL.US,D,20220113,000000,8.25,8.39,7.27,7.4,531635,0
MKUL.US,D,20220114,000000,7.14,7.5,6.81,7.19,257072,0
MKUL.US,D,20220118,000000,6.98,7.15,6.43,6.56,285416,0
MKUL.US,D,20220119,000000,6.56,6.83,6.09,6.12,203653,0
MKUL.US,D,20220120,000000,5.95,6.47,5.87,5.89,387395,0
MKUL.US,D,20220121,000000,5.85,5.95,5.21,5.21,250583,0
MKUL.US,D,20220124,000000,4.92,4.99,4.0653,4.54,402599,0
MKUL.US,D,20220125,000000,4.43,5.2699,4.25,5.06,400442,0
MKUL.US,D,20220126,000000,5.25,5.43,4.51,4.6,369635,0
MKUL.US,D,20220127,000000,4.5,4.66,4.112,4.17,138406,0
MKUL.US,D,20220128,000000,4.23,4.5,4.08,4.36,173035,0
MKUL.US,D,20220131,000000,4.46,5.02,4.34,4.94,223594,0
MKUL.US,D,20220201,000000,5.25,5.35,4.74,5,191706,0
MKUL.US,D,20220202,000000,4.94,4.94,4.51,4.57,190144,0
MKUL.US,D,20220203,000000,4.67,4.86,4.27,4.43,182520,0
MKUL.US,D,20220204,000000,4.59,4.95,4.3896,4.94,169682,0
MKUL.US,D,20220207,000000,4.9,5.31,4.815,5.15,205825,0
MKUL.US,D,20220208,000000,5.11,5.8,5.11,5.33,946058,0
MKUL.US,D,20220209,000000,5.21,5.3699,5.02,5.33,228446,0
MKUL.US,D,20220210,000000,5.14,5.37,4.9,4.99,173921,0
MKUL.US,D,20220211,000000,5.06,5.11,4.55,4.57,111381,0
MKUL.US,D,20220214,000000,4.56,4.88,4.44,4.73,97104,0
MKUL.US,D,20220215,000000,4.9,5.04,4.75,4.9,65841,0
MKUL.US,D,20220216,000000,5,5.78,4.97,5.49,479607,0
MKUL.US,D,20220217,000000,5.29,5.36,4.8573,4.92,99734,0
MKUL.US,D,20220218,000000,4.86,4.9527,4.721,4.76,66873,0
MKUL.US,D,20220222,000000,4.66,4.735,4.1701,4.29,118412,0
MKUL.US,D,20220223,000000,4.53,4.7387,4.24,4.3,64905,0
MKUL.US,D,20220224,000000,3.86,4.4298,3.79,4.365,88734,0
MKUL.US,D,20220225,000000,4.4,4.48,4.21,4.44,44576,0
MKUL.US,D,20220228,000000,4.37,4.79,4.2601,4.42,58344,0
MKUL.US,D,20220301,000000,4.36,4.4,4.25,4.28,30742,0
MKUL.US,D,20220302,000000,4.33,4.43,4.2,4.21,46223,0
