<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLACU.US,D,20220614,000000,10.16,10.16,10.16,10.16,100,0
MLACU.US,D,20220621,000000,10.1,10.1,10.1,10.1,100,0
MLACU.US,D,20220711,000000,10.13,10.16,10.13,10.16,250,0
MLACU.US,D,20220712,000000,10.16,10.16,10.16,10.16,326,0
MLACU.US,D,20220713,000000,10.16,10.16,10.16,10.16,150,0
MLACU.US,D,20220714,000000,10.19,10.19,10.19,10.19,151,0
MLACU.US,D,20220715,000000,10.25,10.25,10.25,10.25,100,0
MLACU.US,D,20220725,000000,10.22,10.22,10.22,10.22,240,0
MLACU.US,D,20220804,000000,10.24,10.24,10.24,10.24,540,0
MLACU.US,D,20220818,000000,10.25,10.25,10.24,10.24,398,0
MLACU.US,D,20220912,000000,10.28,10.28,10.28,10.28,100,0
MLACU.US,D,20220916,000000,10.26,10.2601,10.26,10.26,2300,0
MLACU.US,D,20220920,000000,10.26,10.26,10.26,10.26,1202,0
MLACU.US,D,20220928,000000,10.3,10.3,10.29,10.3,800,0
MLACU.US,D,20221005,000000,10.11,10.3,10.01,10.3,5114,0
MLACU.US,D,20221006,000000,10.11,10.3,10.11,10.3,9701,0
MLACU.US,D,20221007,000000,10.22,10.29,10.22,10.29,2079,0
MLACU.US,D,20221010,000000,10.3,10.3,10.21,10.3,5255,0
MLACU.US,D,20221011,000000,10.32,10.32,10.29,10.29,3722,0
MLACU.US,D,20221012,000000,10.34,10.34,10.34,10.34,200,0
MLACU.US,D,20221013,000000,10.29,10.29,10.29,10.29,580,0
MLACU.US,D,20221014,000000,10.31,10.31,10.29,10.29,2101,0
MLACU.US,D,20221018,000000,10.35,10.35,10.35,10.35,1500,0
MLACU.US,D,20221020,000000,10.25,10.25,10.25,10.25,340,0
MLACU.US,D,20221028,000000,10.24,10.24,10.24,10.24,100,0
MLACU.US,D,20221101,000000,10.23,10.23,10.23,10.23,100,0
MLACU.US,D,20221215,000000,10.22,10.237,10.22,10.237,4662,0
MLACU.US,D,20230106,000000,10.31,10.31,10.31,10.31,3382,0
MLACU.US,D,20230111,000000,10.35,10.35,10.32,10.33,2433,0
MLACU.US,D,20230112,000000,10.33,10.74,10.33,10.74,1257,0
MLACU.US,D,20230113,000000,10.44,10.49,10.41,10.49,1350,0
MLACU.US,D,20230117,000000,10.49,10.93,10.4306,10.4801,6125,0
MLACU.US,D,20230118,000000,10.58,11.4999,10.3801,10.5101,23351,0
MLACU.US,D,20230119,000000,10.57,10.8986,10.4701,10.49,5934,0
MLACU.US,D,20230123,000000,10.57,11.01,10.4801,10.4801,3800,0
MLACU.US,D,20230125,000000,10.57,10.985,10.4601,10.985,400,0
MLACU.US,D,20230201,000000,10.63,11.04,10.4501,10.48,1800,0
MLACU.US,D,20230209,000000,10.4,10.4,10.4,10.4,100,0
MLACU.US,D,20230210,000000,10.54,10.54,10.45,10.45,400,0
MLACU.US,D,20230213,000000,10.5,11.035,10.42,10.9237,1500,0
MLACU.US,D,20230222,000000,10.43,10.43,10.43,10.43,100,0
MLACU.US,D,20230223,000000,10.49,10.49,10.49,10.49,100,0
MLACU.US,D,20230224,000000,10.45,10.45,10.45,10.45,100,0
MLACU.US,D,20230227,000000,10.4,10.4,10.4,10.4,100,0
MLACU.US,D,20230228,000000,10.47,10.47,10.47,10.47,100,0
MLACU.US,D,20230301,000000,10.48,10.48,10.48,10.48,100,0
MLACU.US,D,20230303,000000,10.43,10.43,10.43,10.43,150,0
MLACU.US,D,20230306,000000,10.43,10.43,10.43,10.43,100,0
MLACU.US,D,20230307,000000,10.42,10.42,10.42,10.42,100,0
MLACU.US,D,20230308,000000,10.42,10.42,10.42,10.42,100,0
MLACU.US,D,20230309,000000,10.45,10.45,10.45,10.45,100,0
MLACU.US,D,20230310,000000,10.47,10.47,10.47,10.47,100,0
MLACU.US,D,20230313,000000,10.47,10.47,10.47,10.47,100,0
MLACU.US,D,20230314,000000,10.47,10.47,10.47,10.47,100,0
MLACU.US,D,20230315,000000,10.47,10.47,10.47,10.47,100,0
MLACU.US,D,20230317,000000,10.47,10.47,10.47,10.47,100,0
MLACU.US,D,20230322,000000,10.08,10.08,10.08,10.08,100,0
MLACU.US,D,20230323,000000,10.09,10.09,10.09,10.09,100,0
MLACU.US,D,20230324,000000,10.15,10.15,10.15,10.15,100,0
MLACU.US,D,20230327,000000,10.16,10.16,10.16,10.16,100,0
MLACU.US,D,20230328,000000,10.24,10.24,10.24,10.24,100,0
MLACU.US,D,20230329,000000,9.99,9.99,9.99,9.99,100,0
MLACU.US,D,20230330,000000,10.06,10.06,10.06,10.06,100,0
MLACU.US,D,20230331,000000,10.21,10.21,10.21,10.21,100,0
MLACU.US,D,20230403,000000,10.1,10.1,10.1,10.1,100,0
MLACU.US,D,20230404,000000,10.01,10.01,10.01,10.01,100,0
MLACU.US,D,20230405,000000,10.13,10.13,10.13,10.13,100,0
MLACU.US,D,20230406,000000,9.95,9.95,9.95,9.95,100,0
MLACU.US,D,20230410,000000,9.95,9.95,9.95,9.95,100,0
MLACU.US,D,20230411,000000,9.95,9.95,9.95,9.95,100,0
MLACU.US,D,20230412,000000,10.06,10.06,10.06,10.06,100,0
MLACU.US,D,20230414,000000,10.05,10.05,10.05,10.05,100,0
MLACU.US,D,20230418,000000,10.07,10.07,10.07,10.07,100,0
MLACU.US,D,20230419,000000,10.42,10.42,10.42,10.42,100,0
MLACU.US,D,20230420,000000,10.4,10.4,10.4,10.4,100,0
MLACU.US,D,20230421,000000,10.4,10.4,10.4,10.4,100,0
MLACU.US,D,20230424,000000,10.05,10.05,10.05,10.05,100,0
MLACU.US,D,20230425,000000,10.05,10.05,10.05,10.05,100,0
MLACU.US,D,20230426,000000,10.03,10.03,10.03,10.03,100,0
MLACU.US,D,20230427,000000,10.02,10.02,10.02,10.02,100,0
MLACU.US,D,20230428,000000,10.07,10.07,10.07,10.07,100,0
MLACU.US,D,20230501,000000,10.19,10.19,10.19,10.19,100,0
MLACU.US,D,20230502,000000,10.21,10.21,10.21,10.21,100,0
MLACU.US,D,20230504,000000,10.15,10.15,10.15,10.15,100,0
MLACU.US,D,20230508,000000,10.22,10.22,10.22,10.22,100,0
MLACU.US,D,20230509,000000,10.36,10.36,10.36,10.36,100,0
MLACU.US,D,20230510,000000,10.4,10.4,10.4,10.4,100,0
MLACU.US,D,20230511,000000,10.4,10.4,10.4,10.4,100,0
MLACU.US,D,20230512,000000,10.43,10.43,10.43,10.43,102,0
MLACU.US,D,20230522,000000,10.52,10.52,10.52,10.52,105,0
MLACU.US,D,20230523,000000,10.52,10.52,10.52,10.52,100,0
MLACU.US,D,20230524,000000,10.14,10.14,10.14,10.14,100,0
MLACU.US,D,20230525,000000,10.23,10.23,10.23,10.23,100,0
MLACU.US,D,20230526,000000,10.29,10.29,10.29,10.29,100,0
MLACU.US,D,20230530,000000,10.1,10.1,10.1,10.1,100,0
MLACU.US,D,20230531,000000,10.46,10.46,10.46,10.46,100,0
MLACU.US,D,20230601,000000,10.41,10.41,10.41,10.41,100,0
MLACU.US,D,20230602,000000,10.5,10.5,10.5,10.5,100,0
MLACU.US,D,20230605,000000,10.15,10.15,10.15,10.15,100,0
MLACU.US,D,20230606,000000,10.43,10.43,10.43,10.43,100,0
MLACU.US,D,20230608,000000,10.5,10.52,10.5,10.52,2529,0
MLACU.US,D,20230616,000000,10.59,10.6,10.59,10.6,600,0
