<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTRYW.US,D,20211123,000000,0.508899,0.508899,0.47,0.47,358165,0
MTRYW.US,D,20211124,000000,0.472,0.5,0.472,0.5,467977,0
MTRYW.US,D,20211126,000000,0.5,0.5,0.48,0.48,62792,0
MTRYW.US,D,20211129,000000,0.48,0.48,0.45,0.46,462148,0
MTRYW.US,D,20211130,000000,0.46,0.46,0.44,0.46,306358,0
MTRYW.US,D,20211201,000000,0.4501,0.46,0.4486,0.46,78160,0
MTRYW.US,D,20211202,000000,0.452,0.4598,0.45,0.4598,123681,0
MTRYW.US,D,20211203,000000,0.45,0.46,0.4302,0.4599,164000,0
MTRYW.US,D,20211206,000000,0.45,0.45,0.45,0.45,26108,0
MTRYW.US,D,20211207,000000,0.449,0.449,0.449,0.449,103,0
MTRYW.US,D,20211208,000000,0.4401,0.45,0.4401,0.45,31402,0
MTRYW.US,D,20211209,000000,0.45,0.45,0.44,0.449,131203,0
MTRYW.US,D,20211210,000000,0.435,0.447,0.4201,0.428,46404,0
MTRYW.US,D,20211213,000000,0.439,0.439,0.439,0.439,202,0
MTRYW.US,D,20211214,000000,0.4201,0.45,0.41,0.445,99604,0
MTRYW.US,D,20211215,000000,0.44,0.44,0.44,0.44,100203,0
MTRYW.US,D,20211216,000000,0.4212,0.4378,0.42,0.4378,25806,0
MTRYW.US,D,20211217,000000,0.4,0.4487,0.395,0.44,243405,0
MTRYW.US,D,20211220,000000,0.3905,0.42,0.3903,0.4003,892,0
MTRYW.US,D,20211221,000000,0.39,0.43,0.39,0.43,1711,0
MTRYW.US,D,20211222,000000,0.41,0.41,0.41,0.41,1309,0
MTRYW.US,D,20211223,000000,0.4,0.4,0.3852,0.4,29712,0
MTRYW.US,D,20211227,000000,0.41,0.41,0.3901,0.4,40140,0
MTRYW.US,D,20211228,000000,0.418,0.418,0.418,0.418,102,0
MTRYW.US,D,20211229,000000,0.4,0.4099,0.4,0.4099,1202,0
MTRYW.US,D,20211230,000000,0.3901,0.3999,0.3886,0.39,77002,0
MTRYW.US,D,20211231,000000,0.39,0.39,0.39,0.39,1000,0
MTRYW.US,D,20220103,000000,0.4099,0.4099,0.3999,0.3999,264,0
MTRYW.US,D,20220104,000000,0.4099,0.4099,0.39,0.4099,1202,0
MTRYW.US,D,20220105,000000,0.381,0.381,0.3745,0.38,37003,0
MTRYW.US,D,20220106,000000,0.3745,0.38,0.3701,0.38,10400,0
MTRYW.US,D,20220107,000000,0.38,0.38,0.38,0.38,103,0
MTRYW.US,D,20220110,000000,0.3701,0.3701,0.37,0.37,45419,0
MTRYW.US,D,20220111,000000,0.37,0.3799,0.37,0.3799,56510,0
MTRYW.US,D,20220112,000000,0.4099,0.4099,0.4099,0.4099,100,0
MTRYW.US,D,20220113,000000,0.3799,0.38,0.3798,0.38,4400,0
MTRYW.US,D,20220118,000000,0.35,0.3709,0.3151,0.3709,62455,0
MTRYW.US,D,20220119,000000,0.35,0.35,0.3201,0.33,46800,0
MTRYW.US,D,20220120,000000,0.3201,0.33,0.3201,0.3201,31966,0
MTRYW.US,D,20220121,000000,0.3051,0.3051,0.305,0.305,65000,0
MTRYW.US,D,20220124,000000,0.2701,0.2701,0.27,0.27,1100,0
MTRYW.US,D,20220125,000000,0.2549,0.27,0.2549,0.27,219,0
MTRYW.US,D,20220126,000000,0.2601,0.2602,0.26,0.2601,140296,0
MTRYW.US,D,20220127,000000,0.2699,0.270693,0.2697,0.27,109500,0
MTRYW.US,D,20220128,000000,0.26,0.27,0.26,0.2693,61602,0
MTRYW.US,D,20220131,000000,0.260693,0.260693,0.2599,0.26,33899,0
MTRYW.US,D,20220201,000000,0.2599,0.26,0.2594,0.26,3701,0
MTRYW.US,D,20220202,000000,0.26,0.26,0.2599,0.26,13425,0
MTRYW.US,D,20220204,000000,0.3798,0.3798,0.2897,0.2997,5500,0
