<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NKEL.US,D,20220715,000000,30.77,30.8191,30.77,30.8191,308,0
NKEL.US,D,20220718,000000,31.73,31.73,30.4598,30.4598,659,0
NKEL.US,D,20220719,000000,33.6025,33.6025,33.6025,33.6025,57,0
NKEL.US,D,20220720,000000,34.689,34.689,34.689,34.689,90,0
NKEL.US,D,20220721,000000,34.75,35.0055,34.72,35.0055,1924,0
NKEL.US,D,20220722,000000,33.32,33.4555,33.31,33.4555,823,0
NKEL.US,D,20220725,000000,33.5872,33.5872,33.5872,33.5872,148,0
NKEL.US,D,20220726,000000,31.92,31.92,31.029,31.029,336,0
NKEL.US,D,20220727,000000,31.59,32.6548,31.4,32.6548,4090,0
NKEL.US,D,20220728,000000,35.302,35.302,35.17,35.208,498,0
NKEL.US,D,20220729,000000,36.9496,36.9496,36.9496,36.9496,346,0
NKEL.US,D,20220801,000000,37.2,37.29,36.5787,36.5787,1404,0
NKEL.US,D,20220802,000000,35.92,35.92,34.9218,34.9218,4499,0
NKEL.US,D,20220803,000000,36.6,36.6,35.3948,35.3948,273,0
NKEL.US,D,20220804,000000,36.4735,36.4735,36.4735,36.4735,3732,0
NKEL.US,D,20220805,000000,35.9224,35.9224,35.9224,35.9224,458,0
NKEL.US,D,20220808,000000,36.07,36.07,35.1963,35.1963,1023,0
NKEL.US,D,20220809,000000,36.79,36.79,36.79,36.79,588,0
NKEL.US,D,20220810,000000,35.76,36,35.05,35.67,1433,0
NKEL.US,D,20220811,000000,37.39,37.39,36.27,36.27,6542,0
NKEL.US,D,20220812,000000,37.59,37.59,37.59,37.59,259,0
NKEL.US,D,20220815,000000,37.2799,37.97,37.11,37.97,906,0
NKEL.US,D,20220816,000000,38.85,38.85,37.7615,37.7615,399,0
NKEL.US,D,20220817,000000,38.03,38.03,37.9953,37.9953,455,0
NKEL.US,D,20220818,000000,37.1001,37.2665,37.1,37.2665,259,0
NKEL.US,D,20220819,000000,35.4809,35.4809,35.4809,35.4809,448,0
NKEL.US,D,20220822,000000,34.04,34.0697,33.6432,33.6432,646,0
NKEL.US,D,20220823,000000,33.8841,33.8841,33.8841,33.8841,235,0
NKEL.US,D,20220824,000000,34.3246,34.3246,34.3246,34.3246,54,0
NKEL.US,D,20220825,000000,35.3213,35.3213,35.3213,35.3213,679,0
NKEL.US,D,20220826,000000,34.579,34.579,32.3481,32.3481,353,0
NKEL.US,D,20220829,000000,32.0947,32.0947,32.0947,32.0947,45,0
NKEL.US,D,20220830,000000,32.0153,32.0153,32.0153,32.0153,5,0
NKEL.US,D,20220831,000000,31.1612,31.1612,31.1612,31.1612,44,0
NKEL.US,D,20220901,000000,31.0601,31.0601,31.0601,31.0601,78,0
NKEL.US,D,20220902,000000,31.06,32.0055,31.02,31.02,1051,0
NKEL.US,D,20220906,000000,30.48,30.67,30.48,30.67,717,0
NKEL.US,D,20220907,000000,32.3519,32.3519,32.3519,32.3519,52,0
NKEL.US,D,20220908,000000,32.5254,32.5254,32.5254,32.5254,16,0
NKEL.US,D,20220909,000000,33.72,33.76,33.72,33.76,123,0
NKEL.US,D,20220912,000000,35.074,35.074,34.5,34.82,569,0
NKEL.US,D,20220914,000000,31.3056,31.3056,31.3056,31.3056,65,0
NKEL.US,D,20220915,000000,30.58,30.58,30.58,30.58,51,0
NKEL.US,D,20220916,000000,29.66,29.66,29.66,29.66,31,0
NKEL.US,D,20220919,000000,29.31,31.3522,29.31,31.3522,611,0
NKEL.US,D,20220920,000000,28.76,28.76,28.51,28.62,724,0
NKEL.US,D,20220921,000000,28.52,28.89,27.24,27.31,964,0
NKEL.US,D,20220922,000000,26.21,26.49,26.21,26.49,168,0
NKEL.US,D,20220923,000000,25,25.61,25,25.61,1036,0
NKEL.US,D,20220926,000000,25.33,25.34,25.19,25.19,912,0
NKEL.US,D,20220927,000000,25.1838,25.1838,25.1838,25.1838,83,0
NKEL.US,D,20220928,000000,25.62,26.4458,25.62,26.4458,325,0
NKEL.US,D,20220929,000000,25.47,25.47,24.64,24.8173,5060,0
NKEL.US,D,20220930,000000,18.69,19.4457,18.08,18.2349,23570,0
NKEL.US,D,20221003,000000,18.7,19.6,18.22,19.3397,10319,0
NKEL.US,D,20221004,000000,20.7,20.74,20.61,20.6636,12095,0
NKEL.US,D,20221005,000000,20.55,22.0626,20.55,21.8544,3614,0
NKEL.US,D,20221006,000000,21.7634,21.7634,21.5,21.5,651,0
NKEL.US,D,20221007,000000,20.19,20.32,20.19,20.27,508,0
NKEL.US,D,20221010,000000,19.62,19.7283,19.175,19.7283,2327,0
NKEL.US,D,20221011,000000,20.2513,20.2513,20.2513,20.2513,71,0
NKEL.US,D,20221012,000000,20.5616,20.5616,20.5616,20.5616,187,0
NKEL.US,D,20221013,000000,20.0599,21.0572,20.0599,21.0572,1336,0
NKEL.US,D,20221014,000000,20.64,20.64,20.0834,20.0834,563,0
NKEL.US,D,20221017,000000,20.9,21.1878,20.9,21.1878,233,0
NKEL.US,D,20221018,000000,21.0111,21.0111,21.0111,21.0111,82,0
NKEL.US,D,20221019,000000,20.65,20.65,20.4824,20.4824,129,0
NKEL.US,D,20221020,000000,21.11,21.11,19.75,19.75,1044,0
NKEL.US,D,20221021,000000,20.05,20.4577,19.75,20.4577,278,0
NKEL.US,D,20221024,000000,20.51,20.51,19.69,20.209,1085,0
NKEL.US,D,20221025,000000,21.82,21.82,21.82,21.82,31,0
NKEL.US,D,20221026,000000,23.01,23.01,22.213,22.213,373,0
NKEL.US,D,20221027,000000,21.95,21.95,21.18,21.48,1069,0
NKEL.US,D,20221028,000000,21.93,22.8431,21.93,22.8431,307,0
NKEL.US,D,20221031,000000,22.3312,22.3312,22.3312,22.3312,56,0
NKEL.US,D,20221101,000000,22.8045,22.8045,22.8045,22.8045,171,0
NKEL.US,D,20221102,000000,22.71,22.92,21.18,21.18,992,0
NKEL.US,D,20221103,000000,20.85,21.36,20.85,21.1319,792,0
NKEL.US,D,20221104,000000,24.02,24.02,23.5584,23.5584,406,0
NKEL.US,D,20221107,000000,22.17,22.77,22.17,22.77,398,0
NKEL.US,D,20221108,000000,22.81,22.81,22.6363,22.6363,176,0
