<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWLI.US,D,20050225,000000,170.929,170.929,169.452,170.879,898.6321455891,0
NWLI.US,D,20050228,000000,170.879,170.879,169.941,170.19,2774.0383624707,0
NWLI.US,D,20050301,000000,169.452,170.929,168.633,168.633,3673.6723276201,0
NWLI.US,D,20050302,000000,171.997,171.997,169.801,170.44,3308.0081881106,0
NWLI.US,D,20050303,000000,169.881,169.941,169.761,169.761,714.2973464939,0
NWLI.US,D,20050304,000000,169.701,170.39,169.701,169.941,1344.4418499226,0
NWLI.US,D,20050307,000000,169.941,170.699,169.941,170.699,374.6805155522,0
NWLI.US,D,20050308,000000,169.651,170.11,169.172,169.172,1008.8322972221,0
NWLI.US,D,20050309,000000,172.536,172.536,168.463,168.463,4823.7611828445,0
NWLI.US,D,20050310,000000,170.789,170.789,166.727,166.727,815.4811220842,0
NWLI.US,D,20050311,000000,169.931,169.931,163.113,166.477,7971.4782413071,0
NWLI.US,D,20050314,000000,163.273,167.755,163.273,165.159,21119.358150684,0
NWLI.US,D,20050315,000000,163.792,167.136,163.512,167.136,14519.370887428,0
NWLI.US,D,20050316,000000,167.026,167.495,165.589,166.747,3314.0191054724,0
NWLI.US,D,20050317,000000,167.086,168.334,166.846,168.334,984.7886277749,0
NWLI.US,D,20050318,000000,166.777,169.142,165.898,165.898,7487.5993936822,0
NWLI.US,D,20050321,000000,167.415,168.513,166.048,168.513,3831.9598181475,0
NWLI.US,D,20050322,000000,167.435,168.943,167.435,168.943,2991.4332070558,0
NWLI.US,D,20050323,000000,167.994,167.994,166.767,166.767,1454.6420015556,0
NWLI.US,D,20050324,000000,168.963,168.973,168.843,168.863,719.3064442954,0
NWLI.US,D,20050328,000000,168.084,168.084,167.555,167.555,1532.783927259,0
NWLI.US,D,20050329,000000,167.106,167.106,164.351,165.06,9762.7316151235,0
NWLI.US,D,20050330,000000,166.996,167.006,166.327,167.006,1144.0779378626,0
NWLI.US,D,20050331,000000,166.876,166.966,166.787,166.966,1710.1059894321,0
NWLI.US,D,20050401,000000,168.264,168.264,164.62,164.67,1189.1598180761,0
NWLI.US,D,20050404,000000,164.581,164.581,164.141,164.291,1733.147839319,0
NWLI.US,D,20050405,000000,165.249,165.689,164.091,164.391,14799.880364312,0
NWLI.US,D,20050406,000000,163.403,163.403,163.403,163.403,202.3675511806,0
NWLI.US,D,20050407,000000,163.403,163.942,162.714,162.904,11942.690978336,0
NWLI.US,D,20050408,000000,164.091,164.091,160.658,161.007,4278.7713420413,0
NWLI.US,D,20050411,000000,159.899,159.899,157.603,157.603,1606.9185747212,0
NWLI.US,D,20050412,000000,158.472,159.34,156.755,159.34,6339.5141775784,0
NWLI.US,D,20050413,000000,156.196,157.004,155.707,157.004,16217.455042136,0
NWLI.US,D,20050414,000000,156.316,156.944,155.707,156.316,16578.110083844,0
NWLI.US,D,20050415,000000,156.415,157.424,155.946,156.266,3647.6250190523,0
NWLI.US,D,20050418,000000,157.883,158.681,156.615,157.463,5253.5417742132,0
NWLI.US,D,20050419,000000,157.583,160.508,157.583,160.508,1953.548142585,0
NWLI.US,D,20050420,000000,157.903,158.132,157.254,157.254,2076.7719485019,0
NWLI.US,D,20050421,000000,156.875,159.49,156.875,159.081,11998.792873713,0
NWLI.US,D,20050422,000000,158.831,164.401,157.254,161.456,13672.833358974,0
NWLI.US,D,20050425,000000,163.113,167.016,163.093,166.527,5102.2670206079,0
NWLI.US,D,20050426,000000,165.06,168.324,163.343,166.188,4247.714935672,0
NWLI.US,D,20050427,000000,165.08,165.09,164.391,165.06,5501.9930251676,0
NWLI.US,D,20050428,000000,165.249,166.208,164.321,164.371,785.4265352752,0
NWLI.US,D,20050429,000000,163.353,163.353,161.476,161.476,614.1153904639,0
NWLI.US,D,20050502,000000,161.077,165.449,161.077,165.449,3920.1199394539,0
NWLI.US,D,20050503,000000,156.895,166.228,156.895,165.389,2307.1904473709,0
NWLI.US,D,20050504,000000,165.06,167.126,163.113,167.126,3162.7443518671,0
NWLI.US,D,20050505,000000,165.539,167.405,165.269,165.269,10237.594086706,0
NWLI.US,D,20050506,000000,167.705,167.705,166.188,166.976,14135.673995833,0
NWLI.US,D,20050509,000000,167.705,168.853,167.046,167.465,5434.8711146275,0
NWLI.US,D,20050510,000000,167.755,167.994,167.026,167.994,21618.264291714,0
NWLI.US,D,20050511,000000,167.944,168.563,167.026,167.705,2593.7108416167,0
NWLI.US,D,20050512,000000,167.515,167.605,167.515,167.565,6451.717968332,0
NWLI.US,D,20050513,000000,166.487,168.633,166.487,168.463,2319.2122820945,0
NWLI.US,D,20050516,000000,168.693,168.693,166.647,167.555,835.5175132902,0
NWLI.US,D,20050517,000000,168.424,174.702,168.334,172.975,9010.3651253382,0
NWLI.US,D,20050518,000000,174.293,178.515,174.293,175.101,4954.9995452438,0
NWLI.US,D,20050519,000000,178.575,179.653,176.589,176.589,660.1990902377,0
NWLI.US,D,20050520,000000,175.8,177.437,175.79,177.437,1531.7821076987,0
NWLI.US,D,20050523,000000,177.767,182.268,177.767,180.761,1733.147839319,0
NWLI.US,D,20050524,000000,177.287,180.861,177.287,179.953,3161.7425323068,0
NWLI.US,D,20050525,000000,176.289,179.663,176.289,179.224,1020.8541319457,0
NWLI.US,D,20050526,000000,177.188,177.188,176.06,176.06,394.7169067582,0
NWLI.US,D,20050527,000000,178.745,183.376,177.098,177.098,1478.6856710028,0
NWLI.US,D,20050531,000000,173.534,180.601,173.534,179.114,3396.168309417,0
NWLI.US,D,20050601,000000,179.713,193.378,179.693,193.368,12550.795451438,0
NWLI.US,D,20050602,000000,190.443,193.378,189.545,190.334,3632.5977256478,0
NWLI.US,D,20050603,000000,189.475,189.475,184.973,188.727,1194.1689158776,0
NWLI.US,D,20050606,000000,190.443,190.443,178.845,189.845,771.401061431,0
NWLI.US,D,20050607,000000,187.469,189.705,185.712,189.705,1694.0768764673,0
NWLI.US,D,20050608,000000,189.455,189.455,182.388,182.388,1735.1514784396,0
NWLI.US,D,20050609,000000,185.353,186.541,183.446,183.446,815.4811220842,0
NWLI.US,D,20050610,000000,185.443,185.552,179.803,180.821,1746.1714936029,0
NWLI.US,D,20050613,000000,176.339,181.27,176.339,179.713,2959.3749811262,0
NWLI.US,D,20050614,000000,181.51,183.326,181.51,183.326,755.3719484662,0
NWLI.US,D,20050615,000000,177.287,185.582,177.287,182.248,6702.172858407,0
NWLI.US,D,20050616,000000,184.205,184.983,184.035,184.983,2028.6846096075,0
NWLI.US,D,20050617,000000,185.592,187.02,185.592,185.602,6555.9072026032,0
NWLI.US,D,20050620,000000,183.626,186.581,183.626,186.581,511.9297953133,0
NWLI.US,D,20050621,000000,188.098,189.914,182.538,182.538,1737.1551175602,0
NWLI.US,D,20050622,000000,182.548,186.361,182.548,185.592,612.1117513433,0
NWLI.US,D,20050623,000000,185.552,185.552,184.874,185.203,845.5357088932,0
NWLI.US,D,20050624,000000,184.494,188.946,183.107,188.946,6264.3777105559,0
NWLI.US,D,20050627,000000,189.375,189.835,186.79,186.79,1576.8639879122,0
NWLI.US,D,20050628,000000,187.139,189.954,187.139,189.954,2517.5725550339,0
NWLI.US,D,20050629,000000,190.443,190.443,188.986,189.475,743.3501137426,0
NWLI.US,D,20050630,000000,189.475,192.13,187.589,189.365,3647.6250190523,0
NWLI.US,D,20050701,000000,189.475,194.716,186.291,193.328,2230.0503412278,0
NWLI.US,D,20050705,000000,195.345,195.704,195.335,195.345,2817.1166035636,0
NWLI.US,D,20050706,000000,195.345,195.345,192.42,193.169,1445.6256255129,0
NWLI.US,D,20050707,000000,185.592,191.981,185.592,191.981,720.3082638557,0
NWLI.US,D,20050708,000000,195.215,205.097,194.267,205.097,2107.8283548712,0
NWLI.US,D,20050711,000000,205.087,208.091,195.414,204.139,2795.076573237,0
NWLI.US,D,20050712,000000,204.139,207.223,204.139,205.736,3991.2491282352,0
NWLI.US,D,20050713,000000,193.857,200.116,193.857,200.116,410.746019723,0
NWLI.US,D,20050714,000000,196.712,205.047,196.712,197.351,715.2991660542,0
NWLI.US,D,20050715,000000,195.345,200.016,195.345,200.016,2296.1704322076,0
NWLI.US,D,20050718,000000,199.886,200.535,194.167,194.167,2377.3178165919,0
NWLI.US,D,20050719,000000,196.323,196.323,187.209,190.354,5213.4689918012,0
NWLI.US,D,20050720,000000,190.843,197.441,190.314,197.441,4491.1570888249,0
NWLI.US,D,20050721,000000,194.696,194.696,190.693,190.703,3298.9918120679,0
NWLI.US,D,20050722,000000,195.245,204.847,193.378,202.621,8759.9102352632,0
NWLI.US,D,20050725,000000,197.301,207.532,197.301,202.671,2091.7992419064,0
NWLI.US,D,20050726,000000,204.089,209.988,204.089,208.151,560.0171342077,0
NWLI.US,D,20050727,000000,205.296,205.386,205.296,205.386,410.746019723,0
NWLI.US,D,20050728,000000,176.1,207.502,176.1,207.502,5484.9620926425,0
NWLI.US,D,20050729,000000,208.041,213.891,200.216,200.216,2005.6427597206,0
NWLI.US,D,20050801,000000,208.041,208.041,200.355,200.355,3032.5078090281,0
NWLI.US,D,20050802,000000,209.489,209.489,201.982,204.079,2183.966641454,0
NWLI.US,D,20050803,000000,204.069,209,198.339,206.664,1361.4727824477,0
NWLI.US,D,20050804,000000,200.216,205.646,200.216,205.646,962.7485974483,0
NWLI.US,D,20050805,000000,204.418,211.894,197.391,204.059,2556.6435178856,0
NWLI.US,D,20050808,000000,209.988,209.988,201.414,202.941,2562.6544352474,0
NWLI.US,D,20050809,000000,205.067,205.067,201.154,204.628,1543.8039424223,0
NWLI.US,D,20050810,000000,205.097,205.097,195.844,195.844,1764.2042456883,0
NWLI.US,D,20050811,000000,195.345,197.241,193.378,195.744,3828.9543594666,0
NWLI.US,D,20050812,000000,198.08,198.718,192.659,193.608,3110.6497347315,0
NWLI.US,D,20050815,000000,190.693,200.036,190.693,199.227,1531.7821076987,0
NWLI.US,D,20050816,000000,196.752,199.327,194.606,195.355,4480.1370736616,0
NWLI.US,D,20050817,000000,191.192,196.373,191.192,196.323,3646.623199492,0
NWLI.US,D,20050818,000000,197.87,197.87,195.205,196.323,1346.4454890432,0
NWLI.US,D,20050819,000000,194.107,196.323,194.107,195.345,917.6667172348,0
NWLI.US,D,20050822,000000,196.123,196.313,195.345,195.345,424.7714935672,0
NWLI.US,D,20050823,000000,195.145,195.145,190.443,191.442,13140.867172455,0
NWLI.US,D,20050824,000000,197.241,197.241,192.5,194.796,1532.783927259,0
NWLI.US,D,20050825,000000,195.345,195.345,191.781,193.378,614.1153904639,0
NWLI.US,D,20050826,000000,193.378,193.378,190.144,190.144,2458.4652009762,0
NWLI.US,D,20050829,000000,195.015,195.015,192.47,192.47,1150.0888552244,0
NWLI.US,D,20050830,000000,194.816,194.816,191.402,194.656,1434.6056103496,0
NWLI.US,D,20050831,000000,194.057,195.065,192.4,192.4,2071.7628507004,0
NWLI.US,D,20050901,000000,195.345,195.345,194.356,194.356,2604.73085678,0
NWLI.US,D,20050902,000000,193.378,195.345,191.322,193.378,1410.5619409024,0
NWLI.US,D,20050906,000000,193.378,199.906,193.378,199.906,1838.3388931505,0
NWLI.US,D,20050907,000000,201.693,204.009,201.693,202.102,790.4356330767,0
NWLI.US,D,20050908,000000,203.34,205.087,202.182,202.931,1951.5445034644,0
NWLI.US,D,20050909,000000,204.618,207.732,204.618,205.097,1038.8868840311,0
NWLI.US,D,20050912,000000,210.966,210.966,205.097,206.075,1080.9633055637,0
NWLI.US,D,20050913,000000,209.389,209.489,203.17,206.325,1241.2544352117,0
NWLI.US,D,20050914,000000,207.263,207.263,205.306,205.306,410.746019723,0
NWLI.US,D,20050915,000000,211.655,211.655,203.22,205.845,715.2991660542,0
