<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCTI.US,D,20050225,000000,5.00068,5.03505,4.74356,4.92412,399294.09176754,0
PCTI.US,D,20050228,000000,4.87539,4.96581,4.74356,4.93789,262169.8730608,0
PCTI.US,D,20050301,000000,4.82676,4.95869,4.77129,4.87539,129591.37263821,0
PCTI.US,D,20050302,000000,4.87539,4.99355,4.73643,4.78546,158191.8155213,0
PCTI.US,D,20050303,000000,4.84776,4.97255,4.78546,4.93789,68506.299115368,0
PCTI.US,D,20050304,000000,4.98662,5.08397,4.96581,5.02109,36448.693599409,0
PCTI.US,D,20050307,000000,4.97255,5.02812,4.80596,4.81309,65578.565712713,0
PCTI.US,D,20050308,000000,4.80596,4.87539,4.80596,4.80596,86779.287865625,0
PCTI.US,D,20050309,000000,4.76436,4.84092,4.75069,4.80596,92628.61042455,0
PCTI.US,D,20050310,000000,4.78546,4.87539,4.75763,4.78546,95602.425675095,0
PCTI.US,D,20050311,000000,4.77794,4.84092,4.77794,4.84092,100906.95838785,0
PCTI.US,D,20050314,000000,4.74356,4.8336,4.74356,4.81963,79091.811596393,0
PCTI.US,D,20050315,000000,4.84092,4.84092,4.64601,4.72247,73463.681907343,0
PCTI.US,D,20050316,000000,4.70851,4.7919,4.66017,4.77129,109545.76880575,0
PCTI.US,D,20050317,000000,4.78546,4.81963,4.70196,4.73643,58924.346877297,0
PCTI.US,D,20050318,000000,4.78546,4.79903,4.64601,4.67403,153342.98108214,0
PCTI.US,D,20050321,000000,4.72247,4.76436,4.68136,4.73643,31545.58498384,0
PCTI.US,D,20050322,000000,4.68136,4.80596,4.68136,4.68136,52248.623179532,0
PCTI.US,D,20050323,000000,4.68136,4.80596,4.68136,4.74356,49755.083188114,0
PCTI.US,D,20050324,000000,4.81309,4.81309,4.71563,4.72247,56576.220717,0
PCTI.US,D,20050328,000000,4.76436,4.81309,4.75069,4.77794,73129.844520401,0
PCTI.US,D,20050329,000000,4.73643,4.8336,4.67403,4.68136,87398.832709489,0
PCTI.US,D,20050330,000000,4.7295,4.77794,4.69532,4.77794,33373.498283504,0
PCTI.US,D,20050331,000000,4.77794,4.81309,4.69532,4.81309,97418.050481989,0
PCTI.US,D,20050401,000000,4.75763,4.87539,4.6672,4.72247,179142.67165454,0
PCTI.US,D,20050404,000000,4.57686,4.67403,4.54181,4.6253,93442.723070619,0
PCTI.US,D,20050405,000000,4.6672,4.72247,4.6047,4.61837,105458.82091838,0
PCTI.US,D,20050406,000000,4.6877,4.72247,4.59747,4.59747,126685.1440979,0
PCTI.US,D,20050407,000000,4.5838,4.67403,4.5838,4.63927,36347.31353405,0
PCTI.US,D,20050408,000000,4.64601,4.65333,4.51456,4.54181,87484.852158884,0
PCTI.US,D,20050411,000000,4.54181,4.65333,4.53517,4.54181,109787.44249692,0
PCTI.US,D,20050412,000000,4.54181,4.65333,4.51456,4.64601,1196878.7150596,0
PCTI.US,D,20050413,000000,4.6253,4.92412,4.6253,4.65333,125824.94960394,0
PCTI.US,D,20050414,000000,4.63243,4.72247,4.6253,4.63243,64470.553281208,0
PCTI.US,D,20050415,000000,4.63243,4.63927,4.50714,4.51456,63287.785852014,0
PCTI.US,D,20050418,000000,4.56251,4.61173,4.38927,4.47258,103167.01701662,0
PCTI.US,D,20050419,000000,4.43791,4.50714,4.38245,4.4797,119465.65459503,0
PCTI.US,D,20050420,000000,4.47258,4.59113,4.40344,4.40344,142551.6363472,0
PCTI.US,D,20050421,000000,4.42414,4.71563,4.38245,4.70196,108111.08727476,0
PCTI.US,D,20050422,000000,4.64601,4.64601,4.50714,4.54903,128949.29889093,0
PCTI.US,D,20050425,000000,4.53517,4.6253,4.4589,4.57686,67926.69187301,0
PCTI.US,D,20050426,000000,4.53517,4.61173,4.51456,4.59747,97113.91028591,0
PCTI.US,D,20050427,000000,4.56251,4.59747,4.50714,4.54181,93174.424311789,0
PCTI.US,D,20050428,000000,4.49367,4.57686,4.39601,4.40998,200826.74118977,0
PCTI.US,D,20050429,000000,4.66017,4.73643,4.56954,4.73643,244361.79895371,0
PCTI.US,D,20050502,000000,4.74356,4.90332,4.70196,4.90332,131597.46908304,0
PCTI.US,D,20050503,000000,4.84092,4.84092,4.71563,4.75763,207548.54673543,0
PCTI.US,D,20050504,000000,4.81309,4.81309,4.65333,4.77794,130145.37885396,0
PCTI.US,D,20050505,000000,4.70851,4.75069,4.68136,4.71563,256275.49269505,0
PCTI.US,D,20050506,000000,4.78546,4.78546,4.72247,4.74356,112990.64294585,0
PCTI.US,D,20050509,000000,4.70851,4.76436,4.61837,4.7295,158799.07187239,0
PCTI.US,D,20050510,000000,4.70196,4.79903,4.61173,4.79903,112389.53084114,0
