<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRLHW.US,D,20220707,000000,0.1978,0.2005,0.17,0.17,230652,0
PRLHW.US,D,20220713,000000,0.18,0.18,0.18,0.18,139,0
PRLHW.US,D,20220715,000000,0.16,0.1603,0.16,0.16,300,0
PRLHW.US,D,20220718,000000,0.16,0.16,0.15,0.15,2866,0
PRLHW.US,D,20220719,000000,0.1247,0.1247,0.1247,0.1247,200,0
PRLHW.US,D,20220725,000000,0.0848,0.0848,0.0848,0.0848,101,0
PRLHW.US,D,20220727,000000,0.15,0.17,0.15,0.15,64628,0
PRLHW.US,D,20220728,000000,0.15,0.15,0.15,0.15,35808,0
PRLHW.US,D,20220729,000000,0.2,0.2,0.1598,0.1598,697092,0
PRLHW.US,D,20220803,000000,0.17,0.17,0.17,0.17,3600,0
PRLHW.US,D,20220825,000000,0.1448,0.1448,0.1448,0.1448,120,0
PRLHW.US,D,20220829,000000,0.12,0.12,0.12,0.12,305,0
PRLHW.US,D,20220908,000000,0.1,0.1,0.1,0.1,210,0
PRLHW.US,D,20220909,000000,0.1,0.1,0.1,0.1,235,0
PRLHW.US,D,20220912,000000,0.0898,0.0898,0.081,0.081,600,0
PRLHW.US,D,20220926,000000,0.14,0.14,0.14,0.14,14200,0
PRLHW.US,D,20220928,000000,0.14,0.14,0.1399,0.14,35900,0
PRLHW.US,D,20220929,000000,0.1183,0.14,0.1116,0.14,3800,0
PRLHW.US,D,20221004,000000,0.0898,0.099,0.0801,0.0801,32925,0
PRLHW.US,D,20221005,000000,0.09,0.09,0.09,0.09,275,0
PRLHW.US,D,20221006,000000,0.0648,0.0761,0.0648,0.07,140320,0
PRLHW.US,D,20221011,000000,0.07,0.07,0.0501,0.06,40544,0
PRLHW.US,D,20221012,000000,0.06,0.0601,0.0564,0.0601,36839,0
PRLHW.US,D,20221101,000000,0.07,0.07125,0.07,0.07125,53435,0
PRLHW.US,D,20221104,000000,0.075,0.075,0.075,0.075,10000,0
PRLHW.US,D,20221107,000000,0.0997,0.1,0.0997,0.1,350,0
PRLHW.US,D,20221110,000000,0.0343,0.0343,0.0343,0.0343,255,0
PRLHW.US,D,20221114,000000,0.05,0.05,0.05,0.05,4000,0
PRLHW.US,D,20221115,000000,0.0493,0.0501,0.0493,0.0501,600,0
PRLHW.US,D,20221116,000000,0.0501,0.0501,0.0245,0.04,11040,0
PRLHW.US,D,20221117,000000,0.0601,0.0601,0.0601,0.0601,10180,0
PRLHW.US,D,20221122,000000,0.025,0.03,0.025,0.03,30150,0
PRLHW.US,D,20221123,000000,0.03,0.03,0.03,0.03,7200,0
PRLHW.US,D,20221125,000000,0.05,0.05,0.0499,0.0499,501,0
PRLHW.US,D,20221128,000000,0.05,0.0601,0.05,0.06,15335,0
PRLHW.US,D,20221129,000000,0.08,0.09,0.0744,0.0744,153020,0
PRLHW.US,D,20221202,000000,0.1247,0.1247,0.1247,0.1247,400,0
PRLHW.US,D,20221205,000000,0.0421,0.0421,0.0421,0.0421,150,0
PRLHW.US,D,20221206,000000,0.0421,0.0421,0.0421,0.0421,660,0
PRLHW.US,D,20221208,000000,0.042,0.042,0.042,0.042,1200,0
PRLHW.US,D,20221209,000000,0.1,0.1,0.0727,0.0727,3070,0
PRLHW.US,D,20221214,000000,0.06,0.06,0.06,0.06,305,0
PRLHW.US,D,20221215,000000,0.062101,0.062101,0.062101,0.062101,1470,0
PRLHW.US,D,20221228,000000,0.07,0.07,0.0699,0.0699,33891,0
PRLHW.US,D,20230112,000000,0.08,0.08,0.08,0.08,10800,0
PRLHW.US,D,20230113,000000,0.071,0.071,0.071,0.071,2564,0
PRLHW.US,D,20230117,000000,0.07,0.071,0.07,0.07,1503,0
PRLHW.US,D,20230118,000000,0.071,0.071,0.07,0.07,1532,0
PRLHW.US,D,20230119,000000,0.071,0.071,0.07,0.071,95087,0
PRLHW.US,D,20230123,000000,0.095,0.095,0.0825,0.0825,1153,0
PRLHW.US,D,20230124,000000,0.0711,0.2889,0.0701,0.1552,12739,0
PRLHW.US,D,20230125,000000,0.12,0.12,0.0999,0.1126,1450,0
PRLHW.US,D,20230126,000000,0.08,0.081,0.08,0.081,550,0
PRLHW.US,D,20230130,000000,0.081,0.09,0.08,0.081,21477,0
PRLHW.US,D,20230203,000000,0.119,0.12,0.09,0.091,683,0
PRLHW.US,D,20230213,000000,0.095,0.1,0.095,0.0965,5971,0
PRLHW.US,D,20230214,000000,0.1,0.1017,0.1,0.1001,7401,0
PRLHW.US,D,20230215,000000,0.1101,0.19,0.1061,0.121,5667,0
PRLHW.US,D,20230217,000000,0.1,0.1,0.1,0.1,175,0
PRLHW.US,D,20230223,000000,0.1362,0.1392,0.1044,0.11,4736,0
PRLHW.US,D,20230227,000000,0.11,0.11,0.1099,0.1099,33596,0
PRLHW.US,D,20230301,000000,0.1016,0.1016,0.1016,0.1016,166,0
PRLHW.US,D,20230307,000000,0.1001,0.12,0.1,0.12,26577,0
PRLHW.US,D,20230308,000000,0.12,0.12,0.12,0.12,863,0
PRLHW.US,D,20230317,000000,0.1016,0.1016,0.1,0.1,397,0
PRLHW.US,D,20230321,000000,0.1128,0.1128,0.1128,0.1128,204,0
PRLHW.US,D,20230323,000000,0.12,0.12,0.12,0.12,529,0
PRLHW.US,D,20230405,000000,0.1116,0.1116,0.1101,0.1101,25101,0
PRLHW.US,D,20230410,000000,0.139,0.139,0.134,0.1389,502,0
PRLHW.US,D,20230411,000000,0.1101,0.1101,0.1101,0.1101,15300,0
PRLHW.US,D,20230412,000000,0.11,0.11,0.11,0.11,10426,0
PRLHW.US,D,20230418,000000,0.1116,0.1116,0.1101,0.1101,50628,0
PRLHW.US,D,20230420,000000,0.1101,0.1181,0.11,0.117344,162300,0
PRLHW.US,D,20230421,000000,0.1101,0.115,0.1,0.1,35100,0
PRLHW.US,D,20230424,000000,0.1224,0.1224,0.0516,0.0892,8531,0
PRLHW.US,D,20230425,000000,0.09175,0.1,0.062,0.1,19342,0
PRLHW.US,D,20230426,000000,0.07625,0.0994,0.0552,0.0875,8609,0
PRLHW.US,D,20230427,000000,0.0867,0.1074,0.0514,0.098,14735,0
PRLHW.US,D,20230428,000000,0.0609,0.097,0.0607,0.097,5706,0
PRLHW.US,D,20230501,000000,0.217,0.217,0.09865,0.1999,3950,0
PRLHW.US,D,20230502,000000,0.1222,0.1471,0.0561,0.0842,4733,0
PRLHW.US,D,20230503,000000,0.192,0.1921,0.1,0.1,5617,0
PRLHW.US,D,20230504,000000,0.0824,0.1621,0.0718,0.1334,3259,0
PRLHW.US,D,20230505,000000,0.0824,0.155,0.0824,0.1433,6217,0
PRLHW.US,D,20230508,000000,0.1011,0.2097,0.1005,0.1374,14876,0
PRLHW.US,D,20230509,000000,0.1051,0.1945,0.096,0.1375,12293,0
PRLHW.US,D,20230510,000000,0.1372,0.1398,0.1,0.100439,2002,0
PRLHW.US,D,20230512,000000,0.1143,0.1143,0.1143,0.1143,101,0
