<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PWUPU.US,D,20220223,000000,10.03,10.03,10.01,10.01,923105,0
PWUPU.US,D,20220224,000000,10,10.0022,9.99,10,179006,0
PWUPU.US,D,20220225,000000,10,10.01,10,10,91186,0
PWUPU.US,D,20220228,000000,10.02,10.02,9.98,10,13368,0
PWUPU.US,D,20220301,000000,9.98,10.005,9.98,10.005,60737,0
PWUPU.US,D,20220303,000000,10.02,10.02,10.0003,10.02,627,0
PWUPU.US,D,20220304,000000,9.99,9.9907,9.99,9.9907,721,0
PWUPU.US,D,20220307,000000,9.99,10.0197,9.99,9.99,2101,0
PWUPU.US,D,20220308,000000,10,10.02,9.99,10.02,1123733,0
PWUPU.US,D,20220309,000000,10.0134,10.015,10.0134,10.015,1429,0
PWUPU.US,D,20220310,000000,10.02,10.02,10.02,10.02,983,0
PWUPU.US,D,20220314,000000,10.02,10.02,10,10,5742,0
PWUPU.US,D,20220315,000000,10.005,10.005,10.005,10.005,100,0
PWUPU.US,D,20220316,000000,10.0094,10.0094,10.0094,10.0094,101,0
PWUPU.US,D,20220318,000000,10.03,10.09,10.02,10.05,328503,0
PWUPU.US,D,20220321,000000,10.08,10.08,10.04,10.0466,118920,0
PWUPU.US,D,20220322,000000,10.07,10.07,10.04,10.0499,26799,0
PWUPU.US,D,20220323,000000,10.07,10.07,10.0409,10.06,12759,0
PWUPU.US,D,20220324,000000,10.06,10.06,10.05,10.06,10407,0
PWUPU.US,D,20220325,000000,10.08,10.08,10.05,10.06,6852,0
PWUPU.US,D,20220328,000000,10.08,10.08,10.05,10.0599,18636,0
PWUPU.US,D,20220329,000000,10.06,10.06,10.04,10.06,111086,0
PWUPU.US,D,20220330,000000,10.07,10.07,10.0511,10.06,13155,0
PWUPU.US,D,20220331,000000,10.06,10.06,10.0504,10.06,2767,0
PWUPU.US,D,20220401,000000,10.07,10.07,10.0508,10.055,16225,0
PWUPU.US,D,20220404,000000,10.08,10.08,10.05,10.05,18536,0
PWUPU.US,D,20220405,000000,10.06,10.14,10.05,10.13,99321,0
PWUPU.US,D,20220406,000000,10.06,10.075,10.05,10.06,15137,0
PWUPU.US,D,20220407,000000,10.1,10.1,10.06,10.0686,111821,0
PWUPU.US,D,20220408,000000,10.05,10.1,10.05,10.1,9839,0
PWUPU.US,D,20220411,000000,10.11,10.2,10.105,10.13,47090,0
PWUPU.US,D,20220412,000000,10.15,10.24,10.15,10.165,43532,0
PWUPU.US,D,20220413,000000,10.225,10.2999,10.18,10.18,3604,0
PWUPU.US,D,20220414,000000,10.1601,10.18,10.1501,10.1501,1015,0
PWUPU.US,D,20220418,000000,11.22,11.22,10.13,10.17,13001,0
PWUPU.US,D,20220419,000000,10.1501,10.18,10.1501,10.175,30278,0
PWUPU.US,D,20220420,000000,10.37,10.37,10.1822,10.19,3439,0
PWUPU.US,D,20220421,000000,10.2122,10.2122,10.19,10.19,1184,0
PWUPU.US,D,20220422,000000,10.19,10.21,10.19,10.21,1694,0
PWUPU.US,D,20220425,000000,10.215,10.215,10.16,10.16,12068,0
PWUPU.US,D,20220426,000000,10.17,10.17,10.16,10.1698,953,0
PWUPU.US,D,20220427,000000,10.17,10.17,10.16,10.165,715,0
PWUPU.US,D,20220428,000000,10.15,10.15,10.14,10.141,1687,0
PWUPU.US,D,20220502,000000,10.14,10.14,10.1192,10.1192,4480,0
PWUPU.US,D,20220505,000000,10.3,10.3,10.1523,10.1523,1981,0
PWUPU.US,D,20220506,000000,10.13,10.155,10.12,10.145,1706,0
PWUPU.US,D,20220509,000000,10.12,10.15,10.0701,10.0701,31446,0
PWUPU.US,D,20220510,000000,10.1045,10.12,10.1,10.1,4838,0
PWUPU.US,D,20220511,000000,10.0817,10.0817,10.06,10.06,903,0
PWUPU.US,D,20220512,000000,10.06,10.0601,10.06,10.0601,450,0
PWUPU.US,D,20220513,000000,10.08,10.086,10.08,10.086,1061,0
PWUPU.US,D,20220516,000000,10.14,10.14,10.0899,10.0899,1145,0
PWUPU.US,D,20220517,000000,10.05,10.06,10.05,10.06,430,0
PWUPU.US,D,20220518,000000,10.11,10.11,10.06,10.06,200,0
PWUPU.US,D,20220519,000000,10.08,10.08,10.05,10.05,1530,0
PWUPU.US,D,20220523,000000,10.05,10.068,10,10.03,18027,0
PWUPU.US,D,20220524,000000,10.0311,10.0311,10.0311,10.0311,579,0
PWUPU.US,D,20220526,000000,10.0301,10.0301,10.0301,10.0301,238,0
PWUPU.US,D,20220527,000000,10.0301,10.0307,10.03,10.0307,821,0
PWUPU.US,D,20220531,000000,10.0101,10.0101,10.0101,10.0101,216,0
PWUPU.US,D,20220601,000000,10.03,10.055,10,10.03,127269,0
PWUPU.US,D,20220603,000000,10.075,10.075,10.06,10.06,390,0
PWUPU.US,D,20220606,000000,10.0352,10.0352,10.0352,10.0352,155,0
PWUPU.US,D,20220609,000000,10.0215,10.0215,10.0215,10.0215,242,0
PWUPU.US,D,20220610,000000,10.02,10.02,10.02,10.02,3500,0
PWUPU.US,D,20220613,000000,10.02,10.0401,10.02,10.04,51034,0
PWUPU.US,D,20220614,000000,10.1,10.1,10.01,10.01,958,0
PWUPU.US,D,20220615,000000,10.01,10.0382,10.01,10.0382,209,0
PWUPU.US,D,20220617,000000,10.08,10.08,10.08,10.08,5964,0
PWUPU.US,D,20220622,000000,10.0301,10.0301,10.03,10.03,201,0
PWUPU.US,D,20220623,000000,10.9663,11.04,10.0835,10.0999,8002,0
PWUPU.US,D,20220624,000000,10.5,10.5,10.1,10.11,7409,0
PWUPU.US,D,20220627,000000,10.3,10.3,10.11,10.11,3275,0
PWUPU.US,D,20220628,000000,10.16,10.16,10.1,10.1,2334,0
PWUPU.US,D,20220629,000000,10.15,10.15,10.15,10.15,1003,0
PWUPU.US,D,20220630,000000,10.15,10.15,10.1,10.1001,2030,0
PWUPU.US,D,20220705,000000,10.1,10.1,10.1,10.1,627,0
PWUPU.US,D,20220706,000000,10.0999,10.1,10.0999,10.1,775,0
PWUPU.US,D,20220707,000000,10.02,10.07,10.02,10.07,1289,0
PWUPU.US,D,20220714,000000,10.03,10.03,10.03,10.03,390,0
