<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RWODR.US,D,20220503,000000,0.15,0.15,0.135,0.14,1810474,0
RWODR.US,D,20220504,000000,0.12,0.148,0.11,0.148,280002,0
RWODR.US,D,20220505,000000,0.12,0.13,0.12,0.12,17352,0
RWODR.US,D,20220509,000000,0.1469,0.1469,0.1468,0.1468,502,0
RWODR.US,D,20220517,000000,0.1499,0.1499,0.1168,0.1499,306800,0
RWODR.US,D,20220518,000000,0.1499,0.1499,0.145,0.145,300,0
RWODR.US,D,20220603,000000,0.11,0.12,0.11,0.12,500,0
RWODR.US,D,20220615,000000,0.12,0.12,0.12,0.12,768,0
RWODR.US,D,20220616,000000,0.12,0.12,0.12,0.12,5227,0
RWODR.US,D,20220621,000000,0.14,0.15,0.14,0.15,4984,0
RWODR.US,D,20220622,000000,0.11,0.11,0.08,0.0801,4984,0
RWODR.US,D,20220629,000000,0.1,0.1001,0.1,0.1001,6205,0
RWODR.US,D,20220725,000000,0.0736,0.105,0.0736,0.105,301,0
RWODR.US,D,20220728,000000,0.105,0.105,0.105,0.105,28400,0
RWODR.US,D,20220810,000000,0.0855,0.091,0.08,0.08,462500,0
RWODR.US,D,20220811,000000,0.0886,0.0886,0.0886,0.0886,100,0
RWODR.US,D,20220812,000000,0.0939,0.0939,0.0938,0.0938,100009,0
RWODR.US,D,20220815,000000,0.09,0.0937,0.09,0.0937,67403,0
RWODR.US,D,20220816,000000,0.0925,0.0968,0.09,0.09,20600,0
RWODR.US,D,20220823,000000,0.099,0.099,0.07,0.099,269488,0
RWODR.US,D,20220906,000000,0.099,0.099,0.099,0.099,5599,0
RWODR.US,D,20220916,000000,0.089,0.0978,0.089,0.0978,52301,0
RWODR.US,D,20221012,000000,0.09,0.09,0.09,0.09,50000,0
RWODR.US,D,20221026,000000,0.0711,0.1,0.0711,0.1,5500,0
RWODR.US,D,20221028,000000,0.09,0.2,0.09,0.12,195501,0
RWODR.US,D,20221031,000000,0.14,0.14,0.14,0.14,200,0
RWODR.US,D,20221104,000000,0.11,0.11,0.07,0.07,1900,0
RWODR.US,D,20221108,000000,0.1999,0.1999,0.1999,0.1999,437,0
RWODR.US,D,20221111,000000,0.08,0.1988,0.0746,0.1988,2114,0
RWODR.US,D,20221117,000000,0.09,0.13,0.09,0.13,439300,0
RWODR.US,D,20221118,000000,0.085,0.085,0.085,0.085,195025,0
RWODR.US,D,20221121,000000,0.1101,0.1101,0.1052,0.1101,300,0
RWODR.US,D,20221125,000000,0.1248,0.1248,0.1248,0.1248,199,0
RWODR.US,D,20221128,000000,0.13,0.2199,0.1248,0.15,13745,0
RWODR.US,D,20221129,000000,0.13,0.17,0.13,0.17,200,0
RWODR.US,D,20221130,000000,0.13,0.17,0.13,0.16,807,0
RWODR.US,D,20221202,000000,0.13,0.16,0.13,0.13,800,0
RWODR.US,D,20221205,000000,0.08,0.15,0.08,0.09,500,0
RWODR.US,D,20221207,000000,0.077,0.077,0.07,0.07,17439,0
RWODR.US,D,20221209,000000,0.06,0.06,0.06,0.06,100,0
RWODR.US,D,20221213,000000,0.06,0.06,0.06,0.06,939,0
RWODR.US,D,20221215,000000,0.0651,0.0651,0.0651,0.0651,5623,0
RWODR.US,D,20221216,000000,0.0951,0.1956,0.0951,0.195,216401,0
RWODR.US,D,20221219,000000,0.2,0.2,0.1945,0.1945,630,0
RWODR.US,D,20221227,000000,0.15,0.16,0.15,0.16,257,0
RWODR.US,D,20230103,000000,0.1,0.1,0.1,0.1,190,0
RWODR.US,D,20230106,000000,0.07,0.1,0.07,0.08,801,0
RWODR.US,D,20230109,000000,0.07,0.08,0.07,0.08,6640,0
RWODR.US,D,20230120,000000,0.08,0.08,0.08,0.08,238,0
RWODR.US,D,20230125,000000,0.1,0.1,0.08,0.08,20023,0
RWODR.US,D,20230126,000000,0.0801,0.0801,0.08,0.08,7662,0
RWODR.US,D,20230127,000000,0.0801,0.13,0.0801,0.1089,630,0
RWODR.US,D,20230131,000000,0.0803,0.134,0.0803,0.134,303013,0
RWODR.US,D,20230201,000000,0.19,0.1999,0.15,0.19,8802,0
RWODR.US,D,20230202,000000,0.1582,0.1582,0.145,0.1483,3781,0
RWODR.US,D,20230203,000000,0.145,0.15,0.145,0.15,3503,0
RWODR.US,D,20230206,000000,0.0805,0.2,0.0805,0.1497,106157,0
RWODR.US,D,20230207,000000,0.1715,0.1715,0.1463,0.1463,1765,0
RWODR.US,D,20230208,000000,0.0841,0.16,0.0841,0.146,2507,0
RWODR.US,D,20230209,000000,0.2,0.2,0.1001,0.1766,1240,0
RWODR.US,D,20230214,000000,0.15,0.15,0.1459,0.15,63721,0
RWODR.US,D,20230221,000000,0.15,0.15,0.0802,0.15,832597,0
RWODR.US,D,20230222,000000,0.17,0.17,0.15,0.15,1257,0
RWODR.US,D,20230301,000000,0.06,0.06,0.06,0.06,100,0
RWODR.US,D,20230306,000000,0.17,0.17,0.066,0.0967,1193,0
RWODR.US,D,20230308,000000,0.1,0.1,0.1,0.1,800,0
RWODR.US,D,20230313,000000,0.1392,0.1392,0.1,0.1,206,0
RWODR.US,D,20230316,000000,0.08,0.096,0.0301,0.08,131764,0
RWODR.US,D,20230317,000000,0.09,0.09,0.09,0.09,942,0
RWODR.US,D,20230320,000000,0.0792,0.08,0.0792,0.08,5713,0
RWODR.US,D,20230321,000000,0.08,0.08,0.08,0.08,145000,0
RWODR.US,D,20230322,000000,0.08,0.08,0.08,0.08,60201,0
RWODR.US,D,20230324,000000,0.07,0.07,0.07,0.07,18000,0
RWODR.US,D,20230327,000000,0.0979,0.1,0.0979,0.0991,33063,0
RWODR.US,D,20230329,000000,0.1,0.1,0.1,0.1,100,0
RWODR.US,D,20230405,000000,0.1,0.1001,0.099,0.0991,10649,0
RWODR.US,D,20230410,000000,0.12,0.12,0.12,0.12,1401,0
RWODR.US,D,20230412,000000,0.0991,0.0991,0.0991,0.0991,946,0
RWODR.US,D,20230421,000000,0.099,0.099,0.099,0.099,25000,0
RWODR.US,D,20230501,000000,0.11,0.11,0.11,0.11,100000,0
RWODR.US,D,20230502,000000,0.1101,0.1101,0.11,0.11,5400,0
RWODR.US,D,20230511,000000,0.1101,0.1101,0.1101,0.1101,10000,0
RWODR.US,D,20230516,000000,0.11,0.126,0.11,0.11,100303,0
RWODR.US,D,20230522,000000,0.1895,0.1895,0.1,0.1,10505,0
RWODR.US,D,20230523,000000,0.1374,0.18,0.1101,0.17,5649,0
RWODR.US,D,20230524,000000,0.1699,0.1699,0.1699,0.1699,200,0
RWODR.US,D,20230530,000000,0.18,0.18,0.1101,0.18,33400,0
RWODR.US,D,20230602,000000,0.165,0.165,0.165,0.165,727,0
RWODR.US,D,20230606,000000,0.1351,0.1556,0.1004,0.1506,3609,0
RWODR.US,D,20230607,000000,0.1974,0.1974,0.0729,0.15,18925,0
RWODR.US,D,20230609,000000,0.1478,0.18,0.13,0.1515,90871,0
RWODR.US,D,20230613,000000,0.17,0.1751,0.17,0.175,4487,0
RWODR.US,D,20230620,000000,0.1665,0.1739,0.1665,0.1739,488,0
RWODR.US,D,20230623,000000,0.179899,0.179899,0.179899,0.179899,100,0
RWODR.US,D,20230711,000000,0.1101,0.128,0.0705,0.1273,13821,0
RWODR.US,D,20230712,000000,0.148,0.148,0.13,0.1392,1803,0
RWODR.US,D,20230713,000000,0.119,0.137331,0.0805,0.1181,6549,0
RWODR.US,D,20230714,000000,0.12,0.1685,0.110897,0.1582,7788,0
RWODR.US,D,20230717,000000,0.16,0.1619,0.16,0.16,1078,0
RWODR.US,D,20230726,000000,0.1408,0.1408,0.1407,0.1407,500,0
RWODR.US,D,20230801,000000,0.15,0.15,0.1319,0.1319,60100,0
