<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SATLW.US,D,20220127,000000,0.65,0.65,0.4801,0.5401,427819,0
SATLW.US,D,20220128,000000,0.5402,0.5402,0.3467,0.36,365593,0
SATLW.US,D,20220131,000000,0.400201,0.465,0.4001,0.45,230740,0
SATLW.US,D,20220201,000000,0.55,0.5699,0.51,0.532,188441,0
SATLW.US,D,20220202,000000,0.54,0.55,0.5021,0.511,79874,0
SATLW.US,D,20220203,000000,0.5,0.5433,0.5,0.51,2940,0
SATLW.US,D,20220204,000000,0.53,0.5824,0.53,0.56,32659,0
SATLW.US,D,20220207,000000,0.75,0.75,0.505,0.51,40153,0
SATLW.US,D,20220208,000000,0.51,0.5103,0.47,0.48,124446,0
SATLW.US,D,20220209,000000,0.49,0.5247,0.47,0.5,64209,0
SATLW.US,D,20220210,000000,0.5019,0.5299,0.5,0.52,121568,0
SATLW.US,D,20220211,000000,0.5183,0.5183,0.46,0.462,15505,0
SATLW.US,D,20220214,000000,0.4799,0.53,0.4799,0.485,41984,0
SATLW.US,D,20220215,000000,0.5,0.53,0.48,0.5005,80891,0
SATLW.US,D,20220216,000000,0.505,0.7006,0.505,0.5858,197393,0
SATLW.US,D,20220217,000000,0.613949,0.613949,0.4751,0.559,215516,0
SATLW.US,D,20220218,000000,0.499899,0.6053,0.499899,0.5977,57881,0
SATLW.US,D,20220222,000000,0.53,0.53,0.504999,0.515,28285,0
SATLW.US,D,20220223,000000,0.52,0.545,0.46515,0.475,43972,0
SATLW.US,D,20220224,000000,0.4521,0.5112,0.4521,0.5,48412,0
SATLW.US,D,20220225,000000,0.5049,0.529,0.50039,0.50039,7358,0
SATLW.US,D,20220228,000000,0.5,0.5245,0.4521,0.5245,40928,0
SATLW.US,D,20220301,000000,0.5244,0.55,0.508,0.515,16358,0
SATLW.US,D,20220302,000000,0.5499,0.6226,0.481,0.5826,63522,0
SATLW.US,D,20220303,000000,0.62,0.65,0.62,0.65,279983,0
SATLW.US,D,20220304,000000,0.65,0.6683,0.5971,0.6682,46830,0
SATLW.US,D,20220307,000000,0.69,0.7327,0.65,0.65,63096,0
SATLW.US,D,20220308,000000,0.6405,0.6507,0.6301,0.64,7058,0
SATLW.US,D,20220309,000000,0.745101,0.7488,0.67,0.7076,47619,0
SATLW.US,D,20220310,000000,0.71,0.71,0.7,0.71,48151,0
SATLW.US,D,20220311,000000,0.71,0.71,0.67,0.71,31634,0
SATLW.US,D,20220314,000000,0.71,0.71,0.6353,0.67,49241,0
SATLW.US,D,20220315,000000,0.7,0.71,0.67,0.705,100245,0
SATLW.US,D,20220316,000000,0.75,0.78,0.69,0.6985,30426,0
SATLW.US,D,20220317,000000,0.6985,0.6985,0.6441,0.6441,1868,0
SATLW.US,D,20220318,000000,0.6685,0.6685,0.56,0.58,18085,0
SATLW.US,D,20220321,000000,0.5974,0.6269,0.582176,0.6269,19127,0
SATLW.US,D,20220322,000000,0.6,0.61,0.595,0.61,5950,0
SATLW.US,D,20220323,000000,0.7275,0.7275,0.6798,0.71,44488,0
SATLW.US,D,20220324,000000,0.7088,0.76,0.7,0.75,41973,0
SATLW.US,D,20220325,000000,0.751,0.76,0.7375,0.750401,23407,0
SATLW.US,D,20220328,000000,0.72,0.72,0.72,0.72,2509,0
SATLW.US,D,20220329,000000,0.72,0.75,0.72,0.745,5302,0
SATLW.US,D,20220330,000000,0.7515,0.78,0.7394,0.75,36641,0
SATLW.US,D,20220331,000000,0.75,0.7566,0.75,0.75,47324,0
SATLW.US,D,20220401,000000,0.75,0.7899,0.75,0.7613,8410,0
SATLW.US,D,20220404,000000,0.8,0.9287,0.78,0.9251,31559,0
SATLW.US,D,20220405,000000,0.93,1.12,0.93,1.05,181346,0
SATLW.US,D,20220406,000000,1.01,1.4,1.01,1.4,712586,0
SATLW.US,D,20220407,000000,1.25,1.39,1.15,1.19,209767,0
SATLW.US,D,20220408,000000,1.26,1.26,1.1073,1.15,217639,0
SATLW.US,D,20220411,000000,1.1,1.37,1.1,1.22,474703,0
SATLW.US,D,20220412,000000,1.25,1.25,1.155,1.18,294391,0
SATLW.US,D,20220413,000000,1.17,1.2,1.1698,1.175,20088,0
SATLW.US,D,20220414,000000,1.183,1.24,1.183,1.23,57960,0
SATLW.US,D,20220418,000000,1.19,1.2,1.19,1.2,100039,0
SATLW.US,D,20220419,000000,1.2,1.34,1.2,1.25,41062,0
SATLW.US,D,20220420,000000,1.38,1.4,1.3,1.3,27082,0
SATLW.US,D,20220421,000000,1.25,1.27,1.22,1.23,216773,0
SATLW.US,D,20220422,000000,1.12,1.12,1.05,1.11,5703,0
SATLW.US,D,20220425,000000,1.09,1.09,0.9481,0.9481,87695,0
SATLW.US,D,20220426,000000,0.9,0.9899,0.9,0.92,18466,0
