<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCRM.US,D,20220303,000000,9.63,9.67,9.63,9.67,14825,0
SCRM.US,D,20220307,000000,9.62,9.64,9.56,9.62,627757,0
SCRM.US,D,20220308,000000,9.62,9.63,9.6,9.63,6464,0
SCRM.US,D,20220309,000000,9.61,9.63,9.59,9.63,617801,0
SCRM.US,D,20220310,000000,9.59,9.63,9.59,9.6201,2968,0
SCRM.US,D,20220311,000000,9.61,9.66,9.61,9.65,83979,0
SCRM.US,D,20220314,000000,9.65,9.65,9.61,9.61,36099,0
SCRM.US,D,20220315,000000,9.61,9.63,9.61,9.63,48862,0
SCRM.US,D,20220316,000000,9.65,9.65,9.65,9.65,3255,0
SCRM.US,D,20220318,000000,9.65,9.88,9.61,9.85,53948,0
SCRM.US,D,20220322,000000,9.81,9.81,9.81,9.81,100,0
SCRM.US,D,20220323,000000,9.71,9.71,9.71,9.71,5092,0
SCRM.US,D,20220324,000000,9.74,9.76,9.695,9.7,1008570,0
SCRM.US,D,20220325,000000,9.71,9.74,9.7,9.74,517186,0
SCRM.US,D,20220329,000000,9.72,9.74,9.695,9.71,33226,0
SCRM.US,D,20220330,000000,9.681,9.7078,9.66,9.66,2566,0
SCRM.US,D,20220331,000000,9.73,9.81,9.6968,9.73,18887,0
SCRM.US,D,20220401,000000,9.73,9.77,9.68,9.77,12161,0
SCRM.US,D,20220404,000000,9.735,9.75,9.69,9.75,163378,0
SCRM.US,D,20220405,000000,9.75,9.75,9.6901,9.75,2390,0
SCRM.US,D,20220406,000000,9.7292,9.75,9.72,9.75,5544,0
SCRM.US,D,20220407,000000,9.84,9.84,9.72,9.75,4477,0
SCRM.US,D,20220408,000000,9.7,9.72,9.7,9.7,18671,0
SCRM.US,D,20220411,000000,9.7,9.7,9.7,9.7,445,0
SCRM.US,D,20220412,000000,9.71,9.75,9.71,9.74,335088,0
SCRM.US,D,20220413,000000,9.7001,9.74,9.7001,9.74,201,0
SCRM.US,D,20220414,000000,9.74,9.76,9.74,9.76,52492,0
SCRM.US,D,20220418,000000,9.77,9.77,9.71,9.75,19955,0
SCRM.US,D,20220419,000000,9.73,9.74,9.73,9.73,10562,0
SCRM.US,D,20220420,000000,9.725,9.725,9.71,9.71,1013,0
SCRM.US,D,20220421,000000,9.73,9.75,9.7112,9.75,1524,0
SCRM.US,D,20220422,000000,9.75,9.75,9.75,9.75,170,0
SCRM.US,D,20220427,000000,9.75,9.75,9.74,9.74,834,0
SCRM.US,D,20220428,000000,9.75,9.7597,9.75,9.75,1194,0
SCRM.US,D,20220429,000000,9.75,9.81,9.75,9.81,6825,0
SCRM.US,D,20220502,000000,9.76,9.78,9.75,9.75,63490,0
SCRM.US,D,20220503,000000,9.7899,9.7899,9.71,9.72,148942,0
SCRM.US,D,20220504,000000,9.76,9.76,9.76,9.76,444,0
SCRM.US,D,20220505,000000,9.71,9.73,9.71,9.73,1100,0
SCRM.US,D,20220506,000000,9.7286,9.7292,9.72,9.72,53395,0
SCRM.US,D,20220509,000000,9.72,9.72,9.68,9.68,25898,0
SCRM.US,D,20220510,000000,9.66,9.7,9.65,9.67,675118,0
SCRM.US,D,20220511,000000,9.67,9.685,9.66,9.66,9901,0
SCRM.US,D,20220512,000000,9.66,9.665,9.63,9.63,266656,0
SCRM.US,D,20220513,000000,9.6405,9.65,9.64,9.64,3076,0
SCRM.US,D,20220516,000000,9.66,9.66,9.66,9.66,200,0
SCRM.US,D,20220517,000000,9.635,9.635,9.635,9.635,138,0
SCRM.US,D,20220518,000000,9.64,9.64,9.6398,9.64,55217,0
SCRM.US,D,20220519,000000,9.632,9.632,9.632,9.632,116,0
SCRM.US,D,20220523,000000,9.65,9.65,9.64,9.64,3775,0
SCRM.US,D,20220525,000000,9.64,9.65,9.64,9.65,3030,0
SCRM.US,D,20220526,000000,9.6303,9.65,9.6303,9.65,4838,0
SCRM.US,D,20220531,000000,9.65,9.65,9.6,9.62,236622,0
SCRM.US,D,20220601,000000,9.65,9.65,9.61,9.61,54641,0
SCRM.US,D,20220602,000000,9.63,9.65,9.63,9.65,131105,0
SCRM.US,D,20220603,000000,9.65,9.67,9.62,9.62,247870,0
SCRM.US,D,20220606,000000,9.635,9.66,9.635,9.64,142894,0
SCRM.US,D,20220608,000000,9.64,9.66,9.63,9.66,377031,0
SCRM.US,D,20220609,000000,9.64,9.64,9.62,9.63,135846,0
SCRM.US,D,20220610,000000,9.6201,9.64,9.62,9.64,179760,0
