<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNES.US,D,20161208,000000,3300,3410,3200,3264,961.05,0
SNES.US,D,20161209,000000,3220,3392,3200,3200,77.65,0
SNES.US,D,20161212,000000,3320,3320,3200,3200,41.4,0
SNES.US,D,20161213,000000,3200,3320,2976,3200,127.85,0
SNES.US,D,20161214,000000,3220,3220,3200,3200,421.1,0
SNES.US,D,20161215,000000,3288,3288,3200,3200,133.45,0
SNES.US,D,20161216,000000,3260,3260,3200,3200,5.25,0
SNES.US,D,20161219,000000,3260,3280,3202,3240,36.85,0
SNES.US,D,20161220,000000,3260,3260,3208.6,3255.2,13,0
SNES.US,D,20161221,000000,3232,3232,3200,3216,21.8,0
SNES.US,D,20161222,000000,3200,3208,3200,3206.8,60.2,0
SNES.US,D,20161223,000000,3240,3320,3216,3252,146.55,0
SNES.US,D,20161227,000000,3592,3592,3244,3300,112,0
SNES.US,D,20161228,000000,3388,3456,3200,3200,231.65,0
SNES.US,D,20161229,000000,3252,3360,3224,3260,181.1,0
SNES.US,D,20161230,000000,3280,3352,3228,3260,53.55,0
SNES.US,D,20170103,000000,3380,3403.2,3208,3208,195.3,0
SNES.US,D,20170104,000000,3392,3392,3264,3292,54.45,0
SNES.US,D,20170105,000000,3316,3400,3272,3296,60.85,0
SNES.US,D,20170106,000000,3376,3376,3200,3264,107.9,0
SNES.US,D,20170109,000000,3220,3296,3052,3132,211.9,0
SNES.US,D,20170110,000000,3284,3284,2952,3156,113.75,0
SNES.US,D,20170111,000000,3204,3292,3080,3240,35.3,0
SNES.US,D,20170112,000000,3280,3292,3203.8,3228,99.45,0
SNES.US,D,20170113,000000,3256,3816,3222,3816,84.2,0
SNES.US,D,20170117,000000,4048,4274,3760,3900,121.2,0
SNES.US,D,20170118,000000,3900,4230.2,3740,3948,81,0
SNES.US,D,20170119,000000,3940,3940,3360.8,3760,55.15,0
SNES.US,D,20170120,000000,3700,3700,3444,3530,30.55,0
SNES.US,D,20170123,000000,3120,3356,2826,3000,543.95,0
SNES.US,D,20170124,000000,3176,3176,2892,2952,415.3,0
SNES.US,D,20170125,000000,3112,3156,2884,2888,125.3,0
SNES.US,D,20170126,000000,2968,3069.8,2820,2852,87.85,0
SNES.US,D,20170127,000000,2992,3133,2920,2996,89.65,0
SNES.US,D,20170130,000000,2971.8,3116.8,2928,3024,86.05,0
SNES.US,D,20170131,000000,3156,3269.6,2994.4,3096,59,0
SNES.US,D,20170201,000000,3596,3596,3208,3258,35.55,0
SNES.US,D,20170202,000000,3396,3460,3292,3320,109.85,0
SNES.US,D,20170203,000000,3596,3596,3388,3400,44.8,0
SNES.US,D,20170206,000000,3556,3556,3380,3384,89.55,0
SNES.US,D,20170207,000000,3440,3508,3400,3440,31.8,0
SNES.US,D,20170208,000000,3404,3460,3400,3428,30.6,0
SNES.US,D,20170209,000000,3468,3468,3380,3380,49.9,0
SNES.US,D,20170210,000000,3396,3584,3396,3396,32.5,0
SNES.US,D,20170213,000000,3420,3492,3340,3340,17.2,0
SNES.US,D,20170214,000000,3644,3644,3200,3260,44.65,0
SNES.US,D,20170215,000000,3332,3400,3260,3260,43.1,0
SNES.US,D,20170216,000000,3348,3396,3200,3200,25.2,0
SNES.US,D,20170217,000000,3372,3400,3224,3224,26.9,0
SNES.US,D,20170221,000000,3268,3300,3240,3240,51.55,0
SNES.US,D,20170222,000000,3360,3392,3244,3268,24.05,0
SNES.US,D,20170223,000000,3286,3358,3232,3232,18.7,0
SNES.US,D,20170224,000000,3316,3360,3244,3244,14,0
SNES.US,D,20170227,000000,3284,3300,3244,3248,28.4,0
SNES.US,D,20170228,000000,3247.6,3351.2,3244,3244,22.9,0
SNES.US,D,20170301,000000,3276,3396,3276,3356,23.8,0
SNES.US,D,20170302,000000,3312,3360,3304,3304,10.75,0
SNES.US,D,20170303,000000,3600,3600,3400,3400,23.35,0
SNES.US,D,20170306,000000,3404,3616,3300,3548,23.2,0
SNES.US,D,20170307,000000,3596,3840,3360,3424,20.45,0
SNES.US,D,20170308,000000,3819.8,3819.8,3400,3400,75.05,0
SNES.US,D,20170309,000000,3520,3646.8,3324,3328,21.35,0
SNES.US,D,20170310,000000,3400,3444,3372,3376,42.35,0
SNES.US,D,20170313,000000,3568,3680,3404,3480,116.5,0
SNES.US,D,20170314,000000,3544,3744,3476,3672,52.6,0
SNES.US,D,20170315,000000,3684,3776,3604,3604,84.35,0
SNES.US,D,20170316,000000,3629.2,3784,3440,3544,41.15,0
SNES.US,D,20170317,000000,3620,3668,3308,3320,131,0
SNES.US,D,20170320,000000,3360,3730.4,3296,3396,93.85,0
SNES.US,D,20170321,000000,3468,3548,3300,3304,92.75,0
SNES.US,D,20170322,000000,3328,3328,2992,3216,65.6,0
SNES.US,D,20170323,000000,3240,3388,3204,3388,21.85,0
SNES.US,D,20170324,000000,3368,3388,3146.4,3312,65.35,0
SNES.US,D,20170327,000000,3264,3384,3264,3340,11.6,0
SNES.US,D,20170328,000000,3320,3384,3172,3280,54.9,0
SNES.US,D,20170329,000000,3216,3316,3216,3280,6.65,0
SNES.US,D,20170330,000000,3252,3563,3204,3204,33.3,0
SNES.US,D,20170331,000000,3400,3400,3155.8,3164,183.15,0
SNES.US,D,20170403,000000,3140,3509,3140,3200,76.95,0
SNES.US,D,20170404,000000,3240,3272,3192,3192,22.45,0
SNES.US,D,20170405,000000,3196,3216.2,3128,3196,29.25,0
SNES.US,D,20170406,000000,3152,3200,3124,3168,45.75,0
SNES.US,D,20170407,000000,3154,3224,3154,3196,10.55,0
SNES.US,D,20170410,000000,3256,3400,3140,3140,19.8,0
