<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPRC.US,D,20211223,000000,6.51,6.9,6.3,6.89,2876,0
SPRC.US,D,20211227,000000,6.9,7.0038,6.4,6.4,13408,0
SPRC.US,D,20211228,000000,6.5,6.8,6.29,6.7,14126,0
SPRC.US,D,20211229,000000,6.798,7.04,5.96,6.4899,6544,0
SPRC.US,D,20211230,000000,6.35,7,5.92,6.5,6141,0
SPRC.US,D,20211231,000000,6.35,6.35,6.11,6.23,5565,0
SPRC.US,D,20220103,000000,6.79,7.08,5.96,6.73,29360,0
SPRC.US,D,20220104,000000,6.78,6.78,5.95,6.25,13756,0
SPRC.US,D,20220105,000000,6.45,6.48,6,6.2,12215,0
SPRC.US,D,20220106,000000,7,7,6.2,6.31,53793,0
SPRC.US,D,20220107,000000,6.4,6.4,6.0201,6.27,8453,0
SPRC.US,D,20220110,000000,6.15,6.15,5.6601,5.6601,14106,0
SPRC.US,D,20220111,000000,6.49,6.49,6,6.14,30621,0
SPRC.US,D,20220112,000000,6.45,6.45,5.8001,6.1211,7228,0
SPRC.US,D,20220113,000000,5.9759,6.2694,5.8,5.9668,4449,0
SPRC.US,D,20220114,000000,6.1455,6.1455,6.138,6.138,772,0
SPRC.US,D,20220118,000000,6.32,6.32,5.56,6,53796,0
SPRC.US,D,20220119,000000,5.73,6.2528,5.53,5.75,13361,0
SPRC.US,D,20220120,000000,5.8131,5.85,5.6201,5.72,11515,0
SPRC.US,D,20220121,000000,6.1318,6.1318,5.59,5.59,6906,0
SPRC.US,D,20220124,000000,5.5383,5.5383,4.9783,5.01,13187,0
SPRC.US,D,20220125,000000,4.89,5.01,4.86,5.01,2349,0
SPRC.US,D,20220126,000000,4.86,5.96,4.86,5.5,16722,0
SPRC.US,D,20220127,000000,5.39,5.55,5.15,5.15,8745,0
SPRC.US,D,20220128,000000,5.11,5.4,4.86,5.04,3963,0
SPRC.US,D,20220131,000000,4.86,5.5,4.85,5.4999,29981,0
SPRC.US,D,20220201,000000,5.25,5.25,4.9001,5.19,1778,0
SPRC.US,D,20220202,000000,5.328,5.328,5.3,5.3,1321,0
SPRC.US,D,20220203,000000,4.95,5.31,4.9,5.31,3986,0
SPRC.US,D,20220204,000000,5.5,5.5,5.19,5.19,4548,0
SPRC.US,D,20220207,000000,4.9,5.25,4.73,5.25,5635,0
SPRC.US,D,20220208,000000,5.25,5.25,5.2,5.2,1045,0
SPRC.US,D,20220209,000000,4.8814,5.19,4.8814,5.0701,8817,0
SPRC.US,D,20220210,000000,5.1,5.1,4.91,4.99,8222,0
SPRC.US,D,20220211,000000,4.9999,5.2894,4.86,5.1881,2148,0
SPRC.US,D,20220214,000000,5.1,5.1,5.1,5.1,1103,0
SPRC.US,D,20220216,000000,4.875,4.95,4.875,4.95,857,0
SPRC.US,D,20220217,000000,4.88,4.99,4.8,4.9,2389,0
