<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STKH.US,D,20210312,000000,9.47,10.49,7.84,10,1108950,0
STKH.US,D,20210315,000000,10.9,11.79,10.4,11.18,2180536,0
STKH.US,D,20210316,000000,11.18,11.32,9.65,10.85,631794,0
STKH.US,D,20210317,000000,10.6,10.99,10.37,10.99,150798,0
STKH.US,D,20210318,000000,10.98,10.98,10.3,10.36,136316,0
STKH.US,D,20210319,000000,10.21,10.85,10.21,10.85,82170,0
STKH.US,D,20210322,000000,10.85,11.2399,10.7001,10.8,110472,0
STKH.US,D,20210323,000000,10.5,10.89,10.187,10.23,107612,0
STKH.US,D,20210324,000000,10.23,10.6171,9.36,9.49,145262,0
STKH.US,D,20210325,000000,9.5,9.599,9,9.12,92964,0
STKH.US,D,20210326,000000,9.18,9.31,8.88,9.01,96097,0
STKH.US,D,20210329,000000,9.29,9.92,9.29,9.75,98055,0
STKH.US,D,20210330,000000,9.99,9.99,9.51,9.62,111838,0
STKH.US,D,20210331,000000,9.67,9.67,9.3,9.33,60898,0
STKH.US,D,20210401,000000,9.52,9.62,9.04,9.34,56406,0
STKH.US,D,20210405,000000,9.9,9.92,9.52,9.65,50418,0
STKH.US,D,20210406,000000,9.7,9.79,9.5,9.72,31645,0
STKH.US,D,20210407,000000,9.7,9.715,9.36,9.37,34957,0
STKH.US,D,20210408,000000,9.63,9.6335,9.4,9.51,17279,0
STKH.US,D,20210409,000000,9.7,9.7599,9.51,9.59,26420,0
STKH.US,D,20210412,000000,9.59,9.59,9.09,9.23,41605,0
STKH.US,D,20210413,000000,9.33,9.33,8.88,8.9,34745,0
STKH.US,D,20210414,000000,9.1,9.1,8.4,8.56,78535,0
STKH.US,D,20210415,000000,8.77,8.8306,8.39,8.39,41047,0
STKH.US,D,20210416,000000,8.5,8.92,8.37,8.87,38373,0
STKH.US,D,20210419,000000,8.98,8.98,8.3,8.34,46094,0
STKH.US,D,20210420,000000,8.4,8.6223,8.05,8.2,64273,0
STKH.US,D,20210421,000000,8.08,8.1,7.55,7.88,80596,0
STKH.US,D,20210422,000000,7.7,8.13,7.63,7.7,64994,0
STKH.US,D,20210423,000000,7.8,7.8,7.61,7.77,30354,0
STKH.US,D,20210426,000000,8.11,8.43,7.9216,8.3057,48208,0
STKH.US,D,20210427,000000,8.5,8.8,8.43,8.69,29737,0
STKH.US,D,20210428,000000,8.7,8.72,8.29,8.4253,45023,0
STKH.US,D,20210429,000000,8.6,9.29,8.2801,9.29,18969,0
STKH.US,D,20210430,000000,9.03,9.03,8.498,8.62,23443,0
STKH.US,D,20210503,000000,8.7,8.7,8.0967,8.17,49814,0
STKH.US,D,20210504,000000,7.86,7.89,7.65,7.8,50774,0
STKH.US,D,20210505,000000,7.9,8.08,7.715,7.77,34847,0
STKH.US,D,20210506,000000,7.97,8.17,7.7801,7.95,25095,0
STKH.US,D,20210507,000000,8.15,8.37,8.1292,8.24,27360,0
STKH.US,D,20210510,000000,8.11,8.35,7.66,7.81,49399,0
STKH.US,D,20210511,000000,7.6,7.75,7.23,7.4,98677,0
STKH.US,D,20210512,000000,7.57,7.6,7.26,7.33,22115,0
STKH.US,D,20210513,000000,7.29,7.48,7.12,7.48,33288,0
