<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TKNO.US,D,20210625,000000,20.72,27.6399,20.11,25,3618452,0
TKNO.US,D,20210628,000000,24.63,30.89,24,27.98,490365,0
TKNO.US,D,20210629,000000,28.92,28.96,24,24.51,662053,0
TKNO.US,D,20210630,000000,24,24.98,22.4,23.73,288677,0
TKNO.US,D,20210701,000000,23.6,25.095,22.13,24.51,58671,0
TKNO.US,D,20210702,000000,24.83,25.9807,23.02,23.23,109084,0
TKNO.US,D,20210706,000000,22.58,24.03,22.46,24,76457,0
TKNO.US,D,20210707,000000,23.15,24.95,22.9,23.49,195424,0
TKNO.US,D,20210708,000000,23.47,23.47,21.19,22.59,198988,0
TKNO.US,D,20210709,000000,22.62,23.8,21.8219,23.77,95886,0
TKNO.US,D,20210712,000000,23.24,24.01,22,24,166881,0
TKNO.US,D,20210713,000000,24,24,22.2422,23.08,103662,0
TKNO.US,D,20210714,000000,22.56,23.7448,21.37,22.12,95998,0
TKNO.US,D,20210715,000000,21.66,23,20.59,20.88,33189,0
TKNO.US,D,20210716,000000,20.8,22.5,20.05,20.17,24567,0
TKNO.US,D,20210719,000000,20,20.07,17.25,18.06,188349,0
TKNO.US,D,20210720,000000,18.99,20.63,17.52,17.61,201324,0
TKNO.US,D,20210721,000000,17.92,18.02,16.9,17.76,75953,0
TKNO.US,D,20210722,000000,17.22,18.91,17.22,17.93,189896,0
TKNO.US,D,20210723,000000,18.38,18.38,17.37,17.9,134145,0
TKNO.US,D,20210726,000000,17.79,17.89,17.26,17.47,57013,0
TKNO.US,D,20210727,000000,18.87,18.87,17.31,18.5,152235,0
TKNO.US,D,20210728,000000,18.57,19.657,18.57,19.16,47399,0
TKNO.US,D,20210729,000000,19.11,20.76,18.6188,20.44,111041,0
TKNO.US,D,20210730,000000,20.33,22.6012,20.235,22.22,32213,0
TKNO.US,D,20210802,000000,21.97,23.7,21.455,23.1,113911,0
TKNO.US,D,20210803,000000,23.04,23.3,20.11,21.44,113068,0
TKNO.US,D,20210804,000000,21.29,22.38,21.2,21.5,144711,0
TKNO.US,D,20210805,000000,21.38,22,21.25,21.31,72775,0
TKNO.US,D,20210806,000000,21.68,22.2,21.3021,21.51,86614,0
TKNO.US,D,20210809,000000,22.735,22.735,21.085,21.22,36229,0
