<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOACU.US,D,20211105,000000,10.12,10.14,10.11,10.12,765206,0
TOACU.US,D,20211108,000000,10.14,10.14,10.125,10.13,114414,0
TOACU.US,D,20211109,000000,10.13,10.15,10.11,10.15,25548,0
TOACU.US,D,20211110,000000,10.14,10.14,10.14,10.14,34996,0
TOACU.US,D,20211111,000000,10.14,10.15,10.14,10.14,24300,0
TOACU.US,D,20211112,000000,10.15,10.15,10.14,10.15,28025,0
TOACU.US,D,20211115,000000,10.14,10.14,10.14,10.14,25511,0
TOACU.US,D,20211116,000000,10.15,10.17,10.15,10.17,16367,0
TOACU.US,D,20211118,000000,10.16,10.16,10.1499,10.15,43588,0
TOACU.US,D,20211119,000000,10.1501,10.1501,10.1501,10.1501,100,0
TOACU.US,D,20211122,000000,10.14,10.16,10.14,10.16,38138,0
TOACU.US,D,20211123,000000,10.18,10.19,10.18,10.19,28117,0
TOACU.US,D,20211126,000000,10.13,10.14,10.125,10.13,2228,0
TOACU.US,D,20211129,000000,10.175,10.19,10.155,10.19,19038,0
TOACU.US,D,20211130,000000,10.13,10.1525,10.06,10.14,1362165,0
TOACU.US,D,20211201,000000,10.12,10.12,10.12,10.12,1961,0
TOACU.US,D,20211206,000000,10.13,10.13,10.13,10.13,50209,0
TOACU.US,D,20211208,000000,10.14,10.14,10.13,10.13,1000,0
TOACU.US,D,20211209,000000,10.14,10.15,10.13,10.15,400330,0
TOACU.US,D,20211210,000000,10.08,10.14,10.08,10.14,183261,0
TOACU.US,D,20211213,000000,10.14,10.14,10.13,10.13,1200,0
TOACU.US,D,20211214,000000,10.1,10.14,10.095,10.14,245008,0
TOACU.US,D,20211215,000000,10.12,10.12,10.12,10.12,24259,0
TOACU.US,D,20211216,000000,10.11,10.11,10.095,10.11,212342,0
TOACU.US,D,20211217,000000,10.15,10.15,10.15,10.15,100,0
TOACU.US,D,20211222,000000,10.1497,10.1501,10.09,10.09,6712,0
TOACU.US,D,20211223,000000,10.16,10.16,10.1279,10.1279,992,0
TOACU.US,D,20211227,000000,10.06,10.1,9.95,10.1,22822,0
TOACU.US,D,20211228,000000,10.15,10.15,10.15,10.15,368,0
TOACU.US,D,20211229,000000,10.08,10.08,10.07,10.07,704,0
TOACU.US,D,20211230,000000,10.15,10.15,10.15,10.15,1400,0
TOACU.US,D,20211231,000000,10.09,10.09,10.09,10.09,101,0
TOACU.US,D,20220104,000000,10.15,10.16,10.15,10.16,10431,0
TOACU.US,D,20220107,000000,10.1,10.1,10.1,10.1,548,0
TOACU.US,D,20220110,000000,10.12,10.12,10.12,10.12,4915,0
TOACU.US,D,20220111,000000,10.14,10.15,10.14,10.15,15093,0
TOACU.US,D,20220113,000000,10.18,10.2,10.18,10.2,16195,0
TOACU.US,D,20220114,000000,10.15,10.15,10.15,10.15,195,0
TOACU.US,D,20220119,000000,10.2,10.2,10.2,10.2,257,0
TOACU.US,D,20220120,000000,10.12,10.12,10.11,10.11,10338,0
TOACU.US,D,20220121,000000,10.1,10.1,10.03,10.03,20489,0
TOACU.US,D,20220124,000000,10,10.06,10,10.06,29439,0
TOACU.US,D,20220125,000000,10.19,10.2,10.05,10.1,49036,0
TOACU.US,D,20220127,000000,10.06,10.06,10.06,10.06,200,0
TOACU.US,D,20220131,000000,10.19,10.19,10.1013,10.16,1869,0
TOACU.US,D,20220207,000000,10.15,10.15,10.15,10.15,1011,0
TOACU.US,D,20220209,000000,10.1,10.1,10.1,10.1,105,0
TOACU.US,D,20220211,000000,10.08,10.08,10.08,10.08,133,0
TOACU.US,D,20220216,000000,10.13,10.13,10.13,10.13,420,0
TOACU.US,D,20220218,000000,10.05,10.11,10.05,10.11,4967,0
TOACU.US,D,20220301,000000,10.12,10.14,10.12,10.14,5501,0
TOACU.US,D,20220302,000000,10.21,10.21,10.21,10.21,105,0
TOACU.US,D,20220303,000000,10.15,10.19,10.15,10.18,13383,0
TOACU.US,D,20220318,000000,10.12,10.12,10.12,10.12,2900,0
TOACU.US,D,20220321,000000,10.1,10.1,10.1,10.1,2069,0
TOACU.US,D,20220323,000000,10.12,10.15,10.12,10.15,4100,0
TOACU.US,D,20220408,000000,10.18,10.18,10.18,10.18,8103,0
TOACU.US,D,20220426,000000,10.17,10.17,10.17,10.17,9100,0
TOACU.US,D,20220428,000000,10.17,10.17,10.17,10.17,32000,0
TOACU.US,D,20220429,000000,10.16,10.16,10.16,10.16,168000,0
TOACU.US,D,20220510,000000,10.13,10.13,10.13,10.13,249,0
TOACU.US,D,20220512,000000,10.12,10.12,10.12,10.12,199,0
TOACU.US,D,20220524,000000,10.23,10.24,10.23,10.24,522,0
TOACU.US,D,20220531,000000,10.25,10.25,10.25,10.25,102,0
TOACU.US,D,20220602,000000,10.1,10.16,10.1,10.1177,40192,0
TOACU.US,D,20220607,000000,10.1412,10.1412,10.12,10.12,6034,0
TOACU.US,D,20220614,000000,10.125,10.125,10.125,10.125,910,0
TOACU.US,D,20220622,000000,10.1,10.11,10.1,10.11,3210,0
TOACU.US,D,20220623,000000,10.11,10.11,10.1,10.11,7056,0
TOACU.US,D,20220627,000000,10.06,10.11,10.06,10.11,2198,0
TOACU.US,D,20220628,000000,10.11,10.11,10.11,10.11,1703,0
