<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRKA.US,D,20210421,000000,70.75,73.75,65.5,70.25,49810.08,0
TRKA.US,D,20210422,000000,68.25,72.25,65.5,70,28411.24,0
TRKA.US,D,20210423,000000,70,80,69,73.75,78189.76,0
TRKA.US,D,20210426,000000,71.25,76,71.25,76,19249.68,0
TRKA.US,D,20210427,000000,75,75.36,71.5,75.24,12780.72,0
TRKA.US,D,20210428,000000,76.25,81,71.75,72.75,55741.56,0
TRKA.US,D,20210429,000000,73,73.715,69,70,17168.92,0
TRKA.US,D,20210430,000000,68.75,70.5,67,68.75,11293.72,0
TRKA.US,D,20210503,000000,69,69.5,61.5,62.375,14944.4,0
TRKA.US,D,20210504,000000,59.75,63,56.5,58.5,9108.44,0
TRKA.US,D,20210505,000000,57.75,58,53.75,54.5,11798.72,0
TRKA.US,D,20210506,000000,58,60.5,55.25,56.5,37601.24,0
TRKA.US,D,20210507,000000,56,57,52.75,54.25,10091.84,0
TRKA.US,D,20210510,000000,54.75,69,54.5725,62.5,47403.24,0
TRKA.US,D,20210511,000000,56.75,67.5,56.5,63,16770.96,0
TRKA.US,D,20210512,000000,63.5,66.5,59.8425,65.5,14219.2,0
TRKA.US,D,20210513,000000,65.75,71.5,64,70.25,15127.2,0
TRKA.US,D,20210514,000000,71,73.5,66.6675,69,17338.08,0
TRKA.US,D,20210517,000000,69,74.5,66.75,73.75,10840.16,0
TRKA.US,D,20210518,000000,71.5,74.5,66.75,69,10304.12,0
TRKA.US,D,20210519,000000,67.5,70,66,69.75,3667.64,0
TRKA.US,D,20210520,000000,68.255,74.25,68,72.75,10972.08,0
TRKA.US,D,20210521,000000,73.25,74,70.75,73,3160.72,0
TRKA.US,D,20210524,000000,74,78.75,71.25,74,20949.52,0
TRKA.US,D,20210525,000000,74,74.25,67.75,70.25,7208.08,0
TRKA.US,D,20210526,000000,69,71,67.75,70,6427.24,0
TRKA.US,D,20210527,000000,68.75,71,67.75,68.25,5726.48,0
TRKA.US,D,20210528,000000,68,69,63,65.25,6802.08,0
TRKA.US,D,20210601,000000,63.75,65,61.5,65,9894.16,0
TRKA.US,D,20210602,000000,64,65.5,61,62.25,16856.44,0
TRKA.US,D,20210603,000000,63.5,63.5,59.75,60.5,6634.08,0
TRKA.US,D,20210604,000000,59.5,62,57,57.5,10187.96,0
TRKA.US,D,20210607,000000,58,60,57.75,59.75,2466,0
TRKA.US,D,20210608,000000,59.75,63.75,59.25,63,3864.48,0
TRKA.US,D,20210609,000000,60.25,70.75,60.25,69,22794,0
TRKA.US,D,20210610,000000,68.25,68.25,62.5,62.5,9247.68,0
TRKA.US,D,20210611,000000,62.75,67.25,62.5,65.25,5041.68,0
TRKA.US,D,20210614,000000,65.75,66,60.25,60.25,6074.48,0
TRKA.US,D,20210615,000000,60.75,67.25,60,62,26950.64,0
TRKA.US,D,20210616,000000,62.25,69.5,61,66.75,20009.56,0
TRKA.US,D,20210617,000000,68,68,61.84,62.5,11261.28,0
TRKA.US,D,20210618,000000,63,63.3,56,56,27584.44,0
TRKA.US,D,20210621,000000,57.75,60.2475,55,55,16340.16,0
TRKA.US,D,20210622,000000,56.0425,62.5,53.75,59.25,53833.28,0
TRKA.US,D,20210623,000000,59.25,66.75,57.87,65,24546.4,0
TRKA.US,D,20210624,000000,65,73.25,63.48,67,47271.96,0
TRKA.US,D,20210625,000000,66.25,73.75,65.2525,73.75,23627.8,0
TRKA.US,D,20210628,000000,75,76,68,71.5,24134.16,0
TRKA.US,D,20210629,000000,71.25,90,71.25,86.25,109954.72,0
TRKA.US,D,20210630,000000,88.75,90.25,70,71,175656.6,0
TRKA.US,D,20210701,000000,70.25,84.75,67.5,75.75,110058.32,0
TRKA.US,D,20210702,000000,73.75,75.75,68.25,69.5,23610.92,0
TRKA.US,D,20210706,000000,71.5,75.5,69,72,13512.36,0
TRKA.US,D,20210707,000000,72.5,72.5,66.75,68.75,11067.32,0
TRKA.US,D,20210708,000000,69.5,69.5,65.25,67.75,15150.32,0
TRKA.US,D,20210709,000000,67,69.25,65.25,67,7224.88,0
TRKA.US,D,20210712,000000,66,67,60.25,60.5,8386.24,0
TRKA.US,D,20210713,000000,61,64,60.75,62.75,6732.04,0
TRKA.US,D,20210714,000000,61.25,62.5,58.5,59.25,2878.04,0
TRKA.US,D,20210715,000000,59.75,65.25,58.5875,65,7871.84,0
TRKA.US,D,20210716,000000,64,64,58.25,59.25,7537.52,0
TRKA.US,D,20210719,000000,58.25,62.25,55.75,56.25,13325.16,0
TRKA.US,D,20210720,000000,56,59.75,54.5,54.5,18173.08,0
TRKA.US,D,20210721,000000,53.25,55.25,48.5,52.75,29652.2,0
TRKA.US,D,20210722,000000,52.5,54.75,46,47.5,26499.96,0
TRKA.US,D,20210723,000000,47.25,50,45.25,48.75,20700.04,0
TRKA.US,D,20210726,000000,47.25,50.5,45.75,49.75,23142.08,0
TRKA.US,D,20210727,000000,49.75,50.25,45,49.5,18681.36,0
TRKA.US,D,20210728,000000,48.5,55.75,47.4775,53,21816.8,0
TRKA.US,D,20210729,000000,52.25,56.2475,50,53.75,10735.08,0
TRKA.US,D,20210730,000000,53.5,65.75,50,52,135733.16,0
TRKA.US,D,20210802,000000,50.75,63.5,47,61.75,365853.6,0
TRKA.US,D,20210803,000000,57,57,48,48,101369.6,0
TRKA.US,D,20210804,000000,47.5,49.5,45,45,36544.96,0
TRKA.US,D,20210805,000000,45.25,50.75,42.5,47.25,52063.28,0
TRKA.US,D,20210806,000000,48.5,48.5,44.5,45.25,28665.32,0
TRKA.US,D,20210809,000000,45.5,47.5,44.25,46.75,21718.6,0
TRKA.US,D,20210810,000000,47,52.5,44.25,47,57740.28,0
TRKA.US,D,20210811,000000,46,48.25,44,44.5,10038.48,0
TRKA.US,D,20210812,000000,44.25,46.25,43.125,45.25,13872.36,0
TRKA.US,D,20210813,000000,44.5,45.5,41.5025,42.25,9971.4,0
TRKA.US,D,20210816,000000,42.25,43,40,40.25,19103.24,0
TRKA.US,D,20210817,000000,40.5,41.25,37.5,37.5,12353.12,0
TRKA.US,D,20210818,000000,39,40.9975,37.945,39.25,6882.12,0
TRKA.US,D,20210819,000000,39.5,40.75,38.25,38.75,15834.4,0
TRKA.US,D,20210820,000000,38.5,42,38.5,39.75,14249.44,0
