<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSVT.US,D,20211103,000000,13.77,13.77,13.77,13.77,102,0
TSVT.US,D,20211104,000000,17.25,64,17.25,26.65,43888,0
TSVT.US,D,20211105,000000,26.13,36.05,26.02,33.62,1762035,0
TSVT.US,D,20211108,000000,32,41.9999,31.5106,40,547317,0
TSVT.US,D,20211109,000000,40.1,44.34,39.22,42.56,404229,0
TSVT.US,D,20211110,000000,41,42,39.51,40.4,815027,0
TSVT.US,D,20211111,000000,40.43,41.5,36.69,40,344056,0
TSVT.US,D,20211112,000000,38.53,39.99,34.75,38.37,511147,0
TSVT.US,D,20211115,000000,38.02,38.18,33.6001,37.25,429777,0
TSVT.US,D,20211116,000000,36.12,38.41,35.69,37.27,433987,0
TSVT.US,D,20211117,000000,37.2,37.37,34.81,35.53,360847,0
TSVT.US,D,20211118,000000,35.42,37.14,32.01,34.76,547665,0
TSVT.US,D,20211119,000000,35.33,37.69,34.7201,36.14,345473,0
TSVT.US,D,20211122,000000,36.14,36.15,33.09,33.35,391768,0
TSVT.US,D,20211123,000000,33,33.6,30.12,32.4,640458,0
TSVT.US,D,20211124,000000,32,32,29.25,30.78,331780,0
TSVT.US,D,20211126,000000,29.5,29.95,28.41,28.63,261976,0
TSVT.US,D,20211129,000000,28.74,29.4999,26.635,26.76,482324,0
TSVT.US,D,20211130,000000,26.15,27.42,25.6,26.34,633586,0
TSVT.US,D,20211201,000000,26.17,28.9099,25.73,26.5,716214,0
TSVT.US,D,20211202,000000,26.25,28.73,25,28.43,457787,0
TSVT.US,D,20211203,000000,28.27,28.27,26.06,27.13,495853,0
TSVT.US,D,20211206,000000,27.11,28,24.9,25.86,554912,0
TSVT.US,D,20211207,000000,26.41,31.38,26.01,29.95,611417,0
TSVT.US,D,20211208,000000,29.95,34.02,29.05,33.39,459321,0
TSVT.US,D,20211209,000000,33.39,34,30.705,30.95,450853,0
TSVT.US,D,20211210,000000,31.2,31.58,28.61,29.17,342720,0
TSVT.US,D,20211213,000000,29.12,32.88,28.41,31.58,422540,0
TSVT.US,D,20211214,000000,30.17,31,27.6,28.32,443294,0
TSVT.US,D,20211215,000000,28.41,29,25.36,28.6,585086,0
TSVT.US,D,20211216,000000,28.83,30.67,28.23,29.8,317723,0
TSVT.US,D,20211217,000000,29.31,32.9,27.72,32.58,2375877,0
TSVT.US,D,20211220,000000,31.61,32.653,29.65,32.14,456074,0
TSVT.US,D,20211221,000000,32.03,33.25,29.22,30.04,662167,0
TSVT.US,D,20211222,000000,29.87,32.44,29.5401,31.43,270096,0
TSVT.US,D,20211223,000000,31.4,31.4,29.44,31.01,429418,0
TSVT.US,D,20211227,000000,30.67,31.7,29.38,31.02,364172,0
TSVT.US,D,20211228,000000,30.76,31.5,27.74,27.88,377353,0
TSVT.US,D,20211229,000000,27.6,28,26.5,26.85,368411,0
TSVT.US,D,20211230,000000,26.71,27.7,25.52,25.92,327504,0
TSVT.US,D,20211231,000000,25.85,26.94,25.18,25.63,268202,0
TSVT.US,D,20220103,000000,25.59,26.88,25.0001,26.72,243203,0
TSVT.US,D,20220104,000000,26.8,27.04,24.67,25.05,371925,0
TSVT.US,D,20220105,000000,24.85,25.56,22.53,22.89,387844,0
TSVT.US,D,20220106,000000,24.06,25.67,21.89,25.23,543358,0
TSVT.US,D,20220107,000000,25,26.24,23.68,23.89,342428,0
TSVT.US,D,20220110,000000,23.9,24.19,22.53,23.47,592287,0
TSVT.US,D,20220111,000000,23.02,24.7,22.11,22.68,397756,0
TSVT.US,D,20220112,000000,22.67,22.8,21.3594,22.08,454236,0
TSVT.US,D,20220113,000000,22.27,22.63,20.47,20.77,322906,0
TSVT.US,D,20220114,000000,20.57,22.88,20.4,22.5,450747,0
TSVT.US,D,20220118,000000,21.83,22.125,20.14,20.18,455601,0
TSVT.US,D,20220119,000000,20.26,21.24,19.08,20.17,258982,0
TSVT.US,D,20220120,000000,20.61,22.21,19.75,19.84,434686,0
TSVT.US,D,20220121,000000,19.91,21.32,19.0971,20.07,691722,0
TSVT.US,D,20220124,000000,19.08,21,18.81,20.67,690356,0
TSVT.US,D,20220125,000000,20.45,20.89,18.62,19.73,390513,0
TSVT.US,D,20220126,000000,19.94,20.48,17.69,17.85,458400,0
TSVT.US,D,20220127,000000,18.01,18.23,16.6759,16.76,431685,0
TSVT.US,D,20220128,000000,17.17,17.17,15.6,15.75,937239,0
TSVT.US,D,20220131,000000,15.65,18.67,15.65,18.67,566047,0
TSVT.US,D,20220201,000000,18.1,18.65,17.19,17.51,453570,0
TSVT.US,D,20220202,000000,17.47,17.47,15.82,15.99,515808,0
TSVT.US,D,20220203,000000,15.56,16.76,15.1,15.61,768084,0
TSVT.US,D,20220204,000000,15.97,15.97,15,15.58,456536,0
TSVT.US,D,20220207,000000,15.56,16.21,15.46,15.77,306281,0
TSVT.US,D,20220208,000000,15.98,16,15.21,15.53,223886,0
TSVT.US,D,20220209,000000,15.6,16.29,15.56,16.27,458341,0
TSVT.US,D,20220210,000000,16.69,16.89,15,15.41,575710,0
TSVT.US,D,20220211,000000,15.38,15.7,14.32,14.51,390027,0
TSVT.US,D,20220214,000000,14.73,14.75,13.83,14.07,263144,0
TSVT.US,D,20220215,000000,14.2,15.4,14.095,15.2,341931,0
TSVT.US,D,20220216,000000,15.1,15.24,14.48,15.13,218507,0
TSVT.US,D,20220217,000000,15.06,15.17,13.9,14.3,355259,0
TSVT.US,D,20220218,000000,14.2,14.69,13.85,14.44,530373,0
TSVT.US,D,20220222,000000,14.46,15.51,14.01,14.42,366625,0
TSVT.US,D,20220223,000000,14.43,14.965,13.57,13.62,349750,0
TSVT.US,D,20220224,000000,13.12,14.8,13.02,14.75,535768,0
TSVT.US,D,20220225,000000,14.85,14.91,14,14.75,232508,0
TSVT.US,D,20220228,000000,14.5,14.95,13.81,14.84,324809,0
TSVT.US,D,20220301,000000,14.77,14.985,12.805,13.41,442292,0
TSVT.US,D,20220302,000000,13.42,13.75,12.9228,13.43,201601,0
TSVT.US,D,20220303,000000,13.38,13.58,12.49,12.89,366232,0
TSVT.US,D,20220304,000000,12.6,12.88,12.11,12.18,299643,0
TSVT.US,D,20220307,000000,12.13,12.53,11.715,12.18,332994,0
TSVT.US,D,20220308,000000,12.11,13.05,11.47,12.18,341311,0
TSVT.US,D,20220309,000000,12.19,13.12,11.93,12.96,452184,0
TSVT.US,D,20220310,000000,12.37,12.73,12.1301,12.57,207419,0
TSVT.US,D,20220311,000000,12.53,12.89,11.9,11.95,333255,0
TSVT.US,D,20220314,000000,11.92,12.33,11.55,11.67,455981,0
TSVT.US,D,20220315,000000,11.61,12.21,11.43,12.2,213316,0
TSVT.US,D,20220316,000000,12.53,14.02,12.33,13.98,906571,0
TSVT.US,D,20220317,000000,14.09,14.91,13.77,14.91,785596,0
TSVT.US,D,20220318,000000,14.52,16.34,14.52,16.3,1007726,0
TSVT.US,D,20220321,000000,16.06,17.15,15.74,16.29,996242,0
TSVT.US,D,20220322,000000,16.31,17.47,15.49,17.15,786750,0
TSVT.US,D,20220323,000000,16.96,18.0587,16.82,16.93,381232,0
TSVT.US,D,20220324,000000,17.04,18.16,16.795,18.12,344085,0
TSVT.US,D,20220325,000000,18.16,18.16,16.83,17.5,340671,0
TSVT.US,D,20220328,000000,17.61,18.285,17.45,18.06,463597,0
TSVT.US,D,20220329,000000,18.39,18.74,17.585,17.93,582490,0
TSVT.US,D,20220330,000000,17.8,18.57,17.15,17.21,338321,0
TSVT.US,D,20220331,000000,17.36,18,17,17.06,327837,0
TSVT.US,D,20220401,000000,17.26,18.21,17.08,18.17,370892,0
TSVT.US,D,20220404,000000,18.35,18.915,17.63,18.81,376970,0
TSVT.US,D,20220405,000000,18.65,19.33,17.98,18.07,476303,0
TSVT.US,D,20220406,000000,17.82,18.16,16.99,17.98,399588,0
TSVT.US,D,20220407,000000,17.76,18.18,17,17.48,313454,0
TSVT.US,D,20220408,000000,17.36,17.81,16.435,16.78,277771,0
TSVT.US,D,20220411,000000,16.38,16.63,15.85,15.95,545565,0
TSVT.US,D,20220412,000000,16.28,16.78,15.6334,16.03,291444,0
TSVT.US,D,20220413,000000,16.02,17.1,16.02,16.84,382287,0
TSVT.US,D,20220414,000000,16.73,17.35,16.45,16.83,475943,0
TSVT.US,D,20220418,000000,16.93,17.06,15.121,15.61,426525,0
TSVT.US,D,20220419,000000,15.57,15.93,15.195,15.86,266163,0
TSVT.US,D,20220420,000000,16.06,16.54,15.44,16.16,262699,0
TSVT.US,D,20220421,000000,16.21,16.21,15.24,15.4,406717,0
TSVT.US,D,20220422,000000,15.37,15.75,14.92,14.99,377551,0
TSVT.US,D,20220425,000000,14.85,15.55,14.51,15.36,352198,0
TSVT.US,D,20220426,000000,15.25,15.57,13.98,14.08,552149,0
TSVT.US,D,20220427,000000,13.73,14.34,13.51,13.8,470116,0
TSVT.US,D,20220428,000000,14.15,14.705,13.23,14.25,440614,0
TSVT.US,D,20220429,000000,13.91,14.73,13.45,13.46,279092,0
TSVT.US,D,20220502,000000,14.02,14.7293,13.51,14.62,509013,0
TSVT.US,D,20220503,000000,14.56,14.82,14.05,14.33,262590,0
TSVT.US,D,20220504,000000,14.42,15.18,13.58,15.14,397776,0
TSVT.US,D,20220505,000000,15.07,15.119,13.53,14,573441,0
TSVT.US,D,20220506,000000,13.59,13.94,12.83,13.1,400551,0
TSVT.US,D,20220509,000000,12.76,13.23,11.81,11.87,622722,0
TSVT.US,D,20220510,000000,12.62,13.02,11.77,12.51,593620,0
TSVT.US,D,20220511,000000,12.48,12.685,10.78,10.91,606331,0
TSVT.US,D,20220512,000000,10.68,11.56,10.57,11.24,634713,0
TSVT.US,D,20220513,000000,11.34,12.03,10.7441,11.92,736273,0
TSVT.US,D,20220516,000000,11.83,12.28,11.51,11.97,480599,0
TSVT.US,D,20220517,000000,12.36,13.14,12.16,12.88,639808,0
TSVT.US,D,20220518,000000,12.25,12.6,11.02,11.37,892515,0
TSVT.US,D,20220519,000000,11.34,11.83,11.15,11.78,549832,0
TSVT.US,D,20220520,000000,11.88,12.44,11.3,12.35,623263,0
TSVT.US,D,20220523,000000,12.55,12.77,12.06,12.35,343788,0
TSVT.US,D,20220524,000000,12.1,12.35,11.46,12.06,496390,0
TSVT.US,D,20220525,000000,12,12.4,11.41,11.52,445840,0
TSVT.US,D,20220526,000000,11.5,12.32,11.47,11.73,321403,0
TSVT.US,D,20220527,000000,11.78,12.41,11.37,12.14,381555,0
TSVT.US,D,20220531,000000,12.14,12.77,11.9925,12.4,634326,0
TSVT.US,D,20220601,000000,12.44,12.95,11.64,11.85,600802,0
TSVT.US,D,20220602,000000,11.76,11.89,11.1,11.4,545581,0
TSVT.US,D,20220603,000000,11.22,12.15,11.11,11.67,704098,0
TSVT.US,D,20220606,000000,12.02,12.63,11.28,11.66,749750,0
TSVT.US,D,20220607,000000,11.46,13.32,11.46,13.23,723031,0
TSVT.US,D,20220608,000000,13.09,14.13,13.09,13.51,425563,0
TSVT.US,D,20220609,000000,13.35,13.72,13.11,13.22,474071,0
TSVT.US,D,20220610,000000,12.82,13.12,11.625,11.75,565250,0
TSVT.US,D,20220613,000000,11.15,11.61,11.02,11.19,768764,0
TSVT.US,D,20220614,000000,11.28,11.28,10.37,10.71,624082,0
TSVT.US,D,20220615,000000,10.81,11.14,10.45,10.96,718915,0
TSVT.US,D,20220616,000000,10.45,10.86,9.91,10.55,818926,0
TSVT.US,D,20220617,000000,10.65,12.6,10.65,11.98,2678544,0
TSVT.US,D,20220621,000000,12.36,13.26,12.32,12.56,815409,0
TSVT.US,D,20220622,000000,12.26,13.6,12.26,13.15,628641,0
TSVT.US,D,20220623,000000,13.23,14.23,12.975,14.18,642480,0
TSVT.US,D,20220624,000000,14.36,14.46,13.29,13.74,2169784,0
TSVT.US,D,20220627,000000,13.62,13.88,13.24,13.6,301871,0
TSVT.US,D,20220628,000000,13.57,13.82,13.18,13.4,391466,0
TSVT.US,D,20220629,000000,13.27,13.54,12.77,13.19,292623,0
TSVT.US,D,20220630,000000,12.78,13.46,12.54,13.2,376596,0
TSVT.US,D,20220701,000000,12.96,13.6,12.77,13.34,334159,0
TSVT.US,D,20220705,000000,13.06,14.06,12.83,13.88,451536,0
TSVT.US,D,20220706,000000,13.96,14.69,13.75,14.07,696029,0
TSVT.US,D,20220707,000000,14.12,15.06,14.01,14.65,637205,0
TSVT.US,D,20220708,000000,14.47,15.06,14.43,14.87,487287,0
TSVT.US,D,20220711,000000,14.71,14.97,12.76,12.9,430827,0
TSVT.US,D,20220712,000000,12.88,13.84,12.29,13.79,504332,0
TSVT.US,D,20220713,000000,13.32,14.71,13.32,14.52,392833,0
TSVT.US,D,20220714,000000,14.42,14.42,13.84,13.91,246007,0
TSVT.US,D,20220715,000000,14.28,14.28,13.63,13.83,221250,0
TSVT.US,D,20220718,000000,14.27,14.52,12.51,12.56,378548,0
TSVT.US,D,20220719,000000,12.67,13.49,12.66,13.08,382597,0
TSVT.US,D,20220720,000000,13.34,13.91,12.95,13.4,421848,0
TSVT.US,D,20220721,000000,13.37,13.54,13.09,13.35,185284,0
TSVT.US,D,20220722,000000,13.34,13.355,12.79,13.18,350887,0
TSVT.US,D,20220725,000000,13.34,13.485,12.85,13.31,246927,0
TSVT.US,D,20220726,000000,13.25,13.68,12.64,13.35,393786,0
TSVT.US,D,20220727,000000,13.61,14.7887,13.61,14.65,507467,0
TSVT.US,D,20220728,000000,14.71,14.8,13.88,14.57,342922,0
TSVT.US,D,20220729,000000,14.43,14.44,13.9,14.39,346280,0
TSVT.US,D,20220801,000000,14.25,14.5,13.98,14.3,303893,0
TSVT.US,D,20220802,000000,14.15,15.07,14.11,15,352172,0
TSVT.US,D,20220803,000000,15.16,16.21,15.11,15.38,548241,0
TSVT.US,D,20220804,000000,15.48,16.035,15.13,15.99,334008,0
TSVT.US,D,20220805,000000,15.62,16.71,15.39,16.61,590399,0
TSVT.US,D,20220808,000000,16.84,17.5,16.8,17.32,414423,0
TSVT.US,D,20220809,000000,17,17.16,16.22,16.7,289006,0
TSVT.US,D,20220810,000000,17.75,18.88,17.03,17.22,1034215,0
TSVT.US,D,20220811,000000,17.36,18.01,16.48,16.59,832995,0
TSVT.US,D,20220812,000000,16.84,17.24,16.37,16.47,566252,0
TSVT.US,D,20220815,000000,16.27,16.91,16.1,16.5,589784,0
TSVT.US,D,20220816,000000,16.5,16.67,15.76,15.96,389069,0
TSVT.US,D,20220817,000000,15.75,16.26,15.49,15.57,346299,0
TSVT.US,D,20220818,000000,15.66,15.66,14.77,15.22,371290,0
TSVT.US,D,20220819,000000,14.92,15.19,14.7,14.77,215976,0
TSVT.US,D,20220822,000000,14.54,15.4,14.36,15.35,248320,0
TSVT.US,D,20220823,000000,15.44,15.91,15.235,15.75,290589,0
TSVT.US,D,20220824,000000,15.77,17.18,15.595,17.02,279022,0
TSVT.US,D,20220825,000000,17.24,17.68,16.89,17.54,453499,0
TSVT.US,D,20220826,000000,17.69,17.69,15.1501,15.25,402936,0
TSVT.US,D,20220829,000000,15.07,15.72,14.835,14.99,260031,0
TSVT.US,D,20220830,000000,15.1,15.75,14.22,14.45,275518,0
TSVT.US,D,20220831,000000,14.77,14.949,14.41,14.73,246766,0
TSVT.US,D,20220901,000000,14.71,15.54,14.18,15.45,251813,0
TSVT.US,D,20220902,000000,15.72,15.72,14.51,14.64,228885,0
TSVT.US,D,20220906,000000,14.54,14.8099,13.83,13.9,266284,0
TSVT.US,D,20220907,000000,14.05,14.81,14.01,14.7,336250,0
TSVT.US,D,20220908,000000,14.52,16.185,14.52,16.04,360575,0
TSVT.US,D,20220909,000000,16.2,16.345,15.895,16.01,234463,0
TSVT.US,D,20220912,000000,16.01,16.01,15.31,15.71,187378,0
TSVT.US,D,20220913,000000,15.11,15.76,15.11,15.53,346136,0
TSVT.US,D,20220914,000000,15.8,15.8,15.25,15.58,285701,0
TSVT.US,D,20220915,000000,15.48,16.24,15.41,15.91,298181,0
TSVT.US,D,20220916,000000,15.59,15.67,14.13,14.43,545074,0
TSVT.US,D,20220919,000000,14.4,14.99,14.01,14.82,301300,0
TSVT.US,D,20220920,000000,14.67,14.98,14.35,14.68,197345,0
TSVT.US,D,20220921,000000,14.82,15,14.1,14.2,263086,0
TSVT.US,D,20220922,000000,13.91,14.25,13.5,13.9,262904,0
TSVT.US,D,20220923,000000,13.79,13.79,13.19,13.58,259755,0
TSVT.US,D,20220926,000000,13.58,13.67,12.76,12.87,216575,0
TSVT.US,D,20220927,000000,13.23,13.94,13.0451,13.86,340424,0
TSVT.US,D,20220928,000000,13.92,15.48,13.92,15.24,412349,0
TSVT.US,D,20220929,000000,14.94,14.9699,13.93,14.06,259699,0
TSVT.US,D,20220930,000000,14,15.2,14,14.55,270929,0
TSVT.US,D,20221003,000000,15,15,14.4,14.64,195784,0
TSVT.US,D,20221004,000000,14.83,15.43,14.63,15.42,336604,0
TSVT.US,D,20221005,000000,15.14,15.285,14.62,14.98,653417,0
TSVT.US,D,20221006,000000,14.86,15.272,14.52,14.61,282158,0
TSVT.US,D,20221007,000000,14.27,14.9793,14,14.05,279293,0
TSVT.US,D,20221010,000000,13.99,14.03,13.26,13.65,218668,0
TSVT.US,D,20221011,000000,13.67,14.82,13.111,14.29,298220,0
TSVT.US,D,20221012,000000,14.41,15.015,13.55,14.78,268428,0
TSVT.US,D,20221013,000000,14.24,15.4,14.24,15.28,432701,0
TSVT.US,D,20221014,000000,15.47,15.63,14.67,14.73,333759,0
TSVT.US,D,20221017,000000,15.04,15.35,14.36,14.67,274576,0
TSVT.US,D,20221018,000000,15.05,15.29,14.71,15.02,214456,0
TSVT.US,D,20221019,000000,14.93,15.33,13.83,14.08,393964,0
TSVT.US,D,20221020,000000,14.09,14.59,13.82,13.93,172805,0
TSVT.US,D,20221021,000000,14.06,14.95,13.82,14.85,301643,0
TSVT.US,D,20221024,000000,14.85,15,14.1601,14.83,158355,0
TSVT.US,D,20221025,000000,14.94,15.31,14.75,14.795,258538,0
TSVT.US,D,20221026,000000,14.85,15.64,14.85,15.45,989593,0
TSVT.US,D,20221027,000000,15.67,16.13,15.06,15.48,575394,0
TSVT.US,D,20221028,000000,15.65,15.65,14.8,15.24,353631,0
TSVT.US,D,20221031,000000,15.5,16.26,15.35,15.88,583753,0
TSVT.US,D,20221101,000000,16.13,16.17,15.565,15.79,394448,0
TSVT.US,D,20221102,000000,15.83,16.71,15.44,15.61,525648,0
TSVT.US,D,20221103,000000,15.29,16.05,15.011,15.34,203448,0
TSVT.US,D,20221104,000000,15.61,15.62,15.095,15.51,303766,0
TSVT.US,D,20221107,000000,15.51,16,15.17,15.19,274521,0
TSVT.US,D,20221108,000000,15.51,16.66,15.46,16.22,578714,0
TSVT.US,D,20221109,000000,16.22,16.22,15.57,15.67,276948,0
TSVT.US,D,20221110,000000,16.2,17.56,16.2,17,738134,0
TSVT.US,D,20221111,000000,17.1,17.425,16.5,16.7,520835,0
TSVT.US,D,20221114,000000,16.49,17.3588,16.18,16.93,404420,0
TSVT.US,D,20221115,000000,17.35,17.535,16.4962,16.87,307619,0
TSVT.US,D,20221116,000000,16.72,17.04,15.92,16.11,318847,0
TSVT.US,D,20221117,000000,15.9,16.035,15.55,15.98,171486,0
TSVT.US,D,20221118,000000,16.39,16.39,15.39,15.68,259971,0
TSVT.US,D,20221121,000000,15.26,15.58,13.4001,14,708501,0
TSVT.US,D,20221122,000000,14.05,15.53,13.775,15.4,484876,0
TSVT.US,D,20221123,000000,15.4,16.15,15.22,15.57,481097,0
TSVT.US,D,20221125,000000,15.53,15.94,15.44,15.88,117670,0
TSVT.US,D,20221128,000000,15.82,16.15,15,15.17,339228,0
TSVT.US,D,20221129,000000,15.1,15.95,14.8,14.99,285414,0
TSVT.US,D,20221130,000000,15.21,15.74,15.01,15.67,613448,0
TSVT.US,D,20221201,000000,15.78,15.94,14.92,15.28,273586,0
TSVT.US,D,20221202,000000,15.13,16.17,14.83,16.04,312615,0
TSVT.US,D,20221205,000000,16.01,16.01,14.96,15.36,353549,0
TSVT.US,D,20221206,000000,15.12,15.3054,14.7,14.93,316241,0
TSVT.US,D,20221207,000000,14.64,15.04,14.37,14.4,386393,0
TSVT.US,D,20221208,000000,14.44,14.65,13.9,14.45,247602,0
TSVT.US,D,20221209,000000,14.35,14.425,13.47,13.59,501294,0
TSVT.US,D,20221212,000000,13.61,13.61,12.35,12.71,729074,0
