<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPC.US,D,20210323,000000,5.26,5.719,4.34,4.75,2055700,0
UPC.US,D,20210324,000000,4.5,4.74,4.17,4.17,177293,0
UPC.US,D,20210325,000000,4.2,4.2,3.75,4.05,119595,0
UPC.US,D,20210326,000000,4.1,4.45,4.05,4.06,120772,0
UPC.US,D,20210329,000000,10.5,11.99,5.16,5.61,49054357,0
UPC.US,D,20210330,000000,4.96,4.96,4.11,4.37,2243795,0
UPC.US,D,20210331,000000,4.3,4.31,3.95,4.01,984295,0
UPC.US,D,20210401,000000,5.34,7.22,5.07,5.25,75952704,0
UPC.US,D,20210405,000000,5.5236,5.65,5.24,5.65,2119867,0
UPC.US,D,20210406,000000,5.57,5.6,5.1,5.18,1176745,0
UPC.US,D,20210407,000000,5.12,5.48,4.6,5.1,1145030,0
UPC.US,D,20210408,000000,4.8,4.95,4.7,4.79,268606,0
UPC.US,D,20210409,000000,4.62,4.8,4.56,4.64,291341,0
UPC.US,D,20210412,000000,4.55,4.56,4.09,4.22,350615,0
UPC.US,D,20210413,000000,4.13,4.1599,4.01,4.09,255449,0
UPC.US,D,20210414,000000,4.04,4.17,3.87,3.92,294674,0
UPC.US,D,20210415,000000,3.93,3.94,3.5,3.62,369974,0
UPC.US,D,20210416,000000,3.57,3.945,3.57,3.87,279831,0
UPC.US,D,20210419,000000,3.91,3.93,3.505,3.55,249694,0
UPC.US,D,20210420,000000,3.54,3.65,3.4,3.44,274854,0
UPC.US,D,20210421,000000,3.4,3.63,3.4,3.6,223645,0
UPC.US,D,20210422,000000,3.55,3.63,3.4569,3.55,201396,0
UPC.US,D,20210423,000000,3.51,3.63,3.46,3.5,169326,0
UPC.US,D,20210426,000000,3.55,3.74,3.5,3.73,194413,0
UPC.US,D,20210427,000000,3.69,3.72,3.54,3.6,194065,0
UPC.US,D,20210428,000000,3.58,3.89,3.58,3.75,246836,0
UPC.US,D,20210429,000000,3.77,3.84,3.6,3.71,202019,0
UPC.US,D,20210430,000000,3.61,3.73,3.61,3.68,89246,0
UPC.US,D,20210503,000000,3.66,3.66,3.4253,3.52,226237,0
UPC.US,D,20210504,000000,3.48,3.5201,3.42,3.49,138851,0
UPC.US,D,20210505,000000,3.45,3.4805,3.4,3.43,102325,0
