<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USVN.US,D,20230330,000000,49.82,49.8847,49.82,49.8847,402,0
USVN.US,D,20230331,000000,50.073,50.073,50.073,50.073,1,0
USVN.US,D,20230403,000000,50.25,50.3,50.2497,50.3,403,0
USVN.US,D,20230410,000000,50.3463,50.3463,50.3463,50.3463,3,0
USVN.US,D,20230411,000000,50.3207,50.3207,50.3207,50.3207,1,0
USVN.US,D,20230413,000000,50.3702,50.3702,50.3702,50.3702,5,0
USVN.US,D,20230414,000000,50.119,50.1247,50.11,50.1247,482,0
USVN.US,D,20230417,000000,49.8619,49.8619,49.8619,49.8619,7,0
USVN.US,D,20230418,000000,49.925,49.925,49.925,49.925,3,0
USVN.US,D,20230420,000000,50.04,50.0585,50.04,50.0585,102,0
USVN.US,D,20230427,000000,50.1305,50.1305,50.1305,50.1305,4,0
USVN.US,D,20230501,000000,49.93,49.93,49.8447,49.8447,101,0
USVN.US,D,20230504,000000,50.7715,50.7715,50.7715,50.7715,1,0
USVN.US,D,20230505,000000,50.5097,50.5097,50.5097,50.5097,2,0
USVN.US,D,20230508,000000,50.2519,50.2519,50.2519,50.2519,3,0
USVN.US,D,20230509,000000,50.2,50.2,50.2,50.2,4,0
USVN.US,D,20230510,000000,50.538,50.538,50.538,50.538,2,0
USVN.US,D,20230511,000000,50.6713,50.6713,50.6713,50.6713,3,0
USVN.US,D,20230512,000000,50.405,50.405,50.405,50.405,1,0
USVN.US,D,20230515,000000,50.3325,50.3325,50.3325,50.3325,1,0
USVN.US,D,20230516,000000,50.2041,50.2041,50.2041,50.2041,3,0
USVN.US,D,20230517,000000,50.0347,50.0347,50.0347,50.0347,4,0
USVN.US,D,20230518,000000,49.82,49.82,49.7576,49.7576,1601,0
USVN.US,D,20230519,000000,49.57,49.57,49.57,49.57,8,0
USVN.US,D,20230522,000000,49.5313,49.5313,49.5313,49.5313,3,0
USVN.US,D,20230523,000000,49.6089,49.6089,49.6089,49.6089,1,0
USVN.US,D,20230524,000000,49.6003,49.6003,49.4889,49.4889,1601,0
USVN.US,D,20230525,000000,49.1926,49.1926,49.1926,49.1926,2,0
USVN.US,D,20230526,000000,49.2095,49.2095,49.2095,49.2095,8,0
USVN.US,D,20230530,000000,49.5669,49.5669,49.5669,49.5669,1,0
USVN.US,D,20230531,000000,49.7262,49.7262,49.7262,49.7262,1,0
USVN.US,D,20230601,000000,49.7031,49.7031,49.7031,49.7031,1,0
USVN.US,D,20230602,000000,49.4882,49.4882,49.3375,49.3375,104,0
USVN.US,D,20230605,000000,49.349,49.349,49.349,49.349,3,0
USVN.US,D,20230606,000000,49.3373,49.3373,49.3373,49.3373,31,0
USVN.US,D,20230607,000000,49.0584,49.0584,49.0584,49.0584,5,0
USVN.US,D,20230608,000000,49.3309,49.3309,49.3309,49.3309,1,0
USVN.US,D,20230609,000000,49.1651,49.1651,49.1651,49.1651,3,0
USVN.US,D,20230612,000000,49.2431,49.2431,49.2431,49.2431,6,0
USVN.US,D,20230613,000000,48.9287,48.9287,48.9287,48.9287,3,0
USVN.US,D,20230614,000000,48.9793,48.9793,48.9793,48.9793,23,0
USVN.US,D,20230615,000000,49.2958,49.2958,49.2958,49.2958,3,0
USVN.US,D,20230616,000000,49.08,49.1045,49.08,49.1045,211,0
USVN.US,D,20230620,000000,49.17,49.23,49.17,49.2209,596,0
USVN.US,D,20230621,000000,49.2207,49.2207,49.2207,49.2207,10,0
USVN.US,D,20230622,000000,48.9967,48.9967,48.9967,48.9967,10,0
USVN.US,D,20230623,000000,49.1447,49.1447,49.1447,49.1447,3,0
USVN.US,D,20230626,000000,49.24,49.24,49.24,49.24,41,0
USVN.US,D,20230627,000000,49.0659,49.0659,49.0659,49.0659,1,0
USVN.US,D,20230628,000000,49.07,49.2394,49.07,49.2394,551,0
USVN.US,D,20230629,000000,48.83,48.83,48.78,48.8193,202,0
USVN.US,D,20230630,000000,48.837,48.837,48.837,48.837,1,0
USVN.US,D,20230703,000000,48.5657,48.5657,48.5657,48.5657,3,0
USVN.US,D,20230705,000000,48.35,48.35,48.35,48.35,1,0
USVN.US,D,20230706,000000,48.0153,48.0153,48.0153,48.0153,24,0
USVN.US,D,20230707,000000,47.9808,47.9808,47.9808,47.9808,16,0
USVN.US,D,20230710,000000,48.235,48.235,48.235,48.235,68,0
USVN.US,D,20230711,000000,48.29,48.29,48.29,48.29,2,0
USVN.US,D,20230712,000000,48.7268,48.7268,48.7268,48.7268,11,0
USVN.US,D,20230713,000000,49.1045,49.1045,49.1045,49.1045,3,0
USVN.US,D,20230714,000000,48.94,48.99,48.88,48.88,303,0
USVN.US,D,20230717,000000,48.936,48.936,48.936,48.936,2,0
USVN.US,D,20230718,000000,48.97,48.97,48.97,48.97,25,0
USVN.US,D,20230719,000000,49.06,49.1039,49.06,49.1039,351,0
USVN.US,D,20230720,000000,48.77,48.77,48.77,48.77,17,0
USVN.US,D,20230721,000000,48.88,48.88,48.8,48.8,104,0
USVN.US,D,20230724,000000,48.87,48.89,48.6935,48.6935,300,0
USVN.US,D,20230725,000000,48.53,48.6072,48.53,48.6072,103,0
USVN.US,D,20230726,000000,48.7567,48.7567,48.7567,48.7567,1,0
USVN.US,D,20230727,000000,48.42,48.42,48.34,48.34,100,0
USVN.US,D,20230728,000000,48.4912,48.4912,48.4912,48.4912,1,0
USVN.US,D,20230731,000000,48.52,48.52,48.52,48.52,4,0
USVN.US,D,20230801,000000,48.1296,48.175,48.1296,48.175,100,0
USVN.US,D,20230802,000000,48.108,48.108,48.108,48.108,2,0
USVN.US,D,20230803,000000,47.85,47.85,47.85,47.85,16,0
