<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VMD.US,D,20190809,000000,7.65,8.39,6.4086,7.02,58563,0
VMD.US,D,20190812,000000,7.01,7.2199,7,7.01,9363,0
VMD.US,D,20190813,000000,7.09,7.33,7.09,7.2812,28602,0
VMD.US,D,20190814,000000,7.2,7.2,6.94,7.12,32788,0
VMD.US,D,20190815,000000,6.91,7.07,6.82,6.82,14108,0
VMD.US,D,20190816,000000,7.01,7.0999,6.89,6.93,13405,0
VMD.US,D,20190819,000000,7.17,7.17,6.73,6.84,27499,0
VMD.US,D,20190820,000000,6.71,6.83,6.66,6.7134,13487,0
VMD.US,D,20190821,000000,6.6,6.69,6.5,6.5,6981,0
VMD.US,D,20190822,000000,6.5,6.6,6.49,6.5104,28294,0
VMD.US,D,20190823,000000,6.46,6.63,6.02,6.1016,8313,0
VMD.US,D,20190826,000000,5.9,6.2511,5.9,6.2511,9955,0
VMD.US,D,20190827,000000,6.57,6.57,6.33,6.33,15283,0
VMD.US,D,20190828,000000,6.35,6.4674,6.24,6.24,3322,0
VMD.US,D,20190829,000000,6.4312,6.6099,6.3884,6.3884,13187,0
VMD.US,D,20190830,000000,6.41,6.41,6.38,6.38,425,0
VMD.US,D,20190903,000000,6.65,6.65,6.42,6.42,4348,0
VMD.US,D,20190904,000000,6.33,6.34,6.21,6.21,5751,0
VMD.US,D,20190905,000000,6.26,6.26,6.12,6.12,1924,0
VMD.US,D,20190906,000000,6.12,6.28,6.12,6.28,1220,0
VMD.US,D,20190909,000000,6.5,6.5,6.28,6.4,2809,0
VMD.US,D,20190910,000000,6.3101,6.3417,6.2,6.2976,12562,0
VMD.US,D,20190911,000000,6.3,6.4639,6.3,6.35,19436,0
VMD.US,D,20190912,000000,6.41,6.75,6.41,6.75,7225,0
VMD.US,D,20190913,000000,6.75,6.99,6.65,6.77,9660,0
VMD.US,D,20190916,000000,6.54,6.85,6.36,6.85,13435,0
VMD.US,D,20190917,000000,6.85,6.85,6.72,6.72,4102,0
VMD.US,D,20190918,000000,6.75,6.8501,6.75,6.81,23828,0
VMD.US,D,20190919,000000,6.84,7.03,6.63,6.63,14967,0
VMD.US,D,20190920,000000,6.88,7,6.88,6.9451,9312,0
VMD.US,D,20190923,000000,6.99,7.05,6.9553,7,71341,0
VMD.US,D,20190924,000000,6.95,7.05,6.95,7,61063,0
VMD.US,D,20190925,000000,6.9393,7.1,6.935,7.1,17927,0
VMD.US,D,20190926,000000,7.04,7.05,6.93,6.93,21898,0
VMD.US,D,20190927,000000,7,7,6.93,6.94,7185,0
VMD.US,D,20190930,000000,6.9514,6.9514,6.92,6.92,400,0
VMD.US,D,20191001,000000,6.96,6.98,6.85,6.85,15056,0
VMD.US,D,20191002,000000,6.76,6.8782,6.36,6.61,26447,0
VMD.US,D,20191003,000000,6.83,6.83,6.4121,6.82,4149,0
VMD.US,D,20191004,000000,6.8311,6.9692,6.8311,6.9692,4209,0
VMD.US,D,20191007,000000,6.99,7.3111,6.9081,7.3111,4320,0
VMD.US,D,20191008,000000,7.25,7.32,7.11,7.29,10774,0
VMD.US,D,20191009,000000,7.3,7.55,7.3,7.52,15383,0
VMD.US,D,20191010,000000,7.5285,7.5578,7.51,7.55,39356,0
VMD.US,D,20191011,000000,7.75,7.8517,7.69,7.7322,47045,0
VMD.US,D,20191014,000000,7.9,7.9,7.7,7.7,279,0
VMD.US,D,20191015,000000,7.9,7.9545,7.69,7.92,13990,0
VMD.US,D,20191016,000000,7.85,7.95,7.85,7.95,16097,0
VMD.US,D,20191017,000000,8.05,8.05,7.95,7.95,8027,0
VMD.US,D,20191018,000000,7.9519,7.9711,7.85,7.87,57518,0
VMD.US,D,20191021,000000,8,8.73,7.9837,8.5343,30340,0
VMD.US,D,20191022,000000,8.71,8.71,7.62,8.18,23434,0
VMD.US,D,20191023,000000,8.15,8.15,7.74,7.74,6666,0
VMD.US,D,20191024,000000,7.97,8.331,7.95,8.26,25499,0
VMD.US,D,20191025,000000,8.45,8.45,8.26,8.26,8271,0
VMD.US,D,20191028,000000,8.44,8.45,8.2,8.29,20969,0
VMD.US,D,20191029,000000,8.2,8.35,8.2,8.2373,14276,0
VMD.US,D,20191030,000000,8.3,8.3008,8.1,8.19,18345,0
VMD.US,D,20191031,000000,8.13,8.14,8.08,8.12,1547,0
VMD.US,D,20191101,000000,8.07,8.17,8.01,8.05,8118,0
VMD.US,D,20191104,000000,8.05,8.06,7.8975,7.97,15238,0
VMD.US,D,20191105,000000,8,8,7.06,7.23,81510,0
VMD.US,D,20191106,000000,7.42,7.59,7.14,7.59,84999,0
VMD.US,D,20191107,000000,7.31,7.54,7.24,7.33,27318,0
VMD.US,D,20191108,000000,7.22,7.26,7.02,7.02,22276,0
VMD.US,D,20191111,000000,7.3,7.3,6.75,6.9,17278,0
VMD.US,D,20191112,000000,6.97,6.97,6.5935,6.79,29135,0
VMD.US,D,20191113,000000,7.01,7.01,6.41,6.42,22852,0
VMD.US,D,20191114,000000,6.35,6.7026,6.34,6.7026,10640,0
VMD.US,D,20191115,000000,6.76,6.76,6.57,6.6,9339,0
VMD.US,D,20191118,000000,6.56,6.56,6.31,6.31,21937,0
VMD.US,D,20191119,000000,6.36,6.36,6.14,6.17,16863,0
VMD.US,D,20191120,000000,6.13,6.22,5.98,6.06,41196,0
VMD.US,D,20191121,000000,6.2,6.2,5.99,6.06,10640,0
VMD.US,D,20191122,000000,6.1645,6.44,6.1645,6.39,15240,0
VMD.US,D,20191125,000000,6.67,6.67,6.175,6.2,33525,0
VMD.US,D,20191126,000000,6.11,6.22,6.11,6.13,8401,0
VMD.US,D,20191127,000000,6.15,6.3995,6.094,6.17,72693,0
VMD.US,D,20191129,000000,6.15,6.23,6.06,6.1797,9932,0
VMD.US,D,20191202,000000,6.18,6.39,5.94,6.39,15515,0
VMD.US,D,20191203,000000,6.28,6.3,6.07,6.07,24311,0
VMD.US,D,20191204,000000,6.09,6.1928,6.03,6.07,19497,0
VMD.US,D,20191205,000000,6.1,6.15,6.06,6.13,5106,0
VMD.US,D,20191206,000000,6.15,6.43,6.1,6.38,18730,0
VMD.US,D,20191209,000000,6.38,6.429,6.24,6.3,38283,0
VMD.US,D,20191210,000000,6.35,6.4,6.3,6.35,14560,0
VMD.US,D,20191211,000000,6.36,6.44,6.225,6.44,10457,0
VMD.US,D,20191212,000000,6.246,6.39,6.23,6.285,4942,0
VMD.US,D,20191213,000000,6.33,6.393,6.23,6.27,13693,0
VMD.US,D,20191216,000000,6.3,6.35,6.24,6.24,5929,0
VMD.US,D,20191217,000000,6.24,6.28,6.2,6.2,1953,0
VMD.US,D,20191218,000000,6.1845,6.1845,6.14,6.16,3709,0
VMD.US,D,20191219,000000,6.41,6.41,6.15,6.25,2003,0
VMD.US,D,20191220,000000,6.3,6.34,6.15,6.32,18235,0
VMD.US,D,20191223,000000,6.35,6.35,6.22,6.28,14255,0
VMD.US,D,20191224,000000,6.2422,6.26,6.23,6.24,13853,0
VMD.US,D,20191226,000000,6.1568,6.34,6.1568,6.34,2468,0
VMD.US,D,20191227,000000,6.25,6.3525,6.25,6.28,8981,0
VMD.US,D,20191230,000000,6.291,6.36,6.25,6.33,13953,0
VMD.US,D,20191231,000000,6.34,6.36,6.2,6.2,20025,0
VMD.US,D,20200102,000000,6.289,6.32,6.21,6.29,18779,0
VMD.US,D,20200103,000000,6.35,6.35,6.18,6.2,9439,0
VMD.US,D,20200106,000000,6.13,6.2,5.64,6.08,71434,0
VMD.US,D,20200107,000000,5.84,6.01,5.835,5.85,17655,0
VMD.US,D,20200108,000000,5.82,6.14,5.82,6.09,11831,0
VMD.US,D,20200109,000000,5.98,5.98,5.83,5.85,35046,0
VMD.US,D,20200110,000000,5.83,6,5.8098,5.83,7585,0
VMD.US,D,20200113,000000,5.81,5.88,5.42,5.72,39630,0
VMD.US,D,20200114,000000,5.6869,5.79,5.68,5.71,23167,0
VMD.US,D,20200115,000000,5.75,5.76,5.58,5.7,19447,0
VMD.US,D,20200116,000000,5.72,5.73,5.69,5.7,16248,0
VMD.US,D,20200117,000000,5.69,5.69,5.51,5.51,13458,0
VMD.US,D,20200121,000000,5.5,5.53,5.45,5.5,10890,0
VMD.US,D,20200122,000000,5.51,5.7,5.51,5.6,39678,0
VMD.US,D,20200123,000000,5.83,5.83,5.6,5.73,1993,0
VMD.US,D,20200124,000000,5.69,5.6968,5.47,5.5,8172,0
VMD.US,D,20200127,000000,5.3,5.4371,5.3,5.38,19221,0
VMD.US,D,20200128,000000,5.61,5.7,5.4191,5.69,16435,0
VMD.US,D,20200129,000000,5.83,5.83,5.57,5.58,17126,0
VMD.US,D,20200130,000000,5.58,5.589,5.43,5.46,15859,0
VMD.US,D,20200131,000000,5.41,5.41,5.23,5.25,12804,0
VMD.US,D,20200203,000000,5.75,5.75,5.04,5.12,77694,0
VMD.US,D,20200204,000000,5.2,5.51,5.2,5.44,47549,0
VMD.US,D,20200205,000000,5.54,5.67,5.51,5.515,21053,0
VMD.US,D,20200206,000000,5.5355,5.54,5.4272,5.44,6122,0
VMD.US,D,20200207,000000,5.31,5.65,5.25,5.56,12640,0
VMD.US,D,20200210,000000,5.78,5.78,5.4199,5.4199,8554,0
VMD.US,D,20200211,000000,5.44,5.73,5.44,5.73,6360,0
VMD.US,D,20200212,000000,5.8264,5.8264,5.62,5.72,24858,0
VMD.US,D,20200213,000000,5.6112,5.67,5.6097,5.61,19634,0
VMD.US,D,20200214,000000,5.5827,5.62,5.55,5.62,21373,0
VMD.US,D,20200218,000000,5.567,5.72,5.5,5.5,29438,0
VMD.US,D,20200219,000000,5.48,5.73,5.48,5.73,11379,0
VMD.US,D,20200220,000000,5.72,5.73,5.62,5.73,54000,0
VMD.US,D,20200221,000000,5.73,5.73,5.58,5.59,74646,0
VMD.US,D,20200224,000000,5.37,5.41,5.15,5.18,21042,0
VMD.US,D,20200225,000000,5.18,5.18,4.75,4.98,59648,0
VMD.US,D,20200226,000000,4.95,4.9555,4.6669,4.81,18137,0
VMD.US,D,20200227,000000,4.75,5.02,4.28,5,65861,0
VMD.US,D,20200228,000000,4.57,5,4.44,5,67279,0
VMD.US,D,20200302,000000,5.38,5.38,4.8,4.8,42975,0
VMD.US,D,20200303,000000,5.1279,5.1279,3.9401,4,281071,0
VMD.US,D,20200304,000000,4,4.4,4,4.21,27360,0
VMD.US,D,20200305,000000,4.14,4.14,4.01,4.06,30749,0
VMD.US,D,20200306,000000,4,4.02,3.88,3.94,86844,0
VMD.US,D,20200309,000000,3.6,3.75,3.3362,3.51,131533,0
VMD.US,D,20200310,000000,3.55,3.71,3.4994,3.65,71961,0
VMD.US,D,20200311,000000,3.54,3.56,2.99,3.09,114409,0
VMD.US,D,20200312,000000,2.89,3,2.67,2.84,361147,0
VMD.US,D,20200313,000000,2.9,3.23,2.69,2.9,107387,0
VMD.US,D,20200316,000000,2.76,2.8,2.44,2.72,116353,0
VMD.US,D,20200317,000000,2.91,3.55,2.79,3.22,508841,0
VMD.US,D,20200318,000000,3.16,3.67,2.83,3.2,715827,0
VMD.US,D,20200319,000000,3.4,3.85,3.15,3.71,423685,0
VMD.US,D,20200320,000000,4.02,5,3.95,4.67,1140780,0
VMD.US,D,20200323,000000,5.25,5.31,3.78,4.04,503322,0
VMD.US,D,20200324,000000,4.2,4.29,3.52,4.05,307888,0
VMD.US,D,20200325,000000,4.1,4.67,3.85,4.13,447606,0
VMD.US,D,20200326,000000,4.45,4.45,4.02,4.23,194080,0
VMD.US,D,20200327,000000,4.11,4.31,3.8393,4.21,421270,0
VMD.US,D,20200330,000000,4.33,4.63,4.23,4.57,406781,0
VMD.US,D,20200331,000000,4.56,4.925,4.56,4.76,226922,0
VMD.US,D,20200401,000000,4.69,4.73,4.36,4.47,112933,0
VMD.US,D,20200402,000000,4.55,4.71,4.34,4.6,133225,0
VMD.US,D,20200403,000000,4.65,4.73,4.24,4.26,122805,0
VMD.US,D,20200406,000000,4.26,4.42,3.98,4.4,239275,0
VMD.US,D,20200407,000000,5,5.49,5,5.2,408085,0
VMD.US,D,20200408,000000,5.02,5.23,4.75,5.06,146111,0
VMD.US,D,20200409,000000,5.1,5.38,5.05,5.29,400317,0
VMD.US,D,20200413,000000,5.81,6.14,5.74,6.1,647642,0
VMD.US,D,20200414,000000,6.2,6.5,6.12,6.17,348629,0
VMD.US,D,20200415,000000,6.11,6.25,5.9,6.15,198573,0
VMD.US,D,20200416,000000,6.31,6.4,6.11,6.25,461301,0
VMD.US,D,20200417,000000,6.5,6.71,6.28,6.65,190460,0
VMD.US,D,20200420,000000,6.6,6.97,6.37,6.74,251048,0
VMD.US,D,20200421,000000,6.7,6.7,6.12,6.51,286922,0
VMD.US,D,20200422,000000,6.59,6.7,6.35,6.45,85656,0
VMD.US,D,20200423,000000,6.52,6.57,6.26,6.43,314293,0
VMD.US,D,20200424,000000,6.53,6.74,6.38,6.65,155478,0
VMD.US,D,20200427,000000,6.78,7.1,6.56,7.05,256592,0
VMD.US,D,20200428,000000,7.07,7.2,6.69,6.8,177108,0
VMD.US,D,20200429,000000,6.9,6.9,6.53,6.6,233734,0
VMD.US,D,20200430,000000,6.56,6.62,6.4,6.49,157804,0
VMD.US,D,20200501,000000,6.31,6.69,6.13,6.61,267491,0
VMD.US,D,20200504,000000,6.58,6.58,6.17,6.31,197650,0
VMD.US,D,20200505,000000,6.95,7.24,6.29,6.8,646495,0
VMD.US,D,20200506,000000,6.8,7.04,6.6901,6.78,179348,0
VMD.US,D,20200507,000000,6.85,7.12,6.85,7.01,190773,0
VMD.US,D,20200508,000000,7.1,7.1,6.83,7.05,141091,0
VMD.US,D,20200511,000000,7.1,7.39,7.0052,7.22,222628,0
VMD.US,D,20200512,000000,7.24,7.33,6.99,7.02,243433,0
VMD.US,D,20200513,000000,7.14,7.16,6.76,6.95,312833,0
VMD.US,D,20200514,000000,6.88,7.18,6.43,7.09,196122,0
VMD.US,D,20200515,000000,7,7.86,6.97,7.75,1453001,0
VMD.US,D,20200518,000000,8.18,8.27,7.41,7.81,446568,0
VMD.US,D,20200519,000000,8.04,8.16,7.74,7.78,298049,0
VMD.US,D,20200520,000000,7.81,7.94,7.52,7.65,221259,0
VMD.US,D,20200521,000000,7.65,7.89,7.44,7.82,209447,0
VMD.US,D,20200522,000000,7.83,8.39,7.7,8.38,343345,0
VMD.US,D,20200526,000000,8.6,8.72,8.42,8.48,353555,0
VMD.US,D,20200527,000000,8.5,8.555,7.8002,8.03,494913,0
VMD.US,D,20200528,000000,8.17,8.38,7.95,8,178800,0
VMD.US,D,20200529,000000,8,8.41,7.9,8.33,208462,0
VMD.US,D,20200601,000000,8.44,8.84,8.262,8.77,249638,0
VMD.US,D,20200602,000000,8.8,8.87,8.35,8.42,321867,0
VMD.US,D,20200603,000000,8.4,8.85,8.35,8.82,285797,0
VMD.US,D,20200604,000000,8.73,9,8.53,8.63,236022,0
VMD.US,D,20200605,000000,8.74,8.86,8.36,8.63,359349,0
VMD.US,D,20200608,000000,8.65,9.16,8.5,9.16,449162,0
VMD.US,D,20200609,000000,9.06,9.59,8.85,9.54,555053,0
VMD.US,D,20200610,000000,9.6,9.69,9.24,9.48,377998,0
VMD.US,D,20200611,000000,9.09,9.3,8.65,8.79,489958,0
VMD.US,D,20200612,000000,9.08,9.44,8.95,9.3,410230,0
VMD.US,D,20200615,000000,9.3,9.6,9.15,9.57,407874,0
VMD.US,D,20200616,000000,9.86,10.54,9.519,10.5,878150,0
VMD.US,D,20200617,000000,10.56,10.75,10.18,10.48,901538,0
VMD.US,D,20200618,000000,10.43,11.22,10.43,11.21,1004131,0
VMD.US,D,20200619,000000,11.31,11.91,11.06,11.29,1432315,0
VMD.US,D,20200622,000000,11.51,11.93,11.445,11.68,1021076,0
VMD.US,D,20200623,000000,11.7,11.8539,10.33,10.81,1049767,0
VMD.US,D,20200624,000000,10.79,10.9,10.26,10.69,487514,0
VMD.US,D,20200625,000000,10.7,10.84,10.58,10.75,472123,0
VMD.US,D,20200626,000000,10.65,10.65,9.82,10.26,5235336,0
VMD.US,D,20200629,000000,10.21,10.64,10.11,10.22,512907,0
VMD.US,D,20200630,000000,10.1779,10.47,9.52,9.6,544494,0
VMD.US,D,20200701,000000,9.58,9.6,8.96,8.98,408578,0
VMD.US,D,20200702,000000,9.3,9.57,8.98,9.44,678521,0
VMD.US,D,20200706,000000,10.11,10.2,9.32,9.85,779985,0
VMD.US,D,20200707,000000,9.79,10.33,9.65,10.21,419358,0
