<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADX.US,D,20050225,000000,3.84856,3.88303,3.84856,3.87562,187351.00741875,0
ADX.US,D,20050228,000000,3.86757,3.88303,3.83684,3.86401,209953.59287268,0
ADX.US,D,20050301,000000,3.87562,3.92161,3.8717,3.92161,277769.88979204,0
ADX.US,D,20050302,000000,3.89857,3.92958,3.87937,3.90625,232559.38103571,0
ADX.US,D,20050303,000000,3.8908,3.91759,3.8908,3.90222,117714.50417977,0
ADX.US,D,20050304,000000,3.91029,3.92958,3.90222,3.92565,223992.13428206,0
ADX.US,D,20050307,000000,3.92161,3.95234,3.91759,3.93698,225279.62332691,0
ADX.US,D,20050308,000000,3.94101,3.95628,3.93698,3.94878,313628.48807339,0
ADX.US,D,20050309,000000,3.92565,3.94878,3.92565,3.92565,183190.688341,0
ADX.US,D,20050310,000000,3.91759,3.93698,3.89857,3.91029,179295.1265461,0
ADX.US,D,20050311,000000,3.90625,3.92161,3.8908,3.89857,192538.32853724,0
ADX.US,D,20050314,000000,3.89857,3.89857,3.8717,3.88686,223992.13428206,0
ADX.US,D,20050315,000000,3.89465,3.91029,3.88303,3.88303,156165.16166583,0
ADX.US,D,20050316,000000,3.87937,3.87937,3.82542,3.84856,176170.35006662,0
ADX.US,D,20050317,000000,3.85998,3.86401,3.82542,3.85605,138237.46387969,0
ADX.US,D,20050318,000000,3.85249,3.86757,3.82935,3.833,247365.50505142,0
ADX.US,D,20050321,000000,3.833,3.84462,3.7946,3.81005,201379.94070092,0
ADX.US,D,20050322,000000,3.81005,3.84097,3.77933,3.78327,162141.41678444,0
ADX.US,D,20050323,000000,3.78327,3.7946,3.76369,3.76743,193838.62841834,0
ADX.US,D,20050324,000000,3.79066,3.8139,3.78327,3.81005,246072.67815812,0
ADX.US,D,20050328,000000,3.81005,3.81005,3.78327,3.7946,310256.03542606,0
ADX.US,D,20050329,000000,3.78682,3.80228,3.77147,3.77147,179554.54598052,0
ADX.US,D,20050330,000000,3.78327,3.82139,3.77933,3.81005,110687.76048726,0
ADX.US,D,20050331,000000,3.8139,3.833,3.79854,3.8139,102118.37859424,0
ADX.US,D,20050401,000000,3.833,3.84856,3.7176,3.78327,211250.69004474,0
ADX.US,D,20050404,000000,3.7946,3.81005,3.76369,3.79854,173831.30487818,0
ADX.US,D,20050405,000000,3.7946,3.833,3.7946,3.81005,129399.05442507,0
ADX.US,D,20050406,000000,3.82139,3.84856,3.82139,3.82139,73793.619607651,0
ADX.US,D,20050407,000000,3.81005,3.84462,3.81005,3.833,123168.7177205,0
ADX.US,D,20050408,000000,3.84856,3.84856,3.81005,3.81005,157204.97454285,0
ADX.US,D,20050411,000000,3.8139,3.82139,3.7946,3.79854,191242.29893487,0
ADX.US,D,20050412,000000,3.7946,3.83684,3.77147,3.82542,95621.149467439,0
ADX.US,D,20050413,000000,3.82935,3.833,3.78327,3.80228,157724.88098135,0
ADX.US,D,20050414,000000,3.79066,3.79854,3.77147,3.78327,139533.49348204,0
ADX.US,D,20050415,000000,3.76369,3.77147,3.71377,3.72172,319602.60805261,0
ADX.US,D,20050418,000000,3.70608,3.73681,3.70608,3.72172,135632.59383871,0
ADX.US,D,20050419,000000,3.73296,3.75226,3.73296,3.73681,83668.63923022,0
ADX.US,D,20050420,000000,3.76369,3.76369,3.70608,3.70983,239319.23230598,0
ADX.US,D,20050421,000000,3.7176,3.7562,3.71377,3.75226,346893.95958033,0
ADX.US,D,20050422,000000,3.75226,3.75226,3.70608,3.73296,122646.67614261,0
ADX.US,D,20050425,000000,3.73296,3.77147,3.73296,3.75226,164222.11010816,0
ADX.US,D,20050426,000000,3.74065,3.7562,3.73296,3.73296,262705.41391161,0
ADX.US,D,20050427,000000,3.7176,3.74832,3.69456,3.73296,176691.32407481,0
ADX.US,D,20050428,000000,3.72547,3.72547,3.69456,3.70608,152265.32959219,0
ADX.US,D,20050429,000000,3.70983,3.72913,3.69456,3.72913,220873.76322072,0
ADX.US,D,20050502,000000,3.73681,3.74832,3.73296,3.74476,131739.16718319,0
ADX.US,D,20050503,000000,3.73296,3.75985,3.73296,3.74065,181891.45602957,0
ADX.US,D,20050504,000000,3.74832,3.78327,3.74832,3.78327,88866.636045602,0
ADX.US,D,20050505,000000,3.78682,3.7946,3.76743,3.77539,136153.5678469,0
ADX.US,D,20050506,000000,3.79066,3.81005,3.78682,3.78682,110952.51777011,0
ADX.US,D,20050509,000000,3.77539,3.80594,3.77539,3.80594,86526.523287476,0
ADX.US,D,20050510,000000,3.7946,3.7946,3.7562,3.76369,126283.88607278,0
ADX.US,D,20050511,000000,3.77147,3.79066,3.74832,3.78327,99255.156688544,0
ADX.US,D,20050512,000000,3.78327,3.7946,3.74832,3.7562,73539.538021687,0
ADX.US,D,20050513,000000,3.74476,3.76369,3.69822,3.7176,552421.40852273,0
ADX.US,D,20050516,000000,3.73296,3.77539,3.72913,3.77147,147855.19920722,0
ADX.US,D,20050517,000000,3.75226,3.77147,3.73681,3.76743,96918.246639484,0
ADX.US,D,20050518,000000,3.77933,3.81005,3.77933,3.79854,213851.28980695,0
ADX.US,D,20050519,000000,3.81005,3.81005,3.7946,3.81005,123168.7177205,0
ADX.US,D,20050520,000000,3.79854,3.80228,3.78682,3.79854,189166.9434596,0
ADX.US,D,20050523,000000,3.80228,3.82139,3.80228,3.82139,225546.51574914,0
ADX.US,D,20050524,000000,3.80594,3.82139,3.79854,3.82139,173318.8714275,0
ADX.US,D,20050525,000000,3.81005,3.81773,3.78682,3.81005,174611.69832078,0
ADX.US,D,20050526,000000,3.82139,3.82542,3.81005,3.82139,186050.70753763,0
ADX.US,D,20050527,000000,3.81773,3.83684,3.81773,3.833,122387.2567082,0
ADX.US,D,20050531,000000,3.82139,3.84097,3.81005,3.81005,125503.49263017,0
ADX.US,D,20050601,000000,3.8139,3.87937,3.81005,3.85249,301940.73511902,0
ADX.US,D,20050602,000000,3.85998,3.86757,3.833,3.86757,130184.78571612,0
ADX.US,D,20050603,000000,3.84856,3.8717,3.82139,3.833,75872.177791992,0
ADX.US,D,20050606,000000,3.833,3.84462,3.81005,3.82139,113289.42781916,0
ADX.US,D,20050607,000000,3.833,3.85998,3.82935,3.833,222168.72525337,0
ADX.US,D,20050608,000000,3.84097,3.84462,3.81005,3.82935,172796.8298496,0
ADX.US,D,20050609,000000,3.82935,3.84856,3.81005,3.833,164999.30084169,0
ADX.US,D,20050610,000000,3.833,3.84856,3.82139,3.833,162921.81022704,0
ADX.US,D,20050613,000000,3.8139,3.85998,3.81005,3.84462,188121.79273414,0
ADX.US,D,20050614,000000,3.84856,3.85998,3.82542,3.85249,158504.20685426,0
ADX.US,D,20050615,000000,3.85605,3.85605,3.833,3.85249,178248.90825095,0
ADX.US,D,20050616,000000,3.85249,3.87937,3.85249,3.86757,128625.0664006,0
ADX.US,D,20050617,000000,3.87562,3.89857,3.87562,3.88686,149663.66226027,0
ADX.US,D,20050620,000000,3.86401,3.88686,3.84856,3.87562,361178.04201817,0
ADX.US,D,20050621,000000,3.87562,3.89465,3.8717,3.87562,194619.02186095,0
ADX.US,D,20050622,000000,3.88686,3.89465,3.87937,3.88686,95621.149467439,0
ADX.US,D,20050623,000000,3.88686,3.88686,3.85249,3.85249,184750.40765652,0
ADX.US,D,20050624,000000,3.85249,3.85249,3.8139,3.82542,159292.07328469,0
ADX.US,D,20050627,000000,3.82139,3.82139,3.81005,3.8139,153310.48031764,0
ADX.US,D,20050628,000000,3.833,3.84856,3.82935,3.84856,109652.21788899,0
ADX.US,D,20050629,000000,3.85249,3.85249,3.82139,3.833,170457.78466117,0
ADX.US,D,20050630,000000,3.85249,3.85249,3.81005,3.8139,210730.78360623,0
ADX.US,D,20050701,000000,3.82139,3.833,3.81773,3.81773,169938.94579235,0
ADX.US,D,20050705,000000,3.82139,3.84856,3.82139,3.84856,273615.97613243,0
ADX.US,D,20050706,000000,3.84856,3.85249,3.82542,3.83684,161883.06491972,0
ADX.US,D,20050707,000000,3.81005,3.833,3.80594,3.833,224512.04072058,0
ADX.US,D,20050708,000000,3.83684,3.86401,3.82542,3.85605,265554.75741135,0
ADX.US,D,20050711,000000,3.85605,3.89465,3.85605,3.87562,240615.26190833,0
ADX.US,D,20050712,000000,3.8717,3.91029,3.8717,3.90222,147332.09005965,0
ADX.US,D,20050713,000000,3.90625,3.91759,3.89857,3.91376,168119.80704242,0
ADX.US,D,20050714,000000,3.92565,3.93698,3.91376,3.92565,262186.57504279,0
ADX.US,D,20050715,000000,3.91759,3.92565,3.91029,3.91759,82896.786345127,0
ADX.US,D,20050718,000000,3.91759,3.92161,3.89857,3.89857,130960.90887996,0
ADX.US,D,20050719,000000,3.91029,3.92958,3.90625,3.92161,163442.78423524,0
ADX.US,D,20050720,000000,3.91029,3.93698,3.90222,3.92958,136153.5678469,0
ADX.US,D,20050721,000000,3.92958,3.93295,3.85998,3.91029,279850.58311576,0
ADX.US,D,20050722,000000,3.91029,3.91759,3.89857,3.91376,121608.99840497,0
ADX.US,D,20050725,000000,3.91029,3.92958,3.91029,3.91759,160579.56232953,0
ADX.US,D,20050726,000000,3.91759,3.93295,3.91029,3.91029,118746.84406896,0
ADX.US,D,20050727,000000,3.91376,3.94878,3.91376,3.92958,263998.24080489,0
ADX.US,D,20050728,000000,3.93698,3.95234,3.92958,3.95234,188121.79273414,0
ADX.US,D,20050729,000000,3.95628,3.95628,3.92958,3.93698,168119.80704242,0
ADX.US,D,20050801,000000,3.94878,3.95234,3.92565,3.93295,182669.7143328,0
ADX.US,D,20050802,000000,3.93295,3.96405,3.93295,3.95234,194100.18299213,0
ADX.US,D,20050803,000000,3.93295,3.97548,3.93295,3.95628,194359.60242654,0
ADX.US,D,20050804,000000,3.95234,3.95234,3.92958,3.92958,173831.30487818,0
ADX.US,D,20050805,000000,3.93295,3.93295,3.90222,3.92161,112510.10194625,0
ADX.US,D,20050808,000000,3.92958,3.93295,3.90625,3.91029,165518.13971051,0
ADX.US,D,20050809,000000,3.91029,3.93698,3.91029,3.93295,117965.38305667,0
ADX.US,D,20050810,000000,3.93295,3.96405,3.91376,3.91759,219306.57091737,0
ADX.US,D,20050811,000000,3.91759,3.94456,3.91376,3.93698,217486.36459775,0
ADX.US,D,20050812,000000,3.91029,3.92565,3.89857,3.91376,252305.15000208,0
ADX.US,D,20050815,000000,3.91029,3.94101,3.90625,3.94101,339618.4721503,0
ADX.US,D,20050816,000000,3.91759,3.93295,3.8908,3.89465,212030.01591765,0
ADX.US,D,20050817,000000,3.89465,3.92161,3.88686,3.91759,311027.88831116,0
ADX.US,D,20050818,000000,3.89857,3.90625,3.88303,3.89857,189687.9174678,0
ADX.US,D,20050819,000000,3.91029,3.91759,3.89857,3.91029,66517.064607931,0
ADX.US,D,20050822,000000,3.88686,3.92161,3.88686,3.89857,255679.73778878,0
ADX.US,D,20050823,000000,3.89465,3.90625,3.88686,3.89857,195137.86072977,0
ADX.US,D,20050824,000000,3.88686,3.90625,3.88303,3.88686,175396.36204214,0
ADX.US,D,20050825,000000,3.88686,3.89857,3.87562,3.87937,100043.02311897,0
ADX.US,D,20050826,000000,3.88303,3.8908,3.8717,3.88303,133297.81892903,0
ADX.US,D,20050829,000000,3.8717,3.88686,3.83684,3.87937,240092.15276077,0
ADX.US,D,20050830,000000,3.87937,3.87937,3.80594,3.85998,362742.03161244,0
ADX.US,D,20050831,000000,3.85998,3.88686,3.84097,3.88686,166302.80343187,0
ADX.US,D,20050901,000000,3.8908,3.92565,3.88303,3.92161,343251.41180172,0
ADX.US,D,20050902,000000,3.91029,3.92958,3.89857,3.89857,208653.29299158,0
ADX.US,D,20050906,000000,3.91376,3.95628,3.91376,3.93698,160057.52075165,0
ADX.US,D,20050907,000000,3.93698,3.95234,3.92565,3.94878,159019.84301402,0
ADX.US,D,20050908,000000,3.94456,3.95234,3.92161,3.92565,118746.84406896,0
ADX.US,D,20050909,000000,3.92958,3.9602,3.92958,3.95234,221648.81881487,0
ADX.US,D,20050912,000000,3.93698,3.96808,3.93698,3.94456,195922.52445112,0
ADX.US,D,20050913,000000,3.91759,3.93698,3.90222,3.91376,243213.72653119,0
ADX.US,D,20050914,000000,3.92161,3.92958,3.90625,3.91029,152786.30360037,0
ADX.US,D,20050915,000000,3.91029,3.92565,3.89857,3.91029,132776.84492084,0
ADX.US,D,20050916,000000,3.91029,3.93698,3.91029,3.92565,231007.13470801,0
ADX.US,D,20050919,000000,3.92565,3.92565,3.89857,3.89857,164739.88140728,0
ADX.US,D,20050920,000000,3.90222,3.92161,3.86757,3.8717,187604.02143501,0
ADX.US,D,20050921,000000,3.8717,3.8717,3.85605,3.85998,258278.20241163,0
ADX.US,D,20050922,000000,3.85249,3.87562,3.833,3.8717,244248.20155976,0
ADX.US,D,20050923,000000,3.8717,3.88686,3.85998,3.85998,196179.80874616,0
ADX.US,D,20050926,000000,3.87562,3.89857,3.833,3.85998,202415.48329918,0
