<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEL.US,D,20050225,000000,9.69807,9.74205,9.62511,9.72406,374111.95274992,0
AEL.US,D,20050228,000000,9.80502,9.849,9.74905,9.79702,248814.33375269,0
AEL.US,D,20050301,000000,9.80502,10.0199,9.77803,9.98393,289465.97434132,0
AEL.US,D,20050302,000000,9.98393,10.0299,9.90397,9.90397,339361.30835119,0
AEL.US,D,20050303,000000,9.95794,9.95794,9.81501,9.83101,107477.57099142,0
AEL.US,D,20050304,000000,9.87598,9.96594,9.83101,9.92196,205933.56133783,0
AEL.US,D,20050307,000000,9.96594,10.1009,9.91296,10.0389,304277.49478812,0
AEL.US,D,20050308,000000,10.0829,10.0829,9.92196,9.93096,144231.23240816,0
AEL.US,D,20050309,000000,9.88498,10.1189,9.849,10.1099,508428.15086817,0
AEL.US,D,20050310,000000,10.1009,10.5676,10.1009,10.5676,832533.71322011,0
AEL.US,D,20050311,000000,10.5576,10.8715,10.5486,10.8475,509877.88696162,0
AEL.US,D,20050314,000000,10.8635,10.8905,10.6846,10.7305,367983.8412438,0
AEL.US,D,20050315,000000,10.7555,11.1513,10.7555,10.9904,649878.97154155,0
AEL.US,D,20050316,000000,10.9274,10.9904,10.8295,10.8815,446505.71017828,0
AEL.US,D,20050317,000000,10.8985,11.0164,10.8195,11.0164,188891.9085568,0
AEL.US,D,20050318,000000,11.0164,11.2773,10.9085,11.2603,919518.87933505,0
AEL.US,D,20050321,000000,11.2603,11.2853,11.0634,11.1423,735077.2303667,0
AEL.US,D,20050322,000000,11.2683,11.2683,10.8635,10.9634,375224.51764703,0
AEL.US,D,20050323,000000,11.0164,11.0804,10.7216,10.7735,632391.09219207,0
AEL.US,D,20050324,000000,10.7815,10.9454,10.7815,10.8815,126857.41097079,0
AEL.US,D,20050328,000000,10.8905,10.9185,10.7216,10.8295,172966.82270488,0
AEL.US,D,20050329,000000,10.8395,11.0714,10.8005,11.0344,1760737.0020038,0
AEL.US,D,20050330,000000,11.0344,11.0974,11.0164,11.0434,212504.8978884,0
AEL.US,D,20050331,000000,11.0434,11.6011,10.9085,11.4842,847346.23417492,0
AEL.US,D,20050401,000000,11.4842,11.4842,10.9085,10.9085,789429.82752103,0
AEL.US,D,20050404,000000,10.9185,11.2683,10.9085,11.1863,400173.18515997,0
AEL.US,D,20050405,000000,11.2413,11.3123,11.0344,11.1154,123626.77063556,0
AEL.US,D,20050406,000000,11.1423,11.2233,11.0634,11.1713,215288.31114718,0
AEL.US,D,20050407,000000,11.1713,11.4032,11.1323,11.2233,587729.41553543,0
AEL.US,D,20050408,000000,11.2333,11.2333,11.0074,11.1054,198026.54660593,0
AEL.US,D,20050411,000000,11.1233,11.1233,10.8565,10.9454,959280.06780279,0
AEL.US,D,20050412,000000,10.9185,10.9634,10.7735,10.9454,349385.39801321,0
AEL.US,D,20050413,000000,10.9454,11.0434,10.8905,10.9544,419884.19328767,0
AEL.US,D,20050414,000000,10.9364,11.1713,10.8475,10.8475,809254.89356084,0
AEL.US,D,20050415,000000,10.8475,10.9994,10.5956,10.6846,731961.64845159,0
AEL.US,D,20050418,000000,10.6846,10.7216,10.5396,10.6206,144785.51384071,0
AEL.US,D,20050419,000000,10.6476,10.9185,10.5956,10.8005,249815.84226169,0
AEL.US,D,20050420,000000,10.8635,11.2683,10.8195,10.9544,663463.86917913,0
AEL.US,D,20050421,000000,11.0434,11.3672,11.0244,11.3672,3250721.5313171,0
AEL.US,D,20050422,000000,11.3582,11.3582,10.7815,10.9364,340921.10032475,0
AEL.US,D,20050425,000000,10.9994,11.0344,10.7915,10.8565,171294.97383521,0
AEL.US,D,20050426,000000,10.8195,11.0634,10.8195,10.8395,257500.74421737,0
AEL.US,D,20050427,000000,10.8395,10.8395,10.6666,10.7735,425454.02132924,0
AEL.US,D,20050428,000000,10.7735,10.7915,10.6056,10.6566,153142.75717307,0
AEL.US,D,20050429,000000,10.6666,10.8195,10.6386,10.7216,239790.75209167,0
AEL.US,D,20050502,000000,10.7475,10.7555,10.5866,10.5956,172856.76682477,0
AEL.US,D,20050503,000000,10.6056,10.7216,10.3707,10.3887,568349.57555606,0
AEL.US,D,20050504,000000,10.3887,10.7395,10.3887,10.7116,179427.10286734,0
AEL.US,D,20050505,000000,10.7645,10.7645,10.4787,10.5137,122958.4312909,0
AEL.US,D,20050506,000000,10.5576,10.7305,10.4147,10.5316,170180.40792209,0
AEL.US,D,20050509,000000,10.5866,10.6386,10.3887,10.5067,508653.2651684,0
AEL.US,D,20050510,000000,10.4327,10.5396,10.2808,10.2988,225982.74116987,0
