<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGIH.US,D,20220627,000000,25.1423,25.1423,25.1423,25.1423,3.0059725263,0
AGIH.US,D,20220628,000000,25.0801,25.0801,25.0801,25.0801,23.0457893683,0
AGIH.US,D,20220629,000000,25.0601,25.0601,25.0601,25.0601,3.0059725263,0
AGIH.US,D,20220630,000000,25.1167,25.1167,25.1167,25.1167,3.0059725263,0
AGIH.US,D,20220701,000000,25.4194,25.4194,25.3346,25.3346,3096.151702089,0
AGIH.US,D,20220705,000000,25.3196,25.3196,25.3196,25.3196,1.0019908421,0
AGIH.US,D,20220706,000000,25.12,25.12,25.12,25.12,1.0019908421,0
AGIH.US,D,20220707,000000,25.095,25.095,25.095,25.095,3.0059725263,0
AGIH.US,D,20220708,000000,25.07,25.07,25.07,25.07,1.0019908421,0
AGIH.US,D,20220711,000000,25.125,25.125,25.125,25.125,1.0019908421,0
AGIH.US,D,20220712,000000,25.125,25.125,25.125,25.125,1.0019908421,0
AGIH.US,D,20220713,000000,25.2298,25.2298,25.2298,25.2298,1.0019908421,0
AGIH.US,D,20220714,000000,25.1549,25.1549,25.1549,25.1549,42.0836153682,0
AGIH.US,D,20220715,000000,25.3196,25.3196,25.3196,25.3196,1.0019908421,0
AGIH.US,D,20220718,000000,25.3346,25.3346,25.3346,25.3346,5.0099542105,0
AGIH.US,D,20220719,000000,25.3396,25.3396,25.3396,25.3396,10.019908421,0
AGIH.US,D,20220720,000000,25.3146,25.3146,25.3146,25.3146,10.019908421,0
AGIH.US,D,20220721,000000,25.4244,25.4244,25.4244,25.4244,1.0019908421,0
AGIH.US,D,20220722,000000,25.568,25.568,25.568,25.568,1.0019908421,0
AGIH.US,D,20220725,000000,25.5392,25.5392,25.5392,25.5392,23.0457893683,0
AGIH.US,D,20220726,000000,25.5773,25.5773,25.5773,25.5773,2.0039816842,0
AGIH.US,D,20220727,000000,25.7338,25.7338,25.7338,25.7338,2.0039816842,0
AGIH.US,D,20220728,000000,26.0181,26.0181,25.9674,25.9883,400.79633684,0
AGIH.US,D,20220729,000000,26.1579,26.1579,26.1381,26.1381,153.3045988413,0
AGIH.US,D,20220801,000000,26.118,26.118,26.118,26.118,281.5594266301,0
AGIH.US,D,20220802,000000,25.7587,25.7587,25.7587,25.7587,5.0099542105,0
AGIH.US,D,20220803,000000,25.8785,25.8915,25.8785,25.8915,129.2568186309,0
AGIH.US,D,20220804,000000,25.8835,25.8835,25.8835,25.8835,50.099542105,0
AGIH.US,D,20220805,000000,25.634,25.634,25.634,25.634,2.0039816842,0
AGIH.US,D,20220808,000000,25.7737,25.7737,25.7737,25.7737,101.2010750521,0
AGIH.US,D,20220809,000000,25.7238,25.7238,25.7238,25.7238,11.0218992631,0
AGIH.US,D,20220810,000000,25.7606,25.7606,25.7288,25.7288,308.6131793668,0
AGIH.US,D,20220811,000000,25.639,25.639,25.639,25.639,1.0019908421,0
AGIH.US,D,20220812,000000,25.609,25.6788,25.5891,25.6578,315.6271152615,0
AGIH.US,D,20220815,000000,25.6889,25.8086,25.6889,25.7737,215.4280310515,0
AGIH.US,D,20220816,000000,25.7288,25.7288,25.7088,25.7088,201.4001592621,0
AGIH.US,D,20220817,000000,25.619,25.619,25.5841,25.5841,201.4001592621,0
AGIH.US,D,20220818,000000,25.7288,25.7288,25.7288,25.7288,56.1114871576,0
AGIH.US,D,20220819,000000,25.624,25.624,25.624,25.624,56.1114871576,0
AGIH.US,D,20220822,000000,25.5478,25.5641,25.5478,25.5641,102.2030658942,0
AGIH.US,D,20220823,000000,25.629,25.629,25.629,25.629,1.0019908421,0
AGIH.US,D,20220824,000000,25.624,25.624,25.624,25.624,1.0019908421,0
AGIH.US,D,20220825,000000,25.7188,25.7188,25.7188,25.7188,1.0019908421,0
AGIH.US,D,20220826,000000,25.6539,25.6539,25.6539,25.6539,1.0019908421,0
AGIH.US,D,20220829,000000,25.5691,25.5691,25.5342,25.5342,112.2229743152,0
AGIH.US,D,20220830,000000,25.5342,25.5342,25.5342,25.5342,1.0019908421,0
AGIH.US,D,20220831,000000,25.2543,25.2543,25.2543,25.2543,2.0039816842,0
AGIH.US,D,20220901,000000,25.115,25.115,25.115,25.115,2.0039816842,0
AGIH.US,D,20220902,000000,25.2341,25.3,25.2341,25.26,200,0
AGIH.US,D,20220906,000000,25.055,25.055,25.055,25.055,2,0
AGIH.US,D,20220907,000000,25.16,25.16,25.16,25.16,2,0
AGIH.US,D,20220908,000000,25.0248,25.0248,25.0248,25.0248,7,0
AGIH.US,D,20220909,000000,25.02,25.02,25.02,25.02,2,0
AGIH.US,D,20220912,000000,24.95,24.95,24.95,24.95,7,0
AGIH.US,D,20220913,000000,25.2341,25.2341,24.905,24.905,1,0
AGIH.US,D,20220914,000000,25,25,25,25,1,0
AGIH.US,D,20220915,000000,24.855,24.855,24.855,24.855,2,0
AGIH.US,D,20220916,000000,24.745,24.745,24.745,24.745,1,0
AGIH.US,D,20220919,000000,24.66,24.66,24.66,24.66,46,0
AGIH.US,D,20220920,000000,24.61,24.61,24.61,24.61,46,0
AGIH.US,D,20220921,000000,24.65,24.65,24.65,24.65,8,0
AGIH.US,D,20220922,000000,24.42,24.42,24.42,24.42,46,0
AGIH.US,D,20220923,000000,24.275,24.275,24.275,24.275,46,0
AGIH.US,D,20220926,000000,23.9493,23.9493,23.89,23.89,300,0
AGIH.US,D,20220927,000000,23.845,23.845,23.845,23.845,46,0
AGIH.US,D,20220928,000000,24.21,24.21,24.21,24.21,3,0
AGIH.US,D,20220929,000000,23.855,23.855,23.855,23.855,46,0
AGIH.US,D,20220930,000000,23.725,23.725,23.725,23.725,46,0
AGIH.US,D,20221003,000000,24.0325,24.0325,24.0325,24.0325,1,0
AGIH.US,D,20221004,000000,24.09,24.09,24.09,24.09,1,0
AGIH.US,D,20221005,000000,23.92,23.92,23.92,23.92,46,0
AGIH.US,D,20221006,000000,23.875,23.875,23.875,23.875,101,0
AGIH.US,D,20221007,000000,23.84,23.84,23.84,23.84,46,0
AGIH.US,D,20221010,000000,23.765,23.765,23.765,23.765,2,0
AGIH.US,D,20221011,000000,23.8,23.8,23.8,23.8,2,0
AGIH.US,D,20221012,000000,23.77,23.77,23.77,23.77,7,0
AGIH.US,D,20221013,000000,23.755,23.755,23.755,23.755,1,0
AGIH.US,D,20221014,000000,23.73,23.73,23.73,23.73,2,0
AGIH.US,D,20221017,000000,23.85,23.85,23.85,23.85,5,0
AGIH.US,D,20221018,000000,23.77,23.77,23.77,23.77,1,0
AGIH.US,D,20221019,000000,23.6277,23.6277,23.6277,23.6277,1,0
AGIH.US,D,20221020,000000,23.595,23.595,23.595,23.595,20,0
AGIH.US,D,20221021,000000,23.7,23.7,23.7,23.7,1,0
AGIH.US,D,20221024,000000,23.7382,23.7382,23.7382,23.7382,1,0
AGIH.US,D,20221025,000000,23.825,23.825,23.825,23.825,1,0
AGIH.US,D,20221026,000000,23.82,23.82,23.82,23.82,11,0
AGIH.US,D,20221027,000000,24,24,24,24,1,0
AGIH.US,D,20221028,000000,23.995,23.995,23.995,23.995,1,0
AGIH.US,D,20221031,000000,23.9292,23.9292,23.9292,23.9292,1,0
AGIH.US,D,20221101,000000,24,24,24,24,11,0
AGIH.US,D,20221102,000000,23.92,23.92,23.92,23.92,11,0
AGIH.US,D,20221103,000000,23.69,23.69,23.69,23.69,11,0
AGIH.US,D,20221104,000000,23.775,23.775,23.775,23.775,11,0
AGIH.US,D,20221107,000000,23.795,23.795,23.795,23.795,1,0
AGIH.US,D,20221108,000000,23.825,23.825,23.825,23.825,1,0
AGIH.US,D,20221109,000000,23.7441,23.7441,23.7441,23.7441,8,0
AGIH.US,D,20221110,000000,24.15,24.15,24.15,24.15,1,0
AGIH.US,D,20221111,000000,24.165,24.165,24.165,24.165,1,0
AGIH.US,D,20221114,000000,24.02,24.02,24.02,24.02,1,0
AGIH.US,D,20221115,000000,24.185,24.185,24.185,24.185,1,0
AGIH.US,D,20221116,000000,24.1901,24.26,24.1901,24.26,120,0
AGIH.US,D,20221117,000000,24.1075,24.1075,24.1075,24.1075,1,0
AGIH.US,D,20221118,000000,24.045,24.045,24.045,24.045,1,0
AGIH.US,D,20221121,000000,24.12,24.12,24.12,24.12,1,0
AGIH.US,D,20221122,000000,24.26,24.26,24.26,24.26,1,0
AGIH.US,D,20221123,000000,24.37,24.37,24.37,24.37,1,0
AGIH.US,D,20221125,000000,24.385,24.385,24.385,24.385,1,0
AGIH.US,D,20221128,000000,24.31,24.31,24.31,24.31,1,0
AGIH.US,D,20221129,000000,24.21,24.21,24.21,24.21,1,0
AGIH.US,D,20221130,000000,24.5025,24.5025,24.5025,24.5025,10,0
AGIH.US,D,20221201,000000,24.7484,24.7484,24.7484,24.7484,1,0
AGIH.US,D,20221202,000000,24.8676,24.8676,24.8676,24.8676,1,0
AGIH.US,D,20221205,000000,24.65,24.65,24.65,24.65,4,0
AGIH.US,D,20221206,000000,24.605,24.605,24.605,24.605,85,0
AGIH.US,D,20221207,000000,24.72,24.72,24.72,24.72,84,0
AGIH.US,D,20221208,000000,24.7,24.7,24.7,24.7,6,0
AGIH.US,D,20221209,000000,24.545,24.545,24.545,24.545,7,0
AGIH.US,D,20221212,000000,24.56,24.56,24.56,24.56,6,0
AGIH.US,D,20221213,000000,24.645,24.645,24.645,24.645,1,0
AGIH.US,D,20221214,000000,24.64,24.64,24.64,24.64,1,0
AGIH.US,D,20221215,000000,24.635,24.635,24.635,24.635,7,0
AGIH.US,D,20221216,000000,24.51,24.51,24.51,24.51,7,0
AGIH.US,D,20221219,000000,24.4,24.4,24.4,24.4,7,0
AGIH.US,D,20221220,000000,24.38,24.38,24.38,24.38,7,0
AGIH.US,D,20221221,000000,24.485,24.485,24.485,24.485,7,0
AGIH.US,D,20221222,000000,24.37,24.37,24.37,24.37,110,0
AGIH.US,D,20221223,000000,24.25,24.25,24.25,24.25,7,0
AGIH.US,D,20221227,000000,24.22,24.22,24.175,24.175,121,0
AGIH.US,D,20221228,000000,24.17,24.17,24.17,24.17,25,0
AGIH.US,D,20221229,000000,24.2074,24.2074,24.2074,24.2074,25,0
AGIH.US,D,20221230,000000,24.135,24.135,24.135,24.135,1,0
AGIH.US,D,20230103,000000,24.185,24.185,24.185,24.185,10,0
AGIH.US,D,20230104,000000,24.22,24.22,24.22,24.22,1,0
AGIH.US,D,20230105,000000,24.205,24.205,24.205,24.205,1,0
AGIH.US,D,20230106,000000,24.44,24.44,24.44,24.44,1,0
AGIH.US,D,20230109,000000,24.485,24.485,24.485,24.485,1,0
AGIH.US,D,20230110,000000,24.395,24.395,24.395,24.395,1,0
AGIH.US,D,20230111,000000,24.515,24.515,24.515,24.515,20,0
AGIH.US,D,20230112,000000,24.7,24.7,24.7,24.7,1,0
AGIH.US,D,20230113,000000,24.56,24.56,24.56,24.56,1,0
AGIH.US,D,20230117,000000,24.495,24.495,24.495,24.495,1,0
AGIH.US,D,20230118,000000,24.715,24.715,24.715,24.715,3,0
AGIH.US,D,20230119,000000,24.6471,24.73,24.6471,24.73,1318,0
AGIH.US,D,20230120,000000,24.69,24.69,24.69,24.69,1,0
AGIH.US,D,20230123,000000,24.69,24.69,24.69,24.69,1,0
AGIH.US,D,20230124,000000,24.74,24.805,24.67,24.805,781,0
AGIH.US,D,20230125,000000,24.86,24.86,24.86,24.86,102,0
AGIH.US,D,20230126,000000,24.9121,24.9121,24.9121,24.9121,14,0
AGIH.US,D,20230127,000000,24.78,24.78,24.78,24.78,101,0
