<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIU.US,D,20180328,000000,275,278.25,251.5,270,242176,0
AIU.US,D,20180329,000000,271.25,276.25,268.75,268.75,50061,0
AIU.US,D,20180402,000000,269.25,272.5,261,269,23421,0
AIU.US,D,20180403,000000,269.25,273.75,267.5,272.75,15608,0
AIU.US,D,20180404,000000,267.5,272.75,255,258.75,41884,0
AIU.US,D,20180405,000000,260,265,255.25,257.5,29308,0
AIU.US,D,20180406,000000,255.75,272.5,255.75,266.5,18042,0
AIU.US,D,20180409,000000,266.75,273.75,264.5,273,9041,0
AIU.US,D,20180410,000000,270.5,275,270,273.25,3008,0
AIU.US,D,20180411,000000,273.5,274.75,267.75,273,7745,0
AIU.US,D,20180412,000000,274.25,275,264.75,270.75,11955,0
AIU.US,D,20180413,000000,267.75,273.52,267.75,268.75,9587,0
AIU.US,D,20180416,000000,270.5,272.5,268.5,269.75,5327,0
AIU.US,D,20180417,000000,270,272.75,264,267.75,13168,0
AIU.US,D,20180418,000000,266.5,270.88,266.5,267.5,4282,0
AIU.US,D,20180419,000000,270,272.75,268.12,268.75,9973,0
AIU.US,D,20180420,000000,270,271.47,267.5,268.25,7762,0
AIU.US,D,20180423,000000,270,271.5,265,267.5,3403,0
AIU.US,D,20180424,000000,270,271.47,262.5,266,23063,0
AIU.US,D,20180425,000000,267,269.75,262.5,265.5,25412,0
AIU.US,D,20180426,000000,266,268.37,263.25,266,20308,0
AIU.US,D,20180427,000000,264.5,276,258.88,275.25,20968,0
AIU.US,D,20180430,000000,273.25,296.5,214,245.25,80668,0
AIU.US,D,20180501,000000,250.25,282.5,248.75,272.75,10447,0
AIU.US,D,20180502,000000,269.25,274.75,269.25,273.75,8403,0
AIU.US,D,20180503,000000,276,283.75,267.5,270,6673,0
AIU.US,D,20180504,000000,268,274.5,268,270.5,1699,0
AIU.US,D,20180507,000000,274.75,277.5,270.75,273.75,8141,0
AIU.US,D,20180508,000000,272,276.25,271.25,273,5065,0
AIU.US,D,20180509,000000,270,275.5,270,273.75,4602,0
AIU.US,D,20180510,000000,273,273,265,271.25,6838,0
AIU.US,D,20180511,000000,270.5,270.5,262.75,265.75,3754,0
AIU.US,D,20180514,000000,266.75,267.5,258.25,259.75,6722,0
AIU.US,D,20180515,000000,259.25,268,257.25,263.5,3060,0
AIU.US,D,20180516,000000,263,273.75,263,267.75,4814,0
AIU.US,D,20180517,000000,265,268.25,261.5,262,4751,0
AIU.US,D,20180518,000000,261.5,271.25,261.5,268.75,5181,0
AIU.US,D,20180521,000000,270,279.25,269,276.25,14800,0
AIU.US,D,20180522,000000,278.75,308.43,276.75,301.25,27913,0
AIU.US,D,20180523,000000,306.5,367.25,306.5,336.75,38333,0
AIU.US,D,20180524,000000,341.5,351.75,332.71,336.75,19655,0
AIU.US,D,20180525,000000,334.5,340,322.75,334.5,14840,0
AIU.US,D,20180529,000000,333.5,349.25,325.25,341.5,11723,0
AIU.US,D,20180530,000000,341.75,385.25,337.5,380.5,57028,0
AIU.US,D,20180531,000000,380,394,365,370.25,26244,0
AIU.US,D,20180601,000000,375.5,395,371.28,394.5,18047,0
AIU.US,D,20180604,000000,389.5,400,367.75,376.75,24395,0
AIU.US,D,20180605,000000,376.75,378.69,350.99,352.25,22054,0
AIU.US,D,20180606,000000,352.5,370,352.5,354.75,9806,0
AIU.US,D,20180607,000000,353.75,358,337.5,344.25,12876,0
AIU.US,D,20180608,000000,342.5,361,340.75,357,18580,0
AIU.US,D,20180611,000000,356.5,356.5,347.47,348.5,11647,0
AIU.US,D,20180612,000000,350.25,375,350.25,359.75,21573,0
AIU.US,D,20180613,000000,365,367.5,343.75,353.75,16500,0
AIU.US,D,20180614,000000,350.5,358.5,337.5,343,16935,0
AIU.US,D,20180615,000000,341.75,345,332.75,338.25,19056,0
AIU.US,D,20180618,000000,338,344,321.5,325.75,7727,0
AIU.US,D,20180619,000000,322,325.25,300,313.75,22615,0
AIU.US,D,20180620,000000,316.75,328.75,315,321.5,10071,0
AIU.US,D,20180621,000000,320.5,320.5,306.75,315,9506,0
AIU.US,D,20180622,000000,317.5,319.25,305,308,12614,0
AIU.US,D,20180625,000000,301.5,302,285.75,292.25,28277,0
AIU.US,D,20180626,000000,293.25,297.12,283,289.75,9372,0
AIU.US,D,20180627,000000,289.5,289.5,266.75,274.5,19504,0
AIU.US,D,20180628,000000,275,280.5,263,278.75,27762,0
AIU.US,D,20180629,000000,271.75,283,252.5,277.5,20817,0
AIU.US,D,20180702,000000,274.75,305.25,266.5,304.5,12130,0
AIU.US,D,20180703,000000,305,309.5,292.25,301.25,7281,0
AIU.US,D,20180705,000000,301,306.74,289.5,299,14670,0
AIU.US,D,20180706,000000,298.5,298.5,289.25,295.75,11516,0
AIU.US,D,20180709,000000,298.5,302,292.75,296.75,10062,0
AIU.US,D,20180710,000000,297.5,297.5,287,288.75,5009,0
AIU.US,D,20180711,000000,287,290,283.26,285.75,5173,0
AIU.US,D,20180712,000000,287.25,307.75,283.25,299.25,6357,0
AIU.US,D,20180713,000000,300.25,301.75,291.75,296,2751,0
AIU.US,D,20180716,000000,297.5,298.75,290.25,293.25,4088,0
AIU.US,D,20180717,000000,293,301.75,286.75,287.5,4352,0
AIU.US,D,20180718,000000,286.75,296,280.25,286.75,7093,0
AIU.US,D,20180719,000000,284.5,284.5,275.25,281,9378,0
AIU.US,D,20180720,000000,281,288,279.25,281,8767,0
AIU.US,D,20180723,000000,281,285.25,275.25,282.25,5350,0
AIU.US,D,20180724,000000,283,293.25,259.5,277.5,25866,0
AIU.US,D,20180725,000000,275.5,283.32,263.25,272.5,11475,0
AIU.US,D,20180726,000000,270.5,272.5,255.25,264.75,19389,0
AIU.US,D,20180727,000000,264,271.75,264,267.5,4538,0
AIU.US,D,20180730,000000,267.5,267.5,252.25,252.25,13259,0
AIU.US,D,20180731,000000,265.75,275,241.25,247.5,15758,0
AIU.US,D,20180801,000000,250.25,253.5,237,253,8355,0
AIU.US,D,20180802,000000,250,260.75,248.5,260.5,5438,0
AIU.US,D,20180803,000000,263.25,263.25,258,258.5,3234,0
AIU.US,D,20180806,000000,260.25,265,250.5,264.75,4399,0
AIU.US,D,20180807,000000,265,266.75,256.25,264,4315,0
AIU.US,D,20180808,000000,266,269.5,260.5,268,2711,0
AIU.US,D,20180809,000000,268,274.5,264.5,265.5,7887,0
AIU.US,D,20180810,000000,266.25,266.5,257.5,259.25,5253,0
AIU.US,D,20180813,000000,250,265,245.27,263.5,9876,0
AIU.US,D,20180814,000000,268,268,237,243.75,11129,0
AIU.US,D,20180815,000000,240,241.5,214,227,22952,0
AIU.US,D,20180816,000000,227.5,233,217.5,223.75,11128,0
AIU.US,D,20180817,000000,221.75,236.75,215,224,19990,0
AIU.US,D,20180820,000000,225.5,242.5,225.5,238,5259,0
AIU.US,D,20180821,000000,231,235,216.5,222.5,18670,0
AIU.US,D,20180822,000000,222.75,226.5,212.5,221.5,16722,0
AIU.US,D,20180823,000000,219.75,226.75,217.5,223.25,5346,0
AIU.US,D,20180824,000000,223.81,225.5,218.75,218.75,5486,0
AIU.US,D,20180827,000000,223.25,231,221.75,224.75,12553,0
AIU.US,D,20180828,000000,224.5,224.75,207.5,208.5,6667,0
AIU.US,D,20180829,000000,206.5,213.5,205.5,212,3791,0
AIU.US,D,20180830,000000,210.5,212.75,206.25,206.5,10757,0
AIU.US,D,20180831,000000,206.52,208.75,198.25,208,6773,0
AIU.US,D,20180904,000000,209.75,210,201.4,204,3485,0
AIU.US,D,20180905,000000,203,209.5,188.25,202,14469,0
AIU.US,D,20180906,000000,198.5,205.25,194.5,200,6838,0
AIU.US,D,20180907,000000,198.5,205,194.25,202,2524,0
AIU.US,D,20180910,000000,203.25,204.25,197.5,198,1846,0
AIU.US,D,20180911,000000,197,199,190.25,197.75,1726,0
AIU.US,D,20180912,000000,198.5,213.5,190.75,211.25,5404,0
AIU.US,D,20180913,000000,211.75,248.25,205.6,237.25,12270,0
AIU.US,D,20180914,000000,237.5,240,214.25,217.75,5341,0
AIU.US,D,20180917,000000,216.5,219.25,210.25,216.25,4807,0
AIU.US,D,20180918,000000,213.5,218.5,209.5,214.5,4964,0
AIU.US,D,20180919,000000,211.17,217.5,211.17,214.25,1446,0
AIU.US,D,20180920,000000,217.5,227.5,217,225.25,7175,0
AIU.US,D,20180921,000000,226.5,228.75,222.25,224.25,8950,0
AIU.US,D,20180924,000000,226.12,228,223,224,4590,0
AIU.US,D,20180925,000000,224,225.5,219.5,222.5,1093,0
AIU.US,D,20180926,000000,226.25,228,217.75,223.5,5877,0
AIU.US,D,20180927,000000,221.75,225.5,221.5,222.75,1326,0
AIU.US,D,20180928,000000,222.75,224.12,221.25,223,1117,0
AIU.US,D,20181001,000000,224.75,227,217.5,220,4072,0
AIU.US,D,20181002,000000,217,222.5,205.75,222,13325,0
AIU.US,D,20181003,000000,222.75,223.75,210.5,212,1572,0
AIU.US,D,20181004,000000,211.25,216,207.5,212.25,1667,0
AIU.US,D,20181005,000000,215.25,217.25,204.5,214.5,5271,0
AIU.US,D,20181008,000000,214.25,244.5,210.5,244.5,7117,0
AIU.US,D,20181009,000000,242.5,242.5,215.5,217.5,6156,0
AIU.US,D,20181010,000000,216,221.12,207.5,211.5,9342,0
AIU.US,D,20181011,000000,206,211.12,190,207.75,7266,0
AIU.US,D,20181012,000000,211.5,220,206.75,212,1994,0
AIU.US,D,20181015,000000,212,217.49,204.75,215.5,1835,0
AIU.US,D,20181016,000000,213.75,224,212.75,221.5,2953,0
AIU.US,D,20181017,000000,221.5,231.75,221,223.75,3276,0
AIU.US,D,20181018,000000,221.25,221.25,201.75,203.25,2134,0
AIU.US,D,20181019,000000,204.75,210,195,195,732,0
AIU.US,D,20181022,000000,200,205,196.5,198.5,1195,0
AIU.US,D,20181023,000000,194.5,198.75,189.75,196,8387,0
AIU.US,D,20181024,000000,195.5,199.5,190.25,190.5,3161,0
AIU.US,D,20181025,000000,188.25,201,188.25,199.5,1031,0
AIU.US,D,20181026,000000,194.5,212.5,194.5,205,4564,0
AIU.US,D,20181029,000000,200.75,209.75,195.75,198.5,2064,0
AIU.US,D,20181030,000000,196.25,205.75,192,195,2297,0
AIU.US,D,20181031,000000,195.5,206.5,195.5,203.75,1338,0
AIU.US,D,20181101,000000,201.25,206.75,199.5,201.5,4444,0
