<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMC.US,D,20131218,000000,13.7876,14.2284,13.5907,13.5907,20897303.896091,0
AMC.US,D,20131219,000000,13.5907,14.0105,13.5207,14.0105,2233507.2612778,0
AMC.US,D,20131220,000000,14.1254,14.2154,13.9485,14.1504,1025913.9512684,0
AMC.US,D,20131223,000000,14.2284,14.3704,14.0175,14.1914,971067.40902913,0
AMC.US,D,20131224,000000,14.1914,14.2504,14.0175,14.0425,297182.7253413,0
AMC.US,D,20131226,000000,14.0565,14.3074,13.9095,14.2204,579279.52533892,0
AMC.US,D,20131227,000000,14.3294,14.8022,14.0425,14.4773,1054644.2357475,0
AMC.US,D,20131230,000000,14.4503,14.4773,14.2504,14.3644,343325.84911301,0
AMC.US,D,20131231,000000,14.3494,14.8991,14.3494,14.7752,436623.49390594,0
AMC.US,D,20140102,000000,14.8252,15.0531,14.3494,14.5093,592279.63142918,0
AMC.US,D,20140103,000000,14.4503,14.5803,14.2204,14.3943,416990.78270768,0
AMC.US,D,20140106,000000,14.4163,14.4503,14.2444,14.3883,708981.46875629,0
AMC.US,D,20140107,000000,14.4093,14.5003,14.3294,14.4163,1191706.069931,0
AMC.US,D,20140108,000000,14.4503,14.4503,14.2994,14.3494,693213.27543619,0
AMC.US,D,20140109,000000,14.3494,14.4163,14.2444,14.4013,403673.55205946,0
AMC.US,D,20140110,000000,14.4163,14.4873,14.3704,14.4093,918115.61099421,0
AMC.US,D,20140113,000000,14.3074,14.3883,14.1994,14.3644,546015.46011327,0
AMC.US,D,20140114,000000,14.2784,14.6233,14.1994,14.4633,300182.90373027,0
AMC.US,D,20140115,000000,14.5093,14.5953,14.2444,14.3704,433689.34145017,0
AMC.US,D,20140116,000000,14.3234,14.7322,14.3074,14.5953,388542.60903405,0
AMC.US,D,20140117,000000,14.5093,14.7322,14.4093,14.5523,182800.7992126,0
AMC.US,D,20140121,000000,14.6642,15.0981,14.6083,14.9901,862723.85460961,0
AMC.US,D,20140122,000000,15.0531,15.4479,15.0411,15.285,454602.55559538,0
AMC.US,D,20140123,000000,15.293,15.293,14.7382,15.293,214557.27229681,0
AMC.US,D,20140124,000000,15.293,15.5369,14.9531,15.364,568985.482117,0
AMC.US,D,20140127,000000,15.285,15.4349,15.1121,15.35,691634.65539691,0
AMC.US,D,20140128,000000,15.7958,15.7958,15.168,15.7528,462653.71787429,0
AMC.US,D,20140129,000000,15.7588,15.7588,15.35,15.5589,107347.16306393,0
AMC.US,D,20140130,000000,15.7318,15.8178,15.4069,15.4799,170656.02907518,0
AMC.US,D,20140131,000000,15.277,15.6878,15.214,15.364,321009.08369081,0
AMC.US,D,20140203,000000,15.4559,15.4559,15.1051,15.1371,322981.85854344,0
AMC.US,D,20140204,000000,15.1371,15.221,14.8252,15.1121,433249.16856216,0
AMC.US,D,20140205,000000,15.0131,15.191,14.5953,15.1281,503571.78938671,0
AMC.US,D,20140206,000000,15.0891,15.214,14.8911,15.214,294386.6271095,0
AMC.US,D,20140207,000000,15.248,15.334,15.0351,15.326,180712.97917333,0
AMC.US,D,20140210,000000,15.277,15.364,15.148,15.364,164533.6243601,0
