<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMPX-WS.US,D,20220916,000000,0.5,0.6361,0.445,0.445,2214088,0
AMPX-WS.US,D,20220919,000000,0.4399,0.44,0.3216,0.385,341039,0
AMPX-WS.US,D,20220920,000000,0.321,0.5,0.321,0.422,1393661,0
AMPX-WS.US,D,20220921,000000,0.4199,0.42,0.33,0.384799,279466,0
AMPX-WS.US,D,20220922,000000,0.369301,0.419,0.364499,0.38,209842,0
AMPX-WS.US,D,20220923,000000,0.38,0.4574,0.36,0.4003,616371,0
AMPX-WS.US,D,20220926,000000,0.43,0.43,0.35,0.3601,478626,0
AMPX-WS.US,D,20220927,000000,0.399,0.4,0.35,0.35,225004,0
AMPX-WS.US,D,20220928,000000,0.3499,0.36,0.2804,0.31,243258,0
AMPX-WS.US,D,20220929,000000,0.33,0.331999,0.2722,0.3189,57712,0
AMPX-WS.US,D,20220930,000000,0.3026,0.33,0.28,0.32,157642,0
AMPX-WS.US,D,20221003,000000,0.3,0.31,0.29,0.29,16660,0
AMPX-WS.US,D,20221004,000000,0.29,0.3,0.2701,0.3,238217,0
AMPX-WS.US,D,20221005,000000,0.2626,0.3239,0.2625,0.265,88028,0
AMPX-WS.US,D,20221006,000000,0.280001,0.2801,0.260101,0.260101,40592,0
AMPX-WS.US,D,20221007,000000,0.2601,0.2901,0.1725,0.2364,207188,0
AMPX-WS.US,D,20221010,000000,0.2424,0.2424,0.1824,0.215,120551,0
AMPX-WS.US,D,20221011,000000,0.219999,0.27,0.1983,0.21,181585,0
AMPX-WS.US,D,20221012,000000,0.2352,0.2352,0.1851,0.2,117486,0
AMPX-WS.US,D,20221013,000000,0.19,0.2851,0.1601,0.2456,415734,0
AMPX-WS.US,D,20221014,000000,0.25,0.25,0.19,0.2001,98301,0
AMPX-WS.US,D,20221017,000000,0.22,0.24,0.2,0.24,99409,0
AMPX-WS.US,D,20221018,000000,0.219899,0.26,0.2156,0.25,878711,0
AMPX-WS.US,D,20221019,000000,0.25,0.5488,0.24,0.5001,1222926,0
AMPX-WS.US,D,20221020,000000,0.481,0.489,0.3675,0.37,277501,0
AMPX-WS.US,D,20221021,000000,0.4,0.65,0.395,0.591,1358871,0
AMPX-WS.US,D,20221024,000000,0.6575,0.76,0.65,0.651,1232859,0
AMPX-WS.US,D,20221025,000000,0.698,0.7,0.5629,0.5801,382551,0
AMPX-WS.US,D,20221026,000000,0.61,0.67,0.5801,0.62,271619,0
AMPX-WS.US,D,20221027,000000,0.6,0.6822,0.531,0.58,1007932,0
AMPX-WS.US,D,20221028,000000,0.5211,0.62,0.5211,0.6,214629,0
AMPX-WS.US,D,20221031,000000,0.62,0.62,0.58,0.6,124572,0
AMPX-WS.US,D,20221101,000000,0.62,0.6526,0.530101,0.5547,605293,0
AMPX-WS.US,D,20221102,000000,0.5312,0.5312,0.47,0.48,343585,0
AMPX-WS.US,D,20221103,000000,0.5198,0.5198,0.408125,0.41,102961,0
AMPX-WS.US,D,20221104,000000,0.46,0.46,0.3399,0.3498,161583,0
AMPX-WS.US,D,20221107,000000,0.3918,0.4,0.3601,0.37,68243,0
