<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APCA-WS.US,D,20220209,000000,0.34,0.36,0.3101,0.33,201000,0
APCA-WS.US,D,20220210,000000,0.34,0.34,0.34,0.34,79799,0
APCA-WS.US,D,20220211,000000,0.3401,0.3401,0.34,0.34,17747,0
APCA-WS.US,D,20220214,000000,0.38,0.38,0.34,0.3401,63046,0
APCA-WS.US,D,20220215,000000,0.3401,0.3402,0.34,0.34,8306,0
APCA-WS.US,D,20220216,000000,0.34,0.34,0.34,0.34,5002,0
APCA-WS.US,D,20220217,000000,0.34,0.34,0.34,0.34,106094,0
APCA-WS.US,D,20220218,000000,0.35,0.35,0.35,0.35,101,0
APCA-WS.US,D,20220223,000000,0.3202,0.3202,0.3202,0.3202,408,0
APCA-WS.US,D,20220224,000000,0.3203,0.3203,0.3,0.3,200352,0
APCA-WS.US,D,20220302,000000,0.26,0.2601,0.26,0.26,33361,0
APCA-WS.US,D,20220304,000000,0.2899,0.3,0.2899,0.3,24177,0
APCA-WS.US,D,20220314,000000,0.25,0.2536,0.2445,0.25,10639,0
APCA-WS.US,D,20220316,000000,0.22,0.22,0.22,0.22,200102,0
APCA-WS.US,D,20220317,000000,0.22,0.22,0.22,0.22,152721,0
APCA-WS.US,D,20220318,000000,0.19,0.2081,0.19,0.2051,2203,0
APCA-WS.US,D,20220323,000000,0.2195,0.25,0.2195,0.24,15410,0
APCA-WS.US,D,20220324,000000,0.259899,0.26,0.259899,0.26,5499,0
APCA-WS.US,D,20220328,000000,0.268,0.268,0.26,0.26,1346,0
APCA-WS.US,D,20220329,000000,0.26,0.26,0.26,0.26,1000,0
APCA-WS.US,D,20220331,000000,0.26,0.27,0.26,0.26,2563,0
APCA-WS.US,D,20220404,000000,0.28,0.28,0.28,0.28,230,0
APCA-WS.US,D,20220406,000000,0.29,0.3,0.29,0.3,400,0
APCA-WS.US,D,20220411,000000,0.25,0.25,0.25,0.25,130,0
APCA-WS.US,D,20220412,000000,0.26,0.26,0.22,0.22,45199,0
APCA-WS.US,D,20220414,000000,0.2599,0.26,0.2599,0.2599,2001,0
APCA-WS.US,D,20220418,000000,0.22,0.22,0.22,0.22,170000,0
APCA-WS.US,D,20220419,000000,0.28,0.28,0.28,0.28,900,0
APCA-WS.US,D,20220420,000000,0.28,0.28,0.28,0.28,1600,0
APCA-WS.US,D,20220422,000000,0.26,0.26,0.26,0.26,2300,0
APCA-WS.US,D,20220425,000000,0.26,0.26,0.26,0.26,100000,0
APCA-WS.US,D,20220427,000000,0.2301,0.25,0.23,0.25,98800,0
APCA-WS.US,D,20220428,000000,0.25,0.25,0.23,0.23,23200,0
