<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APE.US,D,20220823,000000,6.76,7.64,6.5,7.02,104446931,0
APE.US,D,20220824,000000,7.15,7.68,6.85,7.13,35891741,0
APE.US,D,20220825,000000,7.01,7.07,6.33,6.83,23415580,0
APE.US,D,20220826,000000,6.66,6.83,6.31,6.5,13877734,0
APE.US,D,20220829,000000,6.02,6.2791,5.85,6.06,17603103,0
APE.US,D,20220830,000000,5.9,6.07,5.16,5.2,17076175,0
APE.US,D,20220831,000000,5.12,5.2597,4.721,4.9,16715696,0
APE.US,D,20220901,000000,5.06,5.077,4.4,4.59,12134840,0
APE.US,D,20220902,000000,4.82,5.7,4.64,4.97,28085671,0
APE.US,D,20220906,000000,5.25,5.34,4.84,4.92,8340960,0
APE.US,D,20220907,000000,4.83,5.09,4.68,5.08,8535674,0
APE.US,D,20220908,000000,5.05,5.29,5,5.11,8771008,0
APE.US,D,20220909,000000,5.15,5.55,5.12,5.53,10284530,0
APE.US,D,20220912,000000,5.64,6.13,5.63,5.72,12467943,0
APE.US,D,20220913,000000,5.43,5.72,5.26,5.31,8893685,0
APE.US,D,20220914,000000,5.28,5.4297,5.11,5.36,5921774,0
APE.US,D,20220915,000000,5.35,5.69,5.32,5.4,8153259,0
APE.US,D,20220916,000000,5.3,5.34,4.9,4.9,6697750,0
APE.US,D,20220919,000000,4.87,5.09,4.58,4.67,9371824,0
APE.US,D,20220920,000000,4.6,4.74,4.22,4.23,8218870,0
APE.US,D,20220921,000000,4.22,4.27,3.94,3.98,9047897,0
APE.US,D,20220922,000000,3.92,3.95,3.41,3.58,15194220,0
APE.US,D,20220923,000000,3.4,3.8,3.36,3.58,10470494,0
APE.US,D,20220926,000000,3.12,4.03,3.1,3.37,29813312,0
APE.US,D,20220927,000000,3.6,3.77,3.35,3.38,13983455,0
APE.US,D,20220928,000000,3.33,3.48,3.2,3.37,13197128,0
APE.US,D,20220929,000000,3.29,3.31,2.89,2.9,13999768,0
APE.US,D,20220930,000000,2.9,2.96,2.7,2.71,10915041,0
APE.US,D,20221003,000000,2.6,2.63,2.41,2.44,12974074,0
APE.US,D,20221004,000000,2.51,2.8,2.48,2.74,22114208,0
APE.US,D,20221005,000000,2.64,2.67,2.45,2.45,10511259,0
APE.US,D,20221006,000000,2.47,2.55,2.24,2.24,14340677,0
APE.US,D,20221007,000000,2.22,2.22,1.95,1.99,11684204,0
APE.US,D,20221010,000000,2.02,2.09,1.83,1.86,11207265,0
APE.US,D,20221011,000000,1.89,1.89,1.7,1.76,11692555,0
APE.US,D,20221012,000000,1.77,1.97,1.58,1.64,25515664,0
APE.US,D,20221013,000000,1.57,1.85,1.48,1.82,18506567,0
APE.US,D,20221014,000000,1.88,1.9,1.67,1.7,12535700,0
APE.US,D,20221017,000000,1.78,1.95,1.73,1.9,13182896,0
APE.US,D,20221018,000000,2.03,2.22,1.94,2.1,19886240,0
APE.US,D,20221019,000000,2.03,2.08,1.9,2.06,11517104,0
APE.US,D,20221020,000000,2.06,2.44,2.03,2.43,22344399,0
APE.US,D,20221021,000000,2.63,2.765,2.42,2.67,29188712,0
APE.US,D,20221024,000000,2.81,2.81,2.4,2.45,16616590,0
APE.US,D,20221025,000000,2.46,2.8,2.42,2.6,22165791,0
APE.US,D,20221026,000000,2.55,2.59,2.11,2.16,27501713,0
APE.US,D,20221027,000000,2.21,2.2524,1.99,2.15,15271341,0
APE.US,D,20221028,000000,2.12,2.17,2.03,2.1,11881162,0
APE.US,D,20221031,000000,2.18,2.35,2.04,2.05,19489616,0
APE.US,D,20221101,000000,2.08,2.1212,1.85,1.89,16917537,0
APE.US,D,20221102,000000,1.86,1.92,1.7,1.71,20163051,0
APE.US,D,20221103,000000,1.71,1.74,1.6,1.63,10629770,0
APE.US,D,20221104,000000,1.7,1.7,1.52,1.57,18917342,0
APE.US,D,20221107,000000,1.57,1.57,1.41,1.51,15436115,0
APE.US,D,20221108,000000,1.53,1.62,1.47,1.6,18399793,0
APE.US,D,20221109,000000,1.49,1.505,1.25,1.3,25559694,0
APE.US,D,20221110,000000,1.36,1.48,1.3,1.4,27710773,0
APE.US,D,20221111,000000,1.37,1.685,1.35,1.61,30058568,0
APE.US,D,20221114,000000,1.72,1.8,1.41,1.43,29925550,0
APE.US,D,20221115,000000,1.49,1.52,1.4,1.43,23791897,0
APE.US,D,20221116,000000,1.4,1.41,1.28,1.32,16388273,0
APE.US,D,20221117,000000,1.29,1.36,1.27,1.36,9103314,0
APE.US,D,20221118,000000,1.38,1.41,1.33,1.38,10839335,0
APE.US,D,20221121,000000,1.34,1.38,1.24,1.27,10993086,0
APE.US,D,20221122,000000,1.29,1.29,1.23,1.26,13328437,0
APE.US,D,20221123,000000,1.27,1.27,1.12,1.21,46832808,0
APE.US,D,20221125,000000,1.2,1.23,1.18,1.22,6557187,0
APE.US,D,20221128,000000,1.18,1.19,1.09,1.14,21086319,0
APE.US,D,20221129,000000,1.15,1.15,1.05,1.05,22368595,0
APE.US,D,20221130,000000,1.05,1.06,0.9,0.9718,88082578,0
APE.US,D,20221201,000000,1.03,1.13,0.9771,0.9822,86669120,0
APE.US,D,20221202,000000,0.9815,1.01,0.98,0.9955,20113762,0
APE.US,D,20221205,000000,1.01,1.02,0.935,0.9513,20868727,0
APE.US,D,20221206,000000,0.9513,0.954,0.8801,0.8898,18485589,0
APE.US,D,20221207,000000,0.88,0.93,0.801,0.8105,24191048,0
APE.US,D,20221208,000000,0.8299,0.8769,0.81,0.8252,17894771,0
APE.US,D,20221209,000000,0.83,0.8334,0.7703,0.7703,17618308,0
APE.US,D,20221212,000000,0.808,0.9048,0.77,0.8415,19193374,0
APE.US,D,20221213,000000,0.8976,0.8998,0.8501,0.86,11972678,0
APE.US,D,20221214,000000,0.8727,0.9187,0.865,0.8852,10998763,0
APE.US,D,20221215,000000,0.869,0.8738,0.8102,0.8111,10549257,0
APE.US,D,20221216,000000,0.825,0.84,0.7203,0.7297,19173429,0
APE.US,D,20221219,000000,0.74,0.74,0.65,0.6726,12141397,0
APE.US,D,20221220,000000,0.6845,0.718999,0.6585,0.6743,7254474,0
APE.US,D,20221221,000000,0.6994,0.7199,0.675,0.685,8337470,0
APE.US,D,20221222,000000,1.23,1.38,1.03,1.2,180271162,0
APE.US,D,20221223,000000,1.69,1.9,1.51,1.73,149791773,0
APE.US,D,20221227,000000,2.06,2.06,1.69,1.91,82169501,0
APE.US,D,20221228,000000,1.7,1.85,1.4,1.45,53759231,0
APE.US,D,20221229,000000,1.4,1.59,1.35,1.47,30857618,0
APE.US,D,20221230,000000,1.42,1.46,1.33,1.41,20636756,0
APE.US,D,20230103,000000,1.41,1.46,1.17,1.2,25249786,0
APE.US,D,20230104,000000,1.21,1.37,1.2002,1.33,18978332,0
APE.US,D,20230105,000000,1.29,1.42,1.26,1.35,17784172,0
APE.US,D,20230106,000000,1.33,1.41,1.33,1.36,14788839,0
APE.US,D,20230109,000000,1.4,1.46,1.36,1.39,15029336,0
APE.US,D,20230110,000000,1.37,1.45,1.35,1.39,15068075,0
APE.US,D,20230111,000000,1.45,1.57,1.38,1.42,37666200,0
APE.US,D,20230112,000000,1.45,1.66,1.405,1.56,33151004,0
APE.US,D,20230113,000000,1.515,1.59,1.46,1.52,21634711,0
APE.US,D,20230117,000000,1.57,1.79,1.53,1.7,41171391,0
APE.US,D,20230118,000000,1.77,1.845,1.56,1.61,29814556,0
APE.US,D,20230119,000000,1.57,1.71,1.53,1.58,21457775,0
APE.US,D,20230120,000000,1.6,1.78,1.56,1.74,21731056,0
APE.US,D,20230123,000000,1.75,1.9,1.72,1.83,25962097,0
APE.US,D,20230124,000000,1.75,1.92,1.69,1.7,19068557,0
APE.US,D,20230125,000000,1.66,1.8,1.63,1.75,17529187,0
APE.US,D,20230126,000000,1.79,1.81,1.75,1.79,10818634,0
APE.US,D,20230127,000000,1.78,1.93,1.75,1.92,28852693,0
APE.US,D,20230130,000000,2.16,2.44,2.11,2.33,69957358,0
APE.US,D,20230131,000000,2.5,2.5,2.21,2.42,36632710,0
APE.US,D,20230201,000000,2.36,2.61,2.31,2.56,38159904,0
APE.US,D,20230202,000000,2.78,2.985,2.73,2.83,55807243,0
APE.US,D,20230203,000000,2.79,3.09,2.65,3.01,61967010,0
APE.US,D,20230206,000000,3.14,3.36,2.79,3.16,77259181,0
APE.US,D,20230207,000000,3.15,3.275,2.95,3.11,34356973,0
APE.US,D,20230208,000000,3.01,3.1,2.78,2.87,31650339,0
APE.US,D,20230209,000000,2.9,2.99,2.65,2.72,26754701,0
APE.US,D,20230210,000000,2.43,2.53,2.245,2.3,26931303,0
APE.US,D,20230213,000000,2.32,2.58,2.18,2.42,28212878,0
APE.US,D,20230214,000000,2.4,2.5,2.26,2.34,27760295,0
APE.US,D,20230215,000000,2.385,2.56,2.36,2.45,48420831,0
APE.US,D,20230216,000000,2.41,2.61,2.36,2.42,23309820,0
APE.US,D,20230217,000000,2.45,2.5,2.36,2.4,17106143,0
APE.US,D,20230221,000000,2.3,2.4701,2.15,2.21,46123658,0
APE.US,D,20230222,000000,2.2,2.35,2.1799,2.25,23570154,0
APE.US,D,20230223,000000,2.28,2.33,2.11,2.22,18675928,0
APE.US,D,20230224,000000,2.18,2.32,2.14,2.16,14601703,0
APE.US,D,20230227,000000,2.21,2.26,1.96,2.05,40383759,0
APE.US,D,20230228,000000,2,2.13,1.86,2.07,39069273,0
APE.US,D,20230301,000000,2,2.13,1.86,1.87,22534384,0
APE.US,D,20230302,000000,1.8,1.83,1.64,1.67,26932386,0
APE.US,D,20230303,000000,1.7,1.88,1.7,1.82,20483318,0
APE.US,D,20230306,000000,1.92,1.9299,1.75,1.75,18937608,0
APE.US,D,20230307,000000,1.74,1.8,1.72,1.76,11398990,0
APE.US,D,20230308,000000,1.76,1.82,1.74,1.78,11294700,0
APE.US,D,20230309,000000,1.81,1.8491,1.76,1.78,12081063,0
APE.US,D,20230310,000000,1.78,1.79,1.58,1.59,20079846,0
APE.US,D,20230313,000000,1.55,1.8,1.5101,1.73,19076542,0
APE.US,D,20230314,000000,1.87,2.11,1.5313,1.64,109045121,0
APE.US,D,20230315,000000,1.66,1.69,1.33,1.42,42610081,0
APE.US,D,20230316,000000,1.35,1.41,1.28,1.35,22080708,0
APE.US,D,20230317,000000,1.4,1.43,1.3,1.3,15072373,0
APE.US,D,20230320,000000,1.3,1.37,1.27,1.36,13228534,0
APE.US,D,20230321,000000,1.37,1.49,1.36,1.48,16898536,0
APE.US,D,20230322,000000,1.55,1.56,1.43,1.44,17636516,0
APE.US,D,20230323,000000,1.45,1.5,1.43,1.45,9696131,0
APE.US,D,20230324,000000,1.44,1.49,1.4,1.45,9343390,0
APE.US,D,20230327,000000,1.45,1.45,1.35,1.41,9980777,0
APE.US,D,20230328,000000,1.38,1.58,1.36,1.47,49662814,0
APE.US,D,20230329,000000,1.47,1.52,1.43,1.45,11097371,0
APE.US,D,20230330,000000,1.44,1.46,1.39,1.4,9399284,0
APE.US,D,20230331,000000,1.39,1.5,1.37,1.47,13110793,0
APE.US,D,20230403,000000,1.46,1.51,1.45,1.48,29396493,0
APE.US,D,20230404,000000,1.76,1.78,1.58,1.68,89324871,0
APE.US,D,20230405,000000,1.69,1.73,1.63,1.71,25802929,0
APE.US,D,20230406,000000,1.51,1.58,1.46,1.49,41019492,0
APE.US,D,20230410,000000,1.5,1.54,1.5,1.51,14426936,0
APE.US,D,20230411,000000,1.54,1.545,1.49,1.52,14063160,0
APE.US,D,20230412,000000,1.52,1.59,1.51,1.53,11069269,0
APE.US,D,20230413,000000,1.54,1.6,1.54,1.57,5857985,0
APE.US,D,20230414,000000,1.59,1.71,1.55,1.66,24729466,0
APE.US,D,20230417,000000,1.62,1.655,1.57,1.63,10102939,0
APE.US,D,20230418,000000,1.63,1.63,1.48,1.51,14951816,0
APE.US,D,20230419,000000,1.49,1.57,1.48,1.53,10209276,0
APE.US,D,20230420,000000,1.53,1.545,1.5,1.5,5866857,0
APE.US,D,20230421,000000,1.5,1.61,1.5,1.55,13582020,0
APE.US,D,20230424,000000,1.55,1.61,1.51,1.52,17404207,0
APE.US,D,20230425,000000,1.52,1.54,1.41,1.42,27023299,0
APE.US,D,20230426,000000,1.44,1.45,1.38,1.39,8553725,0
APE.US,D,20230427,000000,1.36,1.48,1.355,1.47,13784500,0
APE.US,D,20230428,000000,1.45,1.54,1.44,1.5,6637882,0
APE.US,D,20230501,000000,1.49,1.57,1.4803,1.57,8943183,0
APE.US,D,20230502,000000,1.55,1.56,1.48,1.52,7088817,0
APE.US,D,20230503,000000,1.52,1.57,1.5,1.52,9841321,0
APE.US,D,20230504,000000,1.52,1.6,1.5,1.56,12660752,0
APE.US,D,20230505,000000,1.58,1.605,1.54,1.56,10772015,0
APE.US,D,20230508,000000,1.57,1.58,1.545,1.57,4638543,0
APE.US,D,20230509,000000,1.55,1.63,1.55,1.62,7014553,0
APE.US,D,20230510,000000,1.63,1.67,1.6006,1.65,7485965,0
APE.US,D,20230511,000000,1.64,1.65,1.55,1.56,8478148,0
APE.US,D,20230512,000000,1.57,1.6,1.55,1.59,7350823,0
APE.US,D,20230515,000000,1.58,1.65,1.57,1.65,10259912,0
APE.US,D,20230516,000000,1.61,1.625,1.57,1.59,5310679,0
APE.US,D,20230517,000000,1.58,1.62,1.58,1.61,6170426,0
APE.US,D,20230518,000000,1.6,1.64,1.59,1.63,6222600,0
APE.US,D,20230519,000000,1.6,1.62,1.58,1.61,4837791,0
APE.US,D,20230522,000000,1.59,1.64,1.58,1.62,6458454,0
APE.US,D,20230523,000000,1.61,1.665,1.59,1.6,5479019,0
APE.US,D,20230524,000000,1.59,1.62,1.575,1.62,6003826,0
APE.US,D,20230525,000000,1.61,1.61,1.56,1.56,5505350,0
APE.US,D,20230526,000000,1.57,1.62,1.56,1.59,4504057,0
APE.US,D,20230530,000000,1.59,1.61,1.56,1.6,5740161,0
APE.US,D,20230531,000000,1.56,1.63,1.55,1.62,13890894,0
APE.US,D,20230601,000000,1.6,1.65,1.56,1.58,10266778,0
APE.US,D,20230602,000000,1.59,1.61,1.5828,1.59,3785183,0
APE.US,D,20230605,000000,1.58,1.62,1.56,1.58,5242156,0
APE.US,D,20230606,000000,1.59,1.62,1.57,1.57,10154520,0
APE.US,D,20230607,000000,1.59,1.62,1.58,1.6,8286349,0
APE.US,D,20230608,000000,1.61,1.61,1.59,1.6,8567980,0
APE.US,D,20230609,000000,1.58,1.61,1.58,1.58,8845230,0
APE.US,D,20230612,000000,1.58,1.61,1.58,1.59,7043237,0
APE.US,D,20230613,000000,1.59,1.62,1.59,1.61,7934039,0
APE.US,D,20230614,000000,1.61,1.62,1.59,1.61,8823882,0
APE.US,D,20230615,000000,1.6,1.7,1.6,1.69,17138526,0
APE.US,D,20230616,000000,1.69,1.805,1.68,1.74,19173609,0
APE.US,D,20230620,000000,1.73,1.75,1.7,1.74,10084050,0
APE.US,D,20230621,000000,1.725,1.75,1.61,1.7,19179603,0
APE.US,D,20230622,000000,1.87,1.945,1.79,1.82,37620387,0
APE.US,D,20230623,000000,1.83,1.85,1.7715,1.81,13288232,0
APE.US,D,20230626,000000,1.8,1.835,1.76,1.8,9899022,0
APE.US,D,20230627,000000,1.81,1.82,1.77,1.78,8719115,0
APE.US,D,20230628,000000,1.78,1.79,1.7,1.72,21556980,0
APE.US,D,20230629,000000,1.75,1.81,1.695,1.75,13856661,0
APE.US,D,20230630,000000,1.77,1.81,1.72,1.74,13180731,0
APE.US,D,20230703,000000,1.73,1.78,1.72,1.76,4332346,0
APE.US,D,20230705,000000,1.76,1.805,1.7,1.73,12224531,0
APE.US,D,20230706,000000,1.72,1.78,1.71,1.78,5113962,0
APE.US,D,20230707,000000,1.76,1.86,1.76,1.85,13462530,0
APE.US,D,20230710,000000,1.87,1.9,1.83,1.9,16286674,0
APE.US,D,20230711,000000,1.9,1.92,1.82,1.91,11834544,0
APE.US,D,20230712,000000,1.94,1.98,1.91,1.97,111563177,0
APE.US,D,20230713,000000,2,2.01,1.94,1.97,8371096,0
APE.US,D,20230714,000000,1.96,1.97,1.86,1.91,9327541,0
APE.US,D,20230717,000000,1.88,1.9,1.85,1.87,4077221,0
APE.US,D,20230718,000000,1.86,1.905,1.83,1.84,5531301,0
APE.US,D,20230719,000000,1.84,1.9,1.83,1.89,4374942,0
APE.US,D,20230720,000000,1.88,1.89,1.83,1.84,5109303,0
APE.US,D,20230721,000000,1.84,1.85,1.75,1.8,57109803,0
APE.US,D,20230724,000000,1.72,1.8,1.63,1.8,59889492,0
APE.US,D,20230725,000000,1.89,1.89,1.74,1.77,28838357,0
APE.US,D,20230726,000000,1.8,1.83,1.74,1.76,18228604,0
APE.US,D,20230727,000000,1.76,1.87,1.74,1.86,20682479,0
APE.US,D,20230728,000000,1.84,1.87,1.78,1.8,14020970,0
APE.US,D,20230731,000000,1.8,1.87,1.79,1.85,8253800,0
APE.US,D,20230801,000000,1.8,1.83,1.79,1.8,6906422,0
APE.US,D,20230802,000000,1.78,1.84,1.75,1.81,8909496,0
APE.US,D,20230803,000000,1.8,1.82,1.78,1.78,9945825,0
APE.US,D,20230804,000000,1.79,1.84,1.79,1.79,8036148,0
