<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APH.US,D,20050225,000000,4.50499,4.55288,4.50122,4.54633,2188610.684688291,0
APH.US,D,20050228,000000,4.54386,4.57112,4.46375,4.48913,2844664.522383241,0
APH.US,D,20050301,000000,4.53235,4.61642,4.53235,4.61642,2683757.11388514,0
APH.US,D,20050302,000000,4.55535,4.6068,4.48,4.57617,5530208.050554264,0
APH.US,D,20050303,000000,4.60244,4.61147,4.48239,4.53414,3074006.42597051,0
APH.US,D,20050304,000000,4.55535,4.56625,4.41408,4.48913,5707099.378178183,0
APH.US,D,20050307,000000,4.51718,4.60244,4.47763,4.56625,3392265.562358263,0
APH.US,D,20050308,000000,4.55059,4.59818,4.53829,4.58054,2412628.650048476,0
APH.US,D,20050309,000000,4.55773,4.58876,4.52551,4.53235,2256172.6510609416,0
APH.US,D,20050310,000000,4.53414,4.53652,4.44729,4.52988,2848223.229102681,0
APH.US,D,20050311,000000,4.52551,4.56625,4.48714,4.51252,3019785.5749810636,0
APH.US,D,20050314,000000,4.5616,4.6528,4.52988,4.62068,4699915.776015313,0
APH.US,D,20050315,000000,4.62068,4.68036,4.61147,4.65726,4268773.615175205,0
APH.US,D,20050316,000000,4.65726,4.69691,4.57112,4.58718,2700654.918580324,0
APH.US,D,20050317,000000,4.58291,4.58718,4.52749,4.55059,3714942.8210337777,0
APH.US,D,20050318,000000,4.54386,4.54386,4.42717,4.47296,5025277.195286291,0
APH.US,D,20050321,000000,4.55059,4.58529,4.46375,4.54386,5515975.2410837645,0
APH.US,D,20050322,000000,4.52551,4.53652,4.26319,4.31038,15094473.43928336,0
APH.US,D,20050323,000000,4.38731,4.38731,4.2972,4.33527,6342709.8176069055,0
APH.US,D,20050324,000000,4.33527,4.36907,4.29056,4.2972,3743389.2746038996,0
APH.US,D,20050328,000000,4.31504,4.33309,4.25011,4.27697,3522937.0768892677,0
APH.US,D,20050329,000000,4.2861,4.29056,4.12172,4.12628,5011055.481556725,0
APH.US,D,20050330,000000,4.14442,4.1824,4.10597,4.15751,5374638.702135374,0
APH.US,D,20050331,000000,4.15543,4.20936,4.12628,4.16693,3589602.3056559702,0
APH.US,D,20050401,000000,4.17784,4.25457,4.15326,4.1824,3372698.7276234743,0
APH.US,D,20050404,000000,4.1824,4.1824,4.02487,4.0899,5380854.334449754,0
APH.US,D,20050405,000000,4.14661,4.17784,4.11478,4.12867,3020679.2864757203,0
APH.US,D,20050406,000000,4.13501,4.21164,4.13065,4.19161,4136312.660247427,0
APH.US,D,20050407,000000,4.20253,4.26319,4.20253,4.25229,4292764.624420038,0
APH.US,D,20050408,000000,4.26319,4.28143,4.19351,4.19786,2580647.4197630743,0
APH.US,D,20050411,000000,4.21829,4.21829,4.12628,4.14879,1769027.2597604252,0
APH.US,D,20050412,000000,4.15116,4.17546,4.05422,4.13739,4300771.714538855,0
APH.US,D,20050413,000000,4.11251,4.16693,4.1014,4.13501,5332856.1767007,0
APH.US,D,20050414,000000,4.14879,4.18716,4.10597,4.14205,10257672.533829821,0
APH.US,D,20050415,000000,4.12867,4.13967,4.04955,4.05422,8994459.753795123,0
APH.US,D,20050418,000000,4.05669,4.14661,4.03855,4.08563,3942524.536631955,0
APH.US,D,20050419,000000,4.09664,4.12867,4.08356,4.12867,4860821.167105954,0
APH.US,D,20050420,000000,4.35321,4.46623,4.29264,4.29473,20584684.369985703,0
APH.US,D,20050421,000000,4.38266,4.44729,4.3311,4.4119,10784822.105909673,0
APH.US,D,20050422,000000,4.4119,4.52115,4.36015,4.48,4960395.354694179,0
APH.US,D,20050425,000000,4.48,4.52115,4.43896,4.49667,4121208.330764039,0
APH.US,D,20050426,000000,4.49667,4.58054,4.46623,4.48714,3395812.164633138,0
APH.US,D,20050427,000000,4.48714,4.50499,4.42954,4.48477,4487450.4943450885,0
APH.US,D,20050428,000000,4.48477,4.50122,4.40754,4.41577,3794961.2696282496,0
APH.US,D,20050429,000000,4.45452,4.46156,4.35529,4.43618,4203872.609212616,0
APH.US,D,20050502,000000,4.44729,4.4921,4.40516,4.47296,3987859.7165637864,0
APH.US,D,20050503,000000,4.46623,4.51718,4.39604,4.45452,6515165.874980045,0
APH.US,D,20050504,000000,4.44729,4.48477,4.39604,4.43143,5857334.701332785,0
APH.US,D,20050505,000000,4.4119,4.44729,4.38266,4.40754,5289296.315313818,0
APH.US,D,20050506,000000,4.42022,4.45452,4.38266,4.43421,1648128.0668558797,0
APH.US,D,20050509,000000,4.46802,4.46802,4.4119,4.44312,2630425.9395756284,0
APH.US,D,20050510,000000,4.42022,4.44312,4.38731,4.41408,6004889.898706847,0
APH.US,D,20050511,000000,4.41408,4.44312,4.39871,4.41804,3848298.496160144,0
APH.US,D,20050512,000000,4.42717,4.45919,4.39208,4.42251,4283886.014288336,0
APH.US,D,20050513,000000,4.43421,4.48477,4.37849,4.42717,6217357.197784533,0
APH.US,D,20050516,000000,4.41408,4.45215,4.37849,4.39871,5133726.966894927,0
APH.US,D,20050517,000000,4.39871,4.6528,4.39871,4.62762,11164407.402280988,0
APH.US,D,20050518,000000,4.65726,4.72339,4.58718,4.68036,7122318.76509771,0
APH.US,D,20050519,000000,4.68036,4.70465,4.63248,4.6528,5507975.211891063,0
APH.US,D,20050520,000000,4.62257,4.66212,4.5616,4.64428,5242179.764614856,0
APH.US,D,20050523,000000,4.72042,4.74679,4.68036,4.71358,3576272.286013801,0
APH.US,D,20050524,000000,4.71358,4.71555,4.61642,4.67343,5139948.651431691,0
APH.US,D,20050525,000000,4.69217,4.69217,4.58291,4.65965,3498934.971903499,0
APH.US,D,20050526,000000,4.68533,4.71555,4.66906,4.71555,3881179.2112775147,0
APH.US,D,20050527,000000,4.72478,4.76185,4.6998,4.72478,4699915.776015313,0
APH.US,D,20050531,000000,4.73796,4.78683,4.70911,4.76979,10111001.969616842,0
APH.US,D,20050601,000000,4.74431,4.78683,4.70911,4.75125,2427741.049161507,0
APH.US,D,20050602,000000,4.7576,4.83234,4.73796,4.83035,2809989.323350344,0
APH.US,D,20050603,000000,4.8138,4.83234,4.7918,4.82551,4101636.452510698,0
