<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVMA.US,D,20230630,000000,50.815,50.94,50.815,50.8958,2972,0
AVMA.US,D,20230703,000000,51.02,51.025,50.9775,51.025,1156,0
AVMA.US,D,20230705,000000,50.7782,50.7782,50.7208,50.7208,718,0
AVMA.US,D,20230706,000000,50.11,50.2,49.97,50.1808,1019,0
AVMA.US,D,20230707,000000,50.6567,50.6567,50.3968,50.3968,540,0
AVMA.US,D,20230710,000000,50.56,50.63,50.5302,50.6218,1001,0
AVMA.US,D,20230711,000000,50.81,51.0275,50.7802,51.0275,1249,0
AVMA.US,D,20230712,000000,51.58,51.58,51.4946,51.4946,444,0
AVMA.US,D,20230713,000000,51.82,51.8818,51.7802,51.8818,1000,0
AVMA.US,D,20230714,000000,51.5558,51.5558,51.5558,51.5558,44,0
AVMA.US,D,20230717,000000,51.55,51.7029,51.55,51.7029,3173,0
AVMA.US,D,20230718,000000,52.04,52.04,52.0296,52.0296,132,0
AVMA.US,D,20230719,000000,52.22,52.22,52.19,52.19,100,0
AVMA.US,D,20230720,000000,52.03,52.03,51.95,51.98,13091,0
AVMA.US,D,20230721,000000,52.03,52.03,51.9546,51.9546,2060,0
AVMA.US,D,20230724,000000,52.17,52.18,52.0901,52.1086,1794,0
AVMA.US,D,20230725,000000,52.2542,52.2542,52.2542,52.2542,44,0
AVMA.US,D,20230726,000000,52.42,52.42,52.3537,52.3537,476,0
AVMA.US,D,20230727,000000,52.51,52.51,52.04,52.04,1537,0
AVMA.US,D,20230728,000000,52.45,52.48,52.4404,52.4404,860,0
AVMA.US,D,20230731,000000,52.58,52.58,52.5728,52.5728,106,0
AVMA.US,D,20230801,000000,52.36,52.36,52.3567,52.3567,504,0
AVMA.US,D,20230802,000000,51.7743,51.7743,51.7743,51.7743,85,0
AVMA.US,D,20230803,000000,51.59,51.75,51.5467,51.6779,3124,0
AVMA.US,D,20230804,000000,52.1998,52.1998,51.82,51.82,3152,0
