<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZTD.US,D,20220822,000000,19.72,19.72,19.5796,19.5796,2609,0
AZTD.US,D,20220823,000000,19.7483,19.7483,19.6249,19.6249,351,0
AZTD.US,D,20220824,000000,19.6457,19.6457,19.6457,19.6457,1,0
AZTD.US,D,20220825,000000,19.92,19.95,19.91,19.9478,8562,0
AZTD.US,D,20220826,000000,19.6101,19.6101,19.4917,19.4917,250,0
AZTD.US,D,20220829,000000,19.53,19.54,19.4483,19.4483,2754,0
AZTD.US,D,20220830,000000,19.55,19.55,19.22,19.2347,7195,0
AZTD.US,D,20220831,000000,19.28,19.28,19.251,19.251,5003,0
AZTD.US,D,20220901,000000,19.43,19.43,18.9587,18.9587,2528,0
AZTD.US,D,20220902,000000,18.98,18.98,18.7805,18.7805,104,0
AZTD.US,D,20220906,000000,18.76,18.76,18.7572,18.7572,101,0
AZTD.US,D,20220907,000000,18.83,19.0627,18.83,19.0627,26103,0
AZTD.US,D,20220908,000000,19.2845,19.2845,19.2845,19.2845,1,0
AZTD.US,D,20220909,000000,19.62,19.88,19.62,19.88,5348,0
AZTD.US,D,20220912,000000,19.99,20.11,19.99,20.0289,18600,0
AZTD.US,D,20220913,000000,19.79,19.8,19.4572,19.4572,2496,0
AZTD.US,D,20220914,000000,19.5088,19.5342,19.5088,19.5342,8500,0
AZTD.US,D,20220915,000000,19.58,19.58,19.394,19.394,1254,0
AZTD.US,D,20220916,000000,19.1313,19.1313,19.1313,19.1313,1,0
AZTD.US,D,20220919,000000,19.27,19.27,19.2512,19.2512,100,0
AZTD.US,D,20220920,000000,18.9104,18.97,18.9051,18.9051,8284,0
AZTD.US,D,20220921,000000,18.7227,18.7227,18.7227,18.7227,10,0
AZTD.US,D,20220922,000000,18.69,18.69,18.6397,18.6397,100,0
AZTD.US,D,20220923,000000,18.31,18.31,17.9841,17.9841,100,0
AZTD.US,D,20220926,000000,17.7183,17.7183,17.7183,17.7183,1,0
AZTD.US,D,20220927,000000,17.6878,17.6878,17.6878,17.6878,1,0
AZTD.US,D,20220928,000000,18.08,18.14,18.08,18.1296,1845,0
AZTD.US,D,20220929,000000,18.11,18.2,18.11,18.2,682,0
AZTD.US,D,20220930,000000,18.1001,18.1001,18.1001,18.1001,20,0
AZTD.US,D,20221003,000000,18.12,18.4502,18.12,18.4502,119,0
AZTD.US,D,20221004,000000,19.164,19.164,19.164,19.164,20,0
AZTD.US,D,20221005,000000,18.91,19.06,18.91,19.0157,419,0
AZTD.US,D,20221006,000000,18.8566,18.8566,18.8566,18.8566,200,0
AZTD.US,D,20221007,000000,18.3635,18.3635,18.3635,18.3635,20,0
AZTD.US,D,20221010,000000,18.27,18.27,18.17,18.2,5400,0
AZTD.US,D,20221011,000000,18.1321,18.1321,18.1321,18.1321,20,0
AZTD.US,D,20221012,000000,17.9457,17.9457,17.9457,17.9457,20,0
AZTD.US,D,20221013,000000,18.3325,18.3325,18.3325,18.3325,20,0
AZTD.US,D,20221014,000000,18.1069,18.1069,18.1069,18.1069,20,0
AZTD.US,D,20221017,000000,18.59,18.59,18.59,18.59,1600,0
AZTD.US,D,20221018,000000,18.768,18.768,18.768,18.768,20,0
AZTD.US,D,20221019,000000,18.6003,18.6003,18.6003,18.6003,20,0
